Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
52374,Against Interpretation and Other Essays,Michael,657,969,4,"March 16, 2020","A wide-ranging debut collection of essays on art, film, and literature that’s as stimulating today as it was when it was first released in the ‘60s. Sontag’s caustic wit, sharp prose, and succinct observations about aesthetics make all the essays worth reading, even though many of her ideas have long since been absorbed into the mainstream. Here, she examines everything from existentialist thought to the tropes of science fiction, and her mind’s always interesting to follow.",67,2
52374,Against Interpretation and Other Essays,DoctorM,836,2,4,"December 16, 2012","There was a time, long ago and in another age, when anyone at university who wanted to be well-read or conversant with things intellectual read this book. I'm one of them. I sat in Cross Campus at New Haven and devoured ""Against Interpretation"" one autumn afternoon. Needless to say, I had a deep intellectual crush on Susan Sontag--- ah, I thought, if only I'd been able to court her in some alternate New York where we were both eighteen or nineteen! I still love this book, all these years later. It brings up an age when ideas mattered, when there was passion in the air about sweeping away old thoughts and discovering and valorising the new. The title essay and ""Notes on Camp"" remain...well...brilliant. A classic book, then--- more than just a reminder of the world of my Lost Youth. Sontag was fierce and infuriating and witty and opinionated and razor-sharp and often wrongheaded and deeply engaged in art and politics and culture--- someone whose voice was there shaping debates and offering up alternatives. I miss that kind of passion in the intellectual world. And I do recommend this book--- read it and learn how to love the clash of ideas. ",61,5
52374,Against Interpretation and Other Essays,J.L.   Sutton,650,825,4,"February 2, 2022","“To interpret is to impoverish, to deplete the world—in order to set up a shadow world of “meanings.”Susan Sontag's Against Interpretation and Other Essays offers an intellectual back and forth on how to approach art and ends up showing us, above all else, a mind at work. That was really the most fun part of this. In the opening essay, Sontag argues that interpretation is an act that replaces the meaning of art, be it writing, theater, film or painting. I like the point Sontag makes, and understand that any interpretation or review we read colors how we come to a work of art, but I don't see this as something that necessarily limits our experience. In fact, Sontag's other essays in this collection add new dimensions to how I will experience writers such as Marcel Proust, Albert Camus and Jean-Paul Sartre among others. “A work of art encountered as a work of art is an experience, not a statement or an answer to a question. Art is not only about something; it is something. A work of art is a thing _in_ the world, not just a text or commentary _on_ the world.”",54,4
52374,Against Interpretation and Other Essays,Ahmad Sharabiani,"9,568",55500,4,"September 1, 2017","Against Interpretation and Other Essays, Susan SontagAgainst Interpretation is a collection of essays by Susan Sontag published in 1966. It includes some of Sontag's best-known works, including ""On Style,"" and the eponymous essay ""Against Interpretation."" In the last, Sontag argues that in the new approach to aesthetics the spiritual importance of art is being replaced by the emphasis on the intellect. Rather than recognizing great creative works as possible sources of energy, she argues, contemporary critics were all too often taking art's transcendental power for granted, and focusing instead on their own intellectually constructed abstractions like ""form"" and ""content."" In effect, she wrote, interpretation had become ""the intellect's revenge upon art."" The essay famously finishes with the words, ""in place of a hermeneutics we need an erotics of art"". The book was a finalist for the Arts and Letters category of the National Book Award.Contents: Against interpretation; On style; The artist as exemplary sufferer; Simone WeilCamus' Notebooks; Michel Leiris' Manhood; The anthropologist as hero; The literary criticism of Georg Lukacs; Sartre's Saint Genet; Nathalie Sarraute and the novel; Ionesco; Reflections on The Deputy; The death of tragedy; Going to theater, etc.; Marat/Sade/Artaud; Spiritual style in the films of Robert Bresson; Godard's Vivre Sa Vie; The imagination of disaster; Jack Smith's Flaming Creatures; Resnais' Muriel; A note on novels and films; Piety without content; Psychoanalysis and Norman Brown's Life Against Death: The Psychoanalytic Meaning of History; Happenings: an art of radical juxtaposition; Notes on ""Camp""; One culture and the new sensibility; Afterword: Thirty Years Later. تاریخ نخستین خوانش: هجدهم ماه نوامبر سال 2015 میلادیعنوان: عليه تفسير؛ نویسنده: سوزان سانتاگ؛ مترجم: مجید اخگر؛ تهران، بیدگل، 1394، در 435 ص؛ شابک: 9786005193886؛ موضوع: تاریخ و نقد ادبیات جدید قرن 20 معليه تفسير، مجموعه ای از نقدها و تحلیلهایی ست که سانتاگ در فاصله سالهای 1962 تا 1965 میلادی نگاشته است. مقالات به نقد و بررسی کتاب‌ها، رساله‌ ها و بيانيه‌ های نويسندگان و فيلسوفان مشهوری چون: ژان پل سارتر، آلبر کامو، آنتونن آرتو (مبدع تئاتر خشونت)، پيتر وايس، اوژن يونسکو، گئورگ لوکاچ، چزاره پاوزه، ناتالی ساروت و... است. همچنين برخی مقالات کتاب نيز به نقد و بررسی آثار فيلمسازانی همچون: روبر برسون، و ژان لوک گدار ــ سينماگران برجسته فرانسوی ــ اختصاص دارد. ا. شربیانی",39,N/A
52374,Against Interpretation and Other Essays,E. G.,"1,112",668,3,"April 21, 2018","A note and some acknowledgmentsI--Against interpretation--On styleII--The artist as exemplary sufferer--Simone Weil--Camus' Notebooks--Michel Leiris' Manhood--The anthropologist as hero--The literary criticism of Georg Lukács--Sartre's Saint Genet--Nathalie Sarraute and the novelIII--Ionesco--Reflections on The Deputy--The death of tragedy--Going to theater, etc.--Marat / Sade / ArtaudIV--Spiritual style in the films of Robert Bresson--Godard's Vivre Sa Vie--The imagination of disaster--Jack Smith's Flaming Creatures--Resnais' Muriel--A note on novels and filmsV--Piety without content--Psychoanalysis and Norman O. Brown's Life Against Death--Happenings: an art of radical juxtaposition--Notes on ""Camp""--One culture and the new sensibilityAfterword: Thirty Years Later",39,1 comment
52374,Against Interpretation and Other Essays,Zanna,676,926,3,"August 7, 2015","None of us can ever retrieve that innocence before all theory when art knew no need to justify itself, when one did not ask of a work of art what it said because one knew what it did. From now to the end of consciousness, we are stuck with the task of defending art.I ended up finding 'Against Interpretation' useful. Its central claim is that there is a kind of interpretation that is anti-art in that it diminishes the possibilities for appreciating/enjoying/experiencing the art rather than increasing them, which is what criticism (I would still say interpretation*) should (probably) do. I have no longer any anxiety on behalf of the author, but I still generally dislike the kind of interpretation that Sontag seems to be talking about; the kind that says one thing is another in a text and tyrannically insists on this translation. She argues that even if the interpretation that A Streetcar Named Desire is about the decline of Western civilization rather than this encounter between two interesting characters is 'correct' in the sense of being intended and implicit, this is precisely what is weak and 'contrived' about it. In my review of To the Lighthouse I felt the need to criticise both of the introductions, which I suppose is me fighting on behalf of the text or of my experience of the text. I evidently feel that something I want to remain open is being closed down when a psychoanalytic interpretation (for instance) is advanced. However, I am eager to read interpretation and criticism - this is definitely part of my pleasure in the text (Sontag ends by saying 'we need an erotics of art rather than a hermeneutics'), not only a way to get more pleasure out of it. Considering Zadie Smith's introduction to Their Eyes were Watching God I can think of the text as a mountain, which has a nice easy path over it, and Smith's introduction as a kit which contains a map to find the hidden caves and a torch to illuminate their beautiful interiors. So Smith helps me to get more out of reading Hurston, but her intro is art in itself (it is aesthetic; Sontag says the aesthetic is 'that which needs no justification'). I'd say criticism/interpretation helps me rather than hinders/irritates me more than half of the time... I don't think the value of the critic is so low(((*I am very keen on the word 'interpretation'. The specific meaning it has in museums (phenomenology!) for me from my background (my mum is a heritage educator and I volunteered with her often for many years) is probably a reason for this; when I go to an exhibition I talk about the interpretation - the British Museum have a very high standard of interpretation; if you visited the Ice Age Art exhibition you will remember how much interpretation there was, and how much was needed, to enable such a coherent, pungent (can I say that? I could smell blood and salt in that exhibition...) experience out of a small collection of tiny objects which, the interpretation text repeatedly admitted, WE LACK THE ABILITY TO DECODE in terms of what they 'really' meant to the people who made and used them. Conversely, in many museums stuff is heaped up in glass cases with labels like 'brass, c.1500'. Unless an object has overwhelming aesthetic qualities, creative interpretation by people with learning and passion is a necessary bridge for most of us to experience more than a sort of obligatory, intimidated STUDIUM in its presence. Some people find the British Museum's approach overbearing, but I disagree; I think it's ableist and elitist and ethnocentric to insist that the objects should 'speak for themselves'. For most of us, they will remain silent.)))((I now have a better way to describe my resistance to The Unbearable Lightness of Being: Sontag describes Thomas Mann (who I haven't read) hilariously as 'overcooperative' in that he inserts intimations of the correct interpretation into his texts. This is exactly what Kundera does that I dislike!))The second essay ‘On Style’ is about the false dichotomy of form and content, and her prescription to critics to think more about the former, because our idea of content, especially as something hidden inside form or style is a hindrance. It makes us think of an art work as a statement somehow packaged. Sontag tries to explain why there is no distinction between ethics and aesthetics, but somehow I can’t get a handle on her treatment of this. Later on in another essay ‘One culture and the new sensibility’ she says most artists have abandoned the ‘Matthew Arnold idea of culture', which is ‘art as the criticism of life… understood as the propounding of moral, social and political ideas’. In 
  Status Anxiety
 Alain de Botton explains the view that Arnold sets out in Culture and Anarchy like this: “art as a protest against the state of things, an effort to correct our insights or to educate us to perceive beauty, to help us understand pain or to reignite our sensitivities, to nurture our capacity for empathy or to rebalance our moral perspective.” I’m not sure who is making mush here, because Sontag argues in ‘On Style’ that art can teach us to be more ethical because the mode of being needed to contemplate art is a useful rehearsal for the mode required for ethical behaviour, which is just a ‘form of acting’ or ‘code of acts’, and goes on to say in many of these essays that art 'educates the feelings', 'nourishes' us, 'sends us out refreshed'. This seems close to de Botton’s notes on Arnold, to me at least. It suggests the difference is of degree and there is a sort of continuum between socialist realism at one end and Oscar Wilde at the other, but Sontag seems to be aiming for a more radical reassessment. I’m troubled by Sontag’s rejection of art-as-argument, as I’m not satisfied with her account of morality. It remains my obsession to see the political and ethical in everything. If someone can write that ‘being a feminist is passe’ then I can’t trust her.I enjoyed her comments on the ‘arbitrary and unjustifiable’ in works of art. She argues that what is inevitable in a work of art is its style, an expression of the author’s will. Her main purpose in 'On Style' is, I think, to advise critics to find form in content rather than the converse. The rest of the book is mainly criticism of theatre, film and other works in which she apparently tests her own medicine. It sounds good, if you don’t mind being told flatly and frequently that some work is brilliant or vile… I have seen/read little of the material she reviews; I’m unhappy with her negative critique of an exception to that: James Baldwin, and I was unable to get through some of the literature she recommends that I sought out! However, her ‘Notes on “Camp”’ is rightly famous I think; it shows great sensitivity and acuity that she can delineate it so gracefully.Writing in the sixties, she found nothing going on in literature. The novel is dead, she would have agreed. Innovations in form were the leading edge, and literature lagged. I wonder if she would say that now.Despite reservations, I feel a sharp, refreshing breeze blowing on my face; Sontag opened a window.",37,10
52374,Against Interpretation and Other Essays,Prerna,215,1203,3,"July 1, 2021","In the first volume of her journal Reborn, Susan Sontag wrote that to interpret is to determine, to restrict; or to exfoliate, read meaning into. Perhaps she was deliberate in her focus on form, in her evasions of definitions within this collection of disparate essays that range from critiques of philosophy, art, movies to blatant sixties style fangirling. Perhaps it was her own refusal to be restricted, to be read into, that she transmuted into a writing that has a clear, traceable form and yet is inscrutable. There isn't a unifying theme to these essays, instead it's the contours of the form (that Sontag herself believed was of more merit in art theory than interpretation) that takes the centre stage.You're not sure what the extensive notes on camp or the barely four-pages long essay on Simone Weil are actually supposed to mean. At least I wasn't. Instead, what resonates here is Sontag's hallmark confidence, and you're convinced that she absolutely believed in everything she wrote, everything she said. And this remarkable confidence helped me read on even when certain parts of this book got surprisingly boring.Sontag also firmly believed that morality informs experience and that's very evident in her criticisms. She approaches each topic with a predetermined notion of style and form, almost as if the style itself selects the topics she wants to write on. But that would be a wrong interpretation. Her style of writing is so firm, so intelligent that everything else seems secondary.",34,8
52374,Against Interpretation and Other Essays,Cheryl,463,581,5,"December 13, 2019","
  What a work of art does is to make us see or comprehend something singular, not judge or generalize.
To bask in intelligent discourse of literature, fine arts, and theatre, is to turn to Susan Sontag's Against Interpretations, where the cultured world is viewed aesthetically. Serious conversations elude the personal, criticism becomes communion with art, wherein the reader is almost an after-thought because the dialogue is the writer, the intellectual musing, and the subject. The prose pulsates with controlled meandering and gets to the heart of a matter that a regular observer hasn't considered. Even if you didn't know that Sontag owned a 15,000-book personal library or that she attended numerous events and 'happenings' that made her a literary celebrity, you sense this through the exploration and confidence on the page. She was determined to exist outside of academic circles (although her writing has a pedagogical slant), outside of mainstream journalism; a ""pugnacious aesthete"" and ""moralist,"" she saw herself as a ""newly minted warrior in a very old battle.""There is also the thought that one wouldn't have wanted to be the writer, film director, or creator who ended up on the other end of her criticism, for her opinions slash deeply, sometimes perhaps unfairly. Her writing was deeply analytical, her thoughts sometimes ironic (""what would criticism look like that would serve the work of art, not usurp its place?""). At one point Sontag, after publishing Illness as Metaphor & AIDS and Its Metaphors first as a few essays, revised some passages to give her words a lesser edge, and in some cases a different meaning, but also to fit her current views, her current experiences. Although very opinionated, she was known to change her mind often. So is the metamorphosis of a writer, particularly one in the public eye, one with a life-changing illness, the same one criticized for her writing after September 11. Whether one likes the direction of her criticism or not, whether one relishes her persuasive pedantry or not, it's clear that the essays in this collection are singular in style and uniquely relevant to time, place and culture: ""the world in which these essays were written no longer exists."" My favorites were ""On Style,"" and ""Camus' Notebooks.""",32,11
52374,Against Interpretation and Other Essays,Glenn Sumi,404,1493,4,"April 3, 2022","Like most collections (of essays or stories), this book – Susan Sontag’s first – is uneven. Some pieces are absolutely brilliant, making me see art and culture in a whole new way, while a few are so esoteric and dull I couldn’t wait to be done with them.What ties them together is Sontag’s erudition, passion and enthusiasm for what she’s writing about – what she’s thinking. To borrow a line from Lin-Manuel Miranda’s Hamilton, Sontag’s writing shows you a mind at work.“Before I wrote the essays I did not believe many of the ideas espoused in them,” she writes in the book’s introduction. “When I wrote them, I believed what I wrote; subsequently, I have come to disbelieve some of these same ideas again – but from a new perspective.” I appreciate her honesty.The essays include now-famous pieces like “Notes on ‘Camp’” and “Against Interpretation” (both timeless) as well as extended meditations on the works of Claude Levi-Strauss, Simone Weil and Nathalie Sarraute. She thinks a lot about the connections between style and content. Her taste in books and films is more European than American, with long essays – you couldn’t really call them reviews – on Sartre’s book on Jean Genet, the films of Robert Bresson and Jean-Luc Godard (alas, written before the former’s masterpieces Au Hassard Balthazar and Mouchette) and a deep dive into Alain Renais’s Muriel. I’d seen many of the films she discussed, but am now curious to watch them again – especially Godard’s Vivre Sa Vie – with her clear and persuasive analyses in mind. It’s to Sontag’s credit that even though I hadn’t read most of the books she referred to, I was intrigued enough to read all the way through her essays on them. I doubt I’ll ever read a Sarraute novel, but I’m now curious. And I appreciate the way Sontag draws on her knowledge of all the arts – visual, music, film, theatre, opera, dance, literature – to illustrate what’s new and inventive. In fact, that was my main takeaway from this book. I’ve heard of the “happenings” of the 60s, but Sontag takes us to a few and explains/shows what they’re attempting to do. Her round-up of plays in New York (“Going to theatre, etc.”) includes a highly critical takedown of Arthur Miller’s After The Fall, which launched the Lincoln Center Repertory Theater, as well as shrewd and often hilariously bitchy criticisms of lauded pieces involving Gielgud and Scofield. She’s most interesting on new works by Rolf Hochhuth, James Baldwin and Amiri Baraka, although her thinking and language around race seems a little dated.She devotes an entire essay to Peter Brook’s production of Peter Weiss’s Marat/Sade, a groundbreaking work I’ve heard so much about. Her description of it makes me now feel like I’ve seen it.I’d never heard of “The Imagination of Disaster,” her clever analysis of cheesy science-fiction movies and their political, social and cultural dimensions. It’s now one of my favourite Sontag essays. I love that she spent so much time and energy on what many critics of the time must have thought of as a crude and unsophisticated genre. She didn’t care about concepts of “high” or “low” culture. I’ll likely reread this piece – as well as perhaps half a dozen others – again. And I’m definitely going to seek out her later collections. She must have been quite a trailblazer in the 1960s and 70s. In the current cultural landscape, I can’t think of anyone attempting to do what she did, with such boldness, style and probing intelligence.",28,10
52374,Against Interpretation and Other Essays,Steven Godin,"2,279",2147,4,"January 7, 2020","I loved 'On Photography', it's one of the best essays I've read. Some of her others however, I haven't thought much of. This collection of essays and criticism from the 1960s is certainly one of the better Sontag books I've read. It flatters the reader's intelligence without being intimidating. From Sophocles to Sartre, it seems that Sontag has read everything, and has the gift of getting her ideas across in reader-friendly prose, something that isn't shared by all those in the same boat as her. The title essay is an attack on the mimetic theory of art, and on the cult of interpretation that it has spawned. While On Style is a spirited attack on the division between form and content – an entirely spurious one in her view – arguing that one should be able to appreciate Leni Riefenstahl's Triumph of the Will as a masterpiece despite its Nazi propaganda. Some of the others were just as good, and Sontag being a stern critic means readers will always find plenty of things to disagree with. But the essays are unfailingly stimulating. Though they bear the stamp of their time, Sontag was remarkably prescient.",25,N/A
