Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
47559,Amphigorey,Lori,353,417,5,"July 3, 2020","It's hard to convey the joy I get from looking at almost all of Edward Gorey's work; I love it so. Whether you adore ""The Unstrung Harp"" or detest ""The Gashleycrumb Tinies,"" If you're famliar with his work and love, like, dislike or hate it, you can skip this review. It won't hurt my feelings, and anyway I wouldn't know. But there are laughs to be had here and if you're new to him or adore him or want a refresher, there is thoughtful amusement, silliness and so much more in the four anthologies of which Amphigorey is first. Gorey was a writer and illustrator who mainly created short works full of dark humor, deftly drawn in black-and-white panels, occasionally color. Words are perfectly married to the panels. In each panel something is off, sometimes a few things. A character has feet that are backward or looks like no creature we've seen before. A house, like that in ""The West Wing,"" has panel after panel of rooms that are increasingly bizarre. He disliked the term ""gothic"" applied to his work but it is, and often with a Victorian sensibility. His sense of humor was wry and droll and generally dark. His graphic short novels are not all simplistic and sometimes the reader has to work things out.He also did drawings for others' work, including illustrating John Updike's ""Twelve Terrors of Christmas."" He published some things under anagrams of his name. I mention this because like his body of work, this fun fact entertains my Nabokov-loving heart. Pen names included Dogear Wryde and Ms. Regera Dowdy. The guy was weird and I love weird.Amphigorey is a gem for fans of Gorey. One sheltered-in-place day I ordered all four anthologies at once to cheer myself up (morbid, yes, and so cheering). I do wish I'd read them last to first because Amphigorey is his Best Of and it's like starting with dessert.Here's a taste of his prose from ""The Unstrung Harp,"" one of my favorite of his books, which opens Amphigorey. It's the tale of novelist C(lavius) F(rederick) Earbrass, whose prior work includes the successful ""The Truffle Plantation"" and ""More Chains Than Clank,"" and who is now struggling to finish the novel ""The Unstrung Harp"" or TUH, as he refers to it, pondering, pondering, wherever he is. From a panel in which he's in the bath: ""Several weeks later, the loofah trickling on his knees, Mr. Earbrass mulls over an awkward retrospective bit that ought to go in Chapter II. But where? Even the voice of the omniscient author can hardly afford to interject a seemingly pointless anecdote concerning Ladderback in Tibet when the other characters are feverishly engaged in wondering whether to have the pond at Disshiver Cottage dragged."" Part of another panel:""Mr. Earbrass has finished Chapter VII, and it is obvious that before plunging ahead himself he has got to decide where the plot has to go and what will happen to it on arrival. He is engaged in making diagrams of possible routes and destinations, and wishing he had not dealt so summarily with Lirp, who would have been useful for taking retributive measures at the end of Part Three..."" Throughout Gorey's works children appear, generally in dire circumstances. He claimed not to like children and that's fairly obvious. These are with few exceptions not for kids and those ought to be purchased separately. His most famous book is ""The Gashleycrumb Tinies,"" a satire of alphabet primers using children's names and...it's easily searchable on the web. I don't dislike it, I don't adore it but there are those for whom it may be a bridge too far. Gorey insisted he was asexual and there's no evidence to the contrary. Another of my favorite books included here is ""The Curious Sofa: a pornographic work by Ogdred Weary"" (the pen name another anagram of Edward Gorey). It's not overtly racy but it's bizarre and hilarious. An increasingly large group of people gather for entertainments which are described and hinted at in PG-rated language and drawings. But in one panel he writes:""That evening in the library, Scylla, one of the guests who had certain anatomical peculiarities, demonstrated 'The Lithuanian Typewriter, assisted by Ronald and Robert..."" That's a brainworm for me, The LIthuanian Typewriter, silly as it is.I take such delight in Gorey, I know I will read this again and again. The other three anthologies will be savored on days when I most need a lift. And if a day comes when the EMTs must take me to the ICU with covid-19, I will grab my Goreys and demand they go with. Possibly in the back of the ambulance I'll still be laughing at The Lithuanian Typewriter...It's all nonsense. Which is how Edward Gorey usually described his work: ""Nonsense."" Marvelous, internally coherent and FUN -- and if it's nonsense, it's nonsense that delights, stimulates and tickles. I never want to be so serious that there's no place for that on my shelves and in my brain.",79,17
47559,Amphigorey,Calista,"3,791",31200,5,"May 4, 2018","A Collection of Edward Gorey’s 1st 15 tales that are mostly out of print. This is the best way to be able to read Edward Gorey now. His first story was 1953 and the last in the collection was 1965. The artwork holds this collection together, but for the most part there is nothing that pulls them together accept Edward’s dark sense of humor. I can only imagine that during the 50s this would have been a fresh air of variety and something a bit different. I have no idea how this man got published in the 50s accept he was so good. This is a fantastic collection of stories, probably more for the mature reader. The artwork is stunning. The story was a surprise and a delight if you can be delighted by a dark twist. There are 4 of these collections. Eventually, I will read them all. ",37,2
47559,Amphigorey,Anthony Vacca,423,277,5,"June 8, 2014","Filled with even more violent child deaths than its successor, Amphigorey Too, this collection of fifteen of Gorey’s earliest works is a catafalque of morbid delights. Beginning with Gorey’s debut, the metafictional masterpiece, The Unstrung Harp, the reader is lead down a surreal path of the playfully grotesque. Insects make sacrifices to their vicious gods, an anthropomorphic houseguest makes a nuance of itself, guests at an orgy bear witness to the horrors of a sofa modified into an infernal device, a threesome of fops make a doomed expedition on a handcar, the alphabet is learned at the expense of twenty-six children and, in general, the many eccentrically named characters that populate Gorey’s world are fated with brief lives that only in end in uncertainty and terror. Gorey’s gothic sensibilities, Victorian settings, and art deco caricatures are already realized here at the start of his career. Nothing but a pleasure to read, I am sad there are only two other collections left for me to pour over and that Gorey never wrote in a lengthier prose format. His knack for rhythm and diction is to be admired and should be studied by anyone who wants to learn a thing or three about how to craft a sentence with gusto and panache. ",28,N/A
47559,Amphigorey,John,22,1 follower,5,"July 12, 2008",This volume contains The Gashlycrumb Tinies. Perhaps the best way for children to learn the alphabet and of the horrors of life.,22,1 comment
47559,Amphigorey,Florencia,649,1876,5,"January 27, 2018","I loved this book! This is a collection of fifteen stories and drawings. Gorey's artwork is stunning. And his twisted, creepy sense of humor is just my cup of tea (not everyone's cup, I know). It can be dark but funny at the same time. It's not about some silly, creepy stories, there's a dark reality here that can be found outside this book. So, if this is too twisted and horrifying for you, can you survive watching the late night news?My first Gorey was The Gashlycrumb Tinies (review here). And I just immediately connected with this weird little man. Most of the times, there's a lesson to be learned in these stories. So, it's weird but also hmm... educational.Nov 30, 13* Also on my blog.",16,N/A
47559,Amphigorey,Tammie,215,55,4,"July 31, 2011","I really enjoyed ""Amphigorey"", which is a collection of 15 books first published between 1953-1965. ""Gashlycrumb Tinies"", ""The Listing Attic"" and ""Wuggly Ump"" are a few of my favorites titles in this unique and sometimes bizarre book. ",11,1 comment
47559,Amphigorey,Zedsdead,"1,063",65,5,"January 10, 2022","If Shel Silverstein witnessed one too many crimes going unpunished and took a dark turn, this is what he would sound like. Or perhaps Dr Seuss injected himself with Science Juice, things went wrong as they are wont to do, and Edward Gorey emerged as his Mr. Hyde. In any case, these rhymes are insanely charming and bleak.An incautious young woman named VennWas seen with the wrong sort of men;She vanished one day,But the following MayHer legs were retrieved from a fen.There was a young woman whose stammerWas atrocious, and so was her grammar;But they were not improvedWhen her husband was movedTo knock out her teeth with a hammer.The Suicide, as she is falling,Illuminated by the moon,Regrets her act, and finds appallingThe thought she will be dead so soon.The Proctor buys a pupil ices,And hopes the boy will not resistWhen he attempts to practise vicesFew people even know exists.And of course the Gashlycrumb Tinies:A is for AMY who fell down the stairsB is for BASIL assaulted by bears...Q is for QUENTIN who sank in a mireR is for RHODA consumed by a fire...Just, like.....DAMN, dude.----------------------------------------SECOND READThe Unstrung HarpA meta-story about a writer writing a story. Beautiful and boring, like reading the world's best written grocery list.The Listing AtticMorbid, intermittently French limericks. 
  A nurse motivated by spiteTied her infantine charge to a kite;She launched it with easeOn the afternoon breeze,And watched till it flew out of sight.
The Doubtful GuestAn anteater (in scarf and tennis shoes) arrives at a house and silently makes itself at home. In rhyming couplets.The Object LessonPresented in story form but every sentence is an absurd non-sequitur. My kind of thing.The Bug BookSeven happy bugs are interfered with by a giant belligerent beetle so they squash it with a big rock then throw a party.The Fatal Lozenge26 alphabetic ABAB narrative poems. 
  The Orphan whom there's none to cherishStrays through the gloom on naked feet;She presently will fall, and perishUnnoticed in some squalid street.
The Hapless ChildA devastating tragedy about a happy girl who becomes orphaned, gets turned out on the street, and then things get even worse.The Curious SofaA cheeky tale filled with double entendres, scandalous innuendo, ribald suggestions and implications. But it never once outright states what is happening.The Willowdale HandcarThree people ride a handcar down the railroad tracks and see lots of people as months go by.The Gashlycrumb TiniesClassic. 
  E is for Ernest who choked on a peachF is for Fanny sucked dry by a leech
The Insect GodOne long narrative poem composed of ABAB stanzas. A little girl is kidnapped; her family waits in anguish and the police investigate in vain. The kidnappers eventually sacrifice her to the Insect God.The West WingNo words, just pictures of rooms. I can't make narrative sense out of it but it does showcase Gorey's wonderful textured ink illustrations.The Wuggly UmpA very Seussian story, until it isn't. In rhyming couplets, three children play games while the Wuggly Ump gets closer and closer. In the end: come on, this is Gorey. It eats them.The Sinking SpellRhyming couplets again. Something is spotted sinking through the sky. It passes through the roof and every level of the house on the way down. It's never drawn, only observed by the characters.The Remembered VisitA little girl visits an old man, then forgets the promise she makes him until it is too late.",10,N/A
47559,Amphigorey,Ashley the Magnificent™,68,22,5,"August 24, 2011","A is for Amy who fell down the stairsB is for Basil devoured by bearsC is for Catherine smothered under a rugD is for David done in by a thugE is for Emily who slipped down the drainF is for Fanny squashed under a trainG is for George stabbed with a safety pinH is for Harold who drank too much ginI is for Ida who drowned in a lakeJ is for John who burnt at the stakeK is for Kelly who was smashed with a safeL is for Lina blinded by maceM is for Mary abandoned on the roadN is for Neville who licked a poisonous toadO is for Ona stuck under a treeP is for Polly who died of ennuiQ is for Quina who was already deadR is for Rhonda who took poison insteadS is for Sally, she choked on a peachT is for Timmy sucked dry by a leechU is for Uma struck by an axeV is for Velma shot in the backW is for Wally who is no longer saneX is for Xida who crashed in a planeY is for Yona squeezed to death by a viceZ is for Zack eaten by mice. Children meeting gruesome deaths while rhyming? Sign me up!",9,1 comment
47559,Amphigorey,Claire S,880,59,2,"March 26, 2009","And this, again, gifted from Dad in the 70's at which point I didn't appreciate it at all. In the 80's, in college, were often around people who thought it was Incredibly funny and good and artistic and creative and whole shows put on with/of/about it all and so on. I was unmoved. Unlike 'wild-and-crazy-guys' (different story), in this case, even when I was the right age it just wasn't my cup of tea. I get why it's great and all, but like Coen Bros' films, my reaction is not something I can control, it's just adjacent to (not within) that set of things that I, in fact, like. But I'm happy it's out there and others do enjoy it and life is good in that way.",8,N/A
47559,Amphigorey,saïd,"5,721",473,3,"December 19, 2021",Absolutely delightful.,2,N/A
