Title,URL
Ways of Seeing,https://www.goodreads.com/book/show/2784.Ways_of_Seeing
The Story of Art,https://www.goodreads.com/book/show/222078.The_Story_of_Art
The New Drawing on the Right Side of the Brain,https://www.goodreads.com/book/show/627206.The_New_Drawing_on_the_Right_Side_of_the_Brain
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,https://www.goodreads.com/book/show/13099738-steal-like-an-artist
Wall and Piece,https://www.goodreads.com/book/show/114683.Wall_and_Piece
The Artist's Way: A Spiritual Path to Higher Creativity,https://www.goodreads.com/book/show/615570.The_Artist_s_Way
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,https://www.goodreads.com/book/show/187633.Art_and_Fear
Girl with a Pearl Earring,https://www.goodreads.com/book/show/2865.Girl_with_a_Pearl_Earring
The Art Book,https://www.goodreads.com/book/show/567616.The_Art_Book
The Letters of Vincent van Gogh,https://www.goodreads.com/book/show/395233.The_Letters_of_Vincent_van_Gogh
Concerning the Spiritual in Art,https://www.goodreads.com/book/show/857502.Concerning_the_Spiritual_in_Art
Seven Days in the Art World,https://www.goodreads.com/book/show/6988014-seven-days-in-the-art-world
The Goldfinch,https://www.goodreads.com/book/show/17333223-the-goldfinch
History of Beauty,https://www.goodreads.com/book/show/10505.History_of_Beauty
On Photography,https://www.goodreads.com/book/show/52372.On_Photography
Color and Light: A Guide for the Realist Painter,https://www.goodreads.com/book/show/8384010-color-and-light
The Diary of Frida Kahlo: An Intimate Self-Portrait,https://www.goodreads.com/book/show/91760.The_Diary_of_Frida_Kahlo
Understanding Comics: The Invisible Art,https://www.goodreads.com/book/show/102920.Understanding_Comics
The War of Art: Winning the Inner Creative Battle,https://www.goodreads.com/book/show/1319.The_War_of_Art
Art Through the Ages,https://www.goodreads.com/book/show/32525.Art_Through_the_Ages
M.C. Escher: The Graphic Work,https://www.goodreads.com/book/show/276287.M_C_Escher
Leonardo da Vinci,https://www.goodreads.com/book/show/34684622-leonardo-da-vinci
Color: A Natural History of the Palette,https://www.goodreads.com/book/show/19596.Color
Interaction of Color,https://www.goodreads.com/book/show/111113.Interaction_of_Color
Vincent Van Gogh: The Complete Paintings,https://www.goodreads.com/book/show/203805.Vincent_Van_Gogh
Vincent Van Gogh: The Complete Paintings,https://www.goodreads.com/book/show/203805.Vincent_Van_Gogh
History of Art,https://www.goodreads.com/book/show/2693801-history-of-art
Just Kids,https://www.goodreads.com/book/show/341879.Just_Kids
The Shock of the New,https://www.goodreads.com/book/show/542639.The_Shock_of_the_New
Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,https://www.goodreads.com/book/show/18290401-show-your-work
The Secret Lives of Color,https://www.goodreads.com/book/show/34122206-the-secret-lives-of-color
What Are You Looking At?: 150 Years of Modern Art in a Nutshell,https://www.goodreads.com/book/show/15929764-what-are-you-looking-at
The Lives of the Artists,https://www.goodreads.com/book/show/233389.The_Lives_of_the_Artists
The Art Forger,https://www.goodreads.com/book/show/14568987-the-art-forger
Figure Drawing for All It's Worth (How to draw and paint),https://www.goodreads.com/book/show/147941.Figure_Drawing_for_All_It_s_Worth
The Agony and the Ecstasy,https://www.goodreads.com/book/show/321552.The_Agony_and_the_Ecstasy
Leonardo's Notebooks,https://www.goodreads.com/book/show/24096.Leonardo_s_Notebooks
The Art Spirit,https://www.goodreads.com/book/show/207781.The_Art_Spirit
Camera Lucida: Reflections on Photography,https://www.goodreads.com/book/show/497164.Camera_Lucida
The Power of Art,https://www.goodreads.com/book/show/19797.The_Power_of_Art
Michelangelo and the Pope's Ceiling,https://www.goodreads.com/book/show/737957.Michelangelo_and_the_Pope_s_Ceiling
The Philosophy of Andy Warhol (From A to B and Back Again),https://www.goodreads.com/book/show/31818.The_Philosophy_of_Andy_Warhol
Art Matters,https://www.goodreads.com/book/show/40090596-art-matters
