date,added,ratings,reviews,to-read
2022-08-15,8,4,0,3
2022-08-16,10,3,0,7
2022-08-17,5,2,0,2
2022-08-18,5,0,0,3
2022-08-19,2,1,0,1
2022-08-20,6,1,0,4
2022-08-21,2,1,0,0
2022-08-22,12,2,0,12
2022-08-23,7,1,0,7
2022-08-24,11,2,1,6
2022-08-25,7,3,0,3
2022-08-26,10,-1,0,8
2022-08-27,4,0,0,4
2022-08-28,6,2,0,6
2022-08-29,4,0,0,4
2022-08-30,10,3,1,5
2022-08-31,5,2,0,4
2022-09-01,0,0,0,0
2022-09-02,2,1,0,2
2022-09-03,2,0,0,2
2022-09-04,7,2,0,6
2022-09-05,8,1,0,6
2022-09-06,10,3,0,7
2022-09-07,7,0,0,6
2022-09-08,8,2,0,4
2022-09-09,8,2,0,5
2022-09-10,4,1,0,4
2022-09-11,7,2,0,4
2022-09-12,4,1,0,4
2022-09-13,6,0,0,5
2022-09-14,8,1,0,7
2022-09-15,4,1,0,1
2022-09-16,4,1,0,3
2022-09-17,2,1,0,1
2022-09-18,6,0,0,4
2022-09-19,6,0,0,6
2022-09-20,6,1,0,4
2022-09-21,4,0,0,4
2022-09-22,8,2,0,6
2022-09-23,7,4,0,4
2022-09-24,4,-1,0,4
2022-09-25,9,2,1,6
2022-09-26,5,-1,0,5
2022-09-27,4,-1,1,1
2022-09-28,7,1,0,5
2022-09-29,2,2,0,1
2022-09-30,4,1,0,1
2022-10-01,3,2,0,1
2022-10-02,5,1,0,4
2022-10-03,11,2,1,8
2022-10-04,8,4,1,5
2022-10-05,10,2,1,7
2022-10-06,8,2,1,6
2022-10-07,9,3,1,5
2022-10-08,5,1,0,5
2022-10-09,6,4,0,3
2022-10-10,9,3,0,5
2022-10-11,10,4,0,8
2022-10-12,6,1,0,4
2022-10-13,2,1,0,1
2022-10-14,6,0,0,4
2022-10-15,11,3,0,9
2022-10-16,4,2,0,2
2022-10-17,4,1,0,3
2022-10-18,6,2,0,4
2022-10-19,6,1,0,5
2022-10-20,7,1,0,5
2022-10-21,5,2,2,3
2022-10-22,2,0,0,2
2022-10-23,10,1,0,8
2022-10-24,1,0,0,1
2022-10-25,6,1,0,5
2022-10-26,8,1,0,7
2022-10-27,9,1,0,6
2022-10-28,5,1,0,3
2022-10-29,10,0,0,8
2022-10-30,3,0,0,3
2022-10-31,7,0,0,7
2022-11-01,2,1,0,1
2022-11-02,6,1,0,4
2022-11-03,11,3,0,8
2022-11-04,4,1,0,4
2022-11-05,3,0,0,2
2022-11-06,12,4,0,9
2022-11-07,11,1,0,9
2022-11-08,7,3,0,5
2022-11-09,7,2,0,6
2022-11-10,7,4,1,6
2022-11-11,7,2,0,5
2022-11-12,5,3,0,2
2022-11-13,3,0,0,3
2022-11-14,10,2,0,8
2022-11-15,4,1,0,4
2022-11-16,6,1,0,1
2022-11-17,5,0,0,4
2022-11-18,3,1,0,1
2022-11-19,4,-1,0,3
2022-11-20,4,2,0,0
2022-11-21,4,2,1,3
2022-11-22,3,0,0,2
2022-11-23,5,2,0,2
2022-11-24,0,1,0,0
2022-11-25,8,4,0,5
2022-11-26,7,1,0,5
2022-11-27,7,3,1,3
2022-11-28,16,2,0,13
2022-11-29,3,0,0,3
2022-11-30,10,4,0,6
2022-12-01,8,0,0,8
2022-12-02,9,2,0,6
2022-12-03,5,1,0,4
2022-12-04,5,2,0,5
2022-12-05,6,1,0,3
2022-12-06,7,2,0,5
2022-12-07,4,0,0,4
2022-12-08,3,0,0,3
2022-12-09,4,0,0,3
2022-12-10,4,1,0,0
2022-12-11,1,0,0,1
2022-12-12,6,1,0,5
2022-12-13,8,1,0,4
2022-12-14,8,1,0,6
2022-12-15,12,1,0,9
2022-12-16,6,1,0,3
2022-12-17,4,1,0,1
2022-12-18,6,2,0,4
2022-12-19,6,4,0,5
2022-12-20,3,1,0,1
2022-12-21,8,1,0,4
2022-12-22,8,1,0,7
2022-12-23,4,1,0,4
2022-12-24,5,-1,0,4
2022-12-25,5,2,0,4
2022-12-26,5,1,0,1
2022-12-27,4,2,0,2
2022-12-28,5,1,0,4
2022-12-29,7,2,0,4
2022-12-30,10,1,0,7
2022-12-31,10,0,0,6
2023-01-01,10,3,0,5
2023-01-02,14,1,0,10
2023-01-03,9,1,0,6
2023-01-04,8,0,0,6
2023-01-05,9,2,0,6
2023-01-06,5,1,0,2
2023-01-07,5,1,0,5
2023-01-08,9,2,0,7
2023-01-09,7,2,0,5
2023-01-10,5,3,0,2
2023-01-11,5,1,1,3
2023-01-12,3,4,0,2
2023-01-13,4,0,0,4
2023-01-14,5,0,0,5
2023-01-15,9,0,0,9
2023-01-16,9,1,0,8
2023-01-17,11,3,0,7
2023-01-18,5,0,0,5
2023-01-19,8,-1,0,6
2023-01-20,6,3,0,3
2023-01-21,5,-1,0,2
2023-01-22,7,0,0,7
2023-01-23,8,3,0,4
2023-01-24,6,3,0,5
2023-01-25,5,2,0,2
2023-01-26,9,3,1,4
2023-01-27,6,0,0,3
2023-01-28,3,1,0,1
2023-01-29,4,1,0,3
2023-01-30,6,1,0,5
2023-01-31,6,1,0,5
