date,added,ratings,reviews,to-read
2022-08-15,18,1,0,13
2022-08-16,18,3,0,13
2022-08-17,22,1,0,18
2022-08-18,8,1,0,6
2022-08-19,22,-1,0,19
2022-08-20,19,2,0,16
2022-08-21,34,2,1,31
2022-08-22,19,3,0,11
2022-08-23,18,2,0,18
2022-08-24,16,2,0,8
2022-08-25,14,1,1,12
2022-08-26,13,-1,0,11
2022-08-27,19,2,0,12
2022-08-28,20,1,0,14
2022-08-29,18,1,0,15
2022-08-30,22,1,-1,16
2022-08-31,15,3,0,11
2022-09-01,6,1,0,5
2022-09-02,22,2,1,17
2022-09-03,17,2,0,9
2022-09-04,20,1,0,14
2022-09-05,12,1,0,11
2022-09-06,11,1,0,5
2022-09-07,17,0,0,14
2022-09-08,16,2,0,12
2022-09-09,19,2,0,11
2022-09-10,22,2,0,18
2022-09-11,12,2,0,10
2022-09-12,22,5,0,12
2022-09-13,15,-1,0,12
2022-09-14,20,1,0,20
2022-09-15,12,0,0,5
2022-09-16,16,3,0,12
2022-09-17,18,2,1,13
2022-09-18,26,2,1,17
2022-09-19,20,2,0,17
2022-09-20,11,3,0,9
2022-09-21,12,2,0,5
2022-09-22,12,0,0,12
2022-09-23,19,4,1,10
2022-09-24,22,-1,0,19
2022-09-25,16,2,0,12
2022-09-26,16,-1,0,16
2022-09-27,9,2,0,7
2022-09-28,17,1,0,12
2022-09-29,17,3,0,16
2022-09-30,8,0,0,6
2022-10-01,19,2,0,13
2022-10-02,28,6,0,20
2022-10-03,9,1,0,9
2022-10-04,19,1,0,15
2022-10-05,11,2,0,10
2022-10-06,16,-1,0,15
2022-10-07,10,2,0,8
2022-10-08,19,1,0,13
2022-10-09,20,2,0,11
2022-10-10,23,2,0,18
2022-10-11,13,1,0,10
2022-10-12,15,1,0,12
2022-10-13,18,3,1,15
2022-10-14,20,2,0,14
2022-10-15,10,3,0,7
2022-10-16,18,-1,0,17
2022-10-17,18,0,0,13
2022-10-18,11,1,0,7
2022-10-19,15,1,0,11
2022-10-20,13,1,1,9
2022-10-21,12,2,0,8
2022-10-22,11,1,0,8
2022-10-23,17,2,0,13
2022-10-24,22,2,0,16
2022-10-25,14,-1,0,12
2022-10-26,15,2,1,12
2022-10-27,12,1,1,11
2022-10-28,11,-1,0,8
2022-10-29,11,1,1,6
2022-10-30,13,1,1,13
2022-10-31,19,-1,0,12
2022-11-01,15,2,1,12
2022-11-02,15,-1,0,14
2022-11-03,13,2,0,10
2022-11-04,15,4,0,8
2022-11-05,17,-1,0,14
2022-11-06,22,0,1,19
2022-11-07,18,1,0,12
2022-11-08,15,1,0,10
2022-11-09,14,1,0,14
2022-11-10,11,4,1,7
2022-11-11,27,2,0,17
2022-11-12,16,1,0,13
2022-11-13,21,5,0,15
2022-11-14,18,4,0,12
2022-11-15,18,0,0,16
2022-11-16,18,1,0,16
2022-11-17,13,1,-1,9
2022-11-18,16,1,0,12
2022-11-19,20,0,0,14
2022-11-20,20,1,0,12
2022-11-21,14,2,0,8
2022-11-22,13,0,0,9
2022-11-23,18,2,0,15
2022-11-24,15,1,0,10
2022-11-25,21,0,0,15
2022-11-26,14,2,0,13
2022-11-27,17,2,0,12
2022-11-28,18,1,0,16
2022-11-29,11,3,0,5
2022-11-30,22,4,1,15
2022-12-01,25,-1,0,14
2022-12-02,25,7,1,19
2022-12-03,21,3,0,16
2022-12-04,25,-2,0,18
2022-12-05,19,5,0,11
2022-12-06,23,2,1,17
2022-12-07,10,3,0,10
2022-12-08,15,1,0,13
2022-12-09,16,0,1,14
2022-12-10,17,1,0,11
2022-12-11,16,0,0,8
2022-12-12,11,1,0,8
2022-12-13,21,3,0,12
2022-12-14,13,1,0,11
2022-12-15,9,2,0,7
2022-12-16,18,2,0,13
2022-12-17,18,1,0,11
2022-12-18,18,5,1,8
2022-12-19,15,3,0,13
2022-12-20,21,-1,0,16
2022-12-21,20,3,0,9
2022-12-22,24,1,0,22
2022-12-23,20,1,0,13
2022-12-24,9,0,0,8
2022-12-25,24,2,0,19
2022-12-26,23,1,0,19
2022-12-27,28,1,0,20
2022-12-28,34,4,0,24
2022-12-29,16,2,0,12
2022-12-30,26,3,1,16
2022-12-31,31,3,0,19
2023-01-01,31,1,0,25
2023-01-02,45,1,2,33
2023-01-03,28,3,0,25
2023-01-04,29,2,1,21
2023-01-05,31,2,0,28
2023-01-06,22,3,0,17
2023-01-07,29,2,0,21
2023-01-08,26,1,0,20
2023-01-09,29,4,0,22
2023-01-10,23,2,0,15
2023-01-11,30,5,0,24
2023-01-12,27,3,1,22
2023-01-13,26,2,1,14
2023-01-14,24,4,0,15
2023-01-15,16,2,0,12
2023-01-16,22,1,1,15
2023-01-17,37,3,1,27
2023-01-18,24,2,0,20
2023-01-19,18,0,1,16
2023-01-20,19,0,0,17
2023-01-21,24,2,0,15
2023-01-22,27,3,0,17
2023-01-23,18,2,0,12
2023-01-24,161,6,0,148
2023-01-25,95,2,0,87
2023-01-26,43,3,0,38
2023-01-27,58,2,0,45
2023-01-28,39,3,0,33
2023-01-29,44,5,1,39
2023-01-30,29,2,0,27
2023-01-31,46,5,0,38
