date,added,ratings,reviews,to-read
2022-08-15,10,9,0,2
2022-08-16,12,5,0,5
2022-08-17,12,7,0,3
2022-08-18,7,5,0,1
2022-08-19,11,4,0,4
2022-08-20,10,6,0,2
2022-08-21,10,4,0,3
2022-08-22,14,12,2,3
2022-08-23,22,13,0,4
2022-08-24,14,8,0,5
2022-08-25,11,9,0,4
2022-08-26,12,-25,0,4
2022-08-27,12,2,0,2
2022-08-28,17,1,0,3
2022-08-29,11,-3,0,1
2022-08-30,18,-2,0,2
2022-08-31,16,13,0,4
2022-09-01,14,8,0,3
2022-09-02,12,11,0,1
2022-09-03,15,9,0,4
2022-09-04,19,18,1,2
2022-09-05,13,12,0,1
2022-09-06,13,11,0,2
2022-09-07,17,12,1,3
2022-09-08,18,11,0,4
2022-09-09,19,17,0,4
2022-09-10,9,8,0,1
2022-09-11,12,4,0,5
2022-09-12,19,13,0,2
2022-09-13,18,15,0,0
2022-09-14,7,7,0,2
2022-09-15,11,9,0,2
2022-09-16,8,7,0,4
2022-09-17,12,9,0,1
2022-09-18,6,3,0,1
2022-09-19,16,8,0,6
2022-09-20,11,5,0,2
2022-09-21,21,20,0,4
2022-09-22,15,8,0,4
2022-09-23,6,5,0,2
2022-09-24,12,9,0,3
2022-09-25,16,5,0,2
2022-09-26,13,17,0,4
2022-09-27,17,6,1,9
2022-09-28,18,15,0,3
2022-09-29,12,7,0,3
2022-09-30,7,5,0,2
2022-10-01,12,3,0,3
2022-10-02,5,5,1,3
2022-10-03,13,6,0,2
2022-10-04,14,11,1,6
2022-10-05,9,2,0,4
2022-10-06,7,4,0,3
2022-10-07,12,6,0,3
2022-10-08,4,5,0,1
2022-10-09,10,5,0,3
2022-10-10,14,9,0,5
2022-10-11,19,15,0,2
2022-10-12,9,10,0,3
2022-10-13,11,5,0,2
2022-10-14,12,3,0,6
2022-10-15,18,8,0,1
2022-10-16,20,19,0,3
2022-10-17,15,11,0,3
2022-10-18,16,8,0,6
2022-10-19,18,12,0,4
2022-10-20,14,12,0,3
2022-10-21,9,7,1,2
2022-10-22,7,4,0,1
2022-10-23,12,5,0,3
2022-10-24,12,11,0,3
2022-10-25,14,7,0,4
2022-10-26,22,22,0,2
2022-10-27,8,3,1,2
2022-10-28,11,11,0,1
2022-10-29,7,4,0,2
2022-10-30,12,8,0,3
2022-10-31,8,6,0,2
2022-11-01,10,7,0,2
2022-11-02,4,5,0,0
2022-11-03,18,6,0,4
2022-11-04,9,9,0,4
2022-11-05,11,5,0,1
2022-11-06,16,9,0,3
2022-11-07,14,7,0,3
2022-11-08,9,6,0,3
2022-11-09,15,10,0,1
2022-11-10,9,11,0,2
2022-11-11,14,7,0,6
2022-11-12,15,15,0,2
2022-11-13,10,3,0,0
2022-11-14,16,10,0,2
2022-11-15,17,14,0,3
2022-11-16,18,16,0,3
2022-11-17,11,10,0,2
2022-11-18,8,5,0,1
2022-11-19,9,4,0,2
2022-11-20,6,7,0,0
2022-11-21,13,10,0,2
2022-11-22,6,4,0,1
2022-11-23,14,7,0,2
2022-11-24,13,11,0,3
2022-11-25,9,6,0,0
2022-11-26,6,6,0,1
2022-11-27,9,5,0,4
2022-11-28,7,7,0,1
2022-11-29,6,0,1,2
2022-11-30,10,2,0,3
2022-12-01,14,11,0,3
2022-12-02,14,7,0,3
2022-12-03,11,9,1,2
2022-12-04,8,7,0,4
2022-12-05,13,9,0,2
2022-12-06,12,7,0,2
2022-12-07,13,12,0,2
2022-12-08,15,9,0,7
2022-12-09,11,11,0,3
2022-12-10,4,1,0,2
2022-12-11,10,7,0,1
2022-12-12,11,8,0,2
2022-12-13,6,7,0,3
2022-12-14,11,8,0,2
2022-12-15,16,8,0,4
2022-12-16,6,3,0,1
2022-12-17,8,6,1,3
2022-12-18,13,5,0,6
2022-12-19,16,6,0,3
2022-12-20,4,8,0,1
2022-12-21,8,7,0,1
2022-12-22,7,3,0,1
2022-12-23,12,7,0,4
2022-12-24,7,9,0,1
2022-12-25,8,3,0,2
2022-12-26,6,3,0,1
2022-12-27,6,5,0,1
2022-12-28,14,10,0,1
2022-12-29,8,7,1,2
2022-12-30,7,3,0,4
2022-12-31,10,-1,0,4
2023-01-01,10,9,0,3
2023-01-02,15,6,0,3
2023-01-03,13,12,0,0
2023-01-04,11,9,0,1
2023-01-05,9,4,0,2
2023-01-06,8,5,0,2
2023-01-07,9,5,0,2
2023-01-08,9,9,0,0
2023-01-09,12,5,0,2
2023-01-10,12,10,0,4
2023-01-11,19,11,0,2
2023-01-12,10,10,0,3
2023-01-13,6,7,0,3
2023-01-14,9,4,0,1
2023-01-15,16,11,1,4
2023-01-16,3,4,0,0
2023-01-17,9,7,2,3
2023-01-18,6,2,0,1
2023-01-19,11,7,0,2
2023-01-20,7,3,0,2
2023-01-21,13,8,0,3
2023-01-22,9,5,0,3
2023-01-23,14,12,0,3
2023-01-24,16,6,0,6
2023-01-25,9,4,0,1
2023-01-26,12,5,0,3
2023-01-27,9,6,0,3
2023-01-28,7,9,0,0
2023-01-29,15,7,0,4
2023-01-30,10,6,0,3
2023-01-31,6,8,0,3
