Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
12334,Zelda,Jeanette (Ms. Feisty),"2,179",1876,4,"February 15, 2013","Zelda, poor Zelda, Your love for F. Scott felled ya. A Southern belle transplanted,You went through hell, that's granted. But oh, those years of glory!Your nineteen-twenties story. The couple with the mostest, You a reluctant hostess. The Paris scene so sparkly, Your mind receding darkly. Your husband used you, wife, To fuel his writing life. To madness you were condemned, Truly The Beautiful and the Damned.Your refuge, destroyed by fire, Became your funeral pyre.",74,10
12334,Zelda,Aimee,32,1 follower,3,"February 8, 2008","I almost wish I hadn't read this book, as it gave me insight into the writing method of F. Scott Fitzgerald which has left not only my opinion of him but of his work in a harsh new light. He literally drove his wife insane by stealing her life, writings and personality for his own literary ends. When she herself was published his name was included as author. When she tried to write a novel about her experience with mental illness, her threatened her publisher (who was also his publisher) with defection if her work was published before his own ""Tender Is The Night"". He told her she was a third rate writer but often quoted her diaries and letters verbatim in his novels and short stories. He also thought that he should be her personal psychiatrist and master - he felt he knew best how to treat her illness and often insisted her real doctors agree with him that he should be able to tell her what she could and could not do in all aspects of her life. He blamed her for his alcoholism. In spite of all this he never abandoned her and really did seem to love her, which only makes it all the worse. ",66,3
12334,Zelda,Gemma,67,21,5,"December 7, 2017","There’s a tendency to take sides when we read about a turbulent marriage, to take one side or the other. I’ve noticed in other reviews people have tended to take Zelda’s side. But I thought this was a scrupulously fair account of the marriage of the Fitzgerald’s. It seeks to understand the forces that drew them to each other and broke them apart rather than judgementally casting blame. It’s as much a biography of Scott as Zelda and I think the first thing to take into account is that had she not married Scott Zelda would not be known to us today. She owes her fame to him which was to be a big part of her problem. Clearly she began to resent this. Firstly it led her to betray Scott, then to obsessively train as a dancer when she was too old to realistically succeed in her ambition and finally to turn to writing where it became clear she possessed a much lesser talent than her husband. On Scott’s part Zelda was a goldmine of material but clearly disastrous in the role of wife to a serious artist. You come away not really knowing who Zelda was. This isn’t at all the biographer’s fault who does a masterful job of gathering all available material and recounting it in a riveting narrative form. Rather it’s the feeling one has that Zelda didn’t have much of an existence outside of Scott. She never had a single close female friend which I found extraordinary. How does a woman go through life without a female confidant? Scott was her only compass and Scott was more often drunk than sober. At the end of the day I sense I would have liked Scott a lot more than I liked Zelda if they were both my dinner guests – until, that is, Scott got drunk. I thoroughly enjoyed this heartbreaking biography and would recommend it to anyone interested in the Fitzgerald’s.",57,12
12334,Zelda,Britany,940,414,2,"December 9, 2015","Moments of sheer entertainment mixed with sluggish chapters that made me want to put this book down left me feeling mixed up and slightly disappointed. Not sure when I began my obsession with the Fitzgerald's (ok mostly Zelda), but now I can't seem to say ""NO"" to any book about them-- right along there with books about the Holocaust. Some inexplicable thing that draws me right in before I even read the synopsis. Started out strong and I was pulled right in, almost felt like I was living in the 1920's with Zelda and Scott. The middle of the book started reading more like a researched thesis filled to the brim with quotes and letters that I found tireless. Too many paragraphs spent comparing and over analyzing books and writings that Zelda and Scott did. I'm happy to have more information on this dramatic couple, however wouldn't be one I would read all over again.",25,7
12334,Zelda,Antigone,489,723,4,"December 23, 2021","Zelda Sayre was the belle of Montgomery, Alabama. Daughter of a strict and esteemed local judge, she was one of those winsome, wild girls who could get away with just about anything. To say she was the rebel of her day is not to do her justice. The community was entranced by her, the boys enthralled; her movements and choices attended to with considerable fascination and fanfare. Here was a spirit that could not be tamed; any of the Southern swains surrounding her knew better than to give it a try. The man who might make such a mistake could only have come from the north.A young F. Scott Fitzgerald stumbled across his muse while in town for his season of army training. Turning those lessons to personal use, he mounted a relentless campaign to capture the beauty for himself. In this he succeeded, despite the cry of her instincts to resist. Off to New York they went where, having scrawled out Gatsby, they would ride that masterpiece all the way to their eventual ruin.It was not, Zelda wrote, prosperity or the softness of life, or any instability that marred the war generation; it was a great emotional disappointment resulting from the fact that life moved in poetic gestures when they were younger and had since settled back into buffoonery. ""...surely some of this irony and dissatisfaction with things supposedly solid and secure proceeds from the fact that more young people in this era were intense enough or clever enough or sensitive or shrewd enough to get what they wanted before they were mature enough to want the thing they acquired as an end and not merely as a proof of themselves.""Nancy Milford's biography is fifty years old, and has held up magnificently (as one might expect a book short-listed for the Pulitzer to do). The work is rich in source material - letters, albums, manuscripts, journals - and has the good sense to follow a timeline, such structure providing the best hope to adequately anchor such peripatetic personalities. While we have, in the intervening five decades, learned much more about alcoholism and manic-depression than Milford could know at the time of her writing, that knowledge is easy to apply in subtext as the many sad pages turn. My one consternation here came from the late-stage mire the author fell into regarding Zelda's mental collapse. Attempting to make sense of a woman who is, for all intents and purposes, unable to make sense of herself is a dead-end game and ridiculously taxing. You'll need some wading boots for this.Setting that aside, it's a heck of a book and sure to stand as the leading biography for another fifty years.",22,4
12334,Zelda,Claire,183,49,3,"March 17, 2017","I knew the broad brushstrokes of the Fitzgeralds' relationship (who doesn't?) but learned so much more about them from this biography. It grew out of an academic thesis, and I could have done without the exhaustive direct quotes from the Fitzgeralds' letters, especially as Zelda's writing became less coherent. I appreciated when the author would draw conclusions and tease out main ideas; I just wish she had done that more often. Zelda was pretty exhausting. She seemed profoundly self-absorbed and troubled, but also lacking in depth. She brought a lot of confusion and pain to everyone around her, but didn't offer much to others. In spite of that, the book was interesting and thorough and easy to read. I'm happy I read it. It's just too bad that, in real life, there wasn't more substance behind the glamor and endless drama of Zelda and Scott's lives. This book, though long, seemed to underscore that there just wasn't much behind the curtain.",17,N/A
12334,Zelda,Carol,101,2,3,"October 14, 2012","Many years ago, I read nearly all, or maybe all of F.Scott Fitzgerald's books, and so was aware of the mentally unstable Zelda. I'd had this book on my shelves for years and just recently got around to reading it. Lest anyone feel that her madness was caused by the alcohol, FSF, fame, etc., there is abundant material about her rather idiosyncratic up-bringing and her amazing levels of self-involvement, insensitivity to others, narcissism, etc., from her early years. The alcohol consumption didn't help, clearly. Several friends of the Fitzgeralds found Zelda to be unbalanced, but her husband simply would not hear of it, until her condition (schizophrenia) became undeniable.What is strange to me is to read that this book has been used by feminists (some) as a kind of rallying cry about creative women who are held back by their men. Zelda, as a younger person, showed no particular interest in creative pursuits----in my opinion, her need to write, dance, paint, etc., came about as a reaction to the creative process she witnessed in her husband. She had an enormous need to be the center of attention, and became pouty when someone else was center stage. She was a ""madcap"" because it suited her to attract attention. The childishness and egotism on display do not make her a likely model for feminists. She seemed only to become interested in her daughter, Scotty, later in life, and ironically, the periods of stability between her schizophrenic episodes show her to becoming more aware of and caring for her only child. My main complaint about this book is the unending samples of Zelda's irrational writing. It was real work to plod through it and I feel that her descending course of her illness could have been shown just as graphically without the pages and pages of her painful-to-read writings. A very sad story.",12,2
12334,Zelda,Mmars,525,93,5,"May 3, 2013","Last winter I found myself embroiled in Love and Hatred: The Troubled Marriage of Leo and Sonya Tolstoy and this winter it was the FItzgeralds. Oh dear, oh dear, oh dear, where to begin? Eccentricity? Incalcitrance? Control freaks? Male dominance? Female depressive reaction? Creatives with behavioral disorders?Zelda was, beautifully, the epitome of ""free spirit"" in her youth. You know, everything you only dared to think about doing....Zelda fearlessly did it. Her mother never reined her in and her father was of status to make sure she never suffered legal consequences. In this case, it became a recipe for disaster. She never learned control over anything - money, social behavior, parenting skills, emotions. Then throw F. Scott and the ""jazz age"" into the mix. Early on Scott ""lifted"" her writing into his. Very nasty. Understandably, that was easily the beginning of the end of whatever stability Zelda possessed. Notice that I said stability and not sanity. With proper psychological care she could at least have had a fighting chance. (And Scott needed to scuttle HIS little butt into some sort of Betty Ford Center. Which, of course, didn't exist in the 30s.) Her mental health caregivers (which also didn't exist in the 30s) were as manipulative as her husband who continued to control her care and livelihood even though he had a new young fling and lived in golden California. Zelda had no friggin' support. She was institutionalized and then when the money ran out she was turned out to her mother. Egads! There are a few things I really liked about how Nancy Mitford shaped this bio. She sucks you in with wonderful stories of Zelda's youth and walks you through the early years of their relationship and marriage. Scott plays his role. But then Zelda again becomes the focus. Then toward the end Mitford focuses on Zelda's fiction. This achieves several ends. The fiction mirrors much of Zelda's life and what Mitford has told us. But it also reveals the state of Zelda's thought patterns toward the end of her life. And they aren't what many people would consider ""normal"" . There's a part of me, however, that says - she never could cohesively string thoughts together in her writing and her early letters to Scott prove this. So why does society consider her crazy (as insane) when she gets older but admire her craziness (as in youthful infallability) as a teen? How many of her problems could be attibuted to her troubled marriage? Admirably, Mitford consistently avoided passing judgment in this book. On the other hand, I'm all stirred up. I fell in love with Zelda. So many ""if only"" thoughts running through my brain.",8,1 comment
12334,Zelda,Barbara,198,12,4,"September 30, 2014","Though the beginning of this book provides some strict historical information on Zelda Sayre Fitzgerald, the majority of it is, of necessity, a biography of her better known husband. It is a sad fact that Zelda is, essentially, an extension of him; their lives were so closely intertwined and mutually dependent that it would be impossible to look at only half of the dynamic couple. It is difficult to get a sense of who she was in her childhood and adolescence; wild, reckless, the pampered baby of the Sayre family, she took liberties and performed outlandish feats, simply to gain the attention of those around her. Of course, once she became Mrs. Fitzgerald, she and Scott, as a couple, developed a reputation for careless hedonism, becoming the defining symbols of the “Jazz Age”. But their relationship, while mutually supportive and doting, was also a fierce power struggle, a jockeying for position on the literary scene. Was she a genius, with as much, if not more, promise than him? Difficult to say; certainly she was talented, possessed an extraordinary gift for description, and her correspondence reads like poetry. Add to that the idea that she created the characters and situations for his work, as he took possession of her diaries and drew heavily on them to craft his stories. At one point, he went so far as to tell her that her experiences belonged to him, since he provided for her care. Curious, then, that he took little responsibility for his own actions, blaming her for his alcoholism and ill health.For her part, Zelda was frustrated by her professional shortcomings. It is, perhaps, a burden to believe in one’s potential for greatness, and see no path to realize it. She was driven from one frantic excess to another, seeking release for her talents and emotions, never quite achieving a satisfactory expression. As she began her solitary descent into the dark caverns of madness, Scott tried to be supportive while managing his own demons; but ultimately, she was alone, her schizophrenia creating a tragic disconnect from the world for which she desperately reached.",8,N/A
12334,Zelda,Sara Klem,224,8,4,"December 22, 2015","My knee-jerk reaction is to rate this book one star because, like, what the shit, F. Scott Fitzgerald? I give your LIFE a one-star rating.But alas, Nancy Milford did a wonderful job of portraying Zelda and Scott's absolutely fricked-up, codependent, abusive relationship and for that I commend her. She was detailed with her sources and citations, some might say to a fault, as some chapters did drag on, though ultimately I've decided it was fun to pick and choose which aspects of her life I'd like great detail on and which could be skimmed over.The first half is cautiously entertaining - Zelda was wild and funny, but in a way that makes you cringe because you know she's on the precipice of a total breakdown. Then, needless to say, it takes a turn for the truly dark and leaves you feeling utterly dead inside. It's cool though, I enjoyed it.",7,N/A
