date,added,ratings,reviews,to-read
2022-08-15,58,17,2,21
2022-08-16,49,26,1,20
2022-08-17,68,18,1,23
2022-08-18,50,17,0,24
2022-08-19,47,14,2,20
2022-08-20,50,17,2,17
2022-08-21,42,14,0,19
2022-08-22,49,11,0,23
2022-08-23,45,14,1,18
2022-08-24,75,27,2,30
2022-08-25,61,22,1,25
2022-08-26,51,25,0,19
2022-08-27,50,17,0,22
2022-08-28,58,6,0,27
2022-08-29,56,-14,1,33
2022-08-30,56,16,1,28
2022-08-31,52,23,1,12
2022-09-01,38,4,1,20
2022-09-02,35,12,0,12
2022-09-03,49,17,0,18
2022-09-04,67,29,1,18
2022-09-05,50,26,1,19
2022-09-06,73,4,1,21
2022-09-07,58,16,4,14
2022-09-08,37,13,2,11
2022-09-09,42,9,0,18
2022-09-10,49,19,3,20
2022-09-11,42,13,0,18
2022-09-12,33,13,1,8
2022-09-13,50,15,0,15
2022-09-14,50,11,1,21
2022-09-15,53,22,1,24
2022-09-16,40,17,0,16
2022-09-17,44,19,3,16
2022-09-18,59,18,2,14
2022-09-19,61,24,1,21
2022-09-20,57,26,2,21
2022-09-21,54,23,0,17
2022-09-22,45,13,0,13
2022-09-23,52,-89,0,19
2022-09-24,45,24,0,14
2022-09-25,41,10,4,18
2022-09-26,66,-26,2,27
2022-09-27,49,-59,0,18
2022-09-28,57,-125,2,33
2022-09-29,39,-199,1,17
2022-09-30,48,18,0,20
2022-10-01,41,11,1,21
2022-10-02,45,-9,1,19
2022-10-03,38,2,0,10
2022-10-04,52,21,3,22
2022-10-05,42,8,2,23
2022-10-06,39,10,1,16
2022-10-07,38,5,2,15
2022-10-08,52,13,1,19
2022-10-09,46,-4,1,24
2022-10-10,56,19,1,22
2022-10-11,44,13,1,19
2022-10-12,46,-5,1,19
2022-10-13,36,12,1,20
2022-10-14,40,-33,2,15
2022-10-15,46,15,1,16
2022-10-16,36,-68,0,17
2022-10-17,66,-45,0,31
2022-10-18,45,-12,0,14
2022-10-19,37,8,0,21
2022-10-20,46,17,0,18
2022-10-21,33,-13,0,16
2022-10-22,38,-21,0,19
2022-10-23,43,-139,1,14
2022-10-24,41,-110,1,16
2022-10-25,43,-80,1,19
2022-10-26,43,21,4,18
2022-10-27,40,18,2,18
2022-10-28,29,5,3,12
2022-10-29,41,7,1,20
2022-10-30,37,-10,0,13
2022-10-31,37,-23,1,16
2022-11-01,37,9,0,13
2022-11-02,42,17,2,15
2022-11-03,42,-25,1,23
2022-11-04,44,17,0,22
2022-11-05,32,10,1,13
2022-11-06,38,14,1,18
2022-11-07,61,14,0,25
2022-11-08,43,15,2,14
2022-11-09,42,13,2,13
2022-11-10,35,14,0,13
2022-11-11,37,14,1,15
2022-11-12,40,0,0,22
2022-11-13,57,13,0,18
2022-11-14,58,16,0,23
2022-11-15,43,12,1,19
2022-11-16,36,3,1,12
2022-11-17,44,16,0,19
2022-11-18,37,20,0,14
2022-11-19,37,11,0,15
2022-11-20,44,9,0,22
2022-11-21,34,14,1,12
2022-11-22,49,10,1,18
2022-11-23,37,11,2,15
2022-11-24,33,10,0,13
2022-11-25,40,14,2,13
2022-11-26,39,12,0,13
2022-11-27,43,15,1,16
2022-11-28,39,13,0,15
2022-11-29,43,22,1,11
2022-11-30,50,12,0,26
2022-12-01,39,6,0,20
2022-12-02,47,15,0,13
2022-12-03,47,19,2,17
2022-12-04,49,15,0,17
2022-12-05,48,17,3,12
2022-12-06,48,7,1,24
2022-12-07,35,13,0,10
2022-12-08,32,17,3,19
2022-12-09,45,13,0,10
2022-12-10,37,1,1,13
2022-12-11,46,12,0,25
2022-12-12,44,12,2,20
2022-12-13,60,23,0,19
2022-12-14,43,14,0,18
2022-12-15,47,17,0,19
2022-12-16,42,10,2,22
2022-12-17,55,7,0,23
2022-12-18,40,9,4,13
2022-12-19,53,16,1,22
2022-12-20,54,22,0,18
2022-12-21,52,32,0,16
2022-12-22,41,14,2,16
2022-12-23,45,6,1,19
2022-12-24,49,9,1,19
2022-12-25,44,14,2,19
2022-12-26,61,8,1,19
2022-12-27,67,13,0,23
2022-12-28,73,22,0,31
2022-12-29,64,25,1,22
2022-12-30,100,36,2,33
2022-12-31,104,26,3,36
2023-01-01,114,32,2,39
2023-01-02,126,40,4,36
2023-01-03,121,32,0,39
2023-01-04,91,28,1,36
2023-01-05,91,28,1,25
2023-01-06,82,18,3,39
2023-01-07,81,23,2,21
2023-01-08,90,36,2,31
2023-01-09,82,21,1,35
2023-01-10,105,24,2,36
2023-01-11,65,35,2,27
2023-01-12,66,-127,1,29
2023-01-13,65,-113,3,20
2023-01-14,79,24,2,29
2023-01-15,72,29,1,26
2023-01-16,72,17,2,29
2023-01-17,78,12,0,29
2023-01-18,73,20,1,23
2023-01-19,58,21,3,27
2023-01-20,55,15,1,27
2023-01-21,66,20,0,30
2023-01-22,68,9,0,21
2023-01-23,65,17,0,19
2023-01-24,77,29,4,25
2023-01-25,79,23,2,24
2023-01-26,71,26,2,25
2023-01-27,60,16,2,24
2023-01-28,47,5,1,24
2023-01-29,80,19,0,34
2023-01-30,52,22,-1,28
2023-01-31,49,11,1,22
