date,added,ratings,reviews,to-read
2022-08-15,7,0,0,4
2022-08-16,13,1,0,10
2022-08-17,8,1,0,7
2022-08-18,14,2,1,11
2022-08-19,15,-1,0,11
2022-08-20,11,1,0,7
2022-08-21,14,1,0,9
2022-08-22,6,2,1,1
2022-08-23,2,0,0,1
2022-08-24,9,1,0,6
2022-08-25,8,2,0,8
2022-08-26,11,2,0,8
2022-08-27,12,1,0,7
2022-08-28,15,3,2,10
2022-08-29,16,-5,1,14
2022-08-30,13,1,0,9
2022-08-31,9,-1,0,6
2022-09-01,7,2,0,6
2022-09-02,9,2,0,5
2022-09-03,9,-1,0,8
2022-09-04,14,-1,0,9
2022-09-05,11,1,0,9
2022-09-06,12,-5,0,6
2022-09-07,17,2,0,13
2022-09-08,8,1,0,7
2022-09-09,12,1,0,6
2022-09-10,9,0,0,8
2022-09-11,7,1,0,7
2022-09-12,8,0,0,7
2022-09-13,9,1,0,8
2022-09-14,4,3,0,4
2022-09-15,7,0,0,6
2022-09-16,6,0,0,6
2022-09-17,10,0,0,6
2022-09-18,10,2,1,8
2022-09-19,5,1,0,4
2022-09-20,15,2,0,11
2022-09-21,9,2,1,6
2022-09-22,6,3,0,3
2022-09-23,10,-5,1,6
2022-09-24,9,2,1,8
2022-09-25,9,0,0,7
2022-09-26,2,-10,0,2
2022-09-27,2,-14,0,1
2022-09-28,8,-20,0,5
2022-09-29,17,-35,0,11
2022-09-30,10,5,0,7
2022-10-01,12,1,0,8
2022-10-02,7,-3,0,6
2022-10-03,5,-2,0,3
2022-10-04,4,1,0,3
2022-10-05,6,1,0,5
2022-10-06,9,3,1,5
2022-10-07,10,0,1,9
2022-10-08,9,1,0,5
2022-10-09,10,-4,0,8
2022-10-10,3,1,1,1
2022-10-11,11,-1,0,6
2022-10-12,8,1,0,4
2022-10-13,5,1,0,4
2022-10-14,11,-5,0,5
2022-10-15,7,1,1,5
2022-10-16,13,-23,0,6
2022-10-17,11,-38,0,3
2022-10-18,6,-14,0,3
2022-10-19,11,3,0,7
2022-10-20,5,0,0,5
2022-10-21,9,-5,0,7
2022-10-22,11,-6,0,8
2022-10-23,15,-56,0,11
2022-10-24,3,-56,1,2
2022-10-25,7,-40,0,5
2022-10-26,5,3,2,2
2022-10-27,7,1,0,7
2022-10-28,5,1,0,2
2022-10-29,8,2,1,6
2022-10-30,9,-4,0,7
2022-10-31,6,-9,0,6
2022-11-01,13,0,0,10
2022-11-02,7,0,0,4
2022-11-03,6,-10,0,2
2022-11-04,10,-1,0,10
2022-11-05,7,0,0,6
2022-11-06,14,3,2,7
2022-11-07,11,0,0,7
2022-11-08,13,1,0,8
2022-11-09,10,2,0,6
2022-11-10,5,1,0,3
2022-11-11,13,1,0,7
2022-11-12,13,2,0,8
2022-11-13,14,3,0,10
2022-11-14,13,2,0,9
2022-11-15,9,0,0,3
2022-11-16,6,0,0,4
2022-11-17,5,1,0,2
2022-11-18,18,2,1,12
2022-11-19,9,2,0,7
2022-11-20,13,1,0,10
2022-11-21,7,2,0,4
2022-11-22,6,0,0,3
2022-11-23,10,1,0,7
2022-11-24,7,-1,0,5
2022-11-25,8,0,0,5
2022-11-26,15,1,1,11
2022-11-27,8,1,0,6
2022-11-28,9,1,0,8
2022-11-29,9,1,0,5
2022-11-30,5,3,0,3
2022-12-01,8,0,0,8
2022-12-02,10,1,0,8
2022-12-03,11,2,0,9
2022-12-04,8,1,0,6
2022-12-05,7,0,0,5
2022-12-06,10,0,0,7
2022-12-07,10,0,0,7
2022-12-08,6,1,0,3
2022-12-09,6,1,0,4
2022-12-10,15,1,0,13
2022-12-11,12,2,0,8
2022-12-12,7,2,0,3
2022-12-13,11,2,0,9
2022-12-14,12,3,0,7
2022-12-15,8,1,0,3
2022-12-16,7,-1,0,5
2022-12-17,10,1,0,9
2022-12-18,8,0,0,6
2022-12-19,1,0,0,1
2022-12-20,8,1,0,7
2022-12-21,10,0,0,5
2022-12-22,8,3,0,5
2022-12-23,12,1,0,8
2022-12-24,10,4,1,8
2022-12-25,14,1,0,10
2022-12-26,13,0,0,11
2022-12-27,13,2,0,11
2022-12-28,18,1,0,11
2022-12-29,12,1,0,8
2022-12-30,20,5,0,7
2022-12-31,23,1,0,15
2023-01-01,19,1,0,12
2023-01-02,15,3,0,12
2023-01-03,24,3,1,16
2023-01-04,22,1,0,13
2023-01-05,14,2,0,11
2023-01-06,11,1,0,5
2023-01-07,18,3,0,9
2023-01-08,14,1,0,10
2023-01-09,15,4,0,12
2023-01-10,17,1,0,11
2023-01-11,13,2,0,8
2023-01-12,15,-10,0,12
2023-01-13,12,-24,0,9
2023-01-14,20,1,0,13
2023-01-15,18,2,1,11
2023-01-16,13,4,0,6
2023-01-17,14,1,0,10
2023-01-18,13,4,1,6
2023-01-19,13,4,0,9
2023-01-20,11,2,0,7
2023-01-21,11,2,1,7
2023-01-22,18,2,1,15
2023-01-23,13,-1,-1,8
2023-01-24,17,1,0,11
2023-01-25,14,0,0,12
2023-01-26,17,2,0,13
2023-01-27,15,3,0,10
2023-01-28,14,2,0,10
2023-01-29,12,3,0,7
2023-01-30,9,3,1,4
2023-01-31,13,1,1,8
