date,added,ratings,reviews,to-read
2022-08-15,183,45,4,102
2022-08-16,135,34,1,88
2022-08-17,157,39,4,83
2022-08-18,130,43,0,84
2022-08-19,142,37,2,78
2022-08-20,151,46,3,82
2022-08-21,196,45,1,114
2022-08-22,139,42,5,85
2022-08-23,132,45,3,80
2022-08-24,148,27,2,80
2022-08-25,121,40,0,73
2022-08-26,137,40,0,75
2022-08-27,111,31,0,73
2022-08-28,137,19,0,78
2022-08-29,147,-27,5,78
2022-08-30,157,50,1,82
2022-08-31,149,47,3,79
2022-09-01,130,34,2,68
2022-09-02,137,38,1,81
2022-09-03,123,35,1,75
2022-09-04,157,51,1,86
2022-09-05,166,63,3,87
2022-09-06,138,15,1,68
2022-09-07,160,38,1,86
2022-09-08,139,49,2,71
2022-09-09,112,43,1,56
2022-09-10,114,32,4,60
2022-09-11,104,30,0,61
2022-09-12,106,37,0,59
2022-09-13,111,33,3,62
2022-09-14,118,19,3,76
2022-09-15,103,34,1,61
2022-09-16,119,36,1,50
2022-09-17,101,31,1,59
2022-09-18,129,33,0,65
2022-09-19,125,51,-1,64
2022-09-20,102,39,3,56
2022-09-21,99,53,1,50
2022-09-22,137,25,1,83
2022-09-23,103,-43,3,49
2022-09-24,117,38,0,56
2022-09-25,114,43,3,65
2022-09-26,101,-46,0,55
2022-09-27,131,-80,3,62
2022-09-28,117,-92,0,78
2022-09-29,105,-168,0,55
2022-09-30,104,32,0,50
2022-10-01,117,36,0,72
2022-10-02,127,-37,1,65
2022-10-03,116,-7,0,68
2022-10-04,105,31,1,58
2022-10-05,91,21,0,51
2022-10-06,112,30,1,64
2022-10-07,98,30,0,55
2022-10-08,115,26,1,63
2022-10-09,103,-17,0,60
2022-10-10,127,32,2,71
2022-10-11,380,25,0,298
2022-10-12,350,-9,2,280
2022-10-13,191,30,2,149
2022-10-14,161,-41,1,114
2022-10-15,134,19,0,89
2022-10-16,138,-81,3,87
2022-10-17,117,-51,2,75
2022-10-18,138,-1,1,84
2022-10-19,131,48,0,70
2022-10-20,92,17,0,62
2022-10-21,99,-4,1,63
2022-10-22,121,-11,0,70
2022-10-23,132,-132,2,71
2022-10-24,103,-112,2,63
2022-10-25,116,-58,0,70
2022-10-26,116,26,1,70
2022-10-27,103,30,0,63
2022-10-28,93,23,1,55
2022-10-29,98,25,1,61
2022-10-30,126,18,1,72
2022-10-31,95,0,0,54
2022-11-01,93,29,3,49
2022-11-02,90,23,0,58
2022-11-03,102,-6,1,65
2022-11-04,89,11,0,67
2022-11-05,104,21,2,67
2022-11-06,111,29,3,56
2022-11-07,105,30,2,60
2022-11-08,106,22,2,57
2022-11-09,98,32,2,67
2022-11-10,111,27,2,58
2022-11-11,98,15,0,62
2022-11-12,127,31,2,71
2022-11-13,116,25,1,61
2022-11-14,127,28,0,73
2022-11-15,126,34,1,71
2022-11-16,138,31,2,76
2022-11-17,91,53,4,50
2022-11-18,93,34,0,48
2022-11-19,124,30,0,75
2022-11-20,120,31,1,66
2022-11-21,101,36,1,58
2022-11-22,108,47,3,57
2022-11-23,81,31,0,41
2022-11-24,107,30,2,58
2022-11-25,153,38,-1,95
2022-11-26,121,31,0,67
2022-11-27,140,32,2,92
2022-11-28,117,32,1,63
2022-11-29,133,41,2,79
2022-11-30,139,25,0,76
2022-12-01,90,44,0,44
2022-12-02,109,31,1,72
2022-12-03,123,38,0,75
2022-12-04,120,27,0,70
2022-12-05,134,54,1,72
2022-12-06,110,40,3,52
2022-12-07,87,39,1,47
2022-12-08,82,29,1,53
2022-12-09,84,19,1,53
2022-12-10,318,40,0,245
2022-12-11,279,36,2,211
2022-12-12,160,29,0,106
2022-12-13,171,30,1,112
2022-12-14,132,40,0,84
2022-12-15,133,32,2,76
2022-12-16,130,37,2,81
2022-12-17,138,30,0,91
2022-12-18,137,33,1,90
2022-12-19,142,43,1,80
2022-12-20,114,28,1,70
2022-12-21,126,32,2,68
2022-12-22,117,28,1,69
2022-12-23,153,28,0,102
2022-12-24,122,38,1,81
2022-12-25,200,46,1,133
2022-12-26,232,51,0,132
2022-12-27,200,63,3,125
2022-12-28,218,58,5,132
2022-12-29,223,60,1,141
2022-12-30,263,67,1,178
2022-12-31,373,90,4,206
2023-01-01,568,124,4,345
2023-01-02,473,148,2,306
2023-01-03,360,89,1,221
2023-01-04,289,89,1,181
2023-01-05,246,62,0,158
2023-01-06,209,52,0,122
2023-01-07,240,63,2,139
2023-01-08,240,51,1,145
2023-01-09,195,73,2,111
2023-01-10,216,62,1,120
2023-01-11,185,44,3,115
2023-01-12,183,-65,0,112
2023-01-13,177,-102,2,109
2023-01-14,164,51,1,93
2023-01-15,219,56,1,125
2023-01-16,203,51,2,126
2023-01-17,173,46,2,92
2023-01-18,165,55,3,93
2023-01-19,148,39,1,92
2023-01-20,123,58,3,77
2023-01-21,133,25,1,85
2023-01-22,163,43,1,91
2023-01-23,145,35,-1,80
2023-01-24,162,41,1,91
2023-01-25,167,32,1,95
2023-01-26,137,37,2,82
2023-01-27,150,45,2,86
2023-01-28,155,37,3,83
2023-01-29,156,52,5,88
2023-01-30,136,27,1,87
2023-01-31,133,34,2,89
