date,added,ratings,reviews,to-read
2022-08-15,73,16,2,25
2022-08-16,50,23,2,19
2022-08-17,65,27,4,14
2022-08-18,44,27,3,18
2022-08-19,70,21,0,16
2022-08-20,71,20,3,26
2022-08-21,75,17,4,24
2022-08-22,68,14,1,29
2022-08-23,66,14,1,46
2022-08-24,75,20,1,29
2022-08-25,61,22,3,29
2022-08-26,52,22,2,14
2022-08-27,58,25,3,12
2022-08-28,75,23,5,19
2022-08-29,68,-1,1,22
2022-08-30,64,17,0,18
2022-08-31,59,29,4,15
2022-09-01,41,23,3,11
2022-09-02,76,22,1,24
2022-09-03,66,15,1,23
2022-09-04,80,25,3,23
2022-09-05,96,34,2,21
2022-09-06,76,16,1,24
2022-09-07,67,20,0,22
2022-09-08,53,20,4,15
2022-09-09,55,15,0,22
2022-09-10,46,12,4,19
2022-09-11,55,21,4,20
2022-09-12,64,24,3,18
2022-09-13,56,23,0,23
2022-09-14,65,14,2,22
2022-09-15,47,18,2,19
2022-09-16,91,26,3,39
2022-09-17,91,26,1,48
2022-09-18,56,17,3,19
2022-09-19,83,33,1,24
2022-09-20,73,41,3,20
2022-09-21,59,32,1,22
2022-09-22,47,27,1,12
2022-09-23,76,-29,1,21
2022-09-24,61,28,1,16
2022-09-25,67,27,2,20
2022-09-26,49,-2,1,12
2022-09-27,68,-67,3,23
2022-09-28,55,-52,0,27
2022-09-29,51,-104,1,17
2022-09-30,52,12,-1,15
2022-10-01,53,23,2,12
2022-10-02,64,-2,3,24
2022-10-03,68,11,4,23
2022-10-04,56,15,0,22
2022-10-05,41,18,4,15
2022-10-06,57,19,3,22
2022-10-07,50,17,2,14
2022-10-08,66,25,1,29
2022-10-09,67,12,2,18
2022-10-10,56,18,1,20
2022-10-11,64,14,1,20
2022-10-12,40,7,0,13
2022-10-13,39,13,2,13
2022-10-14,47,-12,1,15
2022-10-15,54,7,2,21
2022-10-16,58,-33,0,22
2022-10-17,54,-42,4,25
2022-10-18,64,-6,2,25
2022-10-19,68,28,5,26
2022-10-20,49,13,0,19
2022-10-21,50,5,2,12
2022-10-22,54,-9,0,24
2022-10-23,62,-93,0,30
2022-10-24,80,-58,2,32
2022-10-25,47,-49,2,21
2022-10-26,60,11,2,22
2022-10-27,43,13,1,19
2022-10-28,67,12,1,24
2022-10-29,46,15,3,17
2022-10-30,61,17,2,13
2022-10-31,49,-10,2,14
2022-11-01,61,11,1,23
2022-11-02,47,23,1,16
2022-11-03,44,-13,1,21
2022-11-04,58,17,5,17
2022-11-05,55,15,0,19
2022-11-06,76,20,2,28
2022-11-07,38,11,3,10
2022-11-08,52,7,1,10
2022-11-09,39,15,2,13
2022-11-10,56,8,0,21
2022-11-11,225,28,6,173
2022-11-12,93,16,0,61
2022-11-13,82,10,1,47
2022-11-14,60,17,3,30
2022-11-15,434,86,5,282
2022-11-16,120,32,3,70
2022-11-17,69,17,1,38
2022-11-18,57,18,1,26
2022-11-19,68,11,1,31
2022-11-20,69,17,1,27
2022-11-21,46,27,1,19
2022-11-22,51,16,0,19
2022-11-23,60,15,1,23
2022-11-24,39,13,1,10
2022-11-25,53,16,2,26
2022-11-26,75,23,1,28
2022-11-27,78,15,2,32
2022-11-28,64,17,1,23
2022-11-29,42,13,1,21
2022-11-30,50,14,1,18
2022-12-01,46,16,1,14
2022-12-02,67,17,0,22
2022-12-03,63,22,2,19
2022-12-04,60,22,4,25
2022-12-05,55,13,1,24
2022-12-06,71,15,2,33
2022-12-07,27,22,6,9
2022-12-08,80,12,1,53
2022-12-09,101,12,4,76
2022-12-10,68,15,1,32
2022-12-11,72,19,2,32
2022-12-12,66,15,1,26
2022-12-13,64,24,4,22
2022-12-14,55,17,1,15
2022-12-15,62,21,2,17
2022-12-16,60,20,2,26
2022-12-17,50,13,0,19
2022-12-18,79,12,1,32
2022-12-19,41,16,1,11
2022-12-20,45,16,2,15
2022-12-21,50,17,4,17
2022-12-22,57,12,1,23
2022-12-23,52,17,2,20
2022-12-24,53,16,1,24
2022-12-25,82,10,1,29
2022-12-26,75,23,1,30
2022-12-27,90,17,3,32
2022-12-28,101,34,4,38
2022-12-29,72,16,1,40
2022-12-30,99,25,3,32
2022-12-31,133,40,2,47
2023-01-01,192,38,4,82
2023-01-02,165,41,3,63
2023-01-03,116,33,3,51
2023-01-04,92,32,0,48
2023-01-05,122,29,7,42
2023-01-06,102,33,3,43
2023-01-07,101,26,1,42
2023-01-08,104,19,2,45
2023-01-09,113,23,0,57
2023-01-10,122,27,3,44
2023-01-11,87,34,1,52
2023-01-12,105,-44,7,47
2023-01-13,92,-104,2,44
2023-01-14,98,20,2,40
2023-01-15,116,19,4,59
2023-01-16,112,27,6,42
2023-01-17,107,24,2,43
2023-01-18,105,19,5,35
2023-01-19,72,29,3,33
2023-01-20,80,23,5,42
2023-01-21,78,23,4,31
2023-01-22,109,26,3,39
2023-01-23,98,26,3,37
2023-01-24,103,25,3,38
2023-01-25,105,14,3,36
2023-01-26,87,30,5,36
2023-01-27,92,22,4,41
2023-01-28,90,18,0,36
2023-01-29,126,27,3,39
2023-01-30,97,46,7,52
2023-01-31,81,26,3,31
