date,added,ratings,reviews,to-read
2022-08-15,4,2,0,2
2022-08-16,7,0,0,2
2022-08-17,3,2,0,2
2022-08-18,3,2,0,1
2022-08-19,2,-1,0,1
2022-08-20,3,1,0,1
2022-08-21,4,2,0,1
2022-08-22,3,3,1,0
2022-08-23,1,0,0,1
2022-08-24,11,1,0,1
2022-08-25,3,2,2,0
2022-08-26,3,0,0,0
2022-08-27,6,3,0,3
2022-08-28,5,-1,0,1
2022-08-29,1,-3,0,0
2022-08-30,4,1,0,2
2022-08-31,3,1,0,2
2022-09-01,4,3,0,1
2022-09-02,3,1,0,2
2022-09-03,8,1,0,7
2022-09-04,3,0,0,1
2022-09-05,1,1,0,0
2022-09-06,2,-3,0,0
2022-09-07,4,1,0,1
2022-09-08,3,0,0,1
2022-09-09,5,1,0,3
2022-09-10,6,1,1,2
2022-09-11,1,2,0,0
2022-09-12,4,3,0,2
2022-09-13,2,2,0,1
2022-09-14,3,-1,0,2
2022-09-15,2,0,0,1
2022-09-16,4,0,0,2
2022-09-17,5,2,0,2
2022-09-18,4,0,0,2
2022-09-19,6,0,0,4
2022-09-20,5,1,0,4
2022-09-21,3,3,0,1
2022-09-22,5,0,0,4
2022-09-23,5,-2,0,2
2022-09-24,6,1,0,5
2022-09-25,5,0,0,5
2022-09-26,3,-7,0,2
2022-09-27,4,-14,0,1
2022-09-28,4,-18,0,2
2022-09-29,9,-24,0,3
2022-09-30,5,2,0,2
2022-10-01,1,0,0,0
2022-10-02,4,-1,0,1
2022-10-03,3,0,0,1
2022-10-04,1,0,0,1
2022-10-05,0,1,0,0
2022-10-06,1,1,0,0
2022-10-07,3,2,0,1
2022-10-08,1,0,0,1
2022-10-09,4,-2,0,1
2022-10-10,4,1,0,1
2022-10-11,3,2,1,3
2022-10-12,6,-7,0,3
2022-10-13,3,1,0,1
2022-10-14,4,-8,1,2
2022-10-15,5,0,0,4
2022-10-16,8,-16,0,3
2022-10-17,5,-33,0,4
2022-10-18,4,-8,0,1
2022-10-19,7,3,0,1
2022-10-20,0,0,0,0
2022-10-21,0,-10,0,0
2022-10-22,5,-12,0,3
2022-10-23,2,-48,0,1
2022-10-24,0,-52,0,0
2022-10-25,4,-41,0,3
2022-10-26,7,1,0,4
2022-10-27,0,1,0,0
2022-10-28,4,0,0,4
2022-10-29,2,1,0,0
2022-10-30,5,-4,0,2
2022-10-31,5,-5,1,2
2022-11-01,3,1,0,2
2022-11-02,3,0,0,1
2022-11-03,1,-13,0,1
2022-11-04,3,2,0,0
2022-11-05,3,1,0,1
2022-11-06,4,1,0,1
2022-11-07,3,1,0,1
2022-11-08,1,2,0,0
2022-11-09,4,0,-1,2
2022-11-10,4,1,0,3
2022-11-11,0,0,0,0
2022-11-12,2,-1,0,2
2022-11-13,5,0,0,3
2022-11-14,4,2,0,2
2022-11-15,5,1,0,2
2022-11-16,2,2,0,1
2022-11-17,3,-1,0,3
2022-11-18,6,0,0,4
2022-11-19,5,3,0,2
2022-11-20,4,-1,0,3
2022-11-21,5,0,0,5
2022-11-22,4,0,0,4
2022-11-23,7,-1,0,4
2022-11-24,2,2,0,0
2022-11-25,1,1,0,0
2022-11-26,1,0,0,1
2022-11-27,5,1,0,4
2022-11-28,4,1,0,2
2022-11-29,4,3,1,1
2022-11-30,8,3,0,4
2022-12-01,1,0,1,0
2022-12-02,2,2,0,1
2022-12-03,6,2,0,3
2022-12-04,2,2,0,0
2022-12-05,3,1,0,3
2022-12-06,1,0,0,1
2022-12-07,0,1,0,0
2022-12-08,3,2,0,2
2022-12-09,1,1,0,1
2022-12-10,2,2,0,0
2022-12-11,4,2,0,1
2022-12-12,2,0,0,1
2022-12-13,5,1,0,2
2022-12-14,5,3,0,2
2022-12-15,4,1,0,2
2022-12-16,0,1,0,0
2022-12-17,3,0,0,2
2022-12-18,4,2,0,2
2022-12-19,3,4,1,2
2022-12-20,4,0,0,3
2022-12-21,7,2,0,2
2022-12-22,9,5,0,5
2022-12-23,5,2,0,3
2022-12-24,11,7,0,3
2022-12-25,4,2,0,3
2022-12-26,8,3,2,6
2022-12-27,5,0,0,5
2022-12-28,6,2,0,4
2022-12-29,8,3,1,6
2022-12-30,9,1,0,6
2022-12-31,6,0,0,3
2023-01-01,20,1,0,14
2023-01-02,17,3,1,13
2023-01-03,10,3,1,5
2023-01-04,7,0,0,4
2023-01-05,8,3,1,5
2023-01-06,3,1,0,1
2023-01-07,7,4,0,2
2023-01-08,6,0,0,4
2023-01-09,1,1,0,0
2023-01-10,9,3,0,6
2023-01-11,6,1,0,2
2023-01-12,11,-13,0,5
2023-01-13,6,-16,0,2
2023-01-14,7,3,1,2
2023-01-15,5,5,0,3
2023-01-16,7,1,0,4
2023-01-17,10,1,0,6
2023-01-18,11,2,0,7
2023-01-19,4,3,0,1
2023-01-20,8,0,0,5
2023-01-21,7,3,1,4
2023-01-22,7,4,0,3
2023-01-23,7,3,1,4
2023-01-24,6,1,0,3
2023-01-25,7,1,0,3
2023-01-26,3,0,0,2
2023-01-27,4,2,0,2
2023-01-28,6,6,0,2
2023-01-29,5,-1,0,4
2023-01-30,1,1,1,1
2023-01-31,3,2,0,2
