date,added,ratings,reviews,to-read
2022-08-15,152,23,2,79
2022-08-16,174,28,2,92
2022-08-17,201,21,1,133
2022-08-18,140,22,1,99
2022-08-19,168,31,1,102
2022-08-20,156,29,2,99
2022-08-21,167,24,2,102
2022-08-22,160,35,1,90
2022-08-23,123,23,3,87
2022-08-24,146,16,2,85
2022-08-25,126,21,2,81
2022-08-26,163,26,4,94
2022-08-27,138,29,2,87
2022-08-28,184,28,5,101
2022-08-29,131,-36,3,80
2022-08-30,163,38,0,90
2022-08-31,148,11,1,93
2022-09-01,133,22,4,79
2022-09-02,143,21,3,85
2022-09-03,139,17,0,90
2022-09-04,163,18,1,88
2022-09-05,188,63,0,90
2022-09-06,156,-15,3,85
2022-09-07,163,27,1,93
2022-09-08,139,30,3,79
2022-09-09,123,28,1,63
2022-09-10,139,11,4,92
2022-09-11,128,22,1,73
2022-09-12,151,38,4,83
2022-09-13,119,22,3,77
2022-09-14,133,7,2,76
2022-09-15,109,24,0,65
2022-09-16,154,35,0,90
2022-09-17,114,20,1,61
2022-09-18,169,33,0,94
2022-09-19,156,44,4,79
2022-09-20,124,31,1,73
2022-09-21,106,33,0,60
2022-09-22,135,28,1,69
2022-09-23,162,-43,4,89
2022-09-24,124,29,1,72
2022-09-25,141,33,2,90
2022-09-26,123,-38,0,68
2022-09-27,145,-63,-1,74
2022-09-28,147,-90,0,88
2022-09-29,131,-120,7,80
2022-09-30,117,27,2,71
2022-10-01,133,23,1,78
2022-10-02,131,-47,1,82
2022-10-03,133,-23,3,86
2022-10-04,138,19,1,75
2022-10-05,107,25,2,59
2022-10-06,123,19,1,82
2022-10-07,122,22,0,66
2022-10-08,122,17,0,77
2022-10-09,140,-5,4,70
2022-10-10,151,29,4,85
2022-10-11,123,5,3,66
2022-10-12,109,-31,2,68
2022-10-13,114,27,1,62
2022-10-14,110,-81,0,66
2022-10-15,124,3,2,76
2022-10-16,146,-128,2,85
2022-10-17,125,-74,1,66
2022-10-18,148,-26,2,74
2022-10-19,135,22,0,75
2022-10-20,118,15,2,57
2022-10-21,112,5,2,61
2022-10-22,101,-21,1,51
2022-10-23,121,-179,1,67
2022-10-24,145,-137,2,82
2022-10-25,118,-67,0,66
2022-10-26,109,22,2,69
2022-10-27,100,18,1,56
2022-10-28,103,17,0,66
2022-10-29,103,15,1,64
2022-10-30,120,9,1,60
2022-10-31,105,-29,2,71
2022-11-01,138,12,0,85
2022-11-02,126,22,3,67
2022-11-03,131,-5,4,73
2022-11-04,122,19,2,72
2022-11-05,134,16,0,85
2022-11-06,171,18,2,106
2022-11-07,121,11,0,73
2022-11-08,120,22,2,71
2022-11-09,110,20,2,58
2022-11-10,119,22,3,65
2022-11-11,100,21,3,49
2022-11-12,133,24,0,80
2022-11-13,156,28,0,80
2022-11-14,130,21,1,77
2022-11-15,139,26,0,83
2022-11-16,130,29,3,66
2022-11-17,113,24,1,81
2022-11-18,130,20,2,80
2022-11-19,131,10,0,81
2022-11-20,134,18,0,77
2022-11-21,140,22,3,77
2022-11-22,148,24,2,90
2022-11-23,130,22,1,76
2022-11-24,111,26,5,61
2022-11-25,130,23,2,72
2022-11-26,138,19,3,79
2022-11-27,143,23,3,76
2022-11-28,134,22,1,76
2022-11-29,125,27,0,83
2022-11-30,158,27,4,91
2022-12-01,140,23,2,75
2022-12-02,133,-51,-8,80
2022-12-03,130,84,7,70
2022-12-04,176,39,4,95
2022-12-05,141,25,2,77
2022-12-06,153,24,0,77
2022-12-07,119,31,7,73
2022-12-08,125,24,4,79
2022-12-09,114,14,0,58
2022-12-10,134,19,1,74
2022-12-11,158,25,2,92
2022-12-12,154,14,2,92
2022-12-13,133,24,2,78
2022-12-14,142,36,3,74
2022-12-15,155,31,0,90
2022-12-16,116,23,3,68
2022-12-17,124,27,4,67
2022-12-18,163,20,2,90
2022-12-19,147,38,5,71
2022-12-20,132,28,3,83
2022-12-21,145,31,7,77
2022-12-22,174,39,4,92
2022-12-23,154,40,1,80
2022-12-24,120,23,2,71
2022-12-25,200,25,1,109
2022-12-26,189,31,2,109
2022-12-27,220,43,3,122
2022-12-28,218,51,0,138
2022-12-29,198,34,3,119
2022-12-30,214,30,1,122
2022-12-31,227,43,3,128
2023-01-01,361,48,1,195
2023-01-02,366,77,2,215
2023-01-03,329,74,3,178
2023-01-04,243,51,2,160
2023-01-05,225,52,1,142
2023-01-06,220,45,2,116
2023-01-07,239,28,2,140
2023-01-08,264,49,4,169
2023-01-09,193,24,-1,111
2023-01-10,209,34,2,124
2023-01-11,174,30,3,105
2023-01-12,191,-70,6,120
2023-01-13,170,-120,0,96
2023-01-14,193,30,2,116
2023-01-15,225,39,1,131
2023-01-16,197,32,3,114
2023-01-17,186,43,2,114
2023-01-18,164,20,0,99
2023-01-19,169,23,2,106
2023-01-20,134,38,3,84
2023-01-21,204,32,2,123
2023-01-22,237,44,5,123
2023-01-23,184,28,3,97
2023-01-24,188,34,6,106
2023-01-25,179,31,1,101
2023-01-26,177,28,1,101
2023-01-27,144,27,3,84
2023-01-28,167,22,1,100
2023-01-29,189,25,1,103
2023-01-30,159,29,3,100
2023-01-31,136,19,5,91
