Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
781182,Barbarians at the Gate The Fall of RJR Nabisco,Suzanne,461,1 follower,4,"May 18, 2008","Read this in 1991 just after it first came out. I couldn't put it down. If you don't understand the financial pages of newspapers and the terms they use, this is an easy way to learn about acquisitions, hostile takeovers, liquidity, assets, etc. Perhaps a bit dated now, but the author (a financial journalist) describes what happened here in the States in the 80's, a time when small businesses (and huge ones like RJR Reynolds) were bought out, sometimes just for the land they were built upon. The businesses were cannibilized and then closed after the maximum in profit was obtained. There was no reinvestment in the future. Job losses were viewed as part of business. Profit was their ""religion"".  Strangely it reminds me of my birdfeeders. I fill them daily with solid nutritious feed and enjoy the families of birds who rely on my stewardship in keeping that feeder fed, especially in winter. Then the grackles (crow-like birds) arrive in mass and devour the food in the feeders. Bird-lovers will understand this analogy. One will see a dozen of these ugly birds gorging themselves, spitting out seeds they don't like and often knocking the feeder from its perch. Corporate raiders are like grackles. How does one prevent it? I guess the secret is filling the feeders with a mixture of seed they don't like... Moral of the story...if you build a company up from nothing and allow it to be publicly traded on the stock market, you are at risk for a grackle attack. Make sure you watch your feeders. ",96,5
781182,Barbarians at the Gate The Fall of RJR Nabisco,Rebecca,"1,214",102,5,"October 15, 2011","I try to rate books based on how well they achieve their own objectives, and I think this one nails its goals perfectly. Corporate finance is labyrinthian by nature--to understand what actually happened in any given deal requires being able to track the money, the legal manuverings, and the easily ignored but incredibly critical personal relationships. (When I was a child, I thought that business deals were made based off of what was most profitable for the company. It turns out in real life, far more important factors are who plays golf with who and who is still pissed about not getting onto the board of some third company two years ago.) Barbarians at the Gate involves hundreds of people, with literally dozens of main characters (helpfully listed out by firm in the front of the book, a list you will return to again and again). They interviewed almost all of them personally, and include critical backstory for everyone involved, along with corporate histories, notes on legal ramifications, explanations of obscure financial procedures, and an overview of the history of the financial industry in general. Every bit of it is important.That's not to say I enjoyed all of it, but my discomfort was never boredom. More just that I've been in enough meetings and contract negotiations to watch quite a lot of similar decisions being made, and some of this was close enough to home to raise my blood pressure by proxy.The sheer hubris of some of these people is shocking. The CEO effectively kicks over this hornet's nest because he's bored and anxious about personal problems, and likes to stir things up for the sake of change. His stated reason for starting the LBO is incredibly weak--he's concerned about the stock price and thinks they're undervalued. He says he did it for the stockholders. (The company's stable at the moment and raking in money, which can be either plowed back in to make the company stronger or handed out dividends. As far as I can tell, doing short-sighted things to raise your stock price only benefits your stockholders if they then sell your stock. At which point, they stop becoming your stockholders. Now you have new stockholders, who own artificially inflated stock whose price cannot be sustained, who you have screwed from the very beginning. Honestly, I think trying to raise stock price ""for the stockholders"" is an asinine policy. The only way that raising the price will continue to benefit your stockholders is if you've done so by actually making your company more valuable--inventing new products, finding new markets, and investing in long term stability. Blowing it up via financial tricks does you no good in the long run--which (spoilers!) is exactly what happens here.) But he's not the only one. The board have their own egos (and financial investments) to protect. Each of the bidding firms cannot afford to lose out on the biggest deal ever, but almost no one factors in their respective desperations, which leads to a spiral of increasing hysteria as each party is surprised when someone else trumps them.There are mysterious leaks to the press, back channel betrayals, ranting Cassandras, and a mad sprint through Manhattan when a traffic jam delays a critical bid. It's completely absorbing and a little sickening at the same time.This is a sausage-making book, as in, the more you know about what goes into high finance, the more horrified you're likely to be. As I'd mentioned, I've been exposed to some similar shenanigans, albeit on a much smaller scale, but it rings true. This is real-life high drama, featuring political manuverings that make and break fortunes as well as destroy jobs and lives across the country. The fallout still influences the behavior of CEOs and investment banks today. One might expect a detailed financial history to be boring, but that ignores the fact that the driving force behind any such deal is the relationships between the people, in all their brilliant, vain, loyal, treacherous, ambitious, flawed glory. ",51,N/A
781182,Barbarians at the Gate The Fall of RJR Nabisco,Arminius,205,50,5,"July 31, 2015","Barbarians at the Gates is a fascinating tale about the rise and fall of food giant Nabisco. Ross Johnson was head of Nabisco’s rival Standard Brands. They show how he used his affable personality and his ability to befriend coworkers, bosses and over-seeing boards to propel himself to Standard’s CEO while winning a battle against his superior and getting his superior ousted. Nabisco had gained competition from Frito Lay and Proctor Gamble so it looked to expand, buy merging with Standard Brands. Johnson negotiated the merger as head of Standard Brands with Nabisco. He agreed to let Nabisco CEO Bob Schaeberle head the combined companies while he remained second in command. He charmed Schaeberle and Nabisco board members and he moved Standard Brand employees into key positions. He had all night parties with his coworkers drinking to excess yet still able to plan out business strategies. He palled around with sports celebrities like Frank Gifford and insisted on the use of corporate jets to do so. Nabisco did well, under a never- sit-still ran business, under his guidance. He made business acquisitions and sold others. He then succeeded Schaeberle when Schaeberle retired.Then the book looked at RJ Reynolds Tobacco. It is a little confusing that the book made a sudden shift to detailing the history of Reynolds but you figure out that this company was to be the next venture Mr. Johnson got involved with. Reynolds was huge company during the 1970’s when cigarettes were so popular. Their big winner was the brand Camel. But to Reynolds consternation, the Surgeon General announced that cigarette smoke caused cancer. So Reynolds anticipated a decline in sales and looked to diversify into other areas. Nabisco and Johnson were ready to accept their vision. So they combine. Ross Johnson, as head of Nabisco, agreed to let RJ Reynolds chief Tylee Wilson head the combined company and be his second in command. Ross Johnson is so coy though. He charmed Wilson and RJR Nabisco’s newly created board of directors to get almost everything he wanted including RJR Nabisco’s fleet of airplanes.Wilson fell out of favor with the board for not informing the board of his secret project to create a smokeless cigarette. As a result the board dumped him and replaced him with Ross Johnson.Ross Johnson as head of RJR Nabisco continued his shake up ways. He enjoyed his lavish lifestyle as RJR N stock price dropped from the mid $70 per share to the 50’s.This kind of action did not bother other CEO’s as long as they were making a profit. RJR were certainly making huge profits but it was a good reason, in Johnson's eyes, to shake things up again. He left hints that he was looking at another merger to boost stock prices. Leveraged buy out (LBO) companies became interested. Johnson, enticed by the riches he can obtain through an LBO encourages a friend at American Express owned Shearson Lehmen to buy out RJR Nabisco. Wall Street vultures found out and pursued Johnson with LBO buyout offers. What I got from the book is that it wasn’t Shearson Lehman who was going to get to enrich Johnson and themselves with an LBO but it was going to be between LBO orchestrator giants Kravis/ Roberts and Forstmann Little. Adding to the drama was Ted Forstmann’s extreme dislike of Kravis's chief Henry Kravis.  To my surprise, Forstmann Little drops out. Then out of nowhere a down trotting company named First Boston comes up with a soon expiring tax loophole to orchestrate an LBO takeover which amounted to over 3 million dollars in additional profit.  It became a game of Shearson, Kravis and First Boston all in for the play. After weeks of haggling First Boston’s plan did not sit well with the RJR Nabisco board but managed to drive up the cost of the buy-out to $109 per stock share. Kravis had the most reliable financing plan so they won the bid despite Shearson’s $112 bid.Ross Johnson got the axe when Kravis took over but he left with his stated goal of raising the stock price. In fact, it doubled. However, he left a great company in shambles and received a $53 million dollar separation package for his work.",22,3
781182,Barbarians at the Gate The Fall of RJR Nabisco,RJ - Slayer of Trolls,729,167,4,"October 13, 2020","""The Roaring Eighties were a new gilded age, where winning was celebrated at all costs.""The 1980s were the era of the BSDs, and they were also the era of the LBOs or Leveraged Buyouts, which is simply the acquisition of a company using borrowed money. With Drexel Burnham Lambert and its felonious steward Michael Milken pumping billions of dollars of junk bonds into the financial system, the explosive result saw RJR Nabisco acquired for over $30 Billion in a media circus that stretched out for weeks and transformed RJR's Ross Johnson and KKR's Henry Kravis into the materialistic greed pin-up boys of a newly deregulated Wall Street. Burroughs and Helyar, both writing at the time for the Wall Street Journal, documented the entire affair in lurid detail and supplemented their reporting with lengthy interviews with the participants as the dust was still settling. The result is not only a detailed account of a groundbreaking transaction but also a snapshot of the unfettered Wall Street of the times that was shocking 30 years ago but far more pedestrian today. ",13,2
781182,Barbarians at the Gate The Fall of RJR Nabisco,ALLEN,553,113,5,"November 3, 2020","If the business of America is business, then few books said as much about American business -- and America -- than this 1989 bestseller about the chain of mergers and acquisitions that came to pass when RJR merged with Nabisco and the big-money boys with their Bvlgari watches and Hermes ties got involved. One decade of greed led to another, and we are still working through the consequences of that. This well-researched and very well written book by business journalists Bryan Burroughs and John Helyar is indeed ""an enduring masterpiece of investigative journalism,"" to use Amazon's words, and a love-hate letter to the mixed joys of American big business. It very much bears reading, even today. A 2008 Epilog adds another 40 pages to the story. from the book: If not for the RJ Reynolds Tobacco Company, the modest skyline of Winston-Salem, North Carolina, would not exist at all. For years the business was headquartered in a twenty-two story stone building that, when completed in 1929, was considered such an architectural gem it was decided to take the design to New York and execute it on a grander scale: the Empire State Building . . . If not for Reynolds, Winston-Salem would be like a lot of other little Southern cities of 140,000 souls. Except for the demiskyscrapers, the downtown is largely scruffy -- a place of tired old stores and tired old people. Reynolds makes Winston-Salem different. (p. 40)",10,N/A
781182,Barbarians at the Gate The Fall of RJR Nabisco,Rohit Enghakat,230,58,1,"October 9, 2020","Generally, I finish a book once I start reading. But this one belied my hopes. After 200 pages I stopped. I think this is the third book left unfinished this year. It is a slow burn and utterly boring. It took almost a month to finish off the 200 pages. Too many cooks spoil the broth. Similarly, too many characters flitting in and out of pages. Lost track of the name of executives and lawyers in the book and ultimately was getting confused who was who. Finally, I just stopped reading.",9,N/A
781182,Barbarians at the Gate The Fall of RJR Nabisco,Sean Sullivan,129,73,4,"July 19, 2007","If you haven’t noticed, I am a connoisseur of the business bestseller. I read ‘em all, and this one is among the best. This, Den of Thieves and the Informant are as good as these books get. Here we got conniving and scheming on a massive scale. Extremely unlikable rich assholes brought low by equally unsavory, but way smarter rich people.It’s the story of an attempt to take RJR Nabisco private, and then a series of take over attempts that were instigated by the original privatization plan. Johnson, the CEO of RJR comes off as a dick, and not very smart at all. He’s like a frat boy who makes by glad handing people and buying rounds of drinks – i.e. the kind of rich guy I hate the most. Kravis, of legendary take over firm KKR, comes off like a financier god. Brilliant, pushy, and beyond you puny human morals. Guess who gets the company in the end.",8,N/A
781182,Barbarians at the Gate The Fall of RJR Nabisco,Amar Pai,960,102,3,"August 3, 2016","This book is weird. It's written like a taut spy-thriller, and superficially it's a ""page-turner""-- everything on the page seemed very exciting and I kept wanting to read it. But the stuff being written about-- the tale of some investment bankers fighting over who gets to buy RJR Nabisco-- is boring beyond belief. Lots of arcana about leveraged buy outs, endless paragraph-long sketches of interchangeable middle-aged white guys engaged in a financial dick swinging contest, pages upon pages devoted to what this lawyer said to that lawyer... who cares. And yet I more or less read it to the end! It's a conundrum.Did this get made into a movie? I guess I'd watch that.",8,1 comment
781182,Barbarians at the Gate The Fall of RJR Nabisco,Brahm,453,48,4,"January 20, 2022","Superbly well-written ""biz saga"" about a massive corporate takeover during the Roaring Eighties of Wall Street, if you're into that sort of thing. Bryan Burrough is a great author. I recently read Dragonfly: NASA and the Crisis Aboard Mir and loved it, and coincidently found this present book referenced in another book I'm reading (Factory Physics). I'd check out more of his books in the future. At 520 pages this was a bit long, some of the ""characters"" could have been trimmed for a more streamlined reading experience. ",5,N/A
781182,Barbarians at the Gate The Fall of RJR Nabisco,Kurtbg,688,15,3,"December 2, 2015","Corporations back in the day were established to create products and provide services and have certain laws and rights applied to the organization and its employees. Not so starting in the late eighties.This book chronicles a selling-off of a major corporation in the late nineties: RJR Nabisco. As the role of CEO has become more prominent the greed and ego of those in positions have risen. At some point a CEO wanted a bigger fiefdom so they thought it would be smart to combine a food company with a tobacco company. Then that guy was forced out by his number 2 guy, Ross Johnson, who came from Nabisco. He increased contracts with his director companies, and showered the with perks previously denied executives due to the conservative and folksy run RJ Reynolds (RJR.) The directors loved it.Who didn't love it was wall st. No matter the value of the combined company and the profits of tobacco, the residue of a tobacco company left a bad taste in investors mouths. Johnson couldn't do anything to move the stock price up. He did have options: issue separate stock for each division (food/tobacco), split the company, swallow another company.Instead he chose to sell RJR Nabisco - to himself.What? You're thinking? how can this be done? Well, the management group gets some investors together and banks to provide money via cash and bonds and make an offer to the company. How can this be legal? Isn't the CEO getting paid to do what's for the best interest of the company and shareholders? Ha ha! You just don't understand the world of business if you think that.Ross Johnson knew it. This book describes Johnson providing zero value to the company as CEO. He had no trouble spending and giving himself perks. Winston-Salem was the corporate HQ, but too boring for Johnson. He moved it to Atlanta. Before, limos were seen as an extravagance to the company. Johnson buys jets and has a hangar built. He sponsors celebrity events and name drops. In short, he's living high off of other people's money. He's just one of many executives who turn corporations into feeding troughs of greed and ego.He does do one thing. He initiates product development on a smokeless cigarette named Premier... oh, he keeps it a secret from the board who only find out about it once 68 million had been pumped into it. It ultimately fails.So Ross wants more, because just being head of a corporation others built isn't enough. He goes the leveraged buy out route. What's that?It's where you buy a company with, you guessed it, other people's money. You get financial backing, make a bid, and if you win, you create three things: debt, fees, ownership. Wall street loves the fees. You get them no matter what. Gotta love it. The debt? Well, you tackle the debt by selling off portions of the company you bought. Yup, that's right. It's like the real estate trick of buying property, and then immediately selling it to someone else for more money. You never have to pay, but you get a lovely cash infusion. So, once the debt is paid down, the remainder is restructured, profits from the company pay it down, and you tap into the benefits of owning a multi-million company.let's no forget the fees: 400 million in billable fees for the transaction. Cha-ching.Imagine someone buying Disney. They just need initial financial backing to cover the 85 billion, or so, bid. Then sell off pieces to pay it down and off. Plenty of pieces there. Crazy, huh?The rest of the book covers the different bidding parties and what went on up to and during the bid process (more ego and greed.)What does this have to do with improving a company, product, or services? Ha ha! actually nothing. It's just business. Imagine something tangible, like a company creating a good. It has value based on market (need/desire) and the economy. Now, imagine another layer around that which has nothing whatsoever to do with company or really cares about it. That layer is wall street which is looking to extract money from the valued center companies. Business for the sake of business.RJR Nabisco did not need to be sold. It wasn't in trouble. It was profitable. Johnson just wanted more.How does it provide a benefit of the overall economy to allow this to happen? I couldn't say. LBO's died down after that, but something else always takes it place and does damage before it's prevented. During that time you also had junk bond abuse and savings and loan scandal (kinda a precursor to Enron.) After that it was Enron shaking down California by getting energy to be treated like a market and then limited demand to jack up price, then it was the real estate swindle which created an economic time bomb with predatory lending and ballooning mortgages.What's next? I think it might center around this thought:If it's too big to fail, it's too big.(yeah, I know we already had this a few times, but I don't think we've seen the last of it)",4,N/A
