date,added,ratings,reviews,to-read
2022-08-15,37,6,0,18
2022-08-16,32,12,0,19
2022-08-17,32,5,1,23
2022-08-18,20,4,0,10
2022-08-19,40,4,0,22
2022-08-20,40,12,1,19
2022-08-21,27,12,1,12
2022-08-22,31,13,0,12
2022-08-23,34,7,1,22
2022-08-24,37,1,1,28
2022-08-25,25,5,0,13
2022-08-26,31,9,0,14
2022-08-27,31,3,1,19
2022-08-28,31,8,0,13
2022-08-29,38,1,0,27
2022-08-30,29,11,0,19
2022-08-31,36,11,0,19
2022-09-01,31,5,1,19
2022-09-02,32,6,2,21
2022-09-03,24,6,1,14
2022-09-04,37,5,0,20
2022-09-05,26,7,0,13
2022-09-06,32,5,1,17
2022-09-07,26,4,0,15
2022-09-08,36,8,0,26
2022-09-09,29,6,0,11
2022-09-10,32,5,0,18
2022-09-11,37,10,1,22
2022-09-12,28,12,2,13
2022-09-13,23,4,0,15
2022-09-14,22,2,-1,14
2022-09-15,30,3,0,22
2022-09-16,19,2,0,11
2022-09-17,25,5,0,15
2022-09-18,47,9,0,22
2022-09-19,36,11,1,16
2022-09-20,21,8,1,11
2022-09-21,16,4,0,11
2022-09-22,12,2,0,6
2022-09-23,24,-7,0,13
2022-09-24,28,7,0,11
2022-09-25,24,10,0,12
2022-09-26,26,-2,1,18
2022-09-27,27,-5,0,15
2022-09-28,26,0,2,13
2022-09-29,20,-13,0,15
2022-09-30,19,3,0,13
2022-10-01,20,6,0,8
2022-10-02,25,5,0,14
2022-10-03,29,6,0,12
2022-10-04,25,4,0,17
2022-10-05,21,5,2,12
2022-10-06,27,6,0,19
2022-10-07,16,0,1,10
2022-10-08,27,7,0,15
2022-10-09,36,7,1,16
2022-10-10,40,8,0,23
2022-10-11,32,6,0,20
2022-10-12,27,8,0,15
2022-10-13,17,4,0,15
2022-10-14,26,9,1,13
2022-10-15,32,4,-1,24
2022-10-16,37,4,0,24
2022-10-17,23,3,0,14
2022-10-18,41,9,0,26
2022-10-19,30,1,0,20
2022-10-20,22,0,0,16
2022-10-21,16,4,0,9
2022-10-22,20,3,0,10
2022-10-23,33,7,0,19
2022-10-24,19,7,0,14
2022-10-25,24,4,0,14
2022-10-26,17,3,0,13
2022-10-27,20,-2,1,15
2022-10-28,23,4,0,17
2022-10-29,33,9,1,22
2022-10-30,22,10,0,14
2022-10-31,16,1,0,9
2022-11-01,21,11,0,8
2022-11-02,30,5,0,15
2022-11-03,23,7,0,12
2022-11-04,26,5,1,16
2022-11-05,28,9,0,15
2022-11-06,47,10,0,34
2022-11-07,26,4,2,13
2022-11-08,33,4,0,22
2022-11-09,22,3,1,10
2022-11-10,26,4,0,20
2022-11-11,22,2,0,17
2022-11-12,30,2,0,22
2022-11-13,32,6,0,21
2022-11-14,1241,4,0,1230
2022-11-15,221,11,0,205
2022-11-16,112,3,0,106
2022-11-17,85,6,0,76
2022-11-18,93,2,0,83
2022-11-19,70,7,0,59
2022-11-20,67,7,0,55
2022-11-21,75,2,0,62
2022-11-22,69,9,2,51
2022-11-23,62,10,0,49
2022-11-24,40,3,0,31
2022-11-25,72,4,1,61
2022-11-26,57,7,0,46
2022-11-27,64,6,0,49
2022-11-28,83,8,0,69
2022-11-29,54,9,1,46
2022-11-30,67,9,0,48
2022-12-01,92,9,1,81
2022-12-02,94,6,0,79
2022-12-03,104,7,1,93
2022-12-04,139,5,1,132
2022-12-05,424,6,0,412
2022-12-06,29,9,0,17
2022-12-07,20,5,0,12
2022-12-08,26,6,0,15
2022-12-09,20,2,0,13
2022-12-10,30,3,0,15
2022-12-11,29,11,0,16
2022-12-12,26,11,1,12
2022-12-13,28,11,0,13
2022-12-14,19,5,0,8
2022-12-15,37,12,0,22
2022-12-16,19,6,1,9
2022-12-17,27,0,0,13
2022-12-18,41,11,0,21
2022-12-19,37,6,0,22
2022-12-20,42,9,0,34
2022-12-21,41,12,1,25
2022-12-22,25,5,0,16
2022-12-23,34,6,0,16
2022-12-24,29,6,0,11
2022-12-25,43,17,1,27
2022-12-26,50,5,0,33
2022-12-27,51,9,3,31
2022-12-28,51,5,0,31
2022-12-29,34,15,1,20
2022-12-30,64,15,0,39
2022-12-31,56,10,0,34
2023-01-01,82,11,0,42
2023-01-02,78,16,1,43
2023-01-03,79,13,1,45
2023-01-04,63,14,1,41
2023-01-05,61,13,0,41
2023-01-06,66,12,0,39
2023-01-07,59,12,1,38
2023-01-08,89,13,0,60
2023-01-09,66,8,1,36
2023-01-10,57,8,1,32
2023-01-11,40,8,2,26
2023-01-12,40,-2,2,18
2023-01-13,41,-12,0,29
2023-01-14,40,7,1,24
2023-01-15,66,7,0,42
2023-01-16,66,11,1,47
2023-01-17,41,9,0,27
2023-01-18,47,6,1,28
2023-01-19,28,8,0,19
2023-01-20,31,5,1,15
2023-01-21,42,7,0,27
2023-01-22,41,5,1,26
2023-01-23,35,12,1,18
2023-01-24,50,11,0,26
2023-01-25,47,9,1,25
2023-01-26,43,10,0,32
2023-01-27,48,13,1,29
2023-01-28,52,11,1,28
2023-01-29,61,8,0,38
2023-01-30,42,7,0,25
2023-01-31,36,11,0,20
