date,added,ratings,reviews,to-read
2022-08-15,18,3,0,7
2022-08-16,10,3,0,4
2022-08-17,20,7,0,10
2022-08-18,13,12,0,4
2022-08-19,10,2,0,3
2022-08-20,18,11,0,7
2022-08-21,17,8,0,8
2022-08-22,16,6,0,6
2022-08-23,13,13,0,5
2022-08-24,19,2,0,6
2022-08-25,17,14,0,5
2022-08-26,13,7,0,6
2022-08-27,15,7,0,7
2022-08-28,19,9,0,7
2022-08-29,9,9,0,0
2022-08-30,18,12,0,5
2022-08-31,14,9,1,6
2022-09-01,4,2,0,3
2022-09-02,15,4,0,9
2022-09-03,5,0,0,5
2022-09-04,11,3,0,7
2022-09-05,14,7,0,7
2022-09-06,11,0,0,3
2022-09-07,3,-1,0,3
2022-09-08,6,1,0,4
2022-09-09,6,0,0,6
2022-09-10,7,1,0,4
2022-09-11,7,1,0,5
2022-09-12,9,3,0,5
2022-09-13,12,1,0,10
2022-09-14,3,2,0,2
2022-09-15,9,2,0,4
2022-09-16,9,0,0,6
2022-09-17,11,1,0,7
2022-09-18,7,2,0,5
2022-09-19,6,0,0,6
2022-09-20,5,0,0,5
2022-09-21,9,1,1,5
2022-09-22,4,-1,0,3
2022-09-23,8,-26,0,6
2022-09-24,7,1,0,4
2022-09-25,9,2,0,8
2022-09-26,3,-12,0,2
2022-09-27,11,-23,0,7
2022-09-28,7,-29,0,4
2022-09-29,5,-45,0,3
2022-09-30,4,1,0,1
2022-10-01,5,1,0,4
2022-10-02,5,0,1,4
2022-10-03,7,1,0,5
2022-10-04,10,1,0,7
2022-10-05,8,2,0,7
2022-10-06,6,-1,0,4
2022-10-07,6,2,0,4
2022-10-08,5,0,0,4
2022-10-09,13,0,0,9
2022-10-10,12,3,1,8
2022-10-11,11,1,0,5
2022-10-12,10,2,0,8
2022-10-13,2,1,0,2
2022-10-14,9,0,0,5
2022-10-15,11,0,0,8
2022-10-16,7,-5,0,5
2022-10-17,8,-8,0,8
2022-10-18,4,-2,0,4
2022-10-19,9,0,0,6
2022-10-20,10,2,0,6
2022-10-21,4,-4,0,2
2022-10-22,11,1,0,6
2022-10-23,5,-5,0,3
2022-10-24,13,-8,0,10
2022-10-25,3,-23,0,3
2022-10-26,7,0,0,6
2022-10-27,10,3,0,5
2022-10-28,3,1,0,2
2022-10-29,7,0,0,4
2022-10-30,6,-5,0,6
2022-10-31,2,-12,0,1
2022-11-01,10,2,0,8
2022-11-02,7,1,0,3
2022-11-03,13,2,0,7
2022-11-04,6,-1,0,5
2022-11-05,9,1,0,5
2022-11-06,10,1,0,4
2022-11-07,12,2,0,5
2022-11-08,5,0,0,3
2022-11-09,10,1,1,7
2022-11-10,8,1,0,4
2022-11-11,9,1,0,8
2022-11-12,4,0,0,2
2022-11-13,11,0,0,7
2022-11-14,15,2,0,9
2022-11-15,10,1,0,2
2022-11-16,7,3,0,4
2022-11-17,2,-1,0,2
2022-11-18,5,0,0,4
2022-11-19,9,2,0,5
2022-11-20,10,0,0,8
2022-11-21,9,2,0,4
2022-11-22,12,2,0,6
2022-11-23,5,3,0,2
2022-11-24,3,-1,0,2
2022-11-25,4,1,0,4
2022-11-26,10,-1,0,9
2022-11-27,11,1,0,8
2022-11-28,9,2,0,4
2022-11-29,3,2,0,1
2022-11-30,12,5,0,5
2022-12-01,9,5,0,7
2022-12-02,16,-1,0,10
2022-12-03,7,2,0,4
2022-12-04,18,4,0,11
2022-12-05,12,0,1,8
2022-12-06,9,1,0,5
2022-12-07,11,2,0,8
2022-12-08,7,3,1,5
2022-12-09,6,1,1,3
2022-12-10,9,3,0,4
2022-12-11,12,2,0,5
2022-12-12,7,1,0,3
2022-12-13,8,3,0,5
2022-12-14,10,3,0,8
2022-12-15,12,-2,0,7
2022-12-16,3,0,0,2
2022-12-17,9,2,0,5
2022-12-18,7,2,0,0
2022-12-19,5,0,1,4
2022-12-20,5,0,0,4
2022-12-21,12,5,0,5
2022-12-22,14,4,0,10
2022-12-23,7,1,0,6
2022-12-24,7,0,0,2
2022-12-25,6,0,0,3
2022-12-26,8,0,0,4
2022-12-27,13,1,0,9
2022-12-28,15,3,0,10
2022-12-29,12,3,0,9
2022-12-30,15,4,1,5
2022-12-31,17,2,0,11
2023-01-01,18,3,1,10
2023-01-02,24,0,0,17
2023-01-03,16,2,0,12
2023-01-04,14,3,0,6
2023-01-05,15,6,0,7
2023-01-06,15,1,0,10
2023-01-07,22,5,0,16
2023-01-08,11,2,0,5
2023-01-09,16,4,0,11
2023-01-10,12,1,0,7
2023-01-11,21,3,0,17
2023-01-12,25,-32,1,15
2023-01-13,31,-85,2,17
2023-01-14,18,5,0,11
2023-01-15,23,4,0,18
2023-01-16,22,0,1,18
2023-01-17,20,6,0,11
2023-01-18,13,2,0,10
2023-01-19,17,2,1,12
2023-01-20,15,1,0,14
2023-01-21,12,2,0,10
2023-01-22,17,4,0,12
2023-01-23,29,5,0,17
2023-01-24,19,10,0,9
2023-01-25,17,3,0,10
2023-01-26,13,3,0,10
2023-01-27,12,4,0,7
2023-01-28,12,3,1,5
2023-01-29,11,1,0,4
2023-01-30,15,2,0,11
2023-01-31,17,3,0,10
