date,added,ratings,reviews,to-read
2022-08-15,9,1,0,8
2022-08-16,8,2,0,4
2022-08-17,7,5,0,3
2022-08-18,9,1,0,8
2022-08-19,12,1,0,6
2022-08-20,6,0,0,5
2022-08-21,7,2,0,1
2022-08-22,3,3,0,3
2022-08-23,8,6,0,3
2022-08-24,6,3,0,3
2022-08-25,5,6,0,1
2022-08-26,6,2,1,3
2022-08-27,12,3,1,5
2022-08-28,10,2,0,4
2022-08-29,10,-2,0,5
2022-08-30,10,6,0,5
2022-08-31,10,4,1,4
2022-09-01,11,4,0,6
2022-09-02,8,1,0,5
2022-09-03,12,6,2,6
2022-09-04,1,3,0,1
2022-09-05,5,2,0,2
2022-09-06,7,3,0,2
2022-09-07,5,0,0,3
2022-09-08,14,7,2,6
2022-09-09,14,0,0,9
2022-09-10,9,1,0,7
2022-09-11,5,4,0,1
2022-09-12,4,3,0,4
2022-09-13,8,2,0,4
2022-09-14,6,4,0,3
2022-09-15,5,2,0,3
2022-09-16,7,1,0,2
2022-09-17,11,1,0,9
2022-09-18,7,1,0,5
2022-09-19,11,6,1,3
2022-09-20,7,1,0,4
2022-09-21,9,4,0,5
2022-09-22,4,1,0,3
2022-09-23,8,-14,0,4
2022-09-24,5,1,0,4
2022-09-25,6,3,0,3
2022-09-26,2,-12,0,1
2022-09-27,4,-26,0,3
2022-09-28,3,-42,0,3
2022-09-29,3,-59,0,2
2022-09-30,5,2,0,3
2022-10-01,4,2,0,2
2022-10-02,5,1,0,3
2022-10-03,4,-1,0,4
2022-10-04,5,2,0,4
2022-10-05,6,0,0,5
2022-10-06,6,1,0,3
2022-10-07,9,2,0,5
2022-10-08,5,4,0,3
2022-10-09,7,-2,0,3
2022-10-10,6,1,0,3
2022-10-11,7,2,0,4
2022-10-12,9,-2,0,6
2022-10-13,6,3,0,2
2022-10-14,8,-10,0,2
2022-10-15,9,3,0,5
2022-10-16,5,-24,0,4
2022-10-17,7,-31,0,7
2022-10-18,4,-9,0,2
2022-10-19,11,1,-1,9
2022-10-20,7,4,0,3
2022-10-21,6,-11,0,5
2022-10-22,7,-7,0,6
2022-10-23,6,-50,0,2
2022-10-24,8,-47,0,5
2022-10-25,3,-35,0,3
2022-10-26,6,2,0,6
2022-10-27,7,4,0,1
2022-10-28,3,0,0,3
2022-10-29,7,5,0,2
2022-10-30,14,-2,0,8
2022-10-31,9,-11,0,4
2022-11-01,4,1,0,3
2022-11-02,5,0,0,4
2022-11-03,6,-5,1,4
2022-11-04,5,2,0,3
2022-11-05,10,3,0,4
2022-11-06,6,2,0,2
2022-11-07,5,-1,0,4
2022-11-08,6,1,0,3
2022-11-09,11,1,0,5
2022-11-10,3,1,0,2
2022-11-11,5,1,0,3
2022-11-12,8,3,0,3
2022-11-13,7,3,0,1
2022-11-14,5,1,0,2
2022-11-15,8,3,0,1
2022-11-16,11,2,0,4
2022-11-17,3,2,0,2
2022-11-18,9,0,1,4
2022-11-19,6,4,0,2
2022-11-20,8,1,0,3
2022-11-21,2,-1,0,2
2022-11-22,4,2,0,1
2022-11-23,4,2,0,2
2022-11-24,4,0,0,2
2022-11-25,8,1,0,2
2022-11-26,15,3,0,9
2022-11-27,6,1,0,2
2022-11-28,12,2,0,9
2022-11-29,7,3,0,4
2022-11-30,7,4,0,2
2022-12-01,9,5,0,2
2022-12-02,4,3,0,1
2022-12-03,4,2,0,2
2022-12-04,10,1,0,7
2022-12-05,9,2,0,7
2022-12-06,16,6,0,9
2022-12-07,3,1,0,2
2022-12-08,7,4,0,2
2022-12-09,7,4,0,4
2022-12-10,10,4,0,7
2022-12-11,4,2,0,2
2022-12-12,9,4,0,2
2022-12-13,7,6,2,1
2022-12-14,6,7,0,0
2022-12-15,2,1,0,2
2022-12-16,10,1,0,4
2022-12-17,4,1,1,4
2022-12-18,10,1,0,5
2022-12-19,5,2,0,4
2022-12-20,8,-1,0,5
2022-12-21,8,6,0,2
2022-12-22,8,2,0,2
2022-12-23,5,2,0,3
2022-12-24,8,5,0,1
2022-12-25,14,6,1,10
2022-12-26,8,3,0,4
2022-12-27,10,4,0,6
2022-12-28,9,7,0,1
2022-12-29,13,6,0,6
2022-12-30,13,5,0,8
2022-12-31,15,4,0,8
2023-01-01,23,4,0,11
2023-01-02,27,8,0,18
2023-01-03,18,7,0,12
2023-01-04,8,9,0,4
2023-01-05,9,5,0,4
2023-01-06,8,2,0,5
2023-01-07,18,5,0,7
2023-01-08,14,4,0,6
2023-01-09,10,4,0,7
2023-01-10,8,4,0,3
2023-01-11,6,2,1,3
2023-01-12,7,-19,0,5
2023-01-13,11,-31,1,5
2023-01-14,8,1,0,5
2023-01-15,6,2,0,5
2023-01-16,9,0,0,7
2023-01-17,13,2,0,8
2023-01-18,11,3,0,8
2023-01-19,6,2,0,2
2023-01-20,5,1,0,3
2023-01-21,11,1,0,10
2023-01-22,12,3,0,5
2023-01-23,11,3,0,8
2023-01-24,8,5,1,3
2023-01-25,9,2,0,5
2023-01-26,8,2,0,1
2023-01-27,9,6,1,4
2023-01-28,10,1,0,4
2023-01-29,8,4,0,2
2023-01-30,4,0,0,3
2023-01-31,10,6,0,2
