date,added,ratings,reviews,to-read
2022-08-15,51,4,0,38
2022-08-16,30,5,0,18
2022-08-17,40,0,0,32
2022-08-18,35,5,0,27
2022-08-19,37,4,0,29
2022-08-20,44,9,0,23
2022-08-21,44,6,0,29
2022-08-22,38,2,0,19
2022-08-23,28,8,0,18
2022-08-24,36,0,0,25
2022-08-25,42,6,0,24
2022-08-26,38,3,1,21
2022-08-27,31,3,0,25
2022-08-28,38,0,0,24
2022-08-29,48,-42,0,30
2022-08-30,46,21,0,17
2022-08-31,46,1,1,31
2022-09-01,28,0,0,19
2022-09-02,29,3,1,25
2022-09-03,41,3,1,26
2022-09-04,39,7,0,28
2022-09-05,43,10,2,30
2022-09-06,29,-22,1,20
2022-09-07,43,1,1,34
2022-09-08,36,7,0,19
2022-09-09,27,4,0,15
2022-09-10,30,2,0,21
2022-09-11,33,2,0,22
2022-09-12,29,1,0,19
2022-09-13,27,4,1,17
2022-09-14,26,-7,0,20
2022-09-15,21,0,0,15
2022-09-16,24,-1,1,13
2022-09-17,30,4,0,22
2022-09-18,31,4,0,21
2022-09-19,31,4,1,24
2022-09-20,32,7,2,24
2022-09-21,35,-103,-18,23
2022-09-22,40,5,0,25
2022-09-23,27,-23,2,17
2022-09-24,31,0,0,25
2022-09-25,29,0,1,19
2022-09-26,38,-25,1,23
2022-09-27,25,-34,0,16
2022-09-28,24,-58,0,17
2022-09-29,28,-49,0,26
2022-09-30,37,3,1,28
2022-10-01,27,1,0,20
2022-10-02,32,-42,0,24
2022-10-03,33,-25,-1,24
2022-10-04,38,4,0,26
2022-10-05,25,3,0,17
2022-10-06,34,2,0,26
2022-10-07,32,3,1,17
2022-10-08,29,8,1,17
2022-10-09,36,-23,1,25
2022-10-10,39,5,0,27
2022-10-11,28,-2,1,17
2022-10-12,21,-36,0,13
2022-10-13,20,5,0,12
2022-10-14,16,-60,0,10
2022-10-15,29,-2,0,21
2022-10-16,39,-70,0,28
2022-10-17,23,-42,0,15
2022-10-18,33,-8,0,22
2022-10-19,33,3,0,22
2022-10-20,17,1,0,14
2022-10-21,27,-5,0,22
2022-10-22,26,-14,0,17
2022-10-23,26,-71,0,18
2022-10-24,33,-45,0,19
2022-10-25,25,-20,0,15
2022-10-26,25,2,0,19
2022-10-27,34,3,0,25
2022-10-28,24,2,1,19
2022-10-29,28,4,1,19
2022-10-30,39,-4,0,31
2022-10-31,29,-9,0,18
2022-11-01,31,0,0,20
2022-11-02,14,1,0,10
2022-11-03,29,-7,0,23
2022-11-04,28,2,0,20
2022-11-05,28,6,1,15
2022-11-06,37,1,0,28
2022-11-07,30,3,0,20
2022-11-08,31,2,0,23
2022-11-09,30,2,0,22
2022-11-10,21,2,1,14
2022-11-11,32,3,0,23
2022-11-12,40,6,0,29
2022-11-13,32,6,1,22
2022-11-14,26,0,1,19
2022-11-15,35,2,0,21
2022-11-16,31,5,0,21
2022-11-17,24,3,1,15
2022-11-18,28,1,0,18
2022-11-19,37,4,0,29
2022-11-20,41,3,1,28
2022-11-21,19,4,0,14
2022-11-22,26,3,0,18
2022-11-23,35,2,1,24
2022-11-24,24,2,0,13
2022-11-25,29,6,0,18
2022-11-26,51,7,0,29
2022-11-27,46,5,0,32
2022-11-28,29,6,0,18
2022-11-29,29,4,0,18
2022-11-30,37,6,2,22
2022-12-01,47,12,1,26
2022-12-02,38,9,1,22
2022-12-03,35,5,2,24
2022-12-04,42,3,0,28
2022-12-05,34,8,0,19
2022-12-06,42,6,1,28
2022-12-07,45,13,1,23
2022-12-08,43,8,0,32
2022-12-09,36,2,0,27
2022-12-10,36,2,0,24
2022-12-11,29,3,0,19
2022-12-12,35,2,0,21
2022-12-13,30,4,0,16
2022-12-14,40,4,0,31
2022-12-15,35,9,1,21
2022-12-16,28,4,1,19
2022-12-17,42,3,0,33
2022-12-18,39,3,1,27
2022-12-19,36,5,0,23
2022-12-20,32,6,0,23
2022-12-21,43,10,0,27
2022-12-22,43,9,0,30
2022-12-23,30,1,1,18
2022-12-24,30,3,0,22
2022-12-25,42,0,0,31
2022-12-26,60,8,0,43
2022-12-27,43,5,0,28
2022-12-28,47,6,0,33
2022-12-29,36,5,0,27
2022-12-30,48,3,1,28
2022-12-31,33,6,0,23
2023-01-01,71,6,0,48
2023-01-02,65,8,0,46
2023-01-03,64,8,0,38
2023-01-04,50,3,0,38
2023-01-05,65,10,0,35
2023-01-06,62,2,-1,45
2023-01-07,54,4,0,40
2023-01-08,72,10,1,52
2023-01-09,60,4,1,42
2023-01-10,35,4,1,29
2023-01-11,38,0,0,31
2023-01-12,46,-20,0,34
2023-01-13,34,-33,0,27
2023-01-14,44,6,0,26
2023-01-15,36,8,1,21
2023-01-16,39,1,0,31
2023-01-17,50,3,0,37
2023-01-18,41,6,1,31
2023-01-19,29,4,0,24
2023-01-20,40,4,0,33
2023-01-21,51,4,0,31
2023-01-22,55,6,1,42
2023-01-23,52,7,2,33
2023-01-24,48,6,0,32
2023-01-25,36,2,0,26
2023-01-26,41,8,1,26
2023-01-27,30,3,0,20
2023-01-28,40,1,0,33
2023-01-29,44,2,0,30
2023-01-30,26,0,1,20
2023-01-31,36,4,0,25
