date,added,ratings,reviews,to-read
2022-08-15,17,2,0,10
2022-08-16,17,5,0,10
2022-08-17,22,4,2,17
2022-08-18,16,3,1,14
2022-08-19,15,2,0,9
2022-08-20,15,4,2,8
2022-08-21,23,3,1,18
2022-08-22,15,1,0,9
2022-08-23,14,9,0,8
2022-08-24,22,1,0,16
2022-08-25,17,4,-1,11
2022-08-26,20,3,1,14
2022-08-27,16,3,0,11
2022-08-28,17,1,0,8
2022-08-29,13,6,0,8
2022-08-30,15,5,0,10
2022-08-31,11,4,0,8
2022-09-01,14,3,0,6
2022-09-02,7,3,0,5
2022-09-03,16,1,0,15
2022-09-04,22,2,0,14
2022-09-05,17,4,0,13
2022-09-06,14,4,0,9
2022-09-07,19,5,1,13
2022-09-08,12,2,0,9
2022-09-09,13,2,0,10
2022-09-10,13,2,0,6
2022-09-11,18,3,0,14
2022-09-12,15,4,0,9
2022-09-13,17,7,0,13
2022-09-14,14,2,0,12
2022-09-15,15,1,0,13
2022-09-16,10,3,0,8
2022-09-17,8,1,0,5
2022-09-18,25,5,0,19
2022-09-19,18,6,1,12
2022-09-20,13,4,1,9
2022-09-21,16,3,0,11
2022-09-22,7,1,0,7
2022-09-23,4,-12,0,3
2022-09-24,15,1,0,11
2022-09-25,13,1,0,10
2022-09-26,16,0,0,14
2022-09-27,19,-12,0,13
2022-09-28,9,-7,0,7
2022-09-29,9,-18,0,8
2022-09-30,11,2,1,9
2022-10-01,14,4,1,8
2022-10-02,14,1,0,10
2022-10-03,10,2,2,9
2022-10-04,8,2,0,6
2022-10-05,6,0,0,5
2022-10-06,15,2,0,14
2022-10-07,9,1,0,7
2022-10-08,7,4,1,4
2022-10-09,10,0,0,7
2022-10-10,9,3,0,7
2022-10-11,13,0,0,8
2022-10-12,15,0,0,11
2022-10-13,13,2,0,11
2022-10-14,15,3,0,12
2022-10-15,10,1,-1,6
2022-10-16,17,4,0,10
2022-10-17,21,2,1,16
2022-10-18,16,5,2,9
2022-10-19,8,1,1,6
2022-10-20,18,2,0,15
2022-10-21,12,4,1,8
2022-10-22,14,2,0,9
2022-10-23,19,6,0,13
2022-10-24,14,4,1,11
2022-10-25,13,3,0,9
2022-10-26,12,1,0,10
2022-10-27,12,4,0,8
2022-10-28,8,4,0,6
2022-10-29,10,1,0,8
2022-10-30,11,4,0,9
2022-10-31,19,-8,0,15
2022-11-01,24,4,0,17
2022-11-02,15,3,1,10
2022-11-03,10,2,0,6
2022-11-04,14,5,0,7
2022-11-05,13,4,1,12
2022-11-06,23,1,1,18
2022-11-07,14,3,1,12
2022-11-08,10,3,1,6
2022-11-09,12,3,0,5
2022-11-10,4,3,0,4
2022-11-11,12,4,0,5
2022-11-12,13,0,1,10
2022-11-13,10,1,0,9
2022-11-14,38,2,0,32
2022-11-15,23,7,2,18
2022-11-16,12,1,0,8
2022-11-17,9,3,0,7
2022-11-18,7,2,0,5
2022-11-19,13,3,0,7
2022-11-20,19,8,1,9
2022-11-21,8,3,0,5
2022-11-22,16,3,1,12
2022-11-23,10,6,0,5
2022-11-24,9,2,0,7
2022-11-25,12,1,0,11
2022-11-26,13,4,0,10
2022-11-27,19,3,0,16
2022-11-28,19,1,1,14
2022-11-29,10,4,0,5
2022-11-30,17,3,0,11
2022-12-01,12,9,1,5
2022-12-02,16,3,0,11
2022-12-03,8,2,0,6
2022-12-04,13,2,0,9
2022-12-05,14,2,0,12
2022-12-06,15,6,0,7
2022-12-07,21,2,0,14
2022-12-08,15,7,0,10
2022-12-09,10,2,0,6
2022-12-10,13,3,0,8
2022-12-11,17,4,0,13
2022-12-12,11,0,0,11
2022-12-13,15,2,0,12
2022-12-14,11,3,0,5
2022-12-15,23,9,2,13
2022-12-16,14,5,0,4
2022-12-17,12,5,0,9
2022-12-18,14,2,1,10
2022-12-19,9,2,0,6
2022-12-20,17,1,1,13
2022-12-21,31,13,1,15
2022-12-22,14,6,0,6
2022-12-23,13,7,2,7
2022-12-24,14,1,0,10
2022-12-25,21,1,0,14
2022-12-26,11,4,0,8
2022-12-27,17,5,0,12
2022-12-28,27,2,2,13
2022-12-29,25,8,1,18
2022-12-30,26,7,1,14
2022-12-31,27,13,2,16
2023-01-01,28,3,-1,22
2023-01-02,38,10,2,29
2023-01-03,28,1,1,21
2023-01-04,22,9,2,13
2023-01-05,18,5,0,10
2023-01-06,26,4,0,15
2023-01-07,16,5,1,12
2023-01-08,21,6,1,13
2023-01-09,22,6,1,15
2023-01-10,23,0,0,18
2023-01-11,11,5,0,8
2023-01-12,24,-15,0,17
2023-01-13,8,-18,0,3
2023-01-14,15,2,0,13
2023-01-15,20,2,0,13
2023-01-16,24,4,0,16
2023-01-17,17,4,0,11
2023-01-18,22,4,0,15
2023-01-19,11,4,0,6
2023-01-20,19,8,0,8
2023-01-21,9,5,0,7
2023-01-22,24,7,0,13
2023-01-23,23,8,0,10
2023-01-24,22,11,1,11
2023-01-25,20,6,1,8
2023-01-26,11,2,1,5
2023-01-27,18,3,0,14
2023-01-28,13,6,0,7
2023-01-29,23,5,0,14
2023-01-30,11,4,1,8
2023-01-31,14,4,1,9
