date,added,ratings,reviews,to-read
2022-08-15,25,10,0,13
2022-08-16,21,7,0,12
2022-08-17,21,1,0,14
2022-08-18,14,3,0,11
2022-08-19,20,5,0,12
2022-08-20,16,4,0,7
2022-08-21,25,5,0,14
2022-08-22,26,7,0,16
2022-08-23,23,6,0,14
2022-08-24,27,3,0,21
2022-08-25,19,4,0,8
2022-08-26,19,6,0,13
2022-08-27,22,5,0,11
2022-08-28,23,12,0,9
2022-08-29,18,5,1,11
2022-08-30,19,6,0,9
2022-08-31,24,8,0,12
2022-09-01,20,1,0,9
2022-09-02,14,5,0,10
2022-09-03,24,9,0,15
2022-09-04,23,5,0,11
2022-09-05,24,10,0,11
2022-09-06,29,4,0,19
2022-09-07,27,7,1,17
2022-09-08,24,5,0,17
2022-09-09,26,4,0,15
2022-09-10,24,9,0,11
2022-09-11,18,5,0,11
2022-09-12,18,4,0,10
2022-09-13,29,6,1,17
2022-09-14,26,8,0,15
2022-09-15,22,9,1,15
2022-09-16,21,5,0,13
2022-09-17,23,6,0,13
2022-09-18,19,3,0,13
2022-09-19,18,3,0,15
2022-09-20,22,3,0,17
2022-09-21,17,6,0,10
2022-09-22,20,5,0,12
2022-09-23,11,-9,0,4
2022-09-24,30,5,0,21
2022-09-25,20,5,0,11
2022-09-26,15,2,1,8
2022-09-27,17,-5,1,7
2022-09-28,18,-7,2,6
2022-09-29,15,-7,0,11
2022-09-30,19,7,0,11
2022-10-01,16,2,0,10
2022-10-02,19,0,0,12
2022-10-03,25,6,1,13
2022-10-04,22,10,0,16
2022-10-05,19,3,1,14
2022-10-06,19,8,3,11
2022-10-07,15,2,0,7
2022-10-08,17,5,0,10
2022-10-09,21,2,0,16
2022-10-10,15,4,0,10
2022-10-11,22,7,1,15
2022-10-12,16,8,0,6
2022-10-13,13,5,0,9
2022-10-14,21,9,0,10
2022-10-15,22,9,0,10
2022-10-16,26,9,0,13
2022-10-17,15,2,0,12
2022-10-18,22,2,0,14
2022-10-19,24,2,0,13
2022-10-20,13,4,0,9
2022-10-21,19,7,1,11
2022-10-22,27,3,0,20
2022-10-23,25,9,1,9
2022-10-24,15,6,1,8
2022-10-25,21,2,1,15
2022-10-26,25,11,0,14
2022-10-27,15,5,0,11
2022-10-28,17,1,0,11
2022-10-29,20,5,1,13
2022-10-30,23,3,0,14
2022-10-31,15,-3,0,7
2022-11-01,21,7,0,12
2022-11-02,32,6,0,20
2022-11-03,9,3,1,1
2022-11-04,11,3,0,6
2022-11-05,20,7,0,13
2022-11-06,32,5,0,16
2022-11-07,29,8,3,17
2022-11-08,28,11,0,15
2022-11-09,19,4,0,12
2022-11-10,15,3,0,10
2022-11-11,15,2,0,12
2022-11-12,28,2,0,20
2022-11-13,39,5,0,29
2022-11-14,28,2,0,19
2022-11-15,30,5,1,23
2022-11-16,23,3,0,17
2022-11-17,18,5,0,15
2022-11-18,26,7,0,14
2022-11-19,21,3,0,13
2022-11-20,23,3,0,16
2022-11-21,14,3,0,9
2022-11-22,24,8,0,12
2022-11-23,27,3,0,19
2022-11-24,15,1,0,6
2022-11-25,12,5,0,10
2022-11-26,23,6,0,9
2022-11-27,35,10,0,18
2022-11-28,23,8,1,14
2022-11-29,19,7,1,11
2022-11-30,31,6,2,24
2022-12-01,32,5,0,21
2022-12-02,14,2,0,10
2022-12-03,27,5,1,20
2022-12-04,20,6,1,9
2022-12-05,18,6,1,11
2022-12-06,18,6,2,11
2022-12-07,25,8,0,13
2022-12-08,15,5,1,6
2022-12-09,23,2,0,13
2022-12-10,23,5,0,9
2022-12-11,24,9,0,16
2022-12-12,22,6,1,11
2022-12-13,35,11,0,20
2022-12-14,23,10,0,13
2022-12-15,23,11,0,12
2022-12-16,24,5,2,17
2022-12-17,15,2,0,7
2022-12-18,37,5,0,22
2022-12-19,10,3,0,9
2022-12-20,27,5,0,16
2022-12-21,29,7,0,14
2022-12-22,19,16,2,8
2022-12-23,36,13,0,23
2022-12-24,20,6,1,10
2022-12-25,33,9,0,15
2022-12-26,37,13,0,19
2022-12-27,36,13,1,17
2022-12-28,49,12,0,16
2022-12-29,32,16,0,22
2022-12-30,38,8,0,26
2022-12-31,42,14,0,24
2023-01-01,57,15,0,32
2023-01-02,74,27,1,37
2023-01-03,62,19,2,30
2023-01-04,38,21,0,18
2023-01-05,43,11,0,26
2023-01-06,40,16,0,18
2023-01-07,31,6,0,14
2023-01-08,43,12,0,24
2023-01-09,36,10,0,18
2023-01-10,32,13,0,15
2023-01-11,24,9,2,15
2023-01-12,28,1,0,14
2023-01-13,38,-5,0,25
2023-01-14,33,11,0,14
2023-01-15,47,12,1,21
2023-01-16,21,12,1,7
2023-01-17,37,8,0,22
2023-01-18,29,6,0,17
2023-01-19,20,6,1,13
2023-01-20,26,11,0,20
2023-01-21,34,7,1,19
2023-01-22,38,11,3,23
2023-01-23,38,18,0,13
2023-01-24,25,5,0,14
2023-01-25,24,8,1,13
2023-01-26,21,8,1,13
2023-01-27,28,5,0,13
2023-01-28,24,9,0,9
2023-01-29,16,4,0,10
2023-01-30,28,9,0,15
2023-01-31,24,3,0,17
