date,added,ratings,reviews,to-read
2022-08-15,42,13,2,20
2022-08-16,49,17,3,24
2022-08-17,39,16,1,16
2022-08-18,31,13,3,21
2022-08-19,37,10,0,17
2022-08-20,43,13,2,17
2022-08-21,43,8,0,27
2022-08-22,42,13,1,21
2022-08-23,43,15,0,23
2022-08-24,46,7,1,25
2022-08-25,31,7,0,16
2022-08-26,35,9,0,19
2022-08-27,35,6,1,18
2022-08-28,51,15,2,19
2022-08-29,29,12,0,17
2022-08-30,53,19,1,18
2022-08-31,45,15,1,14
2022-09-01,47,16,0,23
2022-09-02,36,11,0,16
2022-09-03,38,19,1,12
2022-09-04,49,14,1,28
2022-09-05,35,14,0,19
2022-09-06,40,13,0,18
2022-09-07,33,13,0,19
2022-09-08,26,15,0,8
2022-09-09,26,5,1,13
2022-09-10,27,7,1,8
2022-09-11,25,12,1,14
2022-09-12,33,19,0,14
2022-09-13,49,18,2,19
2022-09-14,24,12,1,11
2022-09-15,24,13,2,15
2022-09-16,36,10,3,17
2022-09-17,28,6,0,9
2022-09-18,33,9,0,14
2022-09-19,42,15,1,23
2022-09-20,29,15,0,15
2022-09-21,25,14,0,14
2022-09-22,23,5,0,14
2022-09-23,31,-9,0,19
2022-09-24,35,11,0,18
2022-09-25,34,7,1,16
2022-09-26,35,12,0,19
2022-09-27,32,-5,1,17
2022-09-28,32,-2,0,19
2022-09-29,23,-5,0,12
2022-09-30,26,10,2,8
2022-10-01,30,8,1,14
2022-10-02,37,14,0,16
2022-10-03,30,13,1,12
2022-10-04,31,6,1,16
2022-10-05,20,6,0,10
2022-10-06,16,9,0,4
2022-10-07,27,6,0,14
2022-10-08,23,8,0,10
2022-10-09,31,7,1,16
2022-10-10,22,10,1,17
2022-10-11,26,8,1,14
2022-10-12,26,7,2,14
2022-10-13,21,7,0,14
2022-10-14,16,8,2,7
2022-10-15,36,6,0,15
2022-10-16,28,11,0,13
2022-10-17,34,13,1,17
2022-10-18,22,11,0,11
2022-10-19,25,11,2,12
2022-10-20,20,8,0,12
2022-10-21,23,3,1,15
2022-10-22,28,10,0,13
2022-10-23,30,9,0,12
2022-10-24,32,18,0,17
2022-10-25,26,7,0,15
2022-10-26,26,10,0,8
2022-10-27,22,7,1,13
2022-10-28,18,1,1,7
2022-10-29,18,4,1,9
2022-10-30,27,5,0,12
2022-10-31,33,7,1,13
2022-11-01,28,15,0,14
2022-11-02,27,11,1,8
2022-11-03,22,7,0,14
2022-11-04,29,13,2,11
2022-11-05,34,13,1,19
2022-11-06,40,11,1,20
2022-11-07,28,13,1,11
2022-11-08,30,5,0,16
2022-11-09,17,9,0,10
2022-11-10,19,6,0,11
2022-11-11,35,5,0,22
2022-11-12,29,7,0,14
2022-11-13,35,8,0,16
2022-11-14,28,12,1,8
2022-11-15,38,9,0,19
2022-11-16,39,12,1,20
2022-11-17,22,9,0,14
2022-11-18,23,5,0,12
2022-11-19,28,7,0,10
2022-11-20,39,8,0,15
2022-11-21,36,11,0,21
2022-11-22,41,10,1,22
2022-11-23,28,9,0,9
2022-11-24,33,13,1,12
2022-11-25,24,9,1,13
2022-11-26,32,8,1,12
2022-11-27,53,15,1,24
2022-11-28,50,16,4,20
2022-11-29,22,7,0,11
2022-11-30,49,20,1,18
2022-12-01,32,9,0,17
2022-12-02,24,4,0,9
2022-12-03,36,15,2,16
2022-12-04,57,11,0,23
2022-12-05,25,6,0,8
2022-12-06,33,10,0,13
2022-12-07,42,22,2,20
2022-12-08,31,17,0,14
2022-12-09,32,9,0,10
2022-12-10,32,5,1,13
2022-12-11,41,15,1,16
2022-12-12,36,12,0,23
2022-12-13,45,12,0,18
2022-12-14,41,12,0,14
2022-12-15,31,13,1,9
2022-12-16,34,16,0,14
2022-12-17,30,9,0,11
2022-12-18,39,5,0,16
2022-12-19,31,14,1,14
2022-12-20,45,17,2,25
2022-12-21,46,6,1,14
2022-12-22,37,10,0,13
2022-12-23,45,14,1,19
2022-12-24,30,13,0,11
2022-12-25,42,23,2,19
2022-12-26,71,25,0,18
2022-12-27,60,17,1,18
2022-12-28,68,28,2,33
2022-12-29,50,13,2,22
2022-12-30,61,16,0,29
2022-12-31,77,19,0,44
2023-01-01,101,22,3,43
2023-01-02,93,39,3,30
2023-01-03,76,19,1,34
2023-01-04,46,24,0,30
2023-01-05,45,25,2,19
2023-01-06,62,18,1,33
2023-01-07,66,16,0,35
2023-01-08,77,20,0,32
2023-01-09,53,15,2,27
2023-01-10,47,16,1,22
2023-01-11,39,8,2,18
2023-01-12,59,11,1,30
2023-01-13,50,-3,0,20
2023-01-14,49,12,1,22
2023-01-15,48,19,1,24
2023-01-16,59,14,1,32
2023-01-17,53,22,2,24
2023-01-18,53,17,0,23
2023-01-19,31,9,0,20
2023-01-20,42,9,0,28
2023-01-21,60,8,0,37
2023-01-22,69,17,0,35
2023-01-23,51,12,0,26
2023-01-24,74,15,1,42
2023-01-25,66,10,0,43
2023-01-26,54,10,0,32
2023-01-27,49,9,0,27
2023-01-28,48,18,1,17
2023-01-29,50,13,1,20
2023-01-30,48,10,2,33
2023-01-31,44,10,0,23
