date,added,ratings,reviews,to-read
2022-08-15,73,15,0,41
2022-08-16,64,8,1,51
2022-08-17,106,16,1,76
2022-08-18,82,14,2,67
2022-08-19,80,12,0,55
2022-08-20,73,18,1,45
2022-08-21,81,9,1,62
2022-08-22,72,13,0,50
2022-08-23,74,16,0,56
2022-08-24,78,9,0,54
2022-08-25,69,21,0,39
2022-08-26,59,19,0,30
2022-08-27,83,20,0,54
2022-08-28,82,23,3,52
2022-08-29,90,14,1,63
2022-08-30,73,24,0,46
2022-08-31,66,20,0,40
2022-09-01,61,12,0,41
2022-09-02,60,10,1,42
2022-09-03,70,11,0,47
2022-09-04,62,8,0,38
2022-09-05,64,8,0,51
2022-09-06,62,10,0,43
2022-09-07,67,7,-1,42
2022-09-08,62,7,1,44
2022-09-09,65,4,0,48
2022-09-10,55,5,0,34
2022-09-11,62,15,1,46
2022-09-12,57,6,0,40
2022-09-13,56,9,1,36
2022-09-14,62,7,1,44
2022-09-15,44,12,0,33
2022-09-16,56,10,0,41
2022-09-17,59,10,0,38
2022-09-18,64,8,0,46
2022-09-19,68,10,0,45
2022-09-20,54,13,0,41
2022-09-21,46,13,0,33
2022-09-22,50,4,0,32
2022-09-23,44,-20,0,32
2022-09-24,52,2,0,32
2022-09-25,63,7,1,43
2022-09-26,69,-6,0,49
2022-09-27,60,-21,1,39
2022-09-28,54,-27,0,34
2022-09-29,48,-32,0,35
2022-09-30,54,6,0,34
2022-10-01,62,9,1,43
2022-10-02,70,1,0,50
2022-10-03,54,7,3,40
2022-10-04,62,5,1,43
2022-10-05,53,4,0,40
2022-10-06,57,7,1,41
2022-10-07,47,6,-1,34
2022-10-08,51,5,0,39
2022-10-09,57,6,1,42
2022-10-10,53,8,0,37
2022-10-11,54,4,0,34
2022-10-12,44,6,0,31
2022-10-13,44,7,0,31
2022-10-14,50,3,1,28
2022-10-15,58,12,0,39
2022-10-16,60,-1,1,37
2022-10-17,53,2,1,30
2022-10-18,62,14,0,40
2022-10-19,70,3,1,52
2022-10-20,45,10,1,26
2022-10-21,45,-1,0,35
2022-10-22,49,8,2,37
2022-10-23,69,-1,1,47
2022-10-24,58,7,1,36
2022-10-25,51,-15,2,41
2022-10-26,53,11,1,35
2022-10-27,59,13,0,40
2022-10-28,42,5,1,29
2022-10-29,46,8,0,27
2022-10-30,49,2,1,30
2022-10-31,69,-15,0,53
2022-11-01,57,12,0,38
2022-11-02,56,8,0,35
2022-11-03,47,2,0,42
2022-11-04,52,3,0,30
2022-11-05,49,6,0,35
2022-11-06,65,4,0,43
2022-11-07,66,12,0,43
2022-11-08,39,8,1,24
2022-11-09,63,10,1,40
2022-11-10,37,9,0,25
2022-11-11,50,5,0,36
2022-11-12,61,7,1,37
2022-11-13,65,14,0,37
2022-11-14,71,6,0,45
2022-11-15,51,11,1,36
2022-11-16,44,9,1,28
2022-11-17,48,15,0,36
2022-11-18,47,10,1,34
2022-11-19,53,9,0,39
2022-11-20,55,9,0,40
2022-11-21,49,14,0,32
2022-11-22,60,9,1,39
2022-11-23,43,6,-1,35
2022-11-24,46,9,2,34
2022-11-25,44,11,0,30
2022-11-26,48,6,0,26
2022-11-27,62,9,0,34
2022-11-28,53,11,0,31
2022-11-29,58,10,0,35
2022-11-30,58,7,1,40
2022-12-01,63,8,1,38
2022-12-02,45,12,0,33
2022-12-03,45,10,0,29
2022-12-04,54,4,0,34
2022-12-05,51,8,1,36
2022-12-06,55,13,1,28
2022-12-07,61,16,0,36
2022-12-08,64,10,0,39
2022-12-09,55,5,0,39
2022-12-10,55,14,2,26
2022-12-11,61,6,1,45
2022-12-12,61,9,0,41
2022-12-13,61,8,0,44
2022-12-14,64,13,0,41
2022-12-15,56,13,1,42
2022-12-16,62,8,0,52
2022-12-17,49,5,0,35
2022-12-18,64,4,3,45
2022-12-19,62,11,1,38
2022-12-20,66,12,2,47
2022-12-21,85,18,0,50
2022-12-22,65,11,1,46
2022-12-23,64,8,0,46
2022-12-24,49,9,1,31
2022-12-25,67,9,0,45
2022-12-26,101,11,1,68
2022-12-27,108,14,0,77
2022-12-28,143,6,1,110
2022-12-29,89,17,2,58
2022-12-30,137,13,0,107
2022-12-31,133,30,2,86
2023-01-01,133,14,0,95
2023-01-02,170,16,1,131
2023-01-03,146,23,3,104
2023-01-04,105,16,1,78
2023-01-05,107,9,0,81
2023-01-06,101,14,1,73
2023-01-07,92,6,0,70
2023-01-08,118,11,0,86
2023-01-09,111,7,1,83
2023-01-10,122,13,1,89
2023-01-11,95,14,1,77
2023-01-12,98,-30,0,72
2023-01-13,87,-64,2,58
2023-01-14,97,15,1,71
2023-01-15,134,14,2,101
2023-01-16,113,15,0,77
2023-01-17,98,18,2,69
2023-01-18,109,17,2,81
2023-01-19,78,8,1,58
2023-01-20,62,7,0,48
2023-01-21,82,8,0,61
2023-01-22,120,14,2,77
2023-01-23,104,17,1,72
2023-01-24,89,14,2,69
2023-01-25,104,11,-1,69
2023-01-26,96,8,0,76
2023-01-27,106,11,1,85
2023-01-28,100,9,-1,78
2023-01-29,126,11,2,97
2023-01-30,75,8,0,54
2023-01-31,71,12,0,51
