Title,URL
"Confessions of a Shopaholic (Shopaholic, #1)",https://www.goodreads.com/book/show/9416.Confessions_of_a_Shopaholic
"Bridget Jones's Diary (Bridget Jones, #1)",https://www.goodreads.com/book/show/227443.Bridget_Jones_s_Diary
Can You Keep a Secret?,https://www.goodreads.com/book/show/33724.Can_You_Keep_a_Secret_
"The Devil Wears Prada (The Devil Wears Prada, #1)",https://www.goodreads.com/book/show/5139.The_Devil_Wears_Prada
The Undomestic Goddess,https://www.goodreads.com/book/show/33722.The_Undomestic_Goddess
Remember Me?,https://www.goodreads.com/book/show/1358844.Remember_Me_
"Something Borrowed (Darcy & Rachel, #1)",https://www.goodreads.com/book/show/42156.Something_Borrowed
I've Got Your Number,https://www.goodreads.com/book/show/12033455-i-ve-got-your-number
"Shopaholic Takes Manhattan (Shopaholic, #2)",https://www.goodreads.com/book/show/9418.Shopaholic_Takes_Manhattan
Twenties Girl,https://www.goodreads.com/book/show/6063187-twenties-girl
"Shopaholic Ties the Knot (Shopaholic, #3)",https://www.goodreads.com/book/show/9419.Shopaholic_Ties_the_Knot
"Good in Bed (Cannie Shapiro, #1)",https://www.goodreads.com/book/show/14748.Good_in_Bed
"Something Blue (Darcy & Rachel, #2)",https://www.goodreads.com/book/show/42155.Something_Blue
"Shopaholic and Sister (Shopaholic, #4)",https://www.goodreads.com/book/show/9417.Shopaholic_and_Sister
"Me Before You (Me Before You, #1)",https://www.goodreads.com/book/show/17347634-me-before-you
"Shopaholic & Baby (Shopaholic, #5)",https://www.goodreads.com/book/show/9420.Shopaholic_Baby
"The Nanny Diaries (Nanny, #1)",https://www.goodreads.com/book/show/228333.The_Nanny_Diaries
"Bridget Jones: The Edge of Reason (Bridget Jones, #2)",https://www.goodreads.com/book/show/363752.Bridget_Jones
"P.S. I Love You (P.S. I Love You, #1)",https://www.goodreads.com/book/show/366522.P_S_I_Love_You
The Hating Game,https://www.goodreads.com/book/show/27213238-the-hating-game
"The Notebook (The Notebook, #1)",https://www.goodreads.com/book/show/33648131-the-notebook
Wedding Night,https://www.goodreads.com/book/show/17910611-wedding-night
Love the One You're With,https://www.goodreads.com/book/show/2120652.Love_the_One_You_re_With
In Her Shoes,https://www.goodreads.com/book/show/14758.In_Her_Shoes
Baby Proof,https://www.goodreads.com/book/show/42149.Baby_Proof
My Not So Perfect Life,https://www.goodreads.com/book/show/30821598-my-not-so-perfect-life
"Mini Shopaholic (Shopaholic, #6)",https://www.goodreads.com/book/show/7415016-mini-shopaholic
Big Little Lies,https://www.goodreads.com/book/show/33516773-big-little-lies
"Size 12 Is Not Fat (Heather Wells, #1)",https://www.goodreads.com/book/show/23220.Size_12_Is_Not_Fat
Beach Read,https://www.goodreads.com/book/show/52867387-beach-read
"Queen of Babble (Queen of Babble, #1)",https://www.goodreads.com/book/show/23219.Queen_of_Babble
"Crazy Rich Asians (Crazy Rich Asians, #1)",https://www.goodreads.com/book/show/16085481-crazy-rich-asians
Jemima J,https://www.goodreads.com/book/show/227941.Jemima_J
Attachments,https://www.goodreads.com/book/show/8909152-attachments
"The Sisterhood of the Traveling Pants (Sisterhood, #1)",https://www.goodreads.com/book/show/452306.The_Sisterhood_of_the_Traveling_Pants
"The Boy Next Door (Boy, #1)",https://www.goodreads.com/book/show/93722.The_Boy_Next_Door
Divine Secrets of the Ya-Ya Sisterhood,https://www.goodreads.com/book/show/137791.Divine_Secrets_of_the_Ya_Ya_Sisterhood
