date,added,ratings,reviews,to-read
2022-08-15,76,21,0,24
2022-08-16,62,22,1,12
2022-08-17,69,31,0,19
2022-08-18,53,21,0,17
2022-08-19,66,32,2,13
2022-08-20,74,19,0,12
2022-08-21,62,23,1,19
2022-08-22,71,15,0,21
2022-08-23,66,21,1,17
2022-08-24,73,17,0,22
2022-08-25,52,20,0,11
2022-08-26,61,22,2,18
2022-08-27,45,16,1,12
2022-08-28,65,14,0,12
2022-08-29,47,11,1,15
2022-08-30,71,19,1,18
2022-08-31,68,19,0,17
2022-09-01,60,24,1,12
2022-09-02,45,18,1,16
2022-09-03,72,21,3,15
2022-09-04,75,18,0,17
2022-09-05,61,26,1,15
2022-09-06,63,14,1,12
2022-09-07,70,20,0,10
2022-09-08,62,18,1,14
2022-09-09,54,23,2,16
2022-09-10,52,11,1,13
2022-09-11,50,16,1,17
2022-09-12,59,13,0,19
2022-09-13,49,14,1,15
2022-09-14,51,19,1,11
2022-09-15,38,12,0,11
2022-09-16,38,17,0,7
2022-09-17,58,20,1,17
2022-09-18,62,11,1,10
2022-09-19,55,13,1,24
2022-09-20,53,20,1,18
2022-09-21,45,19,1,10
2022-09-22,39,17,1,12
2022-09-23,49,8,0,17
2022-09-24,45,7,0,13
2022-09-25,72,16,0,21
2022-09-26,51,9,1,17
2022-09-27,42,-4,0,16
2022-09-28,49,-21,0,11
2022-09-29,41,-17,0,11
2022-09-30,51,16,0,12
2022-10-01,40,6,0,12
2022-10-02,57,7,1,15
2022-10-03,52,11,1,15
2022-10-04,45,21,1,13
2022-10-05,27,9,1,8
2022-10-06,43,13,2,11
2022-10-07,36,11,1,11
2022-10-08,45,6,0,11
2022-10-09,47,8,1,9
2022-10-10,50,16,0,8
2022-10-11,37,10,0,10
2022-10-12,45,12,1,7
2022-10-13,38,12,0,12
2022-10-14,49,16,2,10
2022-10-15,42,14,2,8
2022-10-16,69,13,0,16
2022-10-17,52,8,1,13
2022-10-18,44,14,1,12
2022-10-19,47,6,0,12
2022-10-20,47,17,0,15
2022-10-21,41,8,1,14
2022-10-22,39,5,1,17
2022-10-23,52,-1,0,17
2022-10-24,51,8,0,8
2022-10-25,44,18,3,9
2022-10-26,38,13,0,8
2022-10-27,46,14,1,10
2022-10-28,48,12,1,13
2022-10-29,54,9,1,7
2022-10-30,44,9,1,13
2022-10-31,39,5,0,12
2022-11-01,59,18,0,16
2022-11-02,43,18,0,11
2022-11-03,33,1,0,10
2022-11-04,47,18,1,10
2022-11-05,52,19,1,13
2022-11-06,64,16,0,11
2022-11-07,47,15,0,11
2022-11-08,38,11,0,9
2022-11-09,60,18,0,15
2022-11-10,35,20,0,8
2022-11-11,46,18,0,11
2022-11-12,40,13,0,10
2022-11-13,42,11,0,10
2022-11-14,34,5,0,9
2022-11-15,30,15,1,4
2022-11-16,26,1,0,10
2022-11-17,46,11,0,16
2022-11-18,37,14,0,10
2022-11-19,40,13,0,8
2022-11-20,34,11,0,7
2022-11-21,38,14,1,9
2022-11-22,38,9,0,9
2022-11-23,33,9,0,7
2022-11-24,43,7,0,11
2022-11-25,40,19,2,11
2022-11-26,45,14,0,9
2022-11-27,40,12,0,10
2022-11-28,39,8,2,11
2022-11-29,37,9,1,13
2022-11-30,39,11,1,8
2022-12-01,42,8,1,10
2022-12-02,48,6,1,10
2022-12-03,44,18,0,12
2022-12-04,45,11,2,9
2022-12-05,40,10,0,10
2022-12-06,32,8,0,6
2022-12-07,40,16,1,14
2022-12-08,34,15,3,14
2022-12-09,41,11,0,10
2022-12-10,46,18,2,10
2022-12-11,49,11,1,12
2022-12-12,58,14,1,19
2022-12-13,43,18,2,11
2022-12-14,24,6,0,7
2022-12-15,48,9,0,16
2022-12-16,46,14,0,8
2022-12-17,44,15,2,7
2022-12-18,54,14,0,14
2022-12-19,50,22,1,10
2022-12-20,46,15,0,18
2022-12-21,49,17,0,8
2022-12-22,49,7,2,11
2022-12-23,50,19,0,9
2022-12-24,52,11,1,16
2022-12-25,64,17,0,20
2022-12-26,84,27,2,24
2022-12-27,118,11,0,32
2022-12-28,123,41,1,23
2022-12-29,130,43,2,31
2022-12-30,173,54,1,30
2022-12-31,233,61,0,46
2023-01-01,289,54,1,67
2023-01-02,265,111,3,53
2023-01-03,223,59,2,59
2023-01-04,156,69,3,47
2023-01-05,126,38,1,37
2023-01-06,121,35,1,28
2023-01-07,142,43,3,35
2023-01-08,165,30,1,42
2023-01-09,113,29,0,21
2023-01-10,116,39,1,18
2023-01-11,94,32,0,35
2023-01-12,105,11,2,33
2023-01-13,92,23,0,25
2023-01-14,100,27,0,31
2023-01-15,125,25,0,25
2023-01-16,124,32,0,29
2023-01-17,117,37,0,23
2023-01-18,97,29,0,19
2023-01-19,93,30,1,11
2023-01-20,62,31,1,14
2023-01-21,115,18,2,31
2023-01-22,118,29,1,21
2023-01-23,105,33,0,29
2023-01-24,94,42,0,15
2023-01-25,110,25,3,29
2023-01-26,90,26,0,17
2023-01-27,92,26,4,20
2023-01-28,90,36,1,23
2023-01-29,109,32,1,20
2023-01-30,89,39,1,23
2023-01-31,103,25,0,36
