date,added,ratings,reviews,to-read
2022-08-15,9,3,0,3
2022-08-16,15,7,0,10
2022-08-17,11,2,0,4
2022-08-18,11,4,0,4
2022-08-19,10,3,0,4
2022-08-20,10,5,0,2
2022-08-21,10,3,0,4
2022-08-22,6,0,0,1
2022-08-23,14,3,2,3
2022-08-24,9,0,1,3
2022-08-25,9,4,1,3
2022-08-26,4,1,0,2
2022-08-27,9,2,0,5
2022-08-28,7,0,0,4
2022-08-29,8,1,0,2
2022-08-30,7,3,1,3
2022-08-31,5,2,0,1
2022-09-01,6,3,0,2
2022-09-02,11,0,0,4
2022-09-03,4,4,0,1
2022-09-04,6,0,0,3
2022-09-05,5,0,0,2
2022-09-06,4,0,0,2
2022-09-07,8,0,0,3
2022-09-08,4,2,0,0
2022-09-09,8,4,1,2
2022-09-10,7,1,0,1
2022-09-11,11,4,0,1
2022-09-12,11,6,0,2
2022-09-13,8,0,-1,2
2022-09-14,8,3,1,0
2022-09-15,4,2,0,2
2022-09-16,14,1,1,3
2022-09-17,6,5,1,1
2022-09-18,6,3,0,2
2022-09-19,6,2,2,3
2022-09-20,8,2,0,3
2022-09-21,5,5,0,1
2022-09-22,7,3,0,2
2022-09-23,4,-1,0,1
2022-09-24,9,-3,0,4
2022-09-25,7,2,0,3
2022-09-26,3,-1,0,1
2022-09-27,10,2,0,2
2022-09-28,7,6,0,1
2022-09-29,6,1,0,4
2022-09-30,4,4,0,0
2022-10-01,9,2,0,2
2022-10-02,11,5,0,2
2022-10-03,11,3,1,2
2022-10-04,4,0,0,2
2022-10-05,7,1,0,3
2022-10-06,11,3,0,4
2022-10-07,8,1,0,3
2022-10-08,5,0,0,2
2022-10-09,7,0,0,2
2022-10-10,5,2,1,1
2022-10-11,7,2,0,0
2022-10-12,5,3,1,3
2022-10-13,6,0,0,4
2022-10-14,9,1,0,4
2022-10-15,13,3,0,4
2022-10-16,9,3,0,3
2022-10-17,11,2,0,3
2022-10-18,10,4,0,1
2022-10-19,6,1,0,1
2022-10-20,3,2,0,0
2022-10-21,9,5,0,1
2022-10-22,9,3,0,4
2022-10-23,14,4,1,4
2022-10-24,7,3,3,2
2022-10-25,6,1,0,5
2022-10-26,14,3,2,0
2022-10-27,7,5,1,0
2022-10-28,9,0,0,5
2022-10-29,7,0,0,3
2022-10-30,12,3,0,4
2022-10-31,6,2,0,1
2022-11-01,11,3,0,4
2022-11-02,11,1,0,1
2022-11-03,6,3,0,2
2022-11-04,8,4,0,2
2022-11-05,4,1,1,1
2022-11-06,4,1,0,1
2022-11-07,12,3,0,5
2022-11-08,9,2,0,3
2022-11-09,8,4,1,1
2022-11-10,1,2,0,0
2022-11-11,12,1,0,6
2022-11-12,10,5,1,2
2022-11-13,11,0,0,2
2022-11-14,8,3,0,1
2022-11-15,10,4,0,4
2022-11-16,3,2,1,0
2022-11-17,12,2,1,3
2022-11-18,7,1,0,4
2022-11-19,7,2,1,3
2022-11-20,4,2,0,1
2022-11-21,5,0,1,2
2022-11-22,11,3,0,2
2022-11-23,8,0,0,3
2022-11-24,5,1,0,2
2022-11-25,5,1,1,3
2022-11-26,7,1,0,3
2022-11-27,11,6,0,2
2022-11-28,3,1,0,1
2022-11-29,9,3,0,5
2022-11-30,6,2,0,1
2022-12-01,7,1,0,1
2022-12-02,6,2,0,1
2022-12-03,7,2,1,2
2022-12-04,3,1,0,1
2022-12-05,6,2,0,1
2022-12-06,15,3,0,5
2022-12-07,1,1,0,1
2022-12-08,5,-1,0,4
2022-12-09,3,1,0,1
2022-12-10,8,3,0,4
2022-12-11,12,4,0,2
2022-12-12,5,0,0,2
2022-12-13,6,2,0,3
2022-12-14,3,0,0,2
2022-12-15,5,3,0,2
2022-12-16,7,1,0,4
2022-12-17,11,0,0,3
2022-12-18,16,4,0,6
2022-12-19,8,5,1,5
2022-12-20,11,2,0,1
2022-12-21,14,3,0,5
2022-12-22,9,2,0,6
2022-12-23,9,2,0,3
2022-12-24,6,0,0,3
2022-12-25,5,3,0,0
2022-12-26,12,5,0,1
2022-12-27,7,2,0,3
2022-12-28,13,2,-1,3
2022-12-29,15,4,0,6
2022-12-30,23,7,0,7
2022-12-31,21,4,0,7
2023-01-01,42,12,1,12
2023-01-02,38,8,0,13
2023-01-03,17,12,0,3
2023-01-04,27,10,1,7
2023-01-05,16,6,1,4
2023-01-06,13,8,1,5
2023-01-07,26,5,0,10
2023-01-08,13,4,0,1
2023-01-09,18,7,0,6
2023-01-10,19,9,0,4
2023-01-11,13,2,0,6
2023-01-12,13,1,0,3
2023-01-13,11,1,0,3
2023-01-14,16,2,0,1
2023-01-15,22,9,2,4
2023-01-16,19,6,1,4
2023-01-17,13,3,0,4
2023-01-18,13,1,0,5
2023-01-19,9,6,0,1
2023-01-20,3,2,0,1
2023-01-21,9,1,-1,3
2023-01-22,16,1,1,10
2023-01-23,15,2,0,2
2023-01-24,10,1,1,3
2023-01-25,12,5,1,2
2023-01-26,6,1,0,1
2023-01-27,16,6,0,5
2023-01-28,9,6,1,1
2023-01-29,14,5,0,5
2023-01-30,15,3,0,5
2023-01-31,15,7,2,5
