date,added,ratings,reviews,to-read
2022-08-15,420,137,4,159
2022-08-16,465,165,4,166
2022-08-17,415,175,9,155
2022-08-18,315,140,3,118
2022-08-19,327,155,1,101
2022-08-20,372,137,0,131
2022-08-21,385,142,4,124
2022-08-22,390,161,5,135
2022-08-23,360,161,4,131
2022-08-24,403,173,8,126
2022-08-25,299,116,6,129
2022-08-26,349,108,0,124
2022-08-27,325,118,1,116
2022-08-28,382,130,4,132
2022-08-29,373,151,1,149
2022-08-30,385,144,3,144
2022-08-31,331,110,2,129
2022-09-01,271,78,4,91
2022-09-02,235,76,4,79
2022-09-03,291,82,4,112
2022-09-04,353,104,6,151
2022-09-05,379,102,6,157
2022-09-06,336,100,3,140
2022-09-07,296,103,4,92
2022-09-08,271,93,3,98
2022-09-09,250,83,0,104
2022-09-10,300,79,1,130
2022-09-11,261,76,4,104
2022-09-12,262,85,6,91
2022-09-13,267,88,3,120
2022-09-14,269,79,3,101
2022-09-15,230,80,3,89
2022-09-16,199,67,1,83
2022-09-17,250,67,5,96
2022-09-18,253,68,1,87
2022-09-19,262,98,1,110
2022-09-20,252,83,4,90
2022-09-21,236,105,2,90
2022-09-22,254,85,3,89
2022-09-23,248,60,3,76
2022-09-24,205,66,0,71
2022-09-25,255,70,2,96
2022-09-26,223,32,2,84
2022-09-27,269,2,1,95
2022-09-28,254,8,2,87
2022-09-29,184,-21,1,79
2022-09-30,202,63,5,72
2022-10-01,215,58,0,90
2022-10-02,239,65,1,86
2022-10-03,249,66,1,99
2022-10-04,228,70,3,92
2022-10-05,196,61,3,82
2022-10-06,202,53,0,83
2022-10-07,174,47,3,70
2022-10-08,199,59,4,66
2022-10-09,236,72,5,89
2022-10-10,249,77,2,85
2022-10-11,240,78,3,92
2022-10-12,228,68,2,77
2022-10-13,192,70,6,71
2022-10-14,204,65,3,81
2022-10-15,232,49,3,98
2022-10-16,261,35,4,105
2022-10-17,235,48,4,86
2022-10-18,226,66,3,81
2022-10-19,252,70,5,84
2022-10-20,214,73,2,83
2022-10-21,205,47,1,72
2022-10-22,220,47,1,81
2022-10-23,221,35,5,83
2022-10-24,233,53,2,86
2022-10-25,228,57,4,96
2022-10-26,236,72,3,76
2022-10-27,190,51,1,79
2022-10-28,186,40,3,74
2022-10-29,179,51,3,64
2022-10-30,224,66,3,73
2022-10-31,183,34,2,72
2022-11-01,227,49,2,84
2022-11-02,200,62,5,84
2022-11-03,245,65,5,75
2022-11-04,207,68,5,79
2022-11-05,209,56,1,83
2022-11-06,275,46,1,116
2022-11-07,238,64,5,96
2022-11-08,238,75,2,99
2022-11-09,242,56,3,90
2022-11-10,162,63,3,64
2022-11-11,200,51,6,80
2022-11-12,215,54,3,97
2022-11-13,240,68,2,97
2022-11-14,213,52,1,100
2022-11-15,218,82,4,74
2022-11-16,194,62,4,67
2022-11-17,191,58,1,75
2022-11-18,200,56,1,77
2022-11-19,191,54,4,72
2022-11-20,227,65,-1,83
2022-11-21,201,69,1,80
2022-11-22,205,72,5,82
2022-11-23,225,66,1,83
2022-11-24,180,61,4,68
2022-11-25,177,55,0,72
2022-11-26,194,42,2,72
2022-11-27,257,71,0,102
2022-11-28,207,69,4,80
2022-11-29,203,77,4,76
2022-11-30,273,63,0,92
2022-12-01,204,81,1,86
2022-12-02,208,70,1,75
2022-12-03,229,69,0,79
2022-12-04,199,67,4,69
2022-12-05,182,59,2,69
2022-12-06,195,63,3,65
2022-12-07,195,72,2,67
2022-12-08,169,66,4,70
2022-12-09,197,51,1,76
2022-12-10,208,68,2,78
2022-12-11,206,62,0,66
2022-12-12,210,70,3,70
2022-12-13,222,57,1,85
2022-12-14,187,54,1,66
2022-12-15,238,81,1,83
2022-12-16,200,56,3,63
2022-12-17,227,65,5,78
2022-12-18,220,63,1,71
2022-12-19,250,83,4,75
2022-12-20,187,75,2,59
2022-12-21,253,83,5,97
2022-12-22,241,71,8,81
2022-12-23,239,95,5,75
2022-12-24,217,90,9,84
2022-12-25,406,129,0,169
2022-12-26,389,128,5,136
2022-12-27,437,125,5,145
2022-12-28,453,156,6,134
2022-12-29,491,164,5,154
2022-12-30,612,204,4,172
2022-12-31,745,236,4,180
2023-01-01,1199,295,4,337
2023-01-02,1041,486,6,300
2023-01-03,829,323,9,273
2023-01-04,588,261,6,193
2023-01-05,574,223,2,162
2023-01-06,466,168,4,135
2023-01-07,467,147,7,141
2023-01-08,456,128,3,142
2023-01-09,403,91,1,130
2023-01-10,441,106,5,141
2023-01-11,363,137,7,142
2023-01-12,377,45,2,149
2023-01-13,356,59,3,122
2023-01-14,372,113,9,133
2023-01-15,381,98,5,115
2023-01-16,407,120,3,137
2023-01-17,335,139,4,113
2023-01-18,334,100,3,109
2023-01-19,325,95,5,99
2023-01-20,246,76,5,95
2023-01-21,335,91,0,108
2023-01-22,337,101,4,120
2023-01-23,332,107,6,104
2023-01-24,340,99,2,103
2023-01-25,342,101,7,109
2023-01-26,297,98,3,93
2023-01-27,301,80,2,108
2023-01-28,312,80,5,112
2023-01-29,339,121,3,111
2023-01-30,296,101,4,124
2023-01-31,295,79,5,105
