date,added,ratings,reviews,to-read
2022-08-15,17,0,0,4
2022-08-16,15,4,0,4
2022-08-17,10,1,1,3
2022-08-18,6,3,0,3
2022-08-19,12,0,0,5
2022-08-20,11,0,0,4
2022-08-21,14,2,0,8
2022-08-22,11,4,0,0
2022-08-23,8,0,1,2
2022-08-24,15,2,0,3
2022-08-25,5,3,0,2
2022-08-26,12,2,0,3
2022-08-27,18,5,0,3
2022-08-28,8,-4,0,2
2022-08-29,7,-31,0,1
2022-08-30,13,3,0,2
2022-08-31,12,-6,0,2
2022-09-01,8,1,0,3
2022-09-02,14,3,1,2
2022-09-03,13,1,1,1
2022-09-04,12,7,1,3
2022-09-05,13,3,1,2
2022-09-06,11,-17,0,6
2022-09-07,9,1,1,2
2022-09-08,8,5,0,1
2022-09-09,10,5,0,3
2022-09-10,6,1,0,1
2022-09-11,16,1,1,3
2022-09-12,8,3,0,2
2022-09-13,9,1,0,3
2022-09-14,12,2,0,4
2022-09-15,7,1,0,3
2022-09-16,10,2,0,6
2022-09-17,7,-2,0,3
2022-09-18,12,-1,1,1
2022-09-19,13,2,0,5
2022-09-20,10,2,0,2
2022-09-21,8,5,2,0
2022-09-22,13,2,0,2
2022-09-23,8,-33,1,1
2022-09-24,7,1,0,0
2022-09-25,11,5,0,2
2022-09-26,16,-38,0,4
2022-09-27,10,-32,0,1
2022-09-28,4,-57,0,2
2022-09-29,9,-80,1,2
2022-09-30,11,3,0,2
2022-10-01,9,4,0,1
2022-10-02,8,-28,0,2
2022-10-03,6,-18,0,2
2022-10-04,4,1,0,0
2022-10-05,6,2,1,0
2022-10-06,10,3,0,2
2022-10-07,2,-1,0,1
2022-10-08,5,2,0,0
2022-10-09,7,-8,0,3
2022-10-10,12,3,0,2
2022-10-11,12,2,0,2
2022-10-12,12,-8,0,2
2022-10-13,7,0,0,1
2022-10-14,9,-40,0,4
2022-10-15,10,2,0,2
2022-10-16,10,-59,0,1
2022-10-17,5,-48,0,1
2022-10-18,6,-4,1,1
2022-10-19,13,5,0,5
2022-10-20,5,-1,0,1
2022-10-21,7,-5,0,2
2022-10-22,10,-5,0,5
2022-10-23,9,-56,0,5
2022-10-24,4,-66,0,1
2022-10-25,6,-49,0,2
2022-10-26,8,0,0,3
2022-10-27,12,0,1,2
2022-10-28,7,-1,0,2
2022-10-29,6,2,0,2
2022-10-30,13,0,0,1
2022-10-31,6,-15,0,2
2022-11-01,6,0,0,2
2022-11-02,7,2,0,2
2022-11-03,6,-13,0,1
2022-11-04,4,4,0,1
2022-11-05,9,1,0,2
2022-11-06,7,2,0,1
2022-11-07,10,2,0,1
2022-11-08,12,0,0,3
2022-11-09,8,0,0,1
2022-11-10,7,5,0,3
2022-11-11,6,1,0,2
2022-11-12,5,1,0,1
2022-11-13,14,2,0,3
2022-11-14,9,3,0,5
2022-11-15,11,-1,0,5
2022-11-16,18,5,0,5
2022-11-17,9,2,0,2
2022-11-18,12,3,0,2
2022-11-19,15,3,0,5
2022-11-20,12,6,0,3
2022-11-21,6,1,1,2
2022-11-22,9,2,0,1
2022-11-23,5,-2,0,0
2022-11-24,5,1,0,1
2022-11-25,7,2,0,3
2022-11-26,8,3,0,0
2022-11-27,11,3,0,3
2022-11-28,5,1,0,1
2022-11-29,8,4,0,2
2022-11-30,15,4,0,2
2022-12-01,10,-1,0,1
2022-12-02,10,3,1,2
2022-12-03,8,1,0,0
2022-12-04,6,1,0,1
2022-12-05,11,3,0,3
2022-12-06,15,4,0,5
2022-12-07,10,2,0,0
2022-12-08,7,2,1,2
2022-12-09,9,2,0,4
2022-12-10,9,4,1,4
2022-12-11,11,0,0,4
2022-12-12,11,-3,-1,1
2022-12-13,13,5,0,4
2022-12-14,6,3,0,1
2022-12-15,20,0,0,4
2022-12-16,8,2,0,3
2022-12-17,13,1,0,3
2022-12-18,21,6,0,8
2022-12-19,8,1,0,0
2022-12-20,5,-2,0,2
2022-12-21,12,3,0,1
2022-12-22,9,2,0,0
2022-12-23,10,4,0,2
2022-12-24,8,-1,0,3
2022-12-25,8,3,0,2
2022-12-26,11,-2,0,2
2022-12-27,12,1,0,2
2022-12-28,17,4,0,4
2022-12-29,15,1,0,3
2022-12-30,25,1,0,7
2022-12-31,21,7,0,2
2023-01-01,35,5,0,7
2023-01-02,32,9,0,1
2023-01-03,40,9,0,2
2023-01-04,15,5,1,1
2023-01-05,17,0,-3,3
2023-01-06,19,3,0,1
2023-01-07,17,5,1,2
2023-01-08,27,-2,0,8
2023-01-09,17,4,0,2
2023-01-10,12,3,1,2
2023-01-11,12,7,0,1
2023-01-12,14,-39,0,2
2023-01-13,16,-49,0,7
2023-01-14,13,5,0,2
2023-01-15,19,0,0,4
2023-01-16,25,10,1,4
2023-01-17,18,1,2,4
2023-01-18,21,1,0,9
2023-01-19,12,4,-1,3
2023-01-20,10,4,0,4
2023-01-21,9,-1,0,2
2023-01-22,9,1,0,1
2023-01-23,13,-2,0,3
2023-01-24,17,9,0,2
2023-01-25,12,5,1,1
2023-01-26,7,1,0,1
2023-01-27,17,2,0,4
2023-01-28,15,-2,0,1
2023-01-29,16,4,0,2
2023-01-30,8,2,0,1
2023-01-31,8,1,-1,0
