date,added,ratings,reviews,to-read
2022-08-15,12,7,0,5
2022-08-16,10,9,0,5
2022-08-17,12,5,2,0
2022-08-18,11,6,0,4
2022-08-19,10,3,0,1
2022-08-20,16,5,1,4
2022-08-21,16,3,0,6
2022-08-22,8,6,0,4
2022-08-23,11,1,0,4
2022-08-24,12,1,0,5
2022-08-25,11,4,1,4
2022-08-26,8,-4,0,1
2022-08-27,10,6,1,2
2022-08-28,12,-1,0,5
2022-08-29,9,0,0,5
2022-08-30,21,-3,0,4
2022-08-31,13,1,1,6
2022-09-01,12,2,0,5
2022-09-02,13,0,1,7
2022-09-03,16,5,0,3
2022-09-04,12,3,0,6
2022-09-05,14,6,0,4
2022-09-06,18,3,0,7
2022-09-07,9,4,0,2
2022-09-08,8,4,0,3
2022-09-09,11,-1,0,1
2022-09-10,13,7,2,3
2022-09-11,15,5,0,8
2022-09-12,12,4,0,4
2022-09-13,17,4,0,6
2022-09-14,10,3,0,1
2022-09-15,9,6,1,6
2022-09-16,13,4,0,2
2022-09-17,16,5,0,6
2022-09-18,8,2,0,2
2022-09-19,12,6,1,5
2022-09-20,9,5,0,4
2022-09-21,12,2,0,5
2022-09-22,8,2,0,4
2022-09-23,8,4,0,2
2022-09-24,12,3,0,6
2022-09-25,13,6,0,4
2022-09-26,10,6,0,3
2022-09-27,12,2,0,1
2022-09-28,18,5,0,6
2022-09-29,13,1,0,6
2022-09-30,14,5,0,2
2022-10-01,8,5,0,3
2022-10-02,16,7,0,4
2022-10-03,12,0,0,5
2022-10-04,13,3,0,4
2022-10-05,10,3,0,2
2022-10-06,1,5,0,0
2022-10-07,7,2,0,5
2022-10-08,12,3,0,5
2022-10-09,12,2,0,5
2022-10-10,13,5,0,2
2022-10-11,5,0,0,3
2022-10-12,9,1,0,2
2022-10-13,7,2,0,3
2022-10-14,13,8,0,4
2022-10-15,11,3,0,5
2022-10-16,8,2,0,0
2022-10-17,12,4,0,4
2022-10-18,7,2,0,1
2022-10-19,7,3,0,1
2022-10-20,12,4,1,2
2022-10-21,4,4,0,1
2022-10-22,15,5,0,5
2022-10-23,8,3,0,2
2022-10-24,12,5,0,3
2022-10-25,11,4,0,3
2022-10-26,4,5,0,1
2022-10-27,6,1,0,1
2022-10-28,9,2,0,5
2022-10-29,11,6,0,0
2022-10-30,6,4,0,3
2022-10-31,10,3,0,1
2022-11-01,13,1,1,4
2022-11-02,5,1,0,3
2022-11-03,6,0,1,1
2022-11-04,7,4,2,1
2022-11-05,11,5,0,4
2022-11-06,8,2,0,3
2022-11-07,9,0,0,3
2022-11-08,5,1,0,1
2022-11-09,13,3,0,7
2022-11-10,11,3,0,4
2022-11-11,10,1,0,6
2022-11-12,7,3,1,2
2022-11-13,6,0,0,3
2022-11-14,11,3,0,3
2022-11-15,7,2,0,2
2022-11-16,9,2,0,4
2022-11-17,6,2,0,1
2022-11-18,6,2,0,2
2022-11-19,6,2,0,1
2022-11-20,9,3,0,3
2022-11-21,8,2,0,1
2022-11-22,8,1,0,2
2022-11-23,7,1,0,1
2022-11-24,7,5,0,2
2022-11-25,12,3,0,1
2022-11-26,12,5,0,4
2022-11-27,6,2,0,3
2022-11-28,9,2,0,0
2022-11-29,7,5,0,0
2022-11-30,10,0,0,5
2022-12-01,12,4,0,6
2022-12-02,8,1,0,3
2022-12-03,8,1,0,2
2022-12-04,4,2,0,2
2022-12-05,10,1,0,3
2022-12-06,16,7,0,2
2022-12-07,7,7,1,0
2022-12-08,10,4,0,4
2022-12-09,6,7,0,1
2022-12-10,20,6,0,6
2022-12-11,20,3,0,6
2022-12-12,11,3,0,5
2022-12-13,13,5,1,2
2022-12-14,15,5,0,5
2022-12-15,10,6,0,3
2022-12-16,10,4,0,3
2022-12-17,19,6,0,2
2022-12-18,21,5,0,5
2022-12-19,10,5,0,3
2022-12-20,15,3,0,6
2022-12-21,18,6,1,3
2022-12-22,7,1,0,1
2022-12-23,13,4,0,2
2022-12-24,5,1,0,2
2022-12-25,12,0,0,4
2022-12-26,15,6,0,2
2022-12-27,27,5,1,10
2022-12-28,25,10,0,7
2022-12-29,14,6,0,3
2022-12-30,35,4,0,8
2022-12-31,28,6,0,8
2023-01-01,41,10,0,15
2023-01-02,44,11,0,15
2023-01-03,43,14,0,13
2023-01-04,33,9,0,10
2023-01-05,36,13,0,8
2023-01-06,29,13,1,7
2023-01-07,29,11,3,11
2023-01-08,25,3,0,8
2023-01-09,13,4,0,5
2023-01-10,17,6,0,7
2023-01-11,19,5,0,9
2023-01-12,19,7,0,4
2023-01-13,18,6,0,6
2023-01-14,20,4,0,5
2023-01-15,29,10,0,8
2023-01-16,21,5,1,5
2023-01-17,14,1,0,3
2023-01-18,18,9,0,5
2023-01-19,14,5,1,6
2023-01-20,10,6,0,4
2023-01-21,18,5,1,3
2023-01-22,14,6,1,5
2023-01-23,19,7,0,5
2023-01-24,17,5,0,3
2023-01-25,26,5,0,4
2023-01-26,17,9,0,5
2023-01-27,11,3,0,3
2023-01-28,16,-1,0,5
2023-01-29,23,9,0,8
2023-01-30,14,4,1,4
2023-01-31,14,7,0,5
