date,added,ratings,reviews,to-read
2022-08-15,23,1,1,4
2022-08-16,14,-4,0,6
2022-08-17,30,3,2,7
2022-08-18,20,8,0,9
2022-08-19,19,6,0,3
2022-08-20,16,2,1,3
2022-08-21,19,3,0,5
2022-08-22,17,2,1,9
2022-08-23,21,4,0,3
2022-08-24,24,-2,0,8
2022-08-25,17,-6,0,5
2022-08-26,18,2,0,3
2022-08-27,18,3,0,8
2022-08-28,31,4,2,4
2022-08-29,23,-16,1,8
2022-08-30,21,3,0,6
2022-08-31,21,0,0,5
2022-09-01,17,5,0,8
2022-09-02,23,6,0,10
2022-09-03,25,4,0,10
2022-09-04,26,5,1,5
2022-09-05,19,4,2,6
2022-09-06,19,-28,0,4
2022-09-07,21,3,0,2
2022-09-08,9,1,0,2
2022-09-09,17,0,1,3
2022-09-10,22,1,0,12
2022-09-11,23,0,0,5
2022-09-12,14,4,0,2
2022-09-13,23,2,1,10
2022-09-14,12,-4,1,0
2022-09-15,18,3,0,1
2022-09-16,13,8,1,5
2022-09-17,14,4,1,5
2022-09-18,13,3,0,6
2022-09-19,29,4,1,15
2022-09-20,13,1,1,5
2022-09-21,20,8,0,4
2022-09-22,14,0,0,3
2022-09-23,20,-36,1,7
2022-09-24,15,1,0,4
2022-09-25,14,1,0,4
2022-09-26,13,-41,0,6
2022-09-27,18,-81,1,6
2022-09-28,24,-63,1,8
2022-09-29,9,-81,1,3
2022-09-30,10,2,0,4
2022-10-01,14,3,0,6
2022-10-02,19,-18,0,6
2022-10-03,11,-18,0,2
2022-10-04,12,6,-1,6
2022-10-05,7,1,0,4
2022-10-06,15,0,0,2
2022-10-07,14,8,3,4
2022-10-08,12,-2,0,1
2022-10-09,15,-1,0,5
2022-10-10,20,5,1,5
2022-10-11,13,-3,2,4
2022-10-12,15,-30,0,8
2022-10-13,16,0,0,6
2022-10-14,13,-36,0,1
2022-10-15,8,0,0,4
2022-10-16,9,-51,0,1
2022-10-17,13,-48,0,3
2022-10-18,15,-18,0,8
2022-10-19,17,3,0,6
2022-10-20,8,-1,1,3
2022-10-21,15,-8,1,5
2022-10-22,13,0,0,2
2022-10-23,11,-58,0,4
2022-10-24,9,-44,0,3
2022-10-25,7,-67,0,3
2022-10-26,14,-1,1,6
2022-10-27,19,2,1,3
2022-10-28,21,5,0,9
2022-10-29,15,1,-1,5
2022-10-30,14,-10,0,1
2022-10-31,13,-26,0,4
2022-11-01,26,1,1,7
2022-11-02,12,1,0,4
2022-11-03,11,-18,0,5
2022-11-04,19,3,0,7
2022-11-05,18,0,0,5
2022-11-06,16,-5,0,4
2022-11-07,14,4,1,1
2022-11-08,9,-2,0,5
2022-11-09,7,0,0,4
2022-11-10,13,0,0,4
2022-11-11,15,2,1,7
2022-11-12,13,5,1,2
2022-11-13,17,3,1,6
2022-11-14,8,1,0,3
2022-11-15,13,0,0,4
2022-11-16,20,2,0,8
2022-11-17,8,-2,0,3
2022-11-18,22,3,0,9
2022-11-19,16,7,1,3
2022-11-20,14,1,1,4
2022-11-21,10,8,0,0
2022-11-22,15,3,0,4
2022-11-23,10,2,1,2
2022-11-24,12,-2,1,1
2022-11-25,14,7,1,2
2022-11-26,17,-2,0,8
2022-11-27,17,3,0,4
2022-11-28,10,1,0,2
2022-11-29,14,11,1,2
2022-11-30,14,5,0,3
2022-12-01,14,1,0,3
2022-12-02,11,5,1,4
2022-12-03,14,3,1,4
2022-12-04,9,0,1,3
2022-12-05,10,2,1,3
2022-12-06,10,1,0,2
2022-12-07,14,6,0,2
2022-12-08,11,-1,0,2
2022-12-09,9,2,0,3
2022-12-10,11,1,1,5
2022-12-11,13,-3,0,5
2022-12-12,16,0,2,7
2022-12-13,20,1,1,7
2022-12-14,14,-1,0,8
2022-12-15,16,0,0,7
2022-12-16,15,4,1,2
2022-12-17,10,3,0,3
2022-12-18,23,-1,0,6
2022-12-19,15,-1,1,5
2022-12-20,15,-1,0,5
2022-12-21,15,1,0,10
2022-12-22,16,3,0,9
2022-12-23,15,1,0,4
2022-12-24,9,2,0,5
2022-12-25,7,-1,0,1
2022-12-26,13,-6,0,5
2022-12-27,26,-1,2,6
2022-12-28,22,1,0,3
2022-12-29,21,-2,2,2
2022-12-30,41,10,0,9
2022-12-31,35,2,0,4
2023-01-01,46,0,0,12
2023-01-02,53,4,0,13
2023-01-03,45,9,1,9
2023-01-04,34,0,1,7
2023-01-05,31,1,0,7
2023-01-06,30,-7,0,8
2023-01-07,25,-4,0,5
2023-01-08,31,0,1,10
2023-01-09,36,1,1,10
2023-01-10,32,2,0,9
2023-01-11,19,0,0,7
2023-01-12,37,-65,1,9
2023-01-13,19,-65,0,5
2023-01-14,18,0,-1,4
2023-01-15,38,3,1,14
2023-01-16,29,3,1,6
2023-01-17,28,0,0,7
2023-01-18,28,0,1,9
2023-01-19,17,4,0,4
2023-01-20,19,-4,0,11
2023-01-21,24,0,1,8
2023-01-22,21,4,1,9
2023-01-23,28,0,2,9
2023-01-24,22,3,4,8
2023-01-25,24,-1,0,6
2023-01-26,19,-1,0,4
2023-01-27,17,0,0,5
2023-01-28,14,-3,0,2
2023-01-29,30,5,0,10
2023-01-30,20,3,1,3
2023-01-31,35,1,1,10
