Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
474858,A Bad Case of Stripes,Rebecca,123,20,1,"July 16, 2014","My daughter is in 1st grade (age 6) and is TERRIFIED of this book. I realize it is very, very popular but my daughter has a great imagination and now she is very scared of eating orange, green, and blue foods. She pretty much only eats pink/red and white foods now. We got this book as a gift from my father when she was 4 and it scared her. We asked her preschool class to put it behind other books so she wouldn't see it in the book area (if she did see it, she wouldn't go near it). In kindergarten we warned her teacher and it wasn't an issue. Now in 1st grade I have warned her new teacher however I know it is in the classroom and she is scared of it. Today the principal read the first half during lunchtime and she covered her ears but could not block the sound. She is dreading lunchtime tomorrow when he will finish the book (and go through the part where the girl is all stripes).(She ended up eating lunch in the school office that day so she wouldn't have to hear the story.)SO if you have a sensitive child like I do, I urge some caution with this book. Never mind the author's intended message, some kids will be freaked out by the possibility of foods causing them to change colors and may suffer anxiety for months, or years, to come.",40,46
474858,A Bad Case of Stripes,Natalie,238,44,1,"March 17, 2014","I know that this is popular and I get what the book is trying to say about not worrying about what other people think, but I was freaking terrified of this book when I was a kid. In fact, I'm still creeped out to this day. The visuals and some of the stuff that happened to the main character was just terrifying. It's not a bad book, it really isn't, but it scared the crap out of me and I will not go anywhere NEAR that book. So a big round of applause to you who love this book, cuz I sure as hell didn't. ",30,11
474858,A Bad Case of Stripes,Ronyell,956,319,5,"March 15, 2015","“A Bad Case of Stripes” is a story about how peer pressure literally can affect a person. David Shannon, author of the popular “David” series, has created a surreal yet enchanting tale that will gain attention from both kids and adults.“A Bad Case of Stripes” has one of the most creative illustrations I have ever seen. David Shannon takes care in making each character as colorful as they can be and masterfully illustrates Camilla’s odd situation by adding vivid colors to each transformation that Camilla takes on. Also, the moral of the story about being yourself is greatly defined here when Camilla goes through more awkward transformations when she does not admit that she loves lima beans. The story teaches people that no matter what anyone says about you, you should always be yourself no matter what.“A Bad Case of Stripes” is truly a book that can not be missed and the story’s heroine, Camilla, clearly defines the meaning of peer pressure sometimes having positive or negative influences on people. Of course, I would strongly advise parents to read this book first before they show it to children ages five or younger since it contains many frightening images that would not be suitable for children.Review is also on: Rabbit Ears Book Blog",29,8
474858,A Bad Case of Stripes,Faloni ©,"2,131",5,5,"January 12, 2022","A Bad Case of Stripes is being used in our classroom to discuss self-identity, bullying, and respect. Camilla’s treatment by her classmates is not nice. The book prompts students to think about what can be done to develop stronger sense of self-worth and positive communication. Our world is filled with so many competitive demands, it’s important to treat children like royalty and empower them with praise for they won’t feel like they’re being counted out. Always remember that children are living, breathing human beings who have needs to be respected, accepted, appreciated, to feel important and secure.",24,N/A
474858,A Bad Case of Stripes,Tan Markovic,333,135,3,"April 2, 2020","Nice message, creepy as hell.",18,1 comment
474858,A Bad Case of Stripes,Amina,336,89,3,"December 9, 2021","Only if being yourself and eating what you wanted were that easy. I remember my mom use to send me to school with traditional food and I use to sweat and feel anxious before opening my little care bear lunch box. Alas, a 6-year-old in 2021 presenting as different is so woke!The little girl eats lima beans and she ends up getting stripes and made fun of at school. The only cure, be yourself. No matter how much you try, being different isn't easy for everyone. The book came along with a great message, my 4-year-old liked it, but probably didn't love it. I think older kids can appreciate the book a bit more. My tryphobia kicked on the page where she becomes a pill bottle. Overall, it wasn't bad. ",16,N/A
474858,A Bad Case of Stripes,Chantal,827,113,4,"January 28, 2023",This is a story about peer pressure and not having enough confidence in yourself to stand up for something you like or want. This book has beautiful art drawings in it and a great way of telling the story. Nice colors and funny characters.This book is in the 1001 Children's Books You Must Read Before You Grow Up challenge I am doing.,13,N/A
474858,A Bad Case of Stripes,Lisa Vegan,"2,734",1200,4,"August 27, 2008","This is a fun and colorful, very colorful!, book with a great message about not being afraid to be true to yourself and not caring so much about what other people think of you. It uses humor in a way that’s fun for kids, and the moral is clear but doesn’t overpower the story. The story seemed to end slightly too abruptly to me, but overall it was very enjoyable.",13,3
474858,A Bad Case of Stripes,midnightfaerie,"1,907",118,5,"June 28, 2013","What an absolutely wonderful book! Such an original idea that teaches such a simple lesson! And the illustrations were so detailed! This is definitely one I'll be adding to our library when I get the chance. Probably a level 3 or 4 reading level at least, but something a parent would enjoy reading to a kid of any age. Camilla is scared what people will think of her on her first day of school, but it turns out she doesn't need to worry because she comes down with a case of the stripes, her whole body looking like a brightly colored rainbow. Halfway through reading this with my children I felt like the kid in the back of the class that's going ""Ooh! Ohh! I know what's gonna happen!"" as I frantically wave my hand. (Why do I get an image of Horshack and the sweathogs when I say that, and jeez, did that date me?) Anyway, we loved this book, and highly recommend it.",12,N/A
474858,A Bad Case of Stripes,Eli,677,107,5,"May 17, 2016","Wow. The artwork for this is really nice, but the message is what really struck me as amazing. The story is basically about how conformity destroys your individuality. In simpler terms, not doing something you really love because everyone thinks it's weird (like eating lima beans) turns you into something you're not (like a striped girl with a tail and tree trunk legs). Such a great story.",12,N/A
