Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
270067,A Pocket for Corduroy,Ahmad Sharabiani,"9,568",55500,4,"March 17, 2022","A Pocket for Corduroy (Corduroy), Don FreemanA timeless classic from Don Freeman's story of a beloved teddy bear and his friend Lisa. In this sequel to Corduroy, Lisa takes her toy bear to a Laundromat, where he goes on a soapy adventure! When doing their laundry, Corduroy hears Lisa'a mother asking her to check her pockets before they put her clothes in the wash. ... After a series of adventures, Corduroy, while looking for materials to make a pocket, gets stuck in a basket of clothes until he is found the next morning by the laundry owner. Corduroy reunites with Lisa, Lisa immediately takes him home to sew a pocket on Corduroy's clothes so Corduroy can carry a name card with her.تاریخ نخستین خوانش روز هفتم ماه مارس سال2022میلادیعنوان: مواظب خرسم هستم؛ نویسنده و تصویرگر: دان فریمن؛ مترجم: سودابه فرخنده؛ واحد ترجمه‌ی آکادمی هوش مالی؛ تهران، نشر قدیانی، کتاب‌‌‌‌های بنفشه، سال1400؛ در32ص؛ شابک9786000814335؛ مصور رنگی؛ گروه سنی الف؛ ‬موضوع داستانهای کودکان از نویسندگان ایالات متحده آمریکا - سده20ملیزا، خرس عروسکی خودش را که نامش «کوردورو» است، در یک خشکشویی گم میکند؛ پس از یک سری ماجراجویی، در حالی که «کوردورو» به دنبال موادی برای ساختن یک جیب است، در یک سبد لباس گیر میافتد، تا اینکه صبح روز دیگر صاحب لباسشویی او را مییابد؛ «کوردورو» دوباره با «لیزا» یگانه میشود، «لیزا» بی درنگ او را به خانه میبرد، تا یک جیب به لباس «کوردورو» بدوزد، تا «کوردورو» بتواند یک کارت نام با خود همراه داشته باشدتاریخ بهنگام رسانی 25/12/1400هجری خورشیدی؛ ا. شربیانی",67,6
270067,A Pocket for Corduroy,Chantal,827,113,4,"March 9, 2020","Teddy bear Corduroy decides he needs a pocket one day when he visits the Laundromat. I really liked the story, although it is a shame that the drawings miss color. Too much yellow/purple and black. This could have been so much better, but still 4 points.This book is in the 1001 Children's Books You Must Read Before You Grow Up challenge I am doing.",8,1 comment
270067,A Pocket for Corduroy,Stacy,"1,004",91,4,"April 14, 2018","Lovable Corduroy Bear realizes his overalls don't have a pocket. On a mission to find something that would make a suitable pocket, he gets left in a laudromat over night. Nice sequel to the first. ",7,N/A
270067,A Pocket for Corduroy,Abigail,"7,083",173,4,"August 31, 2019","In this follow-up to his classic picture-book 
  Corduroy
, which saw a lonely stuffed bear exploring a department store at night, looking for a button, Don Freeman once again sends his adorable ursine hero on an unexpected quest: this time for a pocket. When Lisa, the little girl who took him home in the first book, brings him with her to the laundromat, Corduroy overhears a conversation that convinces him he needs a pocket. Never loathe to go exploring, he sets out to find one, becoming separated from his little girl, and having an overnight adventure in the laundromat as a result. Will he ever be reunited with Lisa? Will he find his pocket...?There's never much doubt as to that, in this feel-good picture-book, but that's OK - with its charming artwork and a winsome little hero, A Pocket for Corduroy makes for an enjoyable read, regardless. I didn't love it like I did the first, which was one of my favorites as a girl, but it was still a fun little book, with the same kind of fantasy appeal - what do those toys get up to, when we're not there...? - that made 
  Corduroy
 a success.",6,N/A
270067,A Pocket for Corduroy,Sharon Barrow Wilfong,"1,117",3942,5,"July 25, 2018","A timeless classic from Don Freeman, one of my favorite children's authors.The plot is the simple story of a little girl going to the laundromat with her mother. She brings her bear, Corduroy, who bored, decides to explore. He ends up getting left behind and spends the night at the laundromat. Small children have such a strong sense of wonder that a stuffed bear getting stuck in a laundromat over night is high adventure. I know because I remember loving this book when I was very young.",5,N/A
270067,A Pocket for Corduroy,Matthew,501,17,3,"August 23, 2016","To check out my review: http://dancinginth3dark.blogspot.com
  
    I wish this book was never written.
  
The entire time as I was reading this book I kept having this thought that Corduroy is going to turn into Chucky and kill the little girl. This bear creeps me out and this is meant for children. I believe the author could have written Corduroy as a standalone and you wouldn't hear any complaints for a sequel.We meet Corduroy again and he speaks like it is no big deal that a stuffed teddy bear can speak and communicate to humans. He tags along with his best friend and her mother to the laundromat to wash clothes. The girl puts Corduroy down on a seat and tells him not to move. Then he discovers that pants and jeans have pockets and he wants one. So he gets off the chair and explores other peoples clothes to find fabric to make a pocket.The girl starts to panic trying to find Corduroy but no luck because the laundromat is going to close soon and her mother has a zero tolerance for this type of dilemma and they leave the store and Corduroy is left behind inside for the night. He gets to explore the laundromat and unfortunately cannot find fabric for a button and falls asleep. Come the next day the girl returns and finds him and they live happily ever after as she sews a pocket for Corduroy.Can I mention again how creepy and weird it is that the girl accepts a talking teddy bear like it is no big deal? I know this book is a work of fiction but I cannot help myself think about the real world and if I met a talking teddy bear I would scream and panic. I love Toy Story, Ted, and countless other films that deals with personifying inanimate objects but I wish I will never see that happening in our real world. I was disappointed with this book and felt like it was written for the sole purpose of making money from the iconic first book. This is the last book in the series written by the author caused he passed away a few years later when he published this book and I've seen they have written countless books of Corduroy under other authors and I have no desire to read them. Until next time...",4,N/A
270067,A Pocket for Corduroy,Alysia  Hernandez,109,11,2,"November 4, 2022",My mom used to read these to me as a child. Corduroy was always a favorite.,4,N/A
270067,A Pocket for Corduroy,Aneesa,"1,327",2,4,"March 26, 2018",This is basically a nightmare scenario.,3,N/A
270067,A Pocket for Corduroy,JTownsend,22,1 follower,4,"September 17, 2017"," I liked the diversity in this book. It wasn't in your face, it just was. The human characters were likable and the reader could relate to their feelings and actions. The colors, patterns and textures depicted in the drawings encourage the reader to stop and examine them. This adds to the story. I wasn't as drawn to the character of Corduroy. If not for the supporting characters and the well done drawings I would have given this a 3 rating. I found the supporting characters more likable and inspiring than the bear. This story encourages us to look for beauty in the world around us and let it inspire you. If you don't notice it in the colors and textures or in the the beauty of the how the characters are drawn in relation to each other, the artist comes right out and says it, "" This would make a wonderful painting!...I can hardly wait to get back to my studio."" Corduroy is a creative thinker and finds inspiration in laundry soap, bags of wash and laundry baskets. It is a caring story. Lisa cares for Corduroy, Lisa's mother cares for her, the artist takes care of Corduroy and the manager is helpful to Lisa when finding Corduroy. Corduroy, well, he wants a pocket. Which he gets in the end. One with his name in it.  I would use this to inspire creativity in young children and to remind them to always let an adult know where they are. It would make a nice lead in to an art project or a safety lesson.",3,N/A
270067,A Pocket for Corduroy, Mummy Cat Claire,835,15,3,"October 23, 2019","I read this book to my child as it was listed on a homeschool study unit I have been following. Corduroy lives in the big city with his person, Lisa. Lisa tells Corduroy to stay put in a chair but he doesn't listen. He gets the idea that he needs a pocket and decides to look around the laundromat for one. What he finds is a bag of wet clothes and he is almost put into a dryer. After spending the night alone in the laundromat, Corduroy is reunited with Lisa the next morning. My child didn't really take to this story so much. We talked about big cities and how people live in apartments that don't have a washer and dryer. I don't think she got this concept. The story also has some bigger words. We had a worksheet that was cut and paste for some of the vocabulary words in the book. That was enjoyable. We also discussed cultural differences and occupations of people. Lastly, we tried doing a load of laundry at our house and this was fun.I would recommend this story for children who would be interested in learning about how to live in a big city with a lot of different people. The book shows diversity very well. Perhaps, the age of the book could be moved to up to 8. I don't think this story would be limited to just pre-schoolers. ",2,N/A
