Title,URL
Charlotte's Web,https://www.goodreads.com/book/show/24178.Charlotte_s_Web
Where the Wild Things Are,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
The Giving Tree,https://www.goodreads.com/book/show/370493.The_Giving_Tree
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone
Green Eggs and Ham,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
Where the Sidewalk Ends,https://www.goodreads.com/book/show/30119.Where_the_Sidewalk_Ends
Matilda,https://www.goodreads.com/book/show/39988.Matilda
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
The Secret Garden,https://www.goodreads.com/book/show/2998.The_Secret_Garden
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
The Little Prince,https://www.goodreads.com/book/show/157993.The_Little_Prince
"The Cat in the Hat (The Cat in the Hat, #1)",https://www.goodreads.com/book/show/233093.The_Cat_in_the_Hat
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
The Very Hungry Caterpillar,https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar
"A Wrinkle in Time (Time Quintet, #1)",https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
Goodnight Moon,https://www.goodreads.com/book/show/32929.Goodnight_Moon
James and the Giant Peach,https://www.goodreads.com/book/show/6689.James_and_the_Giant_Peach
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
"Oh, the Places You'll Go!",https://www.goodreads.com/book/show/191139.Oh_the_Places_You_ll_Go_
The BFG,https://www.goodreads.com/book/show/6319.The_BFG
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",https://www.goodreads.com/book/show/99107.Winnie_the_Pooh
"Anne of Green Gables (Anne of Green Gables, #1)",https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables
How the Grinch Stole Christmas!,https://www.goodreads.com/book/show/113946.How_the_Grinch_Stole_Christmas_
The Velveteen Rabbit,https://www.goodreads.com/book/show/144974.The_Velveteen_Rabbit
The Lorax,https://www.goodreads.com/book/show/7784.The_Lorax
"The Wonderful Wizard of Oz (Oz, #1)",https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz
The Witches,https://www.goodreads.com/book/show/6327.The_Witches
