date,added,ratings,reviews,to-read
2022-08-15,23,5,1,3
2022-08-16,21,9,0,6
2022-08-17,24,12,0,5
2022-08-18,22,11,1,3
2022-08-19,26,8,0,11
2022-08-20,9,6,0,1
2022-08-21,22,8,0,5
2022-08-22,20,8,0,6
2022-08-23,31,4,-1,8
2022-08-24,24,12,1,7
2022-08-25,25,13,0,5
2022-08-26,25,8,0,5
2022-08-27,21,12,0,3
2022-08-28,15,9,0,3
2022-08-29,26,7,2,9
2022-08-30,26,9,0,7
2022-08-31,28,10,1,4
2022-09-01,24,11,0,9
2022-09-02,20,2,0,3
2022-09-03,18,10,0,7
2022-09-04,22,5,0,6
2022-09-05,28,18,1,4
2022-09-06,21,13,3,3
2022-09-07,17,11,1,2
2022-09-08,19,8,0,2
2022-09-09,28,19,3,2
2022-09-10,23,11,0,9
2022-09-11,21,16,1,2
2022-09-12,27,20,0,7
2022-09-13,23,12,1,2
2022-09-14,18,10,0,4
2022-09-15,18,8,0,5
2022-09-16,10,4,0,2
2022-09-17,20,4,0,6
2022-09-18,19,10,0,7
2022-09-19,19,5,0,4
2022-09-20,17,1,0,5
2022-09-21,21,13,1,5
2022-09-22,18,10,1,4
2022-09-23,17,2,1,2
2022-09-24,25,12,-1,7
2022-09-25,21,9,0,6
2022-09-26,13,5,-1,3
2022-09-27,20,-2,0,2
2022-09-28,23,1,0,6
2022-09-29,12,-29,0,2
2022-09-30,26,19,0,0
2022-10-01,15,8,1,6
2022-10-02,24,6,1,7
2022-10-03,27,16,0,5
2022-10-04,16,9,1,3
2022-10-05,20,8,0,5
2022-10-06,35,16,1,5
2022-10-07,17,4,1,8
2022-10-08,14,12,1,3
2022-10-09,18,-3,0,3
2022-10-10,16,7,1,2
2022-10-11,24,2,0,4
2022-10-12,20,2,1,4
2022-10-13,13,10,1,2
2022-10-14,25,3,0,4
2022-10-15,17,9,1,3
2022-10-16,15,-9,0,3
2022-10-17,28,-11,1,4
2022-10-18,22,7,1,4
2022-10-19,22,13,-1,5
2022-10-20,17,11,0,4
2022-10-21,20,7,1,3
2022-10-22,16,1,0,3
2022-10-23,17,-50,0,4
2022-10-24,20,-33,0,7
2022-10-25,11,6,0,1
2022-10-26,10,4,0,3
2022-10-27,28,11,0,8
2022-10-28,10,7,0,1
2022-10-29,16,7,0,4
2022-10-30,24,6,0,6
2022-10-31,19,10,0,6
2022-11-01,24,9,0,3
2022-11-02,17,10,1,3
2022-11-03,26,1,0,7
2022-11-04,19,12,1,4
2022-11-05,15,9,0,5
2022-11-06,24,7,1,9
2022-11-07,26,8,-1,6
2022-11-08,22,9,1,3
2022-11-09,20,19,3,1
2022-11-10,15,6,0,6
2022-11-11,32,14,0,8
2022-11-12,17,8,0,4
2022-11-13,20,7,0,1
2022-11-14,17,8,0,5
2022-11-15,26,8,0,4
2022-11-16,33,21,1,6
2022-11-17,18,10,0,2
2022-11-18,18,12,3,3
2022-11-19,19,9,0,4
2022-11-20,21,8,0,4
2022-11-21,20,13,0,6
2022-11-22,16,8,0,5
2022-11-23,11,6,0,5
2022-11-24,14,8,0,4
2022-11-25,16,3,0,7
2022-11-26,18,5,0,6
2022-11-27,24,4,0,6
2022-11-28,20,9,5,7
2022-11-29,13,2,0,7
2022-11-30,31,8,0,5
2022-12-01,15,10,1,4
2022-12-02,15,8,0,4
2022-12-03,15,8,2,3
2022-12-04,16,6,0,4
2022-12-05,18,11,0,3
2022-12-06,21,8,0,3
2022-12-07,20,13,0,6
2022-12-08,16,11,0,2
2022-12-09,12,4,0,1
2022-12-10,24,8,3,3
2022-12-11,20,11,0,6
2022-12-12,22,13,1,4
2022-12-13,19,8,0,3
2022-12-14,19,18,1,4
2022-12-15,13,6,0,2
2022-12-16,19,8,0,4
2022-12-17,12,11,0,4
2022-12-18,25,2,0,5
2022-12-19,16,14,1,4
2022-12-20,20,4,0,6
2022-12-21,20,9,0,5
2022-12-22,19,11,0,3
2022-12-23,16,6,1,5
2022-12-24,22,8,0,6
2022-12-25,49,14,0,18
2022-12-26,34,19,-1,8
2022-12-27,29,17,0,8
2022-12-28,28,15,1,5
2022-12-29,37,19,1,11
2022-12-30,41,14,1,8
2022-12-31,46,23,1,7
2023-01-01,68,16,0,10
2023-01-02,48,32,0,7
2023-01-03,50,26,-2,8
2023-01-04,41,16,0,8
2023-01-05,40,19,-1,7
2023-01-06,48,31,0,7
2023-01-07,31,14,0,6
2023-01-08,27,9,0,3
2023-01-09,42,26,1,6
2023-01-10,42,22,0,4
2023-01-11,30,15,-1,10
2023-01-12,29,-1,1,6
2023-01-13,27,-4,1,7
2023-01-14,29,8,1,6
2023-01-15,21,10,0,5
2023-01-16,18,3,-1,5
2023-01-17,29,7,1,7
2023-01-18,22,5,1,7
2023-01-19,22,5,2,5
2023-01-20,35,19,2,8
2023-01-21,25,8,0,6
2023-01-22,22,8,2,5
2023-01-23,31,9,1,8
2023-01-24,28,16,2,3
2023-01-25,25,12,-1,8
2023-01-26,27,6,0,5
2023-01-27,23,15,0,4
2023-01-28,30,11,0,8
2023-01-29,20,8,2,5
2023-01-30,23,13,2,3
2023-01-31,18,6,1,5
