date,added,ratings,reviews,to-read
2022-08-15,20,2,0,5
2022-08-16,11,4,2,4
2022-08-17,16,7,3,5
2022-08-18,12,6,3,4
2022-08-19,18,2,1,7
2022-08-20,22,6,1,7
2022-08-21,15,8,1,3
2022-08-22,15,5,0,1
2022-08-23,14,7,0,4
2022-08-24,14,4,0,4
2022-08-25,10,3,0,4
2022-08-26,16,3,1,3
2022-08-27,12,4,1,4
2022-08-28,18,4,0,5
2022-08-29,14,1,0,7
2022-08-30,21,2,2,2
2022-08-31,16,2,0,6
2022-09-01,13,6,-1,3
2022-09-02,20,0,0,5
2022-09-03,14,-1,0,5
2022-09-04,10,-1,0,4
2022-09-05,17,8,0,3
2022-09-06,15,-5,0,4
2022-09-07,23,3,1,9
2022-09-08,14,1,0,4
2022-09-09,13,2,0,1
2022-09-10,23,5,1,8
2022-09-11,19,11,0,6
2022-09-12,23,7,0,7
2022-09-13,23,5,0,6
2022-09-14,12,1,1,8
2022-09-15,15,6,0,7
2022-09-16,11,4,0,5
2022-09-17,11,3,0,6
2022-09-18,28,9,2,5
2022-09-19,19,8,0,8
2022-09-20,22,5,1,9
2022-09-21,11,5,1,3
2022-09-22,26,14,1,8
2022-09-23,20,-4,1,5
2022-09-24,12,7,0,2
2022-09-25,19,4,1,3
2022-09-26,11,-1,1,3
2022-09-27,20,-4,1,5
2022-09-28,17,-12,1,7
2022-09-29,10,-40,0,4
2022-09-30,16,7,2,2
2022-10-01,17,4,1,6
2022-10-02,15,0,0,3
2022-10-03,26,0,0,4
2022-10-04,13,5,2,3
2022-10-05,17,2,-1,6
2022-10-06,20,9,0,6
2022-10-07,22,11,0,8
2022-10-08,13,6,0,2
2022-10-09,23,3,0,4
2022-10-10,14,4,0,6
2022-10-11,17,7,0,6
2022-10-12,14,0,0,5
2022-10-13,12,4,0,3
2022-10-14,9,-11,0,2
2022-10-15,19,1,0,8
2022-10-16,21,-18,2,2
2022-10-17,20,-21,1,6
2022-10-18,12,-9,0,2
2022-10-19,13,7,1,4
2022-10-20,16,1,0,6
2022-10-21,13,-7,2,3
2022-10-22,22,-4,0,5
2022-10-23,20,-40,2,4
2022-10-24,22,-41,0,4
2022-10-25,11,7,2,5
2022-10-26,14,3,1,3
2022-10-27,12,2,0,2
2022-10-28,14,5,1,2
2022-10-29,14,5,1,3
2022-10-30,27,5,1,5
2022-10-31,11,9,1,1
2022-11-01,22,7,0,9
2022-11-02,11,0,0,5
2022-11-03,11,-11,0,3
2022-11-04,14,2,0,5
2022-11-05,17,6,1,5
2022-11-06,22,4,2,7
2022-11-07,18,5,0,6
2022-11-08,13,5,1,5
2022-11-09,15,5,1,5
2022-11-10,8,0,0,3
2022-11-11,11,4,2,4
2022-11-12,12,7,0,4
2022-11-13,17,3,0,6
2022-11-14,18,3,0,6
2022-11-15,25,4,0,6
2022-11-16,15,4,0,5
2022-11-17,19,3,1,7
2022-11-18,16,8,3,5
2022-11-19,16,4,0,3
2022-11-20,10,9,2,3
2022-11-21,11,1,1,4
2022-11-22,14,7,1,3
2022-11-23,19,7,0,4
2022-11-24,10,0,0,4
2022-11-25,8,0,0,3
2022-11-26,14,5,0,4
2022-11-27,18,11,0,2
2022-11-28,9,6,1,1
2022-11-29,13,5,0,6
2022-11-30,16,6,1,3
2022-12-01,15,5,1,3
2022-12-02,13,5,0,3
2022-12-03,16,3,0,4
2022-12-04,15,11,1,5
2022-12-05,13,3,2,3
2022-12-06,18,4,0,4
2022-12-07,8,1,0,4
2022-12-08,14,4,0,4
2022-12-09,21,10,1,4
2022-12-10,17,4,1,2
2022-12-11,17,5,1,5
2022-12-12,17,7,1,3
2022-12-13,19,5,1,8
2022-12-14,18,8,0,4
2022-12-15,21,10,0,5
2022-12-16,18,5,0,5
2022-12-17,17,6,0,5
2022-12-18,22,7,0,11
2022-12-19,16,5,2,5
2022-12-20,16,5,3,3
2022-12-21,12,10,0,2
2022-12-22,23,7,0,4
2022-12-23,13,5,0,2
2022-12-24,13,3,0,4
2022-12-25,26,8,1,6
2022-12-26,17,6,1,3
2022-12-27,24,3,0,8
2022-12-28,32,10,1,10
2022-12-29,29,11,1,7
2022-12-30,43,13,3,6
2022-12-31,42,14,1,10
2023-01-01,54,20,1,13
2023-01-02,29,14,1,6
2023-01-03,32,7,0,7
2023-01-04,36,13,1,8
2023-01-05,18,3,0,5
2023-01-06,23,13,2,4
2023-01-07,18,7,1,6
2023-01-08,25,7,2,0
2023-01-09,23,5,0,4
2023-01-10,24,7,1,5
2023-01-11,17,11,0,5
2023-01-12,21,-13,2,8
2023-01-13,26,-9,3,5
2023-01-14,16,10,0,5
2023-01-15,35,8,0,7
2023-01-16,21,4,2,6
2023-01-17,19,9,2,3
2023-01-18,20,2,0,11
2023-01-19,15,2,1,5
2023-01-20,22,4,0,5
2023-01-21,10,3,0,4
2023-01-22,23,8,1,8
2023-01-23,18,13,0,3
2023-01-24,23,7,0,7
2023-01-25,22,6,0,8
2023-01-26,20,9,0,7
2023-01-27,16,-1,0,3
2023-01-28,28,6,1,11
2023-01-29,18,-1,2,5
2023-01-30,11,10,0,3
2023-01-31,12,2,1,6
