date,added,ratings,reviews,to-read
2022-08-15,153,66,1,35
2022-08-16,130,55,1,33
2022-08-17,126,59,0,28
2022-08-18,138,75,0,36
2022-08-19,115,61,0,31
2022-08-20,114,35,0,38
2022-08-21,121,50,0,37
2022-08-22,139,53,1,39
2022-08-23,153,72,0,45
2022-08-24,131,64,0,44
2022-08-25,130,59,0,35
2022-08-26,91,44,0,26
2022-08-27,108,59,1,27
2022-08-28,102,23,0,35
2022-08-29,116,41,1,31
2022-08-30,107,40,-1,26
2022-08-31,104,43,-1,32
2022-09-01,118,46,1,28
2022-09-02,109,52,0,23
2022-09-03,109,41,0,37
2022-09-04,92,29,0,23
2022-09-05,119,46,0,38
2022-09-06,125,46,1,40
2022-09-07,116,54,2,28
2022-09-08,109,54,0,29
2022-09-09,116,44,0,37
2022-09-10,123,53,2,33
2022-09-11,136,55,1,38
2022-09-12,105,40,0,36
2022-09-13,113,32,0,25
2022-09-14,88,40,0,29
2022-09-15,83,30,0,29
2022-09-16,93,50,2,24
2022-09-17,83,37,1,20
2022-09-18,119,54,0,28
2022-09-19,91,42,0,30
2022-09-20,89,31,0,26
2022-09-21,95,36,1,30
2022-09-22,87,37,1,28
2022-09-23,100,4,1,32
2022-09-24,81,30,0,22
2022-09-25,93,39,1,25
2022-09-26,95,8,0,26
2022-09-27,92,-43,0,27
2022-09-28,90,-53,1,26
2022-09-29,104,-110,3,34
2022-09-30,86,45,2,23
2022-10-01,96,34,-1,32
2022-10-02,97,32,1,28
2022-10-03,103,34,2,29
2022-10-04,112,43,0,31
2022-10-05,90,52,1,23
2022-10-06,72,36,1,17
2022-10-07,76,23,0,27
2022-10-08,83,39,0,26
2022-10-09,88,19,0,28
2022-10-10,99,39,0,29
2022-10-11,106,38,0,34
2022-10-12,90,46,0,30
2022-10-13,80,44,0,27
2022-10-14,86,24,0,28
2022-10-15,91,35,0,33
2022-10-16,103,9,0,35
2022-10-17,96,17,1,21
2022-10-18,126,35,0,27
2022-10-19,124,68,3,38
2022-10-20,105,38,0,32
2022-10-21,70,36,0,24
2022-10-22,75,22,0,18
2022-10-23,111,-23,0,47
2022-10-24,101,-33,0,28
2022-10-25,88,-64,0,27
2022-10-26,85,24,0,23
2022-10-27,111,49,0,31
2022-10-28,85,47,0,24
2022-10-29,83,33,0,27
2022-10-30,98,24,0,25
2022-10-31,70,-7,0,24
2022-11-01,103,29,1,33
2022-11-02,100,52,0,29
2022-11-03,88,35,1,32
2022-11-04,105,37,0,34
2022-11-05,86,32,1,25
2022-11-06,100,34,0,36
2022-11-07,93,39,0,21
2022-11-08,94,45,0,26
2022-11-09,88,43,1,23
2022-11-10,79,34,0,17
2022-11-11,72,32,0,15
2022-11-12,86,34,0,29
2022-11-13,107,25,0,31
2022-11-14,92,35,1,22
2022-11-15,89,36,1,24
2022-11-16,107,42,0,30
2022-11-17,83,48,0,19
2022-11-18,88,36,0,31
2022-11-19,83,25,1,23
2022-11-20,87,32,0,20
2022-11-21,85,39,1,29
2022-11-22,67,32,0,22
2022-11-23,73,30,0,20
2022-11-24,71,29,0,16
2022-11-25,98,40,0,25
2022-11-26,102,46,-1,24
2022-11-27,108,41,1,32
2022-11-28,119,42,0,39
2022-11-29,98,47,1,27
2022-11-30,125,42,0,26
2022-12-01,95,55,0,26
2022-12-02,89,39,1,29
2022-12-03,116,48,1,37
2022-12-04,116,42,0,39
2022-12-05,110,39,0,28
2022-12-06,114,59,0,33
2022-12-07,72,33,0,19
2022-12-08,90,32,0,26
2022-12-09,91,34,0,28
2022-12-10,118,42,0,29
2022-12-11,118,41,0,23
2022-12-12,106,46,0,29
2022-12-13,94,51,0,32
2022-12-14,109,64,0,21
2022-12-15,120,47,0,25
2022-12-16,100,44,0,29
2022-12-17,115,38,0,35
2022-12-18,116,41,-1,28
2022-12-19,108,59,1,38
2022-12-20,132,49,1,35
2022-12-21,132,61,0,31
2022-12-22,118,61,1,29
2022-12-23,122,69,-1,27
2022-12-24,106,27,0,40
2022-12-25,189,53,0,78
2022-12-26,190,77,2,41
2022-12-27,212,107,0,55
2022-12-28,207,94,0,53
2022-12-29,235,112,0,59
2022-12-30,265,113,0,61
2022-12-31,324,155,1,66
2023-01-01,689,262,0,112
2023-01-02,517,452,0,89
2023-01-03,403,260,1,85
2023-01-04,311,198,1,63
2023-01-05,274,142,2,60
2023-01-06,221,135,1,47
2023-01-07,208,93,0,43
2023-01-08,195,74,2,47
2023-01-09,207,100,3,38
2023-01-10,202,113,0,49
2023-01-11,184,105,1,46
2023-01-12,185,7,0,48
2023-01-13,165,-18,0,50
2023-01-14,160,76,2,39
2023-01-15,171,62,0,40
2023-01-16,175,71,0,45
2023-01-17,152,90,2,40
2023-01-18,146,61,0,44
2023-01-19,155,50,0,43
2023-01-20,133,66,0,34
2023-01-21,142,65,0,33
2023-01-22,177,76,0,34
2023-01-23,138,74,1,31
2023-01-24,133,66,0,26
2023-01-25,150,76,0,37
2023-01-26,132,69,0,32
2023-01-27,153,58,0,48
2023-01-28,129,61,1,40
2023-01-29,169,44,0,42
2023-01-30,143,80,0,46
2023-01-31,147,55,0,39
