date,added,ratings,reviews,to-read
2022-08-15,107,37,1,45
2022-08-16,100,29,1,41
2022-08-17,130,34,4,55
2022-08-18,94,24,2,39
2022-08-19,104,222,37,37
2022-08-20,105,36,3,38
2022-08-21,110,34,6,47
2022-08-22,105,31,0,41
2022-08-23,111,36,6,41
2022-08-24,101,17,2,38
2022-08-25,78,30,4,34
2022-08-26,126,19,2,52
2022-08-27,92,35,1,39
2022-08-28,97,15,2,43
2022-08-29,92,-24,3,43
2022-08-30,112,36,3,40
2022-08-31,111,26,5,39
2022-09-01,126,26,0,43
2022-09-02,96,20,3,42
2022-09-03,101,20,3,46
2022-09-04,104,23,3,41
2022-09-05,88,34,1,39
2022-09-06,92,-5,1,43
2022-09-07,95,19,2,40
2022-09-08,90,31,3,38
2022-09-09,79,15,1,32
2022-09-10,92,16,2,40
2022-09-11,80,29,2,42
2022-09-12,87,20,2,40
2022-09-13,90,29,2,37
2022-09-14,86,1,4,33
2022-09-15,74,23,2,35
2022-09-16,85,19,4,32
2022-09-17,89,21,3,39
2022-09-18,118,25,3,58
2022-09-19,80,20,3,29
2022-09-20,86,19,0,30
2022-09-21,85,25,3,37
2022-09-22,73,30,5,31
2022-09-23,68,-3,0,23
2022-09-24,106,30,3,40
2022-09-25,105,30,2,43
2022-09-26,86,-21,1,46
2022-09-27,89,-37,1,34
2022-09-28,62,-123,2,24
2022-09-29,84,-45,2,37
2022-09-30,85,17,1,30
2022-10-01,77,24,1,31
2022-10-02,98,-34,3,39
2022-10-03,77,-15,3,30
2022-10-04,74,26,3,34
2022-10-05,85,25,4,41
2022-10-06,100,17,2,41
2022-10-07,72,23,1,32
2022-10-08,83,20,3,38
2022-10-09,104,-6,3,43
2022-10-10,98,26,1,45
2022-10-11,103,8,2,38
2022-10-12,82,-17,1,32
2022-10-13,87,35,3,39
2022-10-14,76,-61,0,34
2022-10-15,94,12,2,43
2022-10-16,102,-66,2,36
2022-10-17,119,-40,1,53
2022-10-18,102,-2,1,35
2022-10-19,87,24,2,45
2022-10-20,86,22,0,36
2022-10-21,88,-9,3,51
2022-10-22,89,-3,0,40
2022-10-23,97,-110,4,48
2022-10-24,82,-83,2,26
2022-10-25,61,0,1,31
2022-10-26,81,20,1,34
2022-10-27,78,16,1,37
2022-10-28,74,19,0,25
2022-10-29,73,13,0,38
2022-10-30,79,9,-1,41
2022-10-31,83,8,0,34
2022-11-01,82,15,3,40
2022-11-02,80,20,1,35
2022-11-03,101,-22,0,43
2022-11-04,87,31,1,31
2022-11-05,99,29,5,37
2022-11-06,120,35,4,53
2022-11-07,85,17,1,37
2022-11-08,79,16,1,32
2022-11-09,108,29,1,40
2022-11-10,65,21,2,29
2022-11-11,89,15,0,40
2022-11-12,92,22,0,36
2022-11-13,113,26,1,50
2022-11-14,105,27,2,44
2022-11-15,101,10,1,38
2022-11-16,110,22,2,55
2022-11-17,88,24,2,40
2022-11-18,104,21,2,42
2022-11-19,116,20,3,67
2022-11-20,102,29,3,45
2022-11-21,115,24,2,60
2022-11-22,102,25,0,49
2022-11-23,99,28,4,44
2022-11-24,93,15,3,46
2022-11-25,102,28,1,46
2022-11-26,106,23,2,47
2022-11-27,128,30,3,55
2022-11-28,101,24,2,41
2022-11-29,111,25,1,50
2022-11-30,119,40,3,40
2022-12-01,109,42,2,36
2022-12-02,100,29,3,39
2022-12-03,101,23,0,43
2022-12-04,101,38,3,43
2022-12-05,106,26,0,44
2022-12-06,106,23,3,37
2022-12-07,98,29,1,37
2022-12-08,104,30,5,54
2022-12-09,103,29,2,39
2022-12-10,132,29,1,60
2022-12-11,121,30,1,43
2022-12-12,109,33,5,48
2022-12-13,105,29,5,43
2022-12-14,95,31,4,31
2022-12-15,103,21,1,46
2022-12-16,92,36,2,31
2022-12-17,112,27,1,57
2022-12-18,100,10,-1,43
2022-12-19,97,37,1,36
2022-12-20,102,28,2,49
2022-12-21,130,28,2,54
2022-12-22,126,29,2,52
2022-12-23,134,33,3,46
2022-12-24,91,34,1,41
2022-12-25,137,23,2,62
2022-12-26,171,37,4,63
2022-12-27,164,30,3,73
2022-12-28,173,45,1,64
2022-12-29,152,48,1,63
2022-12-30,150,52,3,49
2022-12-31,204,46,3,77
2023-01-01,279,30,2,114
2023-01-02,224,81,7,87
2023-01-03,203,56,3,80
2023-01-04,161,53,4,66
2023-01-05,170,39,0,70
2023-01-06,157,33,1,53
2023-01-07,186,54,4,60
2023-01-08,146,36,5,63
2023-01-09,155,31,7,58
2023-01-10,130,25,2,52
2023-01-11,123,38,2,56
2023-01-12,165,20,3,64
2023-01-13,141,-20,5,58
2023-01-14,140,43,5,48
2023-01-15,151,35,3,57
2023-01-16,136,39,4,54
2023-01-17,136,28,0,63
2023-01-18,136,31,2,58
2023-01-19,101,25,1,38
2023-01-20,102,27,6,41
2023-01-21,157,37,1,74
2023-01-22,147,32,4,64
2023-01-23,141,35,1,63
2023-01-24,146,33,1,66
2023-01-25,128,29,3,57
2023-01-26,150,38,4,66
2023-01-27,136,28,1,59
2023-01-28,136,38,4,57
2023-01-29,136,26,3,52
2023-01-30,113,42,7,53
2023-01-31,109,28,5,47
