date,added,ratings,reviews,to-read
2022-08-15,3,1,0,1
2022-08-16,6,2,0,1
2022-08-17,4,3,0,2
2022-08-18,8,2,1,0
2022-08-19,8,1,0,3
2022-08-20,4,3,0,0
2022-08-21,4,0,0,2
2022-08-22,4,2,0,0
2022-08-23,4,-3,0,1
2022-08-24,2,1,0,1
2022-08-25,4,3,0,1
2022-08-26,2,-3,0,0
2022-08-27,4,3,0,0
2022-08-28,4,2,0,1
2022-08-29,3,-5,0,0
2022-08-30,5,2,0,0
2022-08-31,8,0,0,1
2022-09-01,5,3,0,1
2022-09-02,2,-2,0,0
2022-09-03,4,1,0,1
2022-09-04,2,-1,0,0
2022-09-05,2,1,0,0
2022-09-06,4,-4,0,1
2022-09-07,4,1,0,0
2022-09-08,6,-1,1,1
2022-09-09,4,3,0,1
2022-09-10,4,2,0,0
2022-09-11,4,3,0,2
2022-09-12,5,2,0,0
2022-09-13,9,4,0,1
2022-09-14,9,7,0,0
2022-09-15,3,2,0,1
2022-09-16,3,0,0,0
2022-09-17,4,-3,0,2
2022-09-18,8,3,0,0
2022-09-19,6,6,0,1
2022-09-20,5,3,0,1
2022-09-21,5,3,0,0
2022-09-22,12,8,0,1
2022-09-23,5,-17,0,0
2022-09-24,4,2,0,1
2022-09-25,5,4,0,0
2022-09-26,8,-2,0,4
2022-09-27,8,-4,0,2
2022-09-28,8,-15,0,1
2022-09-29,6,-27,0,2
2022-09-30,5,6,0,0
2022-10-01,3,-1,0,0
2022-10-02,1,-9,0,0
2022-10-03,5,-1,0,3
2022-10-04,4,0,0,2
2022-10-05,4,1,0,1
2022-10-06,6,0,0,1
2022-10-07,1,0,0,0
2022-10-08,3,1,0,1
2022-10-09,1,-3,0,1
2022-10-10,4,2,0,0
2022-10-11,2,-3,0,0
2022-10-12,5,-2,1,0
2022-10-13,4,3,0,0
2022-10-14,4,-9,0,0
2022-10-15,5,3,0,0
2022-10-16,0,-18,0,0
2022-10-17,4,-28,0,2
2022-10-18,4,-8,0,0
2022-10-19,7,3,0,0
2022-10-20,7,2,0,1
2022-10-21,2,2,0,0
2022-10-22,8,-3,0,0
2022-10-23,4,-58,0,1
2022-10-24,3,-42,0,1
2022-10-25,5,5,0,0
2022-10-26,5,0,0,1
2022-10-27,4,3,0,0
2022-10-28,3,2,0,0
2022-10-29,7,3,0,2
2022-10-30,5,-2,0,0
2022-10-31,3,0,0,1
2022-11-01,6,2,0,0
2022-11-02,5,1,0,1
2022-11-03,3,-13,1,1
2022-11-04,4,2,0,1
2022-11-05,1,1,0,0
2022-11-06,2,1,0,0
2022-11-07,7,5,0,3
2022-11-08,6,0,0,1
2022-11-09,4,2,0,2
2022-11-10,2,2,0,0
2022-11-11,7,5,0,1
2022-11-12,6,-1,0,1
2022-11-13,11,6,0,3
2022-11-14,1,0,0,0
2022-11-15,5,1,0,0
2022-11-16,5,4,0,0
2022-11-17,3,1,0,0
2022-11-18,1,-1,0,0
2022-11-19,4,-4,0,2
2022-11-20,5,-1,0,2
2022-11-21,4,2,1,0
2022-11-22,8,3,0,1
2022-11-23,3,2,0,0
2022-11-24,0,0,0,0
2022-11-25,6,1,0,2
2022-11-26,4,1,0,1
2022-11-27,5,1,0,1
2022-11-28,4,2,0,0
2022-11-29,3,0,0,0
2022-11-30,3,-1,0,1
2022-12-01,5,3,0,0
2022-12-02,4,1,0,1
2022-12-03,6,3,0,0
2022-12-04,2,3,0,0
2022-12-05,6,0,0,0
2022-12-06,5,2,0,0
2022-12-07,3,0,0,1
2022-12-08,5,-1,0,0
2022-12-09,0,3,0,0
2022-12-10,7,1,0,1
2022-12-11,4,2,0,0
2022-12-12,2,0,0,1
2022-12-13,6,2,0,2
2022-12-14,3,2,0,0
2022-12-15,4,-1,0,0
2022-12-16,4,1,0,0
2022-12-17,3,2,0,1
2022-12-18,4,-3,0,3
2022-12-19,2,-1,0,0
2022-12-20,4,1,0,0
2022-12-21,7,2,0,1
2022-12-22,4,2,0,0
2022-12-23,4,1,0,0
2022-12-24,3,-2,0,0
2022-12-25,6,0,0,0
2022-12-26,4,-2,0,0
2022-12-27,3,1,0,0
2022-12-28,13,2,0,1
2022-12-29,4,-1,0,0
2022-12-30,7,2,0,2
2022-12-31,3,0,0,0
2023-01-01,9,4,0,1
2023-01-02,6,-8,0,1
2023-01-03,11,7,0,0
2023-01-04,6,-1,0,1
2023-01-05,6,2,0,0
2023-01-06,12,3,0,2
2023-01-07,7,-1,0,1
2023-01-08,2,2,0,0
2023-01-09,5,-1,0,1
2023-01-10,11,3,0,2
2023-01-11,4,2,0,1
2023-01-12,8,-4,0,0
2023-01-13,5,-17,0,2
2023-01-14,3,-2,0,0
2023-01-15,3,-1,0,0
2023-01-16,5,-1,0,2
2023-01-17,5,-1,0,2
2023-01-18,7,2,0,1
2023-01-19,7,1,0,1
2023-01-20,4,-1,0,0
2023-01-21,3,3,0,0
2023-01-22,10,1,0,1
2023-01-23,10,4,0,2
2023-01-24,5,1,0,0
2023-01-25,3,-1,0,1
2023-01-26,7,2,0,1
2023-01-27,3,-4,0,0
2023-01-28,6,2,0,1
2023-01-29,8,1,0,1
2023-01-30,5,1,0,0
2023-01-31,4,0,0,1
