date,added,ratings,reviews,to-read
2022-08-15,45,19,1,11
2022-08-16,31,18,-1,7
2022-08-17,36,17,1,10
2022-08-18,32,16,0,6
2022-08-19,32,14,1,5
2022-08-20,29,14,2,9
2022-08-21,36,20,0,7
2022-08-22,42,8,1,15
2022-08-23,41,23,1,9
2022-08-24,51,10,1,11
2022-08-25,33,9,0,6
2022-08-26,35,17,0,5
2022-08-27,37,25,0,8
2022-08-28,50,1,0,11
2022-08-29,28,-69,0,6
2022-08-30,32,20,0,6
2022-08-31,33,-8,0,6
2022-09-01,20,18,0,6
2022-09-02,15,9,0,5
2022-09-03,29,6,0,16
2022-09-04,38,11,1,5
2022-09-05,40,27,0,4
2022-09-06,31,-63,2,6
2022-09-07,30,1,0,8
2022-09-08,15,10,1,2
2022-09-09,27,6,1,7
2022-09-10,34,10,3,10
2022-09-11,19,10,0,6
2022-09-12,30,8,0,9
2022-09-13,22,11,2,3
2022-09-14,23,-12,1,6
2022-09-15,18,12,3,7
2022-09-16,30,14,0,6
2022-09-17,24,11,1,8
2022-09-18,30,11,1,6
2022-09-19,24,14,0,5
2022-09-20,29,16,0,6
2022-09-21,23,16,2,3
2022-09-22,18,14,0,1
2022-09-23,36,-56,0,7
2022-09-24,32,13,0,8
2022-09-25,28,10,0,5
2022-09-26,31,-93,2,7
2022-09-27,35,-132,0,5
2022-09-28,30,-247,0,5
2022-09-29,29,-259,1,9
2022-09-30,24,14,-1,3
2022-10-01,25,6,0,10
2022-10-02,29,-100,0,12
2022-10-03,27,-72,0,10
2022-10-04,16,10,0,3
2022-10-05,14,3,0,3
2022-10-06,19,4,0,4
2022-10-07,22,2,0,2
2022-10-08,22,3,0,7
2022-10-09,21,-64,0,7
2022-10-10,16,5,0,4
2022-10-11,22,-18,0,8
2022-10-12,24,-83,0,8
2022-10-13,18,7,1,8
2022-10-14,21,-129,0,7
2022-10-15,20,4,1,6
2022-10-16,22,-226,1,6
2022-10-17,24,-183,2,3
2022-10-18,19,-54,0,5
2022-10-19,13,4,0,2
2022-10-20,20,1,0,3
2022-10-21,15,-40,0,6
2022-10-22,21,-38,1,7
2022-10-23,16,-298,0,6
2022-10-24,26,-273,0,11
2022-10-25,14,-165,1,4
2022-10-26,24,1,0,6
2022-10-27,20,12,1,3
2022-10-28,20,11,1,4
2022-10-29,17,5,0,5
2022-10-30,23,-12,1,8
2022-10-31,22,-55,0,4
2022-11-01,14,8,0,1
2022-11-02,22,7,0,8
2022-11-03,18,-51,1,5
2022-11-04,17,3,0,3
2022-11-05,24,12,0,7
2022-11-06,27,7,1,3
2022-11-07,20,9,0,5
2022-11-08,16,2,0,5
2022-11-09,16,5,2,7
2022-11-10,16,4,0,5
2022-11-11,25,8,0,5
2022-11-12,18,7,1,8
2022-11-13,18,4,1,5
2022-11-14,31,5,0,10
2022-11-15,9,5,1,3
2022-11-16,10,3,0,3
2022-11-17,19,1,0,3
2022-11-18,27,5,0,8
2022-11-19,26,9,0,5
2022-11-20,29,2,0,5
2022-11-21,23,11,3,11
2022-11-22,26,5,1,7
2022-11-23,22,5,0,2
2022-11-24,29,4,1,9
2022-11-25,26,7,0,9
2022-11-26,18,7,0,3
2022-11-27,18,6,2,7
2022-11-28,28,4,1,7
2022-11-29,24,8,1,9
2022-11-30,29,10,0,2
2022-12-01,26,12,1,2
2022-12-02,35,1,1,12
2022-12-03,26,9,1,7
2022-12-04,25,6,0,6
2022-12-05,23,6,1,4
2022-12-06,28,7,-1,6
2022-12-07,19,8,0,8
2022-12-08,17,8,0,7
2022-12-09,19,5,0,8
2022-12-10,22,3,-1,6
2022-12-11,18,2,1,4
2022-12-12,26,4,0,8
2022-12-13,30,15,0,5
2022-12-14,28,11,0,9
2022-12-15,33,14,0,8
2022-12-16,21,7,1,3
2022-12-17,34,8,0,9
2022-12-18,26,6,0,9
2022-12-19,26,13,1,9
2022-12-20,26,10,0,8
2022-12-21,30,10,0,7
2022-12-22,29,10,1,7
2022-12-23,29,8,0,7
2022-12-24,12,9,1,6
2022-12-25,29,3,-1,10
2022-12-26,45,12,0,8
2022-12-27,29,12,0,8
2022-12-28,38,10,1,12
2022-12-29,35,8,0,11
2022-12-30,48,16,2,17
2022-12-31,41,5,1,10
2023-01-01,68,8,0,17
2023-01-02,62,13,0,26
2023-01-03,63,18,3,15
2023-01-04,45,11,1,11
2023-01-05,51,13,0,11
2023-01-06,37,6,2,12
2023-01-07,44,16,2,8
2023-01-08,33,10,0,9
2023-01-09,43,9,1,8
2023-01-10,36,11,3,11
2023-01-11,39,10,1,14
2023-01-12,45,-95,0,10
2023-01-13,26,-127,0,6
2023-01-14,41,9,1,11
2023-01-15,40,10,0,7
2023-01-16,33,14,2,9
2023-01-17,40,4,0,12
2023-01-18,34,11,0,8
2023-01-19,23,9,0,7
2023-01-20,25,10,0,9
2023-01-21,32,12,4,8
2023-01-22,40,5,0,12
2023-01-23,29,11,1,7
2023-01-24,34,3,0,8
2023-01-25,40,13,1,6
2023-01-26,40,10,0,9
2023-01-27,26,3,0,5
2023-01-28,31,7,0,4
2023-01-29,32,7,0,8
2023-01-30,21,8,0,11
2023-01-31,22,14,1,7
