date,added,ratings,reviews,to-read
2022-08-15,47,2,0,16
2022-08-16,31,16,1,9
2022-08-17,28,14,0,6
2022-08-18,26,11,0,6
2022-08-19,29,15,0,10
2022-08-20,24,10,0,7
2022-08-21,33,7,0,7
2022-08-22,36,17,0,9
2022-08-23,37,14,1,10
2022-08-24,23,5,0,4
2022-08-25,43,20,0,10
2022-08-26,27,13,0,5
2022-08-27,37,17,0,5
2022-08-28,22,10,0,6
2022-08-29,27,-2,0,7
2022-08-30,28,12,0,8
2022-08-31,39,14,0,8
2022-09-01,39,12,1,7
2022-09-02,22,10,1,7
2022-09-03,33,7,-1,5
2022-09-04,28,5,0,5
2022-09-05,24,12,4,5
2022-09-06,29,10,2,8
2022-09-07,29,17,0,5
2022-09-08,35,11,0,4
2022-09-09,26,15,0,8
2022-09-10,21,3,0,5
2022-09-11,21,2,0,5
2022-09-12,23,9,0,5
2022-09-13,26,10,0,5
2022-09-14,19,6,0,4
2022-09-15,16,9,0,5
2022-09-16,17,1,0,3
2022-09-17,20,2,1,5
2022-09-18,31,10,1,10
2022-09-19,25,14,0,8
2022-09-20,24,5,0,6
2022-09-21,26,15,0,6
2022-09-22,32,13,1,5
2022-09-23,25,9,0,6
2022-09-24,22,7,0,7
2022-09-25,21,4,0,4
2022-09-26,29,8,0,6
2022-09-27,30,3,1,4
2022-09-28,26,-13,0,7
2022-09-29,28,-26,1,4
2022-09-30,24,13,0,3
2022-10-01,26,7,0,10
2022-10-02,25,-3,0,5
2022-10-03,32,8,1,9
2022-10-04,37,9,1,12
2022-10-05,34,14,-1,7
2022-10-06,26,15,0,4
2022-10-07,32,12,0,8
2022-10-08,29,14,0,7
2022-10-09,29,-1,0,7
2022-10-10,24,6,0,6
2022-10-11,22,8,1,4
2022-10-12,25,4,0,5
2022-10-13,26,6,1,7
2022-10-14,27,-5,1,4
2022-10-15,27,3,0,5
2022-10-16,35,-2,0,8
2022-10-17,24,-17,0,5
2022-10-18,33,-6,0,5
2022-10-19,31,16,-1,9
2022-10-20,32,11,1,6
2022-10-21,22,4,1,6
2022-10-22,36,7,0,10
2022-10-23,28,-42,0,10
2022-10-24,32,-37,0,10
2022-10-25,21,6,0,2
2022-10-26,24,10,1,4
2022-10-27,32,7,1,10
2022-10-28,21,13,0,5
2022-10-29,19,4,1,8
2022-10-30,31,5,0,9
2022-10-31,32,10,0,5
2022-11-01,17,14,0,2
2022-11-02,24,1,0,4
2022-11-03,38,6,0,11
2022-11-04,21,12,1,9
2022-11-05,28,6,0,6
2022-11-06,50,17,0,7
2022-11-07,19,14,1,6
2022-11-08,25,10,2,7
2022-11-09,24,13,0,7
2022-11-10,20,5,0,6
2022-11-11,34,12,1,6
2022-11-12,29,10,0,11
2022-11-13,29,6,0,6
2022-11-14,21,11,1,4
2022-11-15,29,0,0,4
2022-11-16,41,22,2,9
2022-11-17,24,18,0,5
2022-11-18,27,9,0,11
2022-11-19,23,9,0,2
2022-11-20,18,2,0,7
2022-11-21,25,3,0,6
2022-11-22,22,4,1,6
2022-11-23,24,13,0,6
2022-11-24,20,7,-1,5
2022-11-25,26,3,0,10
2022-11-26,27,4,0,4
2022-11-27,21,11,1,8
2022-11-28,24,8,0,11
2022-11-29,28,2,0,11
2022-11-30,39,10,1,5
2022-12-01,21,14,1,3
2022-12-02,24,4,0,8
2022-12-03,26,14,0,7
2022-12-04,24,8,0,8
2022-12-05,25,9,1,6
2022-12-06,25,7,0,5
2022-12-07,23,8,0,8
2022-12-08,24,5,0,5
2022-12-09,19,6,-1,4
2022-12-10,25,11,0,3
2022-12-11,29,10,0,8
2022-12-12,25,10,0,9
2022-12-13,28,9,0,3
2022-12-14,30,17,0,8
2022-12-15,23,4,0,0
2022-12-16,24,6,0,3
2022-12-17,27,10,1,10
2022-12-18,31,10,0,9
2022-12-19,23,10,0,10
2022-12-20,25,1,0,2
2022-12-21,30,8,1,8
2022-12-22,31,21,0,3
2022-12-23,28,15,0,4
2022-12-24,29,1,0,9
2022-12-25,55,10,0,22
2022-12-26,34,19,-1,6
2022-12-27,59,20,0,14
2022-12-28,38,17,0,5
2022-12-29,45,16,0,5
2022-12-30,57,13,-1,7
2022-12-31,71,25,3,12
2023-01-01,70,14,0,13
2023-01-02,44,11,0,5
2023-01-03,51,7,-1,8
2023-01-04,50,24,2,5
2023-01-05,45,11,1,8
2023-01-06,53,24,0,7
2023-01-07,51,15,0,12
2023-01-08,36,11,1,3
2023-01-09,45,10,0,7
2023-01-10,43,8,0,7
2023-01-11,44,16,0,12
2023-01-12,42,-5,0,10
2023-01-13,27,-7,0,10
2023-01-14,29,3,0,4
2023-01-15,34,5,0,8
2023-01-16,43,11,0,7
2023-01-17,29,12,0,3
2023-01-18,30,10,1,7
2023-01-19,30,3,0,5
2023-01-20,25,5,0,8
2023-01-21,39,7,0,6
2023-01-22,34,1,0,7
2023-01-23,32,8,0,4
2023-01-24,26,14,2,4
2023-01-25,43,3,1,12
2023-01-26,40,13,0,9
2023-01-27,35,9,0,9
2023-01-28,41,9,0,16
2023-01-29,44,7,1,9
2023-01-30,32,19,0,4
2023-01-31,24,5,0,7
