Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
95617,A Voice in the Wind,El,44,4,4,"June 1, 2016","This was my first foray into Christian Fiction and I had very low expectations, anticipating a preachy text with so-so writing and the occasional miracle thrown in. And at times, this book can be all those things. But Rivers' trump card is her characters, and before I knew it I was in love, really in love, with these people. I was shocked at how much I cared, and how quickly. I've enjoyed better writing, and not all of Rivers' points hit the mark for me, but I've come across few characters that I've loved as much as Hadassah. I had to put the down the book at least a dozen times because she made me want to cry - not out of sadness or pity at her incredibly difficult situation, but because she was  so good. I am not easily moved, but she could not have won me over more completely. She is the kind of character that impresses, influences and inspires the reader long after the book has been put down. I found myself looking at my life and wanting to make changes in that way I handle adversity, the way I express love and the way I view sacrifice. For that alone, I have to give this book four stars. ",163,18
95617,A Voice in the Wind,Kristin (KC),251,25100,5,"May 18, 2015","Nothing less than 5 Stars for this beauty!This is such a breathtaking story--so honest and hopeful and humbling. A Voice in The Wind is a Christian Fiction with religious themes that are heavily pronounced. There's no way around them. Religious beliefs, customs, biblical analysis, and Christian theories saturate this story from top to bottom and every crevice in-between. If that's not your idea of fun, than this one may not work for you. This story is long, over 500 pages, and is slowly paced. Each character represents very specific elements of Christian faith--stemming from its humbled servants, to the self-righteous, to the non-believers, to the down-right evil. The setting is historical, taking place after Jesus' death, right before the rise of Christianity. The plot narrows in on the lives of four characters who will eventually connect. There are brutal moments--slavery, abuse, fight-to-the-death gladiator battles--and there are tender, peaceful moments that are every bit as powerful. Maybe even more so. The writing is beautiful and aids this story to life. There's truly so much depth and meaning to dive into, I couldn't help becoming inspired. There is a romance, a very powerful one, but its progression is quite slow. In fact, every bit of this story moves at a believable speed. When people change and/or recognize the error of their ways, it's a slow process. It's never an instant turnaround--and I loved how this author remains true to that. If you'd like to read a more in-depth recount of this story, check out Amy (Foxy)'s beautiful review! She really does this story justice! --->https://www.goodreads.com/review/show...*Thanks of much for reading this with me, Foxy Girl! Our discussions were just as epic as the read itself ♥*
  

  Book Stats:
▪	 Genre/Category:Christian Fiction/Romance▪	 Steam Caliber: Fairly clean▪ Romance: Powerful, but slowly paced▪	 Characters: Expertly drawn out and life-like▪	 Plot: Centers heavily on religion. Historical setting. After Jesus, before the rise of Christianity. ▪ Writing: Breathtaking and polished▪ POV: Third Person. Alternates focus▪	 Cliffhanger:YESS! You will want to move forward.▪	 Next Installment: A continuing story▪ HEA? Not yet...
  

  
Pre-reviewBuddy read with Foxy--who got me to read Redeeming Love 3 years ago (which became a top favorite!), and here we are now finally getting to our 2nd Francine Rivers book. What took so long?!So excited! [""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>",133,50
95617,A Voice in the Wind,Amy | Foxy Blogs,"1,337",963,5,"October 9, 2021","Re-read on 10/9/2021Listening Length: 21 hours 29 minutes.LOVED THIS EPIC BOOKA popular question that gets asked when someone reads a book by a Christian author is- is this book religious?  A simple one word answer would be, “Yes.” It’s written by a Christian writer about a biblical time period. It has biblical principles throughout the story. The story takes place 40 years after Jesus was persecuted. Being a Christian was a scary thing during that time period because if you were found out that meant you would be fed to the lions as entertainment for the Romans. To understand A VOICE IN THE WIND it is important to know a little bit about the four major characters in the story.Hadassah: her family is killed and she's taken from her home and put into slavery. She was born a Jew (being a Jew is both a Nationality and religion) and no one suspects that she is a Christian. She's seen as a non threat because of her plain looks but it’s her inner beauty that draws people to her. She's also Julia’s faithful, humble, and obedient servant. Marcus Valarian: is a wealthy man in his early 20’s. In our modern world we would consider him a manwhore because he has a different woman all the time. He is very handsome and has an air of confidence about himself. Julia Valerian: Marcus’s teenage sister. She’s spoiled, selfish, and vain. Her outer beauty is the envy of many women and catches the eyes of many men. Atretas: a warrior in his country he is taken and made into a gladiator. He’s treated like an animal; caged and forced to fight and kill to stay alive. All this is done for the entertainment of the Romans. He’s fueled by his hatred of Romans and what they’ve done by taking him from his homeland.The beginning of this story is not what will draw you to it. It's like reading the Old Testament where you are learning about the history of what is happening. Once you get past that part... the story takes off. So, if you start the book and feel like maybe this isn't for you because it drags a little just know once you are about a fifth of the way into the book you'll have a hard time putting it down. My all-time favorite book is Redeeming Love which happens to be by this author. I was asked if this book surpasses Redeeming Love as my favorite. Here’s the thing, RL is pure romance...about one couple. While AVITW is about several people and it’s filled with so much scandal that my jaded self loved it.  But I can’t pick which one I love more because it feels like picking a favorite kid and who does that?! But don’t let the words “Christian fiction” hold you back from giving this book a try. This book has: manwhores, backstabbers, murderers, gladiators, schemers, aborters, forbidden romance, and the list goes on.  SERIES:
  

  

  
A continuing story.
  
",125,61
95617,A Voice in the Wind,Christy,"3,706",31500,5,"October 11, 2021","5 stars 
  
    “Have faith… When you have nothing else have faith.”
  
This story was incredible. It was long, but once it hooked me, I didn’t want to stop listening. This book is strongly about faith, specifically the faith of one girl named Hadassha, but it’s also got tons of angst, scandal, drama, violence, and a bit of romance. It’s such an epic book. One of the things I loved most about A Voice in the Wind is that I’ve never read a book quite like it before. It primarily follows four main characters, the first being Hadassha who is a young Christian from Jerusalem who has been taken as a slave in Rome. Her entire family was killed and the family she works for treats her well, mostly. Marcus is the son of the Valarians, who own Hadassha. He’s in his twenties and lives his life with as much women and money as he can stand. His sister, Julia is who Hadassha attends to and let me tell you, Julia is a piece of work. Then there is Atretas, a German warrior who is taken by the Romans and turned into a slave in a different way. He’s forced to fight to the death for their pleasure and he’s never lost a fight. These four individual stories intertwine together in different ways. This book was truly stunning and a story I will never forget. It made me think, made me feel, and at times, made me really ragey, but overall I loved it so much! I’ll definitely be getting to book 2 soon. 
  Audio book source: HooplaStory Rating: 5 starsNarrators: Richard FerroneNarration Rating: 4 starsGenre: Historical Christian FictionLength: 21h 27m 
",49,5
95617,A Voice in the Wind,Lady Jane,176,15,2,"December 4, 2013","I have a different perspective than most of the Goodreads reviewers of A Voice in the Wind. An avoider of the romance genre--both Christian and secular--I loved the first part of the book, depicting the fall of Jerusalem and Haddassah's transition to Roman slavery. I previously dispassionately stored in my mind the historic fact that losers in wars became the slaves of their conquerors, but Ms. Rivers' long, emotive description made the horror and depth of that trauma real to me in a manner I hadn't considered. It almost brought tears to my eyes thinking about how many people have suffered this devastation. I also found interesting Ms. Rivers' depiction of Ancient Rome. I appreciated that the way she informed the reader of its depravity without either glamorizing it with too much detail or sanitizing it into a toga-wearing society of butterflies and rainbows by ignoring its corruption. However, when the story devolved into a maudlin romance I began rolling my eyes, losing interest and getting irritated. I recognize that Ms. Rivers was a successful romance novelist before her conversion to Christianity and accept that this professional strength will necessarily inform her subsequent work. It's just not my cup of tea.On a spiritual level, I appreciated Haddassah's struggle with fear in identifying herself as a Christian and sharing the gospel, but found her perfection to be abrasive. What a blessing that Haddassah was able to experience such violent loss and slavery without any emotional damage that hindered her from responding as a perfect Christian in every circumstance! But, then, perfection or near-perfection in heroes and heroines is a staple in the romantic genre.So, A Voice in the Wind was a mixed bag for me. I liked it ok, but I will not be reading its sequel.",45,12
95617,A Voice in the Wind,Amanda (BookLoverAmanda),246,134,5,"October 30, 2022","*editing to write full review* 5 stars. WOW. AMAZING. BEAUTIFUL. FAITH FILLED. Ya'll I literally just finished this 30 minutes ago and I am so in my feels right now. Ditching my TBR and starting book 2 ASAP! I will have to form my thoughts for a formal review later but just want ya'll to know, READ THIS BOOK! Our main character of Hadassah has such strong faith - she inspires me so much. My heart. The ending... I NEED TO KNOW WHAT HAPPENS NEXT!This book is all about Hadassah's faith journey and the people she meets along the way. Hadassah has lost her entire family from the very first chapter - it's heartbreaking, BUT GOD IS THERE WITH HER! The story starts off in Jereusalem when the Romans come in killing Jews and capturing the women for slavery. Hadassah loses her family in this tragedy, between the killings and severe starvation. She is sold to be a roman house slave, hungry and alone. In her journey as a house slave, she never stops praying, talking and trusting God. Her brother told her -- ""remember the Lord"" and thats what she did, every step of the way.The family she is slave to, Marcus, his parents and sister, grow attached to her in many different ways. Marcus' sister Julia is the primary woman that Hadassah tends to throughout the story and many hard things happen along the way. But Hadassah is an amazing Christian girl character who truly shows us what it means to be a Christian in every hardship she experiences.We also follow a side character, Atretes, who is from Germania and captured by the Romans to battle in arenas for sport.As you can see from my initial reaction review, I absolutley adored this story. There are some hard topics and violence in this book - but honestly, its a biblical fiction story that portrays much of what happens in the bible itself. Yes, be aware of the content, but I also understand that it doesnt even touch some of the brutal things that actually occur in the bible itself. I think this book does a phenomenal job of touching our hearts and drawing us close to the Lord. We see what it means to truly forgive and serve others. What it means to be a Christian and believer of the Lord.",38,6
95617,A Voice in the Wind,Ash,382,39,5,"September 26, 2020","first read: May 13 to May 18, 2013first reread: January 6-16, 2016This....book.....I couldn't begin to describe to you the emotions this book brings out in me. Happiness, sadness, disgust, anger, love, joy, terror, hate, heartbreak......I just love this book so much. Its not even this book...THIS author, Francine Rivers....her writing is beyond beautiful, and her 'stories' are not just stories, they are filled, absolutely filled with things that really just, make you think. This story takes place in old Roman times...but there was so much that you could compare with the world today. This is one of those books that many won't want to read, and so they won't, but its definitely one that everyone should read. ",32,8
95617,A Voice in the Wind,MAP,499,142,3,"April 10, 2015","This story follows Hadassah, a Judean Christian brought to Rome after the fall of Jerusalem, Marcus and Julia, two young Roman citizens, and Atretes, a German warrior and chieftain defeated in battle and brought to Rome as a gladiator.The good: This book was head and shoulders above any other Christian fiction I've read, in terms of willingness to write about the seamier things as well as simple writing talent. In general, I was pleased with how the author portrayed Rome. She didn't shy away from the seedier aspects, including the immense of amounts of sex -- all kinds of sex -- that the Romans enjoyed. Too frequently Christian authors get squeamish and try to sanitize history for the sake of their little Christian book, but she really went for it. And not just with the sex, but with the violence of the arena as well. And in general, her history was good, she had a pretty good understanding of how Romans thought, why they disliked Jews as well as Christians, and why they thought both sects were dangerous, crazy, and worthy of being despised and scorned.The bad: Oh, Hadassah. You little stereotypical Christian heroine Mary Sue. She drove me nuts. She was so damn perfect. In fact, her one flaw, as portrayed in the book, was that she DIDN'T go around proclaiming for love for Jesus to everyone she met. Frankly, I did not find this a flaw. I found this her one redeeming feature to her otherwise sickeningly sweet personality. Ugh, Hadassah, so uselessly twee. Julia had the opposite problem -- she too was rather flat though in the other direction. You can tell the author tried to give her a character arc, but it doesn't quite scan....she seems to jump from personality to personality without much motivation or exploration.The Ugly: Ok, first and foremost...well, there wasn't much of a plot. Things just kind of happened, and then other things happened, and then, look! More things! They happened! But none of it never seemed to lead anywhere. Maybe this is because it's part of a trilogy, but each book needs to feel somewhat complete within itself. A book should not be 500 pages and yet have no plot. Second, the author got a couple of historical facts really really wrong. First, Romans did not have a sense of heterosexuality and homosexuality like we do. There were only 2 roles: pitchers and catchers. Roman male citizens were always pitchers, women and slaves were always catchers. While a Roman male would be scorned for being buggered BY another male, as long as he was the one doing the schtupping, it didn't matter whether it was a male or female. Romans viewed it the same. Second, she got her history on abortion all mixed up. First, there actually WERE laws against abortion (she has a character say there's not one) but it was not homicide -- it was viewed more as theft against the father (or master, if the pregnant woman was a slave) because he lost a potential investment. Second, the Romans never questioned whether fetuses were ""babies"" or not, they took the Greek view of thinking of fetuses as more plant-like until they drew breath. Also, Hadassah's reactions about all these things were ridiculous. Anyone who grew up in that era would have been inured to these things, whether they agreed with them or not...why is she acting like all this stuff is brand new information? No.Considering this was written pre-internet, I'm willing to give her the benefit of the doubt of not being able to readily find this rather obscure information, but I still resent her shoe-horning a modern issue onto a plot-device that made NO SENSE historically. I still haven't decided whether I'm going to read 2 and 3. They focus more on Marcus and Atretes, both of whom I liked WAY more than Hadassah. Still, I'm afraid we haven't seen the last of her, and I don't want to read 1000+ more pages of no plot.",26,12
95617,A Voice in the Wind,Baylie Clagg,32,25,5,"November 4, 2022",After taking a couple of days I finally feel like I can give this a worthy review after processing my thoughts. I’m not going to say a whole lot other than this: This book is heavy and has hard topics but that’s also how life is. This book is raw and real and so is life and the hardships we go through. The characters ask questions about faith that are challenging but honest. The story of salvation and what it means to truly serve is evident. Not just in how we serve others but to serve God with your whole heart & then what flows from it when you take the posture of faith and obedience before the Lord. It’s just so moving and such a strong message. I could easily reread this and get even more from it. The way this story stirred my heart for the Lord is overwhelming. I think everyone should at least try and read this story. I’m not a historical fiction reader at all but the faith & love for God this book represents far surpasses any of my “dislikes” when it comes the historical fiction genre. This book may not be for everyone but it sure has me reflecting upon my own life and what my personal walk with the Lord looks like ❤️,18,N/A
95617,A Voice in the Wind,Jamie,283,3,5,"January 26, 2008","I LOVE THIS SERIES! Francine Rivers has done amazing things in these books. What an inspiring character! I just kept finding myself wanting to be like Hadassah. It's hard to love others like Jesus did...more than myself. I am all the time reminded of my shortfalls and selfishness. But, Hadassah reminds me of many of the characters in the Bible. I am amazed by the tough choices that she makes and wondered if I could do the same thing in similar circumstances. The historical aspect of the book is interesting as well, around the time of the fall of Jerusalem. I have never read a fictional novel that changed my life...but this one did. ",17,3
