date,added,ratings,reviews,to-read
2022-08-15,70,17,0,40
2022-08-16,66,18,1,50
2022-08-17,93,17,0,61
2022-08-18,54,16,1,35
2022-08-19,58,15,1,32
2022-08-20,53,21,3,22
2022-08-21,71,20,3,37
2022-08-22,80,26,0,37
2022-08-23,55,17,1,27
2022-08-24,61,15,1,28
2022-08-25,73,25,2,41
2022-08-26,72,30,0,34
2022-08-27,71,14,0,38
2022-08-28,69,26,4,34
2022-08-29,42,11,2,23
2022-08-30,59,13,3,31
2022-08-31,83,24,2,45
2022-09-01,50,19,0,34
2022-09-02,58,12,2,31
2022-09-03,52,11,0,32
2022-09-04,61,17,0,33
2022-09-05,107,42,1,48
2022-09-06,58,18,1,32
2022-09-07,79,22,2,35
2022-09-08,43,12,0,24
2022-09-09,50,12,2,32
2022-09-10,55,11,0,30
2022-09-11,39,14,2,24
2022-09-12,71,10,0,42
2022-09-13,55,12,3,29
2022-09-14,59,19,2,31
2022-09-15,39,16,0,23
2022-09-16,64,22,1,25
2022-09-17,49,19,4,27
2022-09-18,60,16,3,27
2022-09-19,75,23,0,40
2022-09-20,74,33,3,33
2022-09-21,65,32,3,30
2022-09-22,59,22,3,26
2022-09-23,60,-29,0,36
2022-09-24,59,16,0,21
2022-09-25,51,22,0,21
2022-09-26,63,1,4,34
2022-09-27,69,-24,1,29
2022-09-28,74,-29,3,41
2022-09-29,62,-76,2,27
2022-09-30,60,15,1,33
2022-10-01,81,15,1,52
2022-10-02,69,0,1,41
2022-10-03,61,7,1,34
2022-10-04,73,15,1,43
2022-10-05,46,15,2,26
2022-10-06,55,23,4,31
2022-10-07,70,14,1,45
2022-10-08,50,6,0,30
2022-10-09,67,4,2,36
2022-10-10,59,14,3,38
2022-10-11,62,14,2,28
2022-10-12,53,7,0,29
2022-10-13,42,15,0,21
2022-10-14,52,-3,4,33
2022-10-15,55,11,0,29
2022-10-16,63,-30,2,36
2022-10-17,67,-13,1,31
2022-10-18,54,7,3,26
2022-10-19,57,15,1,30
2022-10-20,56,15,1,27
2022-10-21,45,2,2,24
2022-10-22,43,-4,0,26
2022-10-23,56,-55,0,31
2022-10-24,60,-28,1,33
2022-10-25,62,-5,3,39
2022-10-26,50,16,1,21
2022-10-27,52,13,3,27
2022-10-28,48,27,1,22
2022-10-29,51,15,1,26
2022-10-30,46,6,0,23
2022-10-31,39,-13,1,20
2022-11-01,86,8,1,62
2022-11-02,52,11,2,29
2022-11-03,45,1,3,29
2022-11-04,46,10,2,27
2022-11-05,48,11,1,20
2022-11-06,71,14,2,36
2022-11-07,87,21,2,39
2022-11-08,55,11,1,28
2022-11-09,68,21,0,35
2022-11-10,52,18,1,31
2022-11-11,65,15,5,36
2022-11-12,64,19,2,42
2022-11-13,63,14,2,31
2022-11-14,57,12,1,31
2022-11-15,61,10,2,33
2022-11-16,57,18,3,22
2022-11-17,47,19,1,24
2022-11-18,45,13,2,24
2022-11-19,52,12,4,25
2022-11-20,56,17,0,28
2022-11-21,45,17,4,28
2022-11-22,62,14,2,34
2022-11-23,57,11,3,41
2022-11-24,52,8,0,33
2022-11-25,56,11,0,31
2022-11-26,72,19,2,39
2022-11-27,64,14,1,29
2022-11-28,69,25,2,40
2022-11-29,73,29,1,36
2022-11-30,64,19,2,35
2022-12-01,77,18,2,44
2022-12-02,58,15,1,36
2022-12-03,63,16,4,34
2022-12-04,78,19,2,45
2022-12-05,89,9,3,50
2022-12-06,64,21,1,29
2022-12-07,60,17,2,33
2022-12-08,61,27,2,30
2022-12-09,54,19,0,28
2022-12-10,86,16,2,47
2022-12-11,59,13,2,38
2022-12-12,61,17,1,25
2022-12-13,70,18,3,38
2022-12-14,49,19,2,24
2022-12-15,75,12,1,44
2022-12-16,60,17,2,26
2022-12-17,75,25,1,36
2022-12-18,66,19,1,31
2022-12-19,68,18,4,31
2022-12-20,63,18,1,44
2022-12-21,78,17,3,40
2022-12-22,80,27,1,42
2022-12-23,83,25,2,40
2022-12-24,55,14,0,28
2022-12-25,84,15,0,49
2022-12-26,113,30,1,56
2022-12-27,124,23,4,79
2022-12-28,128,48,4,61
2022-12-29,116,44,5,57
2022-12-30,155,45,1,85
2022-12-31,239,64,8,143
2023-01-01,312,63,4,183
2023-01-02,289,89,6,184
2023-01-03,201,42,1,118
2023-01-04,146,34,5,102
2023-01-05,157,28,2,85
2023-01-06,133,34,7,72
2023-01-07,143,30,3,76
2023-01-08,135,37,3,79
2023-01-09,111,36,3,59
2023-01-10,106,20,1,61
2023-01-11,108,36,3,60
2023-01-12,103,-38,3,54
2023-01-13,109,-63,2,52
2023-01-14,108,32,2,66
2023-01-15,91,21,1,47
2023-01-16,95,22,1,55
2023-01-17,93,18,1,57
2023-01-18,88,32,5,46
2023-01-19,101,24,2,58
2023-01-20,69,20,1,46
2023-01-21,89,21,1,46
2023-01-22,92,18,1,56
2023-01-23,104,20,0,52
2023-01-24,93,31,4,50
2023-01-25,95,23,4,54
2023-01-26,97,21,2,61
2023-01-27,68,14,2,25
2023-01-28,96,22,2,51
2023-01-29,130,28,2,73
2023-01-30,70,29,4,45
2023-01-31,94,19,3,65
