date,added,ratings,reviews,to-read
2022-08-15,11,2,0,3
2022-08-16,8,3,1,2
2022-08-17,12,2,0,3
2022-08-18,5,2,0,1
2022-08-19,1,1,0,0
2022-08-20,12,3,1,3
2022-08-21,7,6,0,2
2022-08-22,5,2,0,1
2022-08-23,4,2,0,1
2022-08-24,12,3,0,2
2022-08-25,9,2,-1,0
2022-08-26,8,5,0,1
2022-08-27,11,2,0,6
2022-08-28,10,3,0,4
2022-08-29,9,4,0,2
2022-08-30,8,5,0,1
2022-08-31,10,3,1,1
2022-09-01,3,2,0,0
2022-09-02,4,2,1,2
2022-09-03,10,2,0,5
2022-09-04,6,0,0,0
2022-09-05,6,2,0,0
2022-09-06,9,6,0,1
2022-09-07,11,2,0,2
2022-09-08,8,3,0,0
2022-09-09,5,4,0,1
2022-09-10,8,-1,0,1
2022-09-11,4,4,0,1
2022-09-12,7,3,0,1
2022-09-13,6,3,0,0
2022-09-14,3,0,0,2
2022-09-15,6,3,0,0
2022-09-16,7,3,0,2
2022-09-17,14,3,0,5
2022-09-18,9,4,0,2
2022-09-19,3,1,0,1
2022-09-20,8,1,0,2
2022-09-21,10,7,0,0
2022-09-22,2,2,0,0
2022-09-23,5,-2,0,2
2022-09-24,8,0,0,2
2022-09-25,6,2,0,2
2022-09-26,9,0,0,1
2022-09-27,8,-4,0,1
2022-09-28,9,-4,0,2
2022-09-29,5,-5,1,3
2022-09-30,4,1,0,0
2022-10-01,11,4,0,3
2022-10-02,7,4,0,2
2022-10-03,11,4,0,2
2022-10-04,7,5,0,0
2022-10-05,5,1,0,1
2022-10-06,3,2,0,0
2022-10-07,8,-1,0,0
2022-10-08,5,2,0,2
2022-10-09,6,-1,0,2
2022-10-10,5,3,0,2
2022-10-11,5,2,1,2
2022-10-12,5,1,1,2
2022-10-13,6,3,0,1
2022-10-14,6,4,0,0
2022-10-15,13,1,0,4
2022-10-16,8,2,0,1
2022-10-17,4,2,0,0
2022-10-18,5,1,0,0
2022-10-19,4,0,0,1
2022-10-20,5,1,0,1
2022-10-21,8,2,0,3
2022-10-22,12,3,0,3
2022-10-23,4,1,0,0
2022-10-24,4,1,0,0
2022-10-25,1,0,0,0
2022-10-26,5,1,0,0
2022-10-27,4,4,0,0
2022-10-28,6,1,0,2
2022-10-29,14,2,0,4
2022-10-30,5,0,0,1
2022-10-31,4,-4,1,0
2022-11-01,11,5,3,5
2022-11-02,8,1,0,0
2022-11-03,9,2,0,2
2022-11-04,4,0,0,0
2022-11-05,9,3,0,2
2022-11-06,9,2,0,2
2022-11-07,5,2,0,0
2022-11-08,2,2,0,1
2022-11-09,11,1,0,2
2022-11-10,5,3,0,2
2022-11-11,4,2,0,0
2022-11-12,5,-1,1,3
2022-11-13,9,1,0,4
2022-11-14,12,4,0,2
2022-11-15,7,5,0,1
2022-11-16,9,2,0,3
2022-11-17,5,-1,0,1
2022-11-18,8,3,0,1
2022-11-19,6,2,0,0
2022-11-20,6,1,0,1
2022-11-21,4,1,0,0
2022-11-22,5,1,0,0
2022-11-23,10,2,1,1
2022-11-24,7,2,1,1
2022-11-25,9,4,0,2
2022-11-26,8,1,0,2
2022-11-27,9,4,0,0
2022-11-28,8,5,0,2
2022-11-29,9,6,0,2
2022-11-30,5,3,0,1
2022-12-01,12,6,0,0
2022-12-02,7,1,0,1
2022-12-03,5,0,0,0
2022-12-04,8,2,0,3
2022-12-05,8,3,0,2
2022-12-06,6,2,0,1
2022-12-07,5,5,0,1
2022-12-08,6,1,0,1
2022-12-09,5,2,0,0
2022-12-10,9,3,0,0
2022-12-11,8,5,1,2
2022-12-12,12,3,0,3
2022-12-13,7,5,0,3
2022-12-14,7,3,1,1
2022-12-15,12,4,0,3
2022-12-16,4,0,0,2
2022-12-17,6,2,0,0
2022-12-18,10,3,0,3
2022-12-19,7,0,1,1
2022-12-20,5,2,0,1
2022-12-21,5,3,0,3
2022-12-22,9,3,2,2
2022-12-23,10,5,5,0
2022-12-24,1,3,0,0
2022-12-25,10,1,0,2
2022-12-26,12,2,0,1
2022-12-27,7,0,0,1
2022-12-28,11,0,0,4
2022-12-29,19,6,0,8
2022-12-30,27,8,1,4
2022-12-31,14,7,0,4
2023-01-01,27,4,0,8
2023-01-02,33,8,1,7
2023-01-03,18,9,0,2
2023-01-04,15,9,0,1
2023-01-05,10,3,0,2
2023-01-06,15,4,0,2
2023-01-07,20,9,3,3
2023-01-08,11,9,0,2
2023-01-09,10,3,0,3
2023-01-10,5,6,0,1
2023-01-11,11,4,0,4
2023-01-12,19,-10,0,0
2023-01-13,16,-2,0,3
2023-01-14,16,6,1,5
2023-01-15,10,6,0,3
2023-01-16,16,4,0,1
2023-01-17,9,3,0,0
2023-01-18,14,2,1,4
2023-01-19,13,2,0,4
2023-01-20,14,7,0,1
2023-01-21,11,4,0,4
2023-01-22,11,3,0,2
2023-01-23,8,3,0,1
2023-01-24,15,8,0,5
2023-01-25,8,5,0,2
2023-01-26,11,3,1,3
2023-01-27,8,1,0,4
2023-01-28,10,2,0,2
2023-01-29,23,4,0,3
2023-01-30,14,6,0,2
2023-01-31,10,6,0,0
