date,added,ratings,reviews,to-read
2022-08-15,10,4,0,2
2022-08-16,6,1,0,5
2022-08-17,12,1,0,5
2022-08-18,6,4,0,3
2022-08-19,9,4,1,5
2022-08-20,12,2,0,6
2022-08-21,9,5,0,7
2022-08-22,8,4,1,2
2022-08-23,4,6,0,2
2022-08-24,14,4,0,11
2022-08-25,9,0,0,5
2022-08-26,7,0,0,3
2022-08-27,7,4,1,3
2022-08-28,11,3,2,4
2022-08-29,9,1,1,5
2022-08-30,6,4,1,2
2022-08-31,6,-1,0,3
2022-09-01,11,1,0,6
2022-09-02,7,0,0,1
2022-09-03,13,2,1,5
2022-09-04,9,1,0,7
2022-09-05,7,2,0,4
2022-09-06,7,3,0,3
2022-09-07,10,1,0,5
2022-09-08,8,2,0,6
2022-09-09,7,4,2,0
2022-09-10,12,7,1,4
2022-09-11,12,5,1,5
2022-09-12,16,4,0,8
2022-09-13,12,6,1,7
2022-09-14,12,2,0,5
2022-09-15,9,1,0,6
2022-09-16,12,5,0,8
2022-09-17,8,3,0,3
2022-09-18,9,4,1,3
2022-09-19,7,2,0,4
2022-09-20,7,4,0,3
2022-09-21,2,2,0,1
2022-09-22,2,0,0,1
2022-09-23,7,-4,0,4
2022-09-24,10,4,1,6
2022-09-25,9,0,0,7
2022-09-26,7,-5,0,3
2022-09-27,6,-3,0,4
2022-09-28,11,-9,0,5
2022-09-29,4,-7,0,2
2022-09-30,8,3,0,3
2022-10-01,2,1,0,1
2022-10-02,8,1,0,6
2022-10-03,9,1,0,5
2022-10-04,9,6,1,5
2022-10-05,4,0,0,2
2022-10-06,10,2,0,4
2022-10-07,6,1,1,5
2022-10-08,5,1,0,2
2022-10-09,9,3,0,2
2022-10-10,8,3,0,6
2022-10-11,9,2,1,5
2022-10-12,7,5,0,2
2022-10-13,8,2,0,5
2022-10-14,8,3,1,5
2022-10-15,8,1,0,3
2022-10-16,7,-1,0,5
2022-10-17,5,1,1,3
2022-10-18,5,1,0,2
2022-10-19,8,1,0,7
2022-10-20,6,4,0,4
2022-10-21,3,2,0,1
2022-10-22,9,1,0,2
2022-10-23,5,1,0,3
2022-10-24,11,1,1,5
2022-10-25,7,2,0,6
2022-10-26,5,1,0,3
2022-10-27,5,2,1,4
2022-10-28,9,1,0,6
2022-10-29,7,2,0,4
2022-10-30,7,-1,0,5
2022-10-31,10,1,1,6
2022-11-01,10,4,0,4
2022-11-02,5,1,0,5
2022-11-03,5,0,0,2
2022-11-04,7,5,1,3
2022-11-05,7,1,0,4
2022-11-06,4,1,0,2
2022-11-07,9,2,0,4
2022-11-08,12,2,1,6
2022-11-09,14,3,0,5
2022-11-10,4,1,0,2
2022-11-11,5,4,1,1
2022-11-12,10,2,1,5
2022-11-13,6,3,0,3
2022-11-14,10,2,0,8
2022-11-15,11,3,0,7
2022-11-16,6,1,0,3
2022-11-17,5,2,0,4
2022-11-18,7,1,0,5
2022-11-19,10,2,0,6
2022-11-20,5,1,0,3
2022-11-21,8,5,0,4
2022-11-22,6,3,1,3
2022-11-23,9,1,0,7
2022-11-24,6,1,0,2
2022-11-25,8,4,0,5
2022-11-26,11,4,0,8
2022-11-27,10,0,0,8
2022-11-28,14,2,1,4
2022-11-29,8,1,0,6
2022-11-30,14,1,0,7
2022-12-01,10,5,0,2
2022-12-02,7,3,0,4
2022-12-03,10,1,0,6
2022-12-04,9,1,0,9
2022-12-05,6,0,0,6
2022-12-06,6,2,1,3
2022-12-07,12,2,0,7
2022-12-08,5,1,0,4
2022-12-09,6,1,0,3
2022-12-10,7,4,0,3
2022-12-11,7,3,0,3
2022-12-12,8,4,0,5
2022-12-13,5,2,0,2
2022-12-14,4,4,1,4
2022-12-15,16,3,0,6
2022-12-16,9,4,1,6
2022-12-17,12,1,0,7
2022-12-18,12,2,0,10
2022-12-19,14,4,0,9
2022-12-20,4,5,1,4
2022-12-21,8,1,1,3
2022-12-22,9,3,0,7
2022-12-23,11,5,0,7
2022-12-24,16,3,0,11
2022-12-25,7,2,0,4
2022-12-26,19,4,1,11
2022-12-27,16,3,0,8
2022-12-28,21,4,0,16
2022-12-29,22,7,0,14
2022-12-30,21,2,0,11
2022-12-31,24,6,0,12
2023-01-01,44,7,0,25
2023-01-02,46,10,0,24
2023-01-03,31,5,0,18
2023-01-04,22,6,0,12
2023-01-05,33,1,2,23
2023-01-06,29,4,2,20
2023-01-07,17,2,1,11
2023-01-08,22,2,0,16
2023-01-09,24,3,0,17
2023-01-10,22,3,2,14
2023-01-11,21,1,0,9
2023-01-12,13,-7,0,10
2023-01-13,11,-9,1,5
2023-01-14,19,4,0,10
2023-01-15,19,4,1,10
2023-01-16,21,4,1,8
2023-01-17,13,7,2,9
2023-01-18,25,5,1,12
2023-01-19,13,3,0,11
2023-01-20,13,4,0,10
2023-01-21,11,3,1,7
2023-01-22,24,4,2,18
2023-01-23,29,4,0,16
2023-01-24,17,7,2,6
2023-01-25,19,4,1,11
2023-01-26,18,2,0,8
2023-01-27,12,4,0,10
2023-01-28,17,0,2,8
2023-01-29,14,3,1,9
2023-01-30,11,2,0,6
2023-01-31,14,4,1,9
