date,added,ratings,reviews,to-read
2022-08-15,6,2,0,4
2022-08-16,11,6,0,5
2022-08-17,15,1,0,6
2022-08-18,6,6,0,4
2022-08-19,9,4,1,3
2022-08-20,10,3,1,1
2022-08-21,11,3,1,7
2022-08-22,7,4,0,3
2022-08-23,9,2,0,5
2022-08-24,10,3,0,8
2022-08-25,6,1,0,5
2022-08-26,10,2,0,4
2022-08-27,3,1,0,2
2022-08-28,7,1,1,4
2022-08-29,13,-4,0,9
2022-08-30,3,2,0,0
2022-08-31,9,4,1,3
2022-09-01,3,0,0,3
2022-09-02,10,2,0,1
2022-09-03,11,5,1,5
2022-09-04,20,0,0,19
2022-09-05,9,4,1,5
2022-09-06,8,-2,0,4
2022-09-07,18,7,0,7
2022-09-08,13,2,0,8
2022-09-09,6,2,0,2
2022-09-10,7,2,0,4
2022-09-11,6,2,1,3
2022-09-12,7,3,1,3
2022-09-13,5,2,0,1
2022-09-14,9,-2,1,4
2022-09-15,4,7,1,1
2022-09-16,8,0,0,8
2022-09-17,6,1,0,5
2022-09-18,5,2,0,3
2022-09-19,5,2,0,1
2022-09-20,3,1,0,1
2022-09-21,0,0,0,0
2022-09-22,8,3,0,4
2022-09-23,6,-7,2,3
2022-09-24,5,3,0,2
2022-09-25,10,2,1,9
2022-09-26,9,-9,0,8
2022-09-27,11,-20,1,7
2022-09-28,12,-34,0,8
2022-09-29,5,-34,0,3
2022-09-30,4,3,1,2
2022-10-01,9,1,0,4
2022-10-02,14,-6,0,10
2022-10-03,9,-1,0,6
2022-10-04,15,2,0,11
2022-10-05,8,2,0,7
2022-10-06,5,3,0,3
2022-10-07,5,1,0,3
2022-10-08,8,1,0,3
2022-10-09,8,-5,0,3
2022-10-10,6,3,0,4
2022-10-11,7,1,1,4
2022-10-12,6,3,1,1
2022-10-13,27,2,0,18
2022-10-14,12,-2,1,7
2022-10-15,15,0,0,7
2022-10-16,15,-10,0,4
2022-10-17,12,-10,0,4
2022-10-18,7,-11,0,2
2022-10-19,7,3,1,4
2022-10-20,9,1,0,4
2022-10-21,21,-3,0,13
2022-10-22,11,-2,1,5
2022-10-23,14,-23,0,6
2022-10-24,11,-13,0,8
2022-10-25,10,0,1,5
2022-10-26,5,0,0,3
2022-10-27,11,1,1,7
2022-10-28,9,2,0,5
2022-10-29,9,2,0,4
2022-10-30,16,1,0,7
2022-10-31,8,-12,0,4
2022-11-01,6,1,0,3
2022-11-02,14,4,1,6
2022-11-03,6,-4,0,4
2022-11-04,7,1,0,2
2022-11-05,5,3,0,2
2022-11-06,11,1,0,5
2022-11-07,13,3,2,8
2022-11-08,7,3,0,3
2022-11-09,7,3,0,3
2022-11-10,2,2,0,2
2022-11-11,7,2,0,4
2022-11-12,7,2,0,3
2022-11-13,5,1,0,2
2022-11-14,6,2,0,4
2022-11-15,9,2,0,2
2022-11-16,10,3,1,6
2022-11-17,7,4,1,3
2022-11-18,7,3,0,5
2022-11-19,11,1,0,6
2022-11-20,10,2,0,4
2022-11-21,6,4,0,1
2022-11-22,7,2,0,0
2022-11-23,6,2,0,3
2022-11-24,7,2,1,2
2022-11-25,11,5,0,8
2022-11-26,9,2,0,6
2022-11-27,13,2,0,6
2022-11-28,8,0,1,5
2022-11-29,6,1,0,4
2022-11-30,6,0,0,3
2022-12-01,9,4,1,4
2022-12-02,2,3,0,1
2022-12-03,8,1,0,1
2022-12-04,6,2,0,2
2022-12-05,9,2,0,6
2022-12-06,13,4,0,5
2022-12-07,6,3,0,4
2022-12-08,6,1,1,3
2022-12-09,10,4,0,5
2022-12-10,8,1,0,4
2022-12-11,5,4,1,1
2022-12-12,7,1,0,3
2022-12-13,12,3,0,4
2022-12-14,6,2,0,5
2022-12-15,14,2,0,7
2022-12-16,4,2,0,3
2022-12-17,20,2,0,13
2022-12-18,9,1,0,8
2022-12-19,6,1,0,4
2022-12-20,11,6,1,4
2022-12-21,14,1,1,7
2022-12-22,7,1,0,5
2022-12-23,5,1,2,3
2022-12-24,10,7,0,5
2022-12-25,10,2,0,2
2022-12-26,14,5,0,6
2022-12-27,25,5,1,12
2022-12-28,29,10,1,9
2022-12-29,27,11,1,17
2022-12-30,21,10,1,6
2022-12-31,31,8,0,20
2023-01-01,48,7,2,31
2023-01-02,29,5,0,16
2023-01-03,37,2,0,24
2023-01-04,28,8,0,20
2023-01-05,20,3,0,13
2023-01-06,12,3,1,8
2023-01-07,33,5,2,14
2023-01-08,27,9,0,17
2023-01-09,21,3,1,13
2023-01-10,19,6,0,12
2023-01-11,14,5,0,9
2023-01-12,21,-15,0,9
2023-01-13,20,-13,1,7
2023-01-14,17,7,1,8
2023-01-15,15,8,3,5
2023-01-16,21,8,1,10
2023-01-17,22,6,0,7
2023-01-18,13,6,1,4
2023-01-19,11,8,1,7
2023-01-20,11,1,0,8
2023-01-21,11,6,2,5
2023-01-22,19,4,1,7
2023-01-23,16,5,0,7
2023-01-24,18,3,1,14
2023-01-25,14,2,0,6
2023-01-26,11,2,1,6
2023-01-27,20,6,1,9
2023-01-28,26,7,0,12
2023-01-29,23,5,0,10
2023-01-30,13,7,3,9
2023-01-31,14,8,2,7
