date,added,ratings,reviews,to-read
2022-08-15,60,25,4,27
2022-08-16,37,11,0,13
2022-08-17,49,19,0,17
2022-08-18,41,16,1,26
2022-08-19,49,14,0,17
2022-08-20,48,17,0,19
2022-08-21,37,18,1,19
2022-08-22,56,17,1,22
2022-08-23,58,24,2,26
2022-08-24,51,18,2,21
2022-08-25,48,19,0,20
2022-08-26,56,19,2,26
2022-08-27,49,9,0,12
2022-08-28,41,12,0,16
2022-08-29,31,12,1,10
2022-08-30,36,13,1,19
2022-08-31,49,19,1,20
2022-09-01,43,20,-1,17
2022-09-02,52,17,1,24
2022-09-03,41,12,1,16
2022-09-04,37,10,1,18
2022-09-05,44,25,2,20
2022-09-06,39,21,0,13
2022-09-07,39,16,0,15
2022-09-08,41,16,1,14
2022-09-09,36,12,0,24
2022-09-10,38,9,1,21
2022-09-11,33,6,0,21
2022-09-12,50,18,3,20
2022-09-13,31,8,0,12
2022-09-14,22,7,0,9
2022-09-15,34,16,0,15
2022-09-16,35,13,1,14
2022-09-17,42,15,0,17
2022-09-18,47,15,3,23
2022-09-19,26,5,1,17
2022-09-20,34,14,0,15
2022-09-21,30,9,0,14
2022-09-22,28,14,0,15
2022-09-23,27,2,1,12
2022-09-24,40,6,0,18
2022-09-25,38,7,0,19
2022-09-26,33,6,1,12
2022-09-27,39,6,1,18
2022-09-28,43,-6,1,24
2022-09-29,32,-1,1,15
2022-09-30,34,11,1,15
2022-10-01,43,7,0,16
2022-10-02,43,19,2,17
2022-10-03,33,10,2,13
2022-10-04,45,10,1,20
2022-10-05,24,15,2,8
2022-10-06,33,8,0,16
2022-10-07,28,8,1,14
2022-10-08,34,11,0,17
2022-10-09,34,11,1,10
2022-10-10,29,13,1,14
2022-10-11,30,12,0,11
2022-10-12,39,5,0,22
2022-10-13,31,8,1,13
2022-10-14,44,13,1,18
2022-10-15,34,10,0,15
2022-10-16,32,9,1,17
2022-10-17,37,6,2,23
2022-10-18,42,13,2,16
2022-10-19,38,14,0,18
2022-10-20,42,7,1,18
2022-10-21,25,8,0,11
2022-10-22,40,7,2,21
2022-10-23,38,8,1,17
2022-10-24,43,10,1,20
2022-10-25,32,11,1,16
2022-10-26,46,16,2,24
2022-10-27,47,23,1,9
2022-10-28,34,19,1,12
2022-10-29,37,6,1,20
2022-10-30,33,13,0,18
2022-10-31,33,6,2,13
2022-11-01,29,7,1,13
2022-11-02,42,11,2,18
2022-11-03,40,14,0,16
2022-11-04,30,8,0,12
2022-11-05,44,6,1,23
2022-11-06,35,11,1,17
2022-11-07,43,11,1,14
2022-11-08,51,14,1,24
2022-11-09,51,13,-1,19
2022-11-10,25,6,1,18
2022-11-11,51,10,2,23
2022-11-12,47,15,2,21
2022-11-13,48,14,0,26
2022-11-14,40,11,-1,17
2022-11-15,42,16,2,19
2022-11-16,34,11,1,12
2022-11-17,31,11,2,16
2022-11-18,38,4,1,18
2022-11-19,33,11,0,13
2022-11-20,40,7,0,16
2022-11-21,54,11,1,32
2022-11-22,62,9,1,42
2022-11-23,46,16,1,18
2022-11-24,33,11,0,18
2022-11-25,35,9,0,17
2022-11-26,38,17,1,16
2022-11-27,38,12,0,17
2022-11-28,42,11,1,17
2022-11-29,41,15,1,21
2022-11-30,43,19,1,18
2022-12-01,30,6,1,10
2022-12-02,25,9,0,13
2022-12-03,46,9,0,23
2022-12-04,45,11,0,16
2022-12-05,34,12,2,8
2022-12-06,45,15,0,22
2022-12-07,31,17,0,10
2022-12-08,35,12,1,19
2022-12-09,33,13,1,22
2022-12-10,48,11,4,18
2022-12-11,47,15,0,19
2022-12-12,41,14,0,14
2022-12-13,38,10,1,18
2022-12-14,46,11,1,22
2022-12-15,45,18,0,21
2022-12-16,42,15,0,16
2022-12-17,56,20,2,24
2022-12-18,50,10,0,26
2022-12-19,37,9,0,20
2022-12-20,30,13,0,14
2022-12-21,32,12,0,6
2022-12-22,41,16,2,21
2022-12-23,52,14,1,19
2022-12-24,35,10,0,20
2022-12-25,34,6,0,15
2022-12-26,59,22,2,24
2022-12-27,64,19,1,25
2022-12-28,94,24,0,43
2022-12-29,95,25,0,46
2022-12-30,127,31,2,60
2022-12-31,180,49,4,81
2023-01-01,220,62,0,87
2023-01-02,199,81,3,76
2023-01-03,134,53,2,67
2023-01-04,96,41,4,50
2023-01-05,108,32,1,51
2023-01-06,83,35,1,37
2023-01-07,91,29,0,31
2023-01-08,106,26,1,46
2023-01-09,67,20,0,34
2023-01-10,84,27,1,39
2023-01-11,72,22,2,27
2023-01-12,71,11,0,36
2023-01-13,78,5,1,31
2023-01-14,77,18,1,34
2023-01-15,74,28,0,25
2023-01-16,95,26,0,37
2023-01-17,71,20,0,32
2023-01-18,64,27,0,20
2023-01-19,77,22,1,33
2023-01-20,56,23,2,28
2023-01-21,67,17,1,21
2023-01-22,79,27,3,31
2023-01-23,64,24,1,20
2023-01-24,70,20,1,26
2023-01-25,68,15,2,30
2023-01-26,65,22,2,30
2023-01-27,56,21,1,22
2023-01-28,74,14,0,28
2023-01-29,72,16,0,28
2023-01-30,51,15,1,22
2023-01-31,87,20,5,37
