Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
7588,A Portrait of the Artist as a Young Man,Nathan,74,25,5,"July 8, 2007","Shut up James, you had me at 'moo-cow.'","1,032",18
7588,A Portrait of the Artist as a Young Man,Kenny,485,811,5,"September 22, 2022","“I will tell you what I will do and what I will not do. I will not serve that in which I no longer believe, whether it calls itself my home, my fatherland, or my church: and I will try to express myself in some mode of life or art as freely as I can and as wholly as I can, using for my defense the only arms I allow myself to use -- silence, exile, and cunning.” A Portrait of the Artist as a Young Man ~~ James JoyceThis novel ... this fucking, brilliant novel ... I don't even know where to start ... once more, I was awed by James Joyce.James Joyce’s A Portrait of the Artist as a Young Man starts with the buoyancy, simplicity and purity of a tale told to a young boy and ends on a note that is tentative, apprehensive, and off kilter. Between the two points we meet our hero Stephen Dedalus, as he navigates the snares of ethnicity, Catholicism, nationalism and clan as they attempt to trap his poet’s soul and destroy Stephen's beautiful dreams.Joyce’s 1916 novel is a cornerstone of literary modernism. Upon reading the final words, it’s easy to see how Joyce upended the literary world with A Portrait of the Artist as a Young Man. Every page drips with brilliance. The story tells the tale of young Stephen Dedalus, Joyce’s alter-ego, as we follow him along his path to personal and artistic growth. This prose is extremely modern for 1916. The character’s thoughts, feelings, and reactions are portrayed in a continuous flow and interrupt the linear plot of events and dialogue in the tale of Stephen's life. The story starts with the young Stephen reciting a nursery rhyme about a moo-cow.One of the most brilliant traits of A Portrait of the Artist as a Young Man is evolving with Stephen as the tale develops, not just chronologically and philosophically, but also on a narrative and linguistic level. Young Stephen is deeply impacted by the Jesuits and the education he receives from them. Stephen grows to become a complex and deeply reflective young man who fiercely confronts challenging theoretical encounters about art, sex, language, religion, and nationality. As the story matures, so too does Stephen’s intellectual development which expresses itself in his developing vocabulary and grammatical style throughout his stream of consciousness monologues. As Stephen’s tale unfolds, his language becomes more poetic, especially after his rejection of religion.I can relate to Stephen on so many levels ~~ most notably a spiritually ~~ regarding his early relationship with the church and God. I was as devout and God fearing as was the young Stephen, and like the young Stephen, I had my break with the church, and when it was final, it was final. Like Stephen, I had trouble sleeping I could not escape my fear of death and hell. Chapter III ~~ one of the most brilliant pieces of writing I have ever read ~~ features a long sermon about the infinite suffering inherent to hell delivered by a Jesuit who scares the bejesus out of our young hero.Finally, I believe Stephen to be the most relateable character Joyce has ever created. He is written perfectly ~~ the artist, Stephen is developed brilliantly. In the end, Stephen overcomes every powerful influence that tries to claim his soul as he becomes the artist he was born to be. He abandons all he was anchored to ~~ family, country, and church to pursue his personal illumination. Stephen is brave, strong, and determined to reach the artistic heights he has set for himself. My only regret is that I hadn’t read this in my teens, as I find Stephen to be extremely inspirational. Taking this journey with Stephen can help the reader uncover something wonderful about who they are, and that is what makes this novel a modern masterpiece.",334,43
7588,A Portrait of the Artist as a Young Man,Sean Barrs ,"1,099",44100,4,"September 18, 2017","
  “His soul was swooning into some new world, fantastic, dim, uncertain as under sea, traversed by cloudy shapes and beings. A world, a glimmer or a flower? Glimmering and trembling, trembling and unfolding, a breaking light, an opening flower, it spread in endless succession to itself, breaking in full crimson and unfolding and fading to palest rose, leaf by leaf and wave of light by wave of light, flooding all the heavens with its soft flushes, every flush deeper than the other.”
Thus awareness is born, awareness of oneself as the shackles of society are thrown down. Stephen realises that he does not want to be what everyone else has deemed him to be; he wants to be his own man; he wants to embrace his own desires and live the life he wants: he wants to be free.And who can blame him? It’s his life so he may as well live it a way that will cause him some degree of satisfaction. Please note, I deliberately avoided the word “happy” because Stephen isn’t happy; he realises that such a state is fickle: it will always fade with time. So in this process he assesses his own individuality and slowly begins to define his emerging sense of self. To invoke a cliché, Stephen goes on a journey of self-discovery; however, the extent of which goes far beyond the typical discourse: this is about the soul of his art. 
  “What is that beauty which the artist struggles to express…..”
 Is this not the entire crux of the work? Stephen struggles, and overcomes, the fight to be his true self in the confines of Irish society, and, by extension, Joyce struggles to produce his art in the confines of traditional narrative expectation: he cannot write his masterpiece by following the rules. The beauty he wishes to express will have to take a new form. So, this becomes a natural precursor to  Ulysses.  I view this novel as an experiment; it is Joyce dipping his toe into the pool of experimental realism before he dives in head first with his next work. He plays with his writing; he tests it all for the purpose of exploring how far he can push the limits of storytelling: he prepares himself and his reader for his next work. To call this book autobiographical is to invoke the understatement of the year. As Stephen loses his virginity and the binds of social constraints, Joyce breaks free of all sense of artistic conformity. As Stephen explores his growing sexual appetite without any care for the conventional modes of Catholic morality that imbedded Irish culture, Joyce begins to stand up on his own two feet, erect and proud; he is ready to throw his writing into the world. The artist is born. ",298,23
7588,A Portrait of the Artist as a Young Man,"Fergus, Quondam Happy Face",932,17600,5,"January 22, 2023","I am concurrently reading two enormously stimulating and intellectually challenging books - both of which I can recommend strenuously - My Bright Abyss and Holy Desperation. Each of these, distinctly different and imperiously individualistic, is by a writer who takes James Joyce’s commandment to become the conscience of our race at face value. Each does that differently - the former by a disinterested poetic conscience - and the latter by a socially committed religious conscience.But each is - or has been for most of their life - a pariah. A castoff from suburbia.If you eschew the usual head games and (slightly more outré) games of concupiscence suburbia tends to excel at, you are likely one of us. I say us, for with this book, like they with theirs, I first became a Stephen Dedalus.The three of us may fake some kind of obedience to the norm, but our hearts will always be in those mystical epiphanic moments which make life worthwhile: those rare moments which are intimations of immortality, as Wordsworth puts it.When life is a religious experience it is worthwhile. And it has to be a life of timeless moments. A day without the maximum effort it takes to generate an epiphanic moment (or much better, a SHARED epiphanic moment) is a day not lived.Joyce knew that. And he knew he could no longer make Ireland his home. For Ireland back at the turn of the century was ruled by a malicious devil - which Plato calls doksa, or opinion - the symptom of a stagnant society in ferment.When a land is dangerously deadlocked - as we have witnessed in our own time - that same violent devil, doksa, rears its head: and we get viciously vapid tweets masquerading as moral substance.But Suburbia rarely confronts, but festers. Hence its release valve, in games.However, to outcasts from conformity like James Joyce, Christian Wiman (My Bright Abyss) and Heather King (Holy Desperation) we must CHANGE. We must become Self-Aware. And more importantly than that, as Dietrich Bonhoeffer said, we must have faith.Have faith that change is possible;Have faith that WE can promote Change through Awakeness;Have faith that the Kingdom is at Hand:AND have faith that all our literary epiphanies PROVE it.",284,31
7588,A Portrait of the Artist as a Young Man,Anthony Vacca,423,277,4,"July 25, 2016","Forget The Perks of Being an Insufferable Wimp; forget the hollow, hipster-plasticity of Holden Cauliflower and his phony attempts at wry observations on adolescence; forget that clumsy excuse of an experimental storyteller that is Jonathan Safran Foer, aka “Meat is Murder” Johnny, with his nauseating, gee-I-guess-our-hearts-really-are-just-too-big-to-fit-into-one-sentence-after-all mentality; forget all that useless bullshit, if, like me, you can pick up James Joyce’s The Portrait of an Artist as a Young Man and completely relate with a childhood defined by shyness and subservient silence that, with time and guidance, is fashioned into an all-encompassing fear of divine punishment for being a lowly, flesh-bound mongrel unworthy of its own creator’s love, which, in turn, precipitates a young adulthood embittered with resentment and characterized by self-loathing and drastic, vain attempts at appearing creatively intelligent as you hobnob with your college peers, those equally fucked-in-the-head fakes that use their given academic setting as a way of feeling validated and important, which is a bafflingly absurd denial of the eventual doldrums of disappointment and depression that is living a long life paired with the ability to actually form coherent, analytical thoughts that have no real value since they can’t be expressed in any meaningful way since you’ve wisely given up your ivory-tower dreams of being the famous musician, the beloved artist, the acclaimed novelist, the sensational poet, one of those people whom more than a hundred people will ever know or actually care about and remember once he or she finally dies and discovers firsthand if their deepest, guilt-ridden fear of a snarling, reptilian DevilGod orbiting their every thought and action was always true.",175,30
7588,A Portrait of the Artist as a Young Man,Rakhi Dalal,202,1413,5,"February 24, 2014","""Et ignotas animum dimittit in artes”(And he sets his mind to unknown arts.) -	Ovid  MetamorphosesThe above mentioned quote from Ovid, which appears at the start of the work, best describes the conclusion of a journey of an artist through his self, trying to come up with things that matter most, while still trying to discern his place in this world. I still remember the day, when as a teenager, ready to explore the world around me, I, once looked up in the sky, which was sunny and inspiring, and said “I wish I could fly so high in the sky that it could take me in its arms!!” That was a wishful fancy. My class group laughed at me, one even expressing her contempt at such a childish sham. That was a moment of revelation for me, a moment when I realized how important it was to set one’s mind free. I was disheartened, because it became apparent that they were not receptive, not receptive to life itself. The reading of “A Portrait of an Artist as a Young Man” made me remember that instant; that instant, which I recall as one of the most memorable moments of my life. This work by Joyce has taken me down a memory lane, like Proust did :), but unlike Proust, it has made me remember and define those moments which have considerably influenced my thoughts and ideas. Those moments which have, over a time, asked me to break away from the well accepted conventions, if not to live the life of an artist, but then, to be a being that is conscious and hence, living.This work, which is considered to be semi-autobiographical, captures the mind of Stephen Dedalus effectively and renders the “Portrait” strikingly, without any transition. As Langdon Hammer, in the introduction, said, “Over its decade long composition, the creator of Portrait refined almost out of existence, a key device of novelistic convention: the narrator.” This comes from the theory; Joyce gives at the end of the work: “The personality of the Artist, at first a cry or a cadence or a mood and then a fluid and lambent narrative, finally refines itself out of existence, impersonalises itself, so to speak. The esthetic image in the dramatic form is life purified in and reprojected from the human imagination. The artist, like the God of the creation, remains within or behind or beyond or above his handiwork, invisible, refined out of existence, indifferent, paring his fingernails.” So, what we get, as a result is the revelation of characters’ inner stream of thoughts, without us going through the narrative translation. This style of stream of consciousness, as employed by the author, has made me a Joyce fan. I was astonished to behold the expressions of Stephen, his thoughts, his anxiety, his moment of epiphany. It wasn’t as he experienced them; it was like I myself was going through those moments of reflection. Specifically, where he questioned his faith and religion, his duties and responsibilities as a Christian, more so when offered an entrance into the service of altar. Starting from his childhood, there were many beautiful expressions which reflected the development of his consciousness; the expressions, which held you captive for their simple representation. But the most enrapturing ones came toward the end of the work, when Stephen attained a more rational approach. I am only going to quote a couple of my favorites:“His throat ached with a desire to cry aloud, the cry of a hawk or eagle on high, to cry piercingly of his deliverance to the winds. This was the call of life to his soul not the dull gross voice of the world of duties and despair, not the inhuman voice that had called him to the pale service of the altar. An instant of wild flight had delivered him and the cry of triumph which his lips withheld cleft his brain.”His moment of epiphany:“Her image had passed into his soul for ever and no word had broken the holy silence of his ecstasy. Her eyes had called him and his soul had leaped at the call. To live, to err, to fall, to triumph, to recreate life out of life! A wild angel had appeared to him, the angel of mortal youth and beauty, an envoy from the fair courts of life, to throw open before him in an instant of ecstasy the gates of all ways of error and glory. On and on and on and on.” It is here that Stephan comes to acknowledge that it is not a sin to appreciate beauty. That it is beautiful to live, to err, to triumph and to fall even. That it is beautiful indeed to be a human being, to live in consciousness and to acknowledge yourself for who you are. ",166,50
7588,A Portrait of the Artist as a Young Man,Luís,"1,791",430,5,"August 14, 2022","James Joyce is widely recognized as a great writer but often obscure. This almost autobiographical novel belies this reputation. We read it without difficulty and do not have to look for complicated literary ulterior motives. Stephen Dedalus, a character the author has featured in several of his books, is Joyce's alter ego. In this ""Portrait"", we see a boy (first attending college) becoming a young adult. Everything is intelligible in this journey. Everything sounds authentic. But Joyce introduces us to an era and a country that seem very distant. At the end of the 19th century, Ireland is trying to enter the modern era, but it is still very archaic. The hold of the Catholic Church is heavy. She is compassionate inside the religious school where the young Stephen D. studies. The preachers' speeches - both soothing and terrifying - sound almost unbelievable. This pressure very powerfully influences the young boy. Also, the Eire is still under British law, causing severe divisions among the Irish (even now, there are substantial remnants in Ulster).There is, therefore, a coexistence between an unmistakable authenticity (underlined by the very numerous notes collected at the end of the book, which refers to his personal experience of Joyce) and the impression of strangeness I mentioned above; that may surprise me. But this makes it a fascinating novel.",142,6
7588,A Portrait of the Artist as a Young Man,Vit Babenco,"1,374",3187,5,"July 9, 2019","A Portrait of the Artist as a Young Man is a book of ripening, a story of the complicated and excruciating spiritual struggle.A boy in the world of adults: he finds out that there is injustice, that there are such things as perfidy and hypocrisy… It was wrong; it was unfair and cruel: and, as he sat in the refectory, he suffered time after time in memory the same humiliation until he began to wonder whether it might not really be that there was something in his face which made him look like a schemer and he wished he had a little mirror to see. But there could not be; and it was unjust and cruel and unfair.Indoctrination passes as an education: God is above all and there is no free will but only the will of God and everything that is done against the will of God is sin… So eventually, God turns into a frightful monstrosity.That was the work of devils, to scatter his thoughts and overcloud his conscience, assailing him at the gates of the cowardly and sin corrupted flesh: and, praying God timidly to forgive him his weakness, he crawled up on to the bed and, wrapping the blankets closely about him, covered his face again with his hands. He had sinned. He had sinned so deeply against heaven and before God that he was not worthy to be called God’s child.But boy is growing up – he acquires knowledge, he obtains some life experience so his childish and adolescent fears are left behind… Thus a boy becomes a youth full of poetical visions and artistic hopes… Now Stephen Dedalus is capable of doing daedal deeds…His heart trembled; his breath came faster and a wild spirit passed over his limbs as though he were soaring sunward. His heart trembled in an ecstasy of fear and his soul was in flight. His soul was soaring in an air beyond the world and the body he knew was purified in a breath and delivered of incertitude and made radiant and commingled with the element of the spirit. An ecstasy of flight made radiant his eyes and wild his breath and tremulous and wild and radiant his windswept limbs.To become a true artist one must break the chains of all dogmas.",127,3
7588,A Portrait of the Artist as a Young Man,Kalliope,681,22,4,"February 16, 2016","And there he was following the alleys, away from his original filial shell, searching where the way would take him, and there were icons on the walls. Icons of guilt, icons of duty. Some promised a reality beyond those grey walls announcing that there would be more light – but still imagined. Some pretended a glorious past and a glorious and heroic future for the community -- an imaginary polity. Captivating nets of restricting nationalism, coined discourses and gelled devotions. He took the turn of one of those alleys and enjoyed the walk but it left nothing but pleasureless pleasure in his soul. They were dancing paths that entangled him more and more. He took a side turn, again after that promising light. But he was just getting into darker caves of fear, where guilt there always was: the Minotaur of sin lurking on each of those barren and sordid alleyways. The Order, the militant Order. Fleeing and escaping, not yet flying, but led by the force of hope, a dizzy hope. He met other ghosts in those alleys but they were not more real than the icons.Some white shone. Pearl white. A feather as small as a word. The fascination led him to other feathers that seemed to mark the way out of the trapping Labyrinth of stilted ideas. But one has to be careful with words. They can embody banality. Or emptiness. He knew the words of prayer, the words of nationalism. Words had also brought sorrow to that first martyr, Stephanos, the saint from the classical lands of ancient Greece. He was punished for his speech, his utterances. Words exchanged for stones: evil stones, words of evil and stones of god. Words of god.But those feathers, did the sweet Guardian Angel drop them? Or was it the heroic Attican figure with Apollonian wings?For those feathers of beauty grouped into systems of calming order. They formed an ordered and powerful structure - the syntax of thought. They led the way, clustering into meshes that winged the thoughts. Inventions could now fly. The wings of text, wings of writing, wings of beauty could help the soul glide away.Diving upward dropping the weight of morality into eternal Stasis.In free pursuit of liberating aesthetics, in all its splendour: with Integritas, Consonantia and Claritas – Wholeness, Harmony and Radiance.-----Added 5th August, 2014.I am now rereading the Odyssey in preparation for Ulysses... and the expression ""winged words"" springs up in Homer's text... so suitable for Daedalus and the young Joyce.... Words are also compared to arrows in Homer's",106,52
7588,A Portrait of the Artist as a Young Man,Shine Sebastian,112,92,5,"February 7, 2017"," Words, art, life...Life, art, words...BEAUTIFUL! James Joyce,... what a masterful writer!!This book is insightful, poetic, artistic and profound. It is , if I may say so, a tour de force of wisdom and language. I will try to make this review not ridiculously long, but as you can imagine, when a book is this good, there is no way you can write a short review and be satisfied. So let's take a look at Joyce's brilliance,1.  Language  - Joyce's language is fresh and unique, his techniques and style a touch of sheer genius.The sentences, especially descriptive ones, are so expressive and vivid, so that the images and scenes are felt so strongly and clearly, oozing out of the pages. ""The rain had drawn off; and amid the moving vapours from point to point of light the city was spinning about herself a soft cocoon of yellowish haze. Heaven was still and faintly luminous and the air sweet to breathe, as in a thicket drenched with showers; and amid peace and shimmering lights and quiet fragrance he made a covenant with his heart.""""The music passed in an instant, as the first bars of sudden music always did, over the fantastic fabrics of his mind, dissolving them painlessly and noicelessly as a sudden wave dissolves the sand-built turrets of children.""these are a few examples of the sweet poetic beauty of the writing. So colourful and soothing...!!2.  Profoundness, Wisdom and Knowledge  - ""The phrase and the day and the scene harmonised in a chord. Words. Was it their colours? He allowed them to glow and fade, hue after hue: sunrise gold, the russet and green of apple orchards, azure of waves, the grey fringed fleece of clouds. No, it was not their colours: it was the poise and balance of the period itself. Did he then love the rhythmic rise and fall of words better than their associations of legend and colour? Or was it that, being as weak of sight as he was shy of mind, he drew less pleasure from the reflection of the glowing sensible world through the prism of a language many coloured and richly storied than from the contemplation of an inner world of individual emotions mirrored perfectly in a lucid supple periodic prose?""""To live, to err, to fall, to triumph, to recreate life out of life!""""The soul is born, he said vaguely, first in those moments I told you of. It has a slow and dark birth, more mysterious than the birth of body.""""Pity is the feeling which arrests the mind in the presence of whatsoever is grave and constant in human sufferings and unites it with the human sufferer. Terror is the feeling which arrests the mind in the presence of whatsoever is grave and constant in human sufferings and unites it with the secret cause.""""The esthetic image in the dramatic form is life purified in and reprojected from the human imagination. The mystery of esthetic, like that of material creation, is accomplished. The artist, like the God of creation, remains within or behind or beyound or above his handiwork, invisible, refined out of existence, indifferent, paring his fingernails.""""I imagine , Stephen said, that there is a malevolent reality behind those things I say I fear."" ""The past is consumed in the present and the present is living only because it brings forth the future."" Makes me think of this quote, - ""Word after a word after a word is power."" !- - - - - - - - - -""These questions are very profound, Mr. Dedalus, said the dean. It is like looking down from the cliffs of Moher into the depths. Many go down into the depths and never come up. Only the trained diver can go down into those depths and explore them and come to the surface again.""  This is, the birth, growth, and rebirth of a fascinating soul. An artist's soul, desperately in want of freedom to express itself wholely and freely, its journey, its waking. Stephen Dedalus, goes down into the dark, bottomless depths of his soul's secrets, his hidden and silent conciousness in repose, his true being, and like his ancient father, the old brilliant artificer, Daedalus, he uses the mighty wings of language and imagination and reason, to emerge anew, a surging new life, an ARTIST  !! ""To speak of these things and to try to understand their nature and , having understood it , to try slowly and humbly and constantly to express, to press out again, from the gross earth or what it brings forth, from sound and shape and colour which arethe prison gates of our soul, an image of the beauty we have come to understand - that is art."" Man!!!",105,9
