Title,URL
Pride and Prejudice,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
The Great Gatsby,https://www.goodreads.com/book/show/4671.The_Great_Gatsby
To Kill a Mockingbird,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
Jane Eyre,https://www.goodreads.com/book/show/10210.Jane_Eyre
1984,https://www.goodreads.com/book/show/61439040-1984
Wuthering Heights,https://www.goodreads.com/book/show/6185.Wuthering_Heights
Animal Farm,https://www.goodreads.com/book/show/170448.Animal_Farm
The Catcher in the Rye,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
The Picture of Dorian Gray,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
Little Women,https://www.goodreads.com/book/show/1934.Little_Women
Frankenstein: The 1818 Text,https://www.goodreads.com/book/show/35031085-frankenstein
Of Mice and Men,https://www.goodreads.com/book/show/890.Of_Mice_and_Men
Romeo and Juliet,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet
Lord of the Flies,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
Sense and Sensibility,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility
Emma,https://www.goodreads.com/book/show/6969.Emma
Fahrenheit 451,https://www.goodreads.com/book/show/13079982-fahrenheit-451
Dracula,https://www.goodreads.com/book/show/17245.Dracula
A Tale of Two Cities,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities
Persuasion,https://www.goodreads.com/book/show/2156.Persuasion
Great Expectations,https://www.goodreads.com/book/show/2623.Great_Expectations
The Adventures of Huckleberry Finn,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn
Anna Karenina,https://www.goodreads.com/book/show/15823480-anna-karenina
The Odyssey,https://www.goodreads.com/book/show/1381.The_Odyssey
The Scarlet Letter,https://www.goodreads.com/book/show/12296.The_Scarlet_Letter
Brave New World,https://www.goodreads.com/book/show/5129.Brave_New_World
The Count of Monte Cristo,https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo
Crime and Punishment,https://www.goodreads.com/book/show/7144.Crime_and_Punishment
Hamlet,https://www.goodreads.com/book/show/1420.Hamlet
A Christmas Carol,https://www.goodreads.com/book/show/5326.A_Christmas_Carol
"The Hobbit (The Lord of the Rings, #0)",https://www.goodreads.com/book/show/5907.The_Hobbit
Macbeth,https://www.goodreads.com/book/show/8852.Macbeth
The Secret Garden,https://www.goodreads.com/book/show/2998.The_Secret_Garden
The Little Prince,https://www.goodreads.com/book/show/157993.The_Little_Prince
Les Misérables,https://www.goodreads.com/book/show/24280.Les_Mis_rables
The Old Man and the Sea,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea
Northanger Abbey,https://www.goodreads.com/book/show/50398.Northanger_Abbey
"Anne of Green Gables (Anne of Green Gables, #1)",https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables
The Diary of a Young Girl,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl
The Adventures of Tom Sawyer,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer
The Grapes of Wrath,https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath
The Bell Jar,https://www.goodreads.com/book/show/6514.The_Bell_Jar
Dr. Jekyll and Mr. Hyde,https://www.goodreads.com/book/show/51496.Dr_Jekyll_and_Mr_Hyde
Slaughterhouse-Five,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
Rebecca,https://www.goodreads.com/book/show/17899948-rebecca
The Metamorphosis,https://www.goodreads.com/book/show/485894.The_Metamorphosis
Mansfield Park,https://www.goodreads.com/book/show/45032.Mansfield_Park
Gone with the Wind,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
Lolita,https://www.goodreads.com/book/show/7604.Lolita
The Iliad,https://www.goodreads.com/book/show/1371.The_Iliad
"Moby-Dick or, the Whale",https://www.goodreads.com/book/show/153747.Moby_Dick_or_the_Whale
A Midsummer Night's Dream,https://www.goodreads.com/book/show/1622.A_Midsummer_Night_s_Dream
"The Handmaid’s Tale (The Handmaid's Tale, #1)",https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
Alice's Adventures in Wonderland / Through the Looking-Glass,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
War and Peace,https://www.goodreads.com/book/show/656.War_and_Peace
Oliver Twist,https://www.goodreads.com/book/show/18254.Oliver_Twist
Catch-22,https://www.goodreads.com/book/show/168668.Catch_22
The Stranger,https://www.goodreads.com/book/show/49552.The_Stranger
Treasure Island,https://www.goodreads.com/book/show/295.Treasure_Island
Heart of Darkness,https://www.goodreads.com/book/show/4900.Heart_of_Darkness
East of Eden,https://www.goodreads.com/book/show/4406.East_of_Eden
"The Fellowship of the Ring (The Lord of the Rings, #1)",https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
"The Three Musketeers (The D'Artagnan Romances, #1)",https://www.goodreads.com/book/show/7190.The_Three_Musketeers
Madame Bovary,https://www.goodreads.com/book/show/2175.Madame_Bovary
One Hundred Years of Solitude,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
Don Quixote,https://www.goodreads.com/book/show/3836.Don_Quixote
The Importance of Being Earnest,https://www.goodreads.com/book/show/92303.The_Importance_of_Being_Earnest
The Outsiders,https://www.goodreads.com/book/show/231804.The_Outsiders
Tess of the D’Urbervilles,https://www.goodreads.com/book/show/32261.Tess_of_the_D_Urbervilles
Othello,https://www.goodreads.com/book/show/12996.Othello
The Brothers Karamazov,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov
Mrs. Dalloway,https://www.goodreads.com/book/show/14942.Mrs_Dalloway
Peter Pan,https://www.goodreads.com/book/show/34268.Peter_Pan
The Time Machine,https://www.goodreads.com/book/show/2493.The_Time_Machine
One Flew Over the Cuckoo's Nest,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
And Then There Were None,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
A Clockwork Orange,https://www.goodreads.com/book/show/41817486-a-clockwork-orange
"The Giver (The Giver, #1)",https://www.goodreads.com/book/show/3636.The_Giver
The Crucible,https://www.goodreads.com/book/show/17250.The_Crucible
"The Wonderful Wizard of Oz (Oz, #1)",https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz
The Phantom of the Opera,https://www.goodreads.com/book/show/480204.The_Phantom_of_the_Opera
David Copperfield,https://www.goodreads.com/book/show/58696.David_Copperfield
The Call of the Wild,https://www.goodreads.com/book/show/1852.The_Call_of_the_Wild
Beowulf,https://www.goodreads.com/book/show/52357.Beowulf
The Alchemist,https://www.goodreads.com/book/show/18144590-the-alchemist
Gulliver's Travels: Travels into Several Remote Nations of the World.,https://www.goodreads.com/book/show/7733.Gulliver_s_Travels
The Sun Also Rises,https://www.goodreads.com/book/show/3876.The_Sun_Also_Rises
"Robinson Crusoe (Robinson Crusoe, #1)",https://www.goodreads.com/book/show/2932.Robinson_Crusoe
Charlotte's Web,https://www.goodreads.com/book/show/24178.Charlotte_s_Web
The Canterbury Tales,https://www.goodreads.com/book/show/2696.The_Canterbury_Tales
A Little Princess,https://www.goodreads.com/book/show/3008.A_Little_Princess
Candide,https://www.goodreads.com/book/show/19380.Candide
"A Study in Scarlet (Sherlock Holmes, #1)",https://www.goodreads.com/book/show/102868.A_Study_in_Scarlet
The Color Purple,https://www.goodreads.com/book/show/52892857-the-color-purple
Alice's Adventures in Wonderland,https://www.goodreads.com/book/show/60671823-alice-s-adventures-in-wonderland
Siddhartha,https://www.goodreads.com/book/show/52036.Siddhartha
"The Two Towers (The Lord of the Rings, #2)",https://www.goodreads.com/book/show/61215372-the-two-towers
Middlemarch,https://www.goodreads.com/book/show/19089.Middlemarch
A Tree Grows in Brooklyn,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn
North and South,https://www.goodreads.com/book/show/156538.North_and_South
Notre-Dame de Paris | The Hunchback of Notre-Dame,https://www.goodreads.com/book/show/30597.Notre_Dame_de_Paris_The_Hunchback_of_Notre_Dame
All Quiet on the Western Front,https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front
Around the World in Eighty Days,https://www.goodreads.com/book/show/54479.Around_the_World_in_Eighty_Days
"The Return of the King (The Lord of the Rings, #3)",https://www.goodreads.com/book/show/61215384-the-return-of-the-king
The Age of Innocence,https://www.goodreads.com/book/show/53835.The_Age_of_Innocence
"The Hound of the Baskervilles (Sherlock Holmes, #5)",https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles
A Farewell to Arms,https://www.goodreads.com/book/show/10799.A_Farewell_to_Arms
Much Ado About Nothing,https://www.goodreads.com/book/show/12957.Much_Ado_About_Nothing
"Twenty Thousand Leagues Under the Sea (Captain Nemo, #2)",https://www.goodreads.com/book/show/33507.Twenty_Thousand_Leagues_Under_the_Sea
Uncle Tom's Cabin,https://www.goodreads.com/book/show/46787.Uncle_Tom_s_Cabin
Flowers for Algernon,https://www.goodreads.com/book/show/36576608-flowers-for-algernon
To the Lighthouse,https://www.goodreads.com/book/show/59716.To_the_Lighthouse
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
Their Eyes Were Watching God,https://www.goodreads.com/book/show/37415.Their_Eyes_Were_Watching_God
Paradise Lost,https://www.goodreads.com/book/show/15997.Paradise_Lost
Inferno,https://www.goodreads.com/book/show/15645.Inferno
Julius Caesar,https://www.goodreads.com/book/show/13006.Julius_Caesar
The War of the Worlds,https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds
The Master and Margarita,https://www.goodreads.com/book/show/117833.The_Master_and_Margarita
"Murder on the Orient Express (Hercule Poirot, #9)",https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express
King Lear,https://www.goodreads.com/book/show/12938.King_Lear
A Room with a View,https://www.goodreads.com/book/show/3087.A_Room_with_a_View
The Woman in White,https://www.goodreads.com/book/show/5890.The_Woman_in_White
The Divine Comedy,https://www.goodreads.com/book/show/6656.The_Divine_Comedy
"Watership Down (Watership Down, #1)",https://www.goodreads.com/book/show/76620.Watership_Down
"A Wrinkle in Time (Time Quintet, #1)",https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
The Tempest,https://www.goodreads.com/book/show/12985.The_Tempest
"Night  (The Night Trilogy, #1)",https://www.goodreads.com/book/show/1617.Night
Far From the Madding Crowd,https://www.goodreads.com/book/show/31463.Far_From_the_Madding_Crowd
The Awakening,https://www.goodreads.com/book/show/58345.The_Awakening
The Princess Bride,https://www.goodreads.com/book/show/21787.The_Princess_Bride
The Tenant of Wildfell Hall,https://www.goodreads.com/book/show/337113.The_Tenant_of_Wildfell_Hall
The Trial,https://www.goodreads.com/book/show/17690.The_Trial
On the Road,https://www.goodreads.com/book/show/70401.On_the_Road
The Prince,https://www.goodreads.com/book/show/28862.The_Prince
The Turn of the Screw,https://www.goodreads.com/book/show/12948.The_Turn_of_the_Screw
For Whom the Bell Tolls,https://www.goodreads.com/book/show/46170.For_Whom_the_Bell_Tolls
Breakfast at Tiffany's and Three Stories,https://www.goodreads.com/book/show/251688.Breakfast_at_Tiffany_s_and_Three_Stories
Twelfth Night,https://www.goodreads.com/book/show/1625.Twelfth_Night
Vanity Fair,https://www.goodreads.com/book/show/5797.Vanity_Fair
The Art of War,https://www.goodreads.com/book/show/10534.The_Art_of_War
The Wind in the Willows,https://www.goodreads.com/book/show/5659.The_Wind_in_the_Willows
A Room of One's Own,https://www.goodreads.com/book/show/18521.A_Room_of_One_s_Own
Black Beauty,https://www.goodreads.com/book/show/3685.Black_Beauty
Beloved,https://www.goodreads.com/book/show/6149.Beloved
Ulysses,https://www.goodreads.com/book/show/338798.Ulysses
The Lord of the Rings,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
The Merchant of Venice,https://www.goodreads.com/book/show/24128.The_Merchant_of_Venice
The Invisible Man,https://www.goodreads.com/book/show/17184.The_Invisible_Man
The Idiot,https://www.goodreads.com/book/show/12505.The_Idiot
The Taming of the Shrew,https://www.goodreads.com/book/show/47021.The_Taming_of_the_Shrew
"Oedipus Rex  (The Theban Plays, #1)",https://www.goodreads.com/book/show/1554.Oedipus_Rex
"Things Fall Apart (The African Trilogy, #1)",https://www.goodreads.com/book/show/37781.Things_Fall_Apart
Death of a Salesman,https://www.goodreads.com/book/show/12898.Death_of_a_Salesman
The Pearl,https://www.goodreads.com/book/show/5308.The_Pearl
"Dune (Dune, #1)",https://www.goodreads.com/book/show/44767458-dune
Journey to the Center of the Earth,https://www.goodreads.com/book/show/32829.Journey_to_the_Center_of_the_Earth
The Haunting of Hill House,https://www.goodreads.com/book/show/89717.The_Haunting_of_Hill_House
The Sound and the Fury,https://www.goodreads.com/book/show/10975.The_Sound_and_the_Fury
The Aeneid,https://www.goodreads.com/book/show/12914.The_Aeneid
"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
The Yellow Wall-Paper,https://www.goodreads.com/book/show/286957.The_Yellow_Wall_Paper
Villette,https://www.goodreads.com/book/show/31173.Villette
Bleak House,https://www.goodreads.com/book/show/31242.Bleak_House
"Anne of Avonlea (Anne of Green Gables, #2)",https://www.goodreads.com/book/show/77390.Anne_of_Avonlea
As I Lay Dying,https://www.goodreads.com/book/show/77013.As_I_Lay_Dying
Invisible Man,https://www.goodreads.com/book/show/16981.Invisible_Man
Love in the Time of Cholera,https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera
"Antigone (The Theban Plays, #3)",https://www.goodreads.com/book/show/7728.Antigone
The Scarlet Pimpernel,https://www.goodreads.com/book/show/136116.The_Scarlet_Pimpernel
A Streetcar Named Desire,https://www.goodreads.com/book/show/12220.A_Streetcar_Named_Desire
Walden,https://www.goodreads.com/book/show/16902.Walden
In Cold Blood,https://www.goodreads.com/book/show/168642.In_Cold_Blood
Alice in Wonderland,https://www.goodreads.com/book/show/13023.Alice_in_Wonderland
A Portrait of the Artist as a Young Man,https://www.goodreads.com/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
Heidi,https://www.goodreads.com/book/show/93.Heidi
Lady Chatterley's Lover,https://www.goodreads.com/book/show/32049.Lady_Chatterley_s_Lover
A Separate Peace,https://www.goodreads.com/book/show/5148.A_Separate_Peace
"The Magician's Nephew (Chronicles of Narnia, #6)",https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew
White Fang,https://www.goodreads.com/book/show/43035.White_Fang
Ethan Frome,https://www.goodreads.com/book/show/5246.Ethan_Frome
The Complete Sherlock Holmes,https://www.goodreads.com/book/show/188572.The_Complete_Sherlock_Holmes
Dubliners,https://www.goodreads.com/book/show/11012.Dubliners
The Book Thief,https://www.goodreads.com/book/show/19063.The_Book_Thief
Agnes Grey,https://www.goodreads.com/book/show/298230.Agnes_Grey
Atlas Shrugged,https://www.goodreads.com/book/show/662.Atlas_Shrugged
"The Good Earth (House of Earth, #1)",https://www.goodreads.com/book/show/1078.The_Good_Earth
The House of Mirth,https://www.goodreads.com/book/show/17728.The_House_of_Mirth
We Have Always Lived in the Castle,https://www.goodreads.com/book/show/89724.We_Have_Always_Lived_in_the_Castle
Tender Is the Night,https://www.goodreads.com/book/show/46164.Tender_Is_the_Night
