date,added,ratings,reviews,to-read
2022-08-15,339,132,2,105
2022-08-16,332,132,0,95
2022-08-17,353,125,2,123
2022-08-18,282,107,0,101
2022-08-19,265,98,1,76
2022-08-20,272,93,3,75
2022-08-21,352,120,3,117
2022-08-22,353,136,4,110
2022-08-23,294,123,2,102
2022-08-24,302,89,3,107
2022-08-25,272,125,1,78
2022-08-26,274,87,3,92
2022-08-27,292,104,2,94
2022-08-28,339,91,2,102
2022-08-29,279,71,1,96
2022-08-30,321,98,1,109
2022-08-31,318,119,4,98
2022-09-01,304,112,-1,105
2022-09-02,266,98,2,83
2022-09-03,295,103,0,114
2022-09-04,321,110,2,113
2022-09-05,335,137,1,105
2022-09-06,305,98,4,97
2022-09-07,341,109,2,104
2022-09-08,219,98,-1,76
2022-09-09,274,98,1,94
2022-09-10,273,99,2,93
2022-09-11,278,101,1,86
2022-09-12,268,88,3,97
2022-09-13,256,118,0,68
2022-09-14,313,102,1,101
2022-09-15,258,99,3,89
2022-09-16,251,86,0,81
2022-09-17,253,75,3,87
2022-09-18,319,114,3,112
2022-09-19,254,118,0,77
2022-09-20,289,123,-1,86
2022-09-21,241,102,3,85
2022-09-22,284,110,2,105
2022-09-23,261,89,1,68
2022-09-24,264,88,1,100
2022-09-25,287,80,1,122
2022-09-26,276,59,4,92
2022-09-27,309,45,3,95
2022-09-28,268,18,1,85
2022-09-29,287,24,0,103
2022-09-30,275,91,3,113
2022-10-01,280,82,1,119
2022-10-02,321,60,0,118
2022-10-03,257,62,2,86
2022-10-04,262,91,6,98
2022-10-05,232,86,4,77
2022-10-06,255,87,3,73
2022-10-07,248,79,4,95
2022-10-08,273,114,1,96
2022-10-09,288,46,1,110
2022-10-10,265,111,2,96
2022-10-11,285,72,0,95
2022-10-12,300,82,2,97
2022-10-13,251,93,4,95
2022-10-14,271,27,2,101
2022-10-15,301,83,1,112
2022-10-16,354,1,6,142
2022-10-17,298,45,4,110
2022-10-18,318,76,0,123
2022-10-19,324,86,2,125
2022-10-20,276,82,5,99
2022-10-21,278,73,6,117
2022-10-22,290,88,4,106
2022-10-23,346,16,2,140
2022-10-24,325,57,0,104
2022-10-25,293,83,4,121
2022-10-26,310,99,3,131
2022-10-27,309,108,0,135
2022-10-28,261,83,7,104
2022-10-29,322,80,4,136
2022-10-30,331,95,1,107
2022-10-31,298,68,1,116
2022-11-01,368,88,4,139
2022-11-02,359,92,4,147
2022-11-03,379,107,5,146
2022-11-04,360,111,5,132
2022-11-05,386,80,4,159
2022-11-06,467,126,3,181
2022-11-07,422,131,2,145
2022-11-08,404,133,6,154
2022-11-09,385,139,6,134
2022-11-10,344,89,4,138
2022-11-11,337,114,1,118
2022-11-12,418,116,4,153
2022-11-13,469,144,3,165
2022-11-14,479,137,11,183
2022-11-15,532,166,5,171
2022-11-16,436,171,7,150
2022-11-17,332,110,9,120
2022-11-18,436,141,9,168
2022-11-19,470,139,11,144
2022-11-20,558,156,13,186
2022-11-21,543,160,6,192
2022-11-22,505,166,15,151
2022-11-23,541,161,13,171
2022-11-24,521,184,9,159
2022-11-25,533,170,9,149
2022-11-26,613,192,17,195
2022-11-27,876,258,19,268
2022-11-28,778,274,15,227
2022-11-29,694,268,14,209
2022-11-30,888,187,25,230
2022-12-01,946,280,17,208
2022-12-02,938,355,26,226
2022-12-03,1026,348,28,236
2022-12-04,1176,373,38,300
2022-12-05,1140,367,38,245
2022-12-06,1182,384,38,251
2022-12-07,797,397,52,203
2022-12-08,797,410,43,187
2022-12-09,1028,420,47,189
2022-12-10,1070,411,45,204
2022-12-11,1387,554,76,236
2022-12-12,1357,520,56,218
2022-12-13,1393,556,51,234
2022-12-14,1391,609,52,209
2022-12-15,1419,561,76,222
2022-12-16,1361,569,58,228
2022-12-17,1479,637,62,219
2022-12-18,1863,750,70,317
2022-12-19,1858,760,72,318
2022-12-20,1421,860,72,268
2022-12-21,1902,845,92,274
2022-12-22,1949,846,78,275
2022-12-23,2199,1012,103,279
2022-12-24,2398,1152,113,305
2022-12-25,2540,1331,118,337
2022-12-26,2566,1560,172,378
2022-12-27,2259,1253,106,374
2022-12-28,2151,1188,90,397
2022-12-29,1422,1071,95,358
2022-12-30,1945,1048,83,398
2022-12-31,2370,1248,75,437
2023-01-01,3116,1332,52,842
2023-01-02,2592,1633,68,635
2023-01-03,1930,967,51,482
2023-01-04,1231,760,42,335
2023-01-05,1398,667,30,343
2023-01-06,1116,561,33,283
2023-01-07,1113,540,33,283
2023-01-08,1023,486,24,259
2023-01-09,930,404,18,235
2023-01-10,908,441,18,221
2023-01-11,675,382,25,181
2023-01-12,742,289,10,192
2023-01-13,636,226,17,169
2023-01-14,737,301,17,203
2023-01-15,752,337,11,192
2023-01-16,665,297,17,158
2023-01-17,601,299,11,141
2023-01-18,633,278,15,134
2023-01-19,545,247,9,158
2023-01-20,485,242,13,139
2023-01-21,583,237,8,166
2023-01-22,562,244,10,151
2023-01-23,497,196,12,145
2023-01-24,457,183,13,116
2023-01-25,470,172,2,122
2023-01-26,434,194,4,109
2023-01-27,405,168,12,106
2023-01-28,468,173,7,123
2023-01-29,491,196,12,143
2023-01-30,365,182,8,124
2023-01-31,453,157,5,122
