date,added,ratings,reviews,to-read
2022-08-15,83,35,2,19
2022-08-16,66,28,2,16
2022-08-17,93,40,2,14
2022-08-18,67,32,0,20
2022-08-19,70,26,4,16
2022-08-20,62,29,0,14
2022-08-21,73,45,1,14
2022-08-22,67,25,0,15
2022-08-23,75,24,4,23
2022-08-24,68,16,2,14
2022-08-25,49,24,2,15
2022-08-26,65,27,0,15
2022-08-27,49,15,1,15
2022-08-28,92,22,2,24
2022-08-29,70,34,1,22
2022-08-30,74,22,3,24
2022-08-31,80,21,2,23
2022-09-01,88,33,-1,20
2022-09-02,59,26,2,15
2022-09-03,60,25,0,14
2022-09-04,101,28,2,28
2022-09-05,83,43,3,19
2022-09-06,86,40,2,23
2022-09-07,78,24,0,17
2022-09-08,57,25,2,14
2022-09-09,65,18,1,17
2022-09-10,59,22,3,18
2022-09-11,72,27,4,21
2022-09-12,81,25,1,20
2022-09-13,73,23,2,24
2022-09-14,93,36,5,17
2022-09-15,82,50,3,26
2022-09-16,79,30,3,18
2022-09-17,71,19,4,24
2022-09-18,97,40,3,25
2022-09-19,56,35,2,20
2022-09-20,75,40,2,16
2022-09-21,84,53,2,18
2022-09-22,67,44,2,15
2022-09-23,78,17,2,16
2022-09-24,47,24,0,14
2022-09-25,71,25,3,13
2022-09-26,56,15,1,11
2022-09-27,75,-17,2,18
2022-09-28,71,-19,2,14
2022-09-29,82,-6,6,24
2022-09-30,59,22,-1,15
2022-10-01,58,26,5,16
2022-10-02,67,21,0,17
2022-10-03,62,29,7,12
2022-10-04,65,33,2,18
2022-10-05,67,28,0,15
2022-10-06,80,35,2,16
2022-10-07,76,30,3,17
2022-10-08,72,36,1,15
2022-10-09,83,33,5,13
2022-10-10,70,25,0,15
2022-10-11,76,41,3,23
2022-10-12,66,23,3,16
2022-10-13,74,29,4,29
2022-10-14,66,16,1,23
2022-10-15,69,21,2,19
2022-10-16,81,23,1,18
2022-10-17,105,26,0,26
2022-10-18,92,37,1,22
2022-10-19,92,30,6,25
2022-10-20,63,21,2,20
2022-10-21,52,20,2,10
2022-10-22,50,17,2,13
2022-10-23,53,15,1,16
2022-10-24,80,33,3,24
2022-10-25,61,22,0,13
2022-10-26,83,31,2,18
2022-10-27,73,28,2,20
2022-10-28,66,18,3,23
2022-10-29,62,24,0,16
2022-10-30,80,14,3,18
2022-10-31,62,5,3,10
2022-11-01,63,36,5,13
2022-11-02,69,23,5,18
2022-11-03,68,28,1,21
2022-11-04,73,32,1,18
2022-11-05,72,25,0,19
2022-11-06,104,33,3,26
2022-11-07,92,34,5,19
2022-11-08,70,35,4,17
2022-11-09,77,32,1,16
2022-11-10,85,26,3,23
2022-11-11,57,24,2,15
2022-11-12,73,24,2,21
2022-11-13,86,30,1,13
2022-11-14,102,36,2,27
2022-11-15,90,37,2,22
2022-11-16,89,30,3,24
2022-11-17,75,42,3,18
2022-11-18,82,26,3,24
2022-11-19,82,23,1,27
2022-11-20,87,28,2,23
2022-11-21,81,33,2,25
2022-11-22,84,25,3,22
2022-11-23,74,25,2,19
2022-11-24,68,25,2,22
2022-11-25,69,23,4,19
2022-11-26,75,24,5,24
2022-11-27,79,22,2,23
2022-11-28,76,31,3,16
2022-11-29,96,41,5,22
2022-11-30,98,41,1,28
2022-12-01,100,37,2,24
2022-12-02,85,23,3,20
2022-12-03,70,29,2,12
2022-12-04,89,36,1,15
2022-12-05,92,37,2,20
2022-12-06,78,21,5,13
2022-12-07,68,39,0,18
2022-12-08,93,43,3,21
2022-12-09,82,30,3,19
2022-12-10,76,30,4,25
2022-12-11,92,41,2,20
2022-12-12,90,26,1,23
2022-12-13,96,32,3,21
2022-12-14,83,29,3,22
2022-12-15,102,44,6,21
2022-12-16,88,33,4,20
2022-12-17,89,25,1,24
2022-12-18,82,43,3,13
2022-12-19,77,30,4,27
2022-12-20,83,37,4,25
2022-12-21,99,38,3,28
2022-12-22,102,47,4,22
2022-12-23,101,47,9,24
2022-12-24,64,30,1,21
2022-12-25,99,35,2,19
2022-12-26,110,31,1,37
2022-12-27,133,42,0,31
2022-12-28,122,38,2,34
2022-12-29,91,36,2,27
2022-12-30,144,53,1,34
2022-12-31,138,64,7,28
2023-01-01,195,65,1,46
2023-01-02,166,86,6,37
2023-01-03,156,69,6,33
2023-01-04,120,46,1,35
2023-01-05,139,45,1,35
2023-01-06,117,45,4,32
2023-01-07,116,42,2,30
2023-01-08,118,53,4,24
2023-01-09,119,46,5,32
2023-01-10,120,41,1,33
2023-01-11,106,48,3,27
2023-01-12,106,14,4,23
2023-01-13,113,-9,5,22
2023-01-14,109,46,4,33
2023-01-15,98,41,2,30
2023-01-16,108,29,1,34
2023-01-17,127,52,5,32
2023-01-18,120,49,2,27
2023-01-19,102,49,4,39
2023-01-20,68,24,2,27
2023-01-21,121,50,8,42
2023-01-22,122,46,1,32
2023-01-23,130,39,2,24
2023-01-24,97,35,3,22
2023-01-25,152,47,5,55
2023-01-26,135,42,3,42
2023-01-27,95,38,3,31
2023-01-28,119,34,2,36
2023-01-29,124,51,3,22
2023-01-30,110,45,2,36
2023-01-31,108,38,4,40
