date,added,ratings,reviews,to-read
2022-08-15,252,70,6,66
2022-08-16,223,95,5,47
2022-08-17,228,69,6,59
2022-08-18,214,65,0,79
2022-08-19,211,67,3,65
2022-08-20,209,62,6,60
2022-08-21,241,78,6,69
2022-08-22,256,86,3,80
2022-08-23,221,75,0,67
2022-08-24,235,79,4,68
2022-08-25,189,71,5,66
2022-08-26,220,58,3,59
2022-08-27,208,57,1,65
2022-08-28,220,61,1,68
2022-08-29,232,62,8,68
2022-08-30,248,66,8,73
2022-08-31,208,75,2,60
2022-09-01,229,70,5,74
2022-09-02,183,56,2,58
2022-09-03,223,61,0,64
2022-09-04,223,78,5,63
2022-09-05,212,72,0,60
2022-09-06,247,88,4,65
2022-09-07,249,73,5,74
2022-09-08,190,73,2,58
2022-09-09,198,67,2,63
2022-09-10,199,53,2,56
2022-09-11,196,79,4,53
2022-09-12,222,76,4,66
2022-09-13,207,89,5,55
2022-09-14,197,61,5,65
2022-09-15,159,83,3,49
2022-09-16,192,24,-2,61
2022-09-17,191,56,6,61
2022-09-18,223,58,4,71
2022-09-19,192,83,1,52
2022-09-20,196,90,3,58
2022-09-21,189,70,3,58
2022-09-22,162,92,5,49
2022-09-23,190,56,5,50
2022-09-24,179,59,4,51
2022-09-25,206,68,2,59
2022-09-26,174,20,3,60
2022-09-27,185,-16,5,53
2022-09-28,215,21,2,59
2022-09-29,174,-8,6,47
2022-09-30,175,57,1,47
2022-10-01,195,60,1,54
2022-10-02,202,64,3,66
2022-10-03,182,65,5,50
2022-10-04,199,63,2,59
2022-10-05,172,66,1,59
2022-10-06,222,62,0,71
2022-10-07,173,56,3,57
2022-10-08,174,66,2,47
2022-10-09,208,80,1,66
2022-10-10,227,62,4,69
2022-10-11,181,54,1,55
2022-10-12,200,56,2,59
2022-10-13,170,69,0,58
2022-10-14,197,53,6,61
2022-10-15,200,61,5,71
2022-10-16,263,68,4,71
2022-10-17,242,70,5,72
2022-10-18,259,71,1,70
2022-10-19,232,67,7,54
2022-10-20,188,59,3,59
2022-10-21,195,55,3,63
2022-10-22,207,54,0,76
2022-10-23,225,45,1,64
2022-10-24,242,73,3,62
2022-10-25,205,53,1,57
2022-10-26,196,64,1,55
2022-10-27,171,51,2,45
2022-10-28,181,54,3,51
2022-10-29,193,44,4,62
2022-10-30,195,42,2,63
2022-10-31,194,20,4,54
2022-11-01,224,63,4,69
2022-11-02,218,49,4,68
2022-11-03,182,56,2,60
2022-11-04,199,62,6,61
2022-11-05,227,61,4,65
2022-11-06,253,64,4,82
2022-11-07,254,62,4,76
2022-11-08,197,65,6,52
2022-11-09,231,59,-1,71
2022-11-10,160,56,5,51
2022-11-11,161,58,1,40
2022-11-12,198,55,3,64
2022-11-13,226,51,0,66
2022-11-14,225,66,5,58
2022-11-15,264,64,1,72
2022-11-16,245,86,3,79
2022-11-17,167,60,3,43
2022-11-18,193,56,3,49
2022-11-19,200,51,2,71
2022-11-20,214,66,2,64
2022-11-21,176,51,2,58
2022-11-22,229,66,5,72
2022-11-23,205,46,2,77
2022-11-24,165,53,4,45
2022-11-25,179,48,4,53
2022-11-26,216,61,1,66
2022-11-27,223,55,3,65
2022-11-28,230,79,5,74
2022-11-29,207,68,6,62
2022-11-30,236,60,4,72
2022-12-01,271,77,1,81
2022-12-02,216,66,2,70
2022-12-03,208,58,1,61
2022-12-04,247,73,3,81
2022-12-05,261,68,4,80
2022-12-06,213,80,4,57
2022-12-07,203,65,5,67
2022-12-08,210,65,4,76
2022-12-09,201,68,6,63
2022-12-10,253,54,2,79
2022-12-11,225,50,5,70
2022-12-12,202,66,2,55
2022-12-13,199,78,0,41
2022-12-14,197,64,3,48
2022-12-15,225,102,3,53
2022-12-16,178,66,3,58
2022-12-17,229,59,6,64
2022-12-18,260,89,1,72
2022-12-19,260,76,6,71
2022-12-20,222,82,0,70
2022-12-21,257,60,4,81
2022-12-22,283,88,2,83
2022-12-23,267,89,4,65
2022-12-24,233,56,4,75
2022-12-25,275,61,1,84
2022-12-26,343,100,2,84
2022-12-27,384,87,8,92
2022-12-28,433,113,4,110
2022-12-29,374,147,7,98
2022-12-30,470,142,7,114
2022-12-31,499,180,6,108
2023-01-01,755,169,3,195
2023-01-02,728,288,5,176
2023-01-03,610,192,5,175
2023-01-04,528,171,10,161
2023-01-05,477,129,3,131
2023-01-06,439,152,5,124
2023-01-07,420,111,9,122
2023-01-08,447,132,7,128
2023-01-09,428,117,4,117
2023-01-10,388,121,6,100
2023-01-11,374,130,1,114
2023-01-12,378,81,6,116
2023-01-13,320,46,4,94
2023-01-14,316,102,5,87
2023-01-15,375,95,6,105
2023-01-16,361,101,3,84
2023-01-17,338,116,5,94
2023-01-18,306,71,7,100
2023-01-19,346,103,6,83
2023-01-20,243,112,7,74
2023-01-21,277,67,3,82
2023-01-22,311,78,10,82
2023-01-23,319,90,4,105
2023-01-24,311,72,5,86
2023-01-25,304,97,2,75
2023-01-26,315,101,2,83
2023-01-27,289,93,6,81
2023-01-28,301,73,1,102
2023-01-29,315,96,4,78
2023-01-30,251,95,5,78
2023-01-31,296,95,7,91
