date,added,ratings,reviews,to-read
2022-08-15,66,15,0,36
2022-08-16,45,8,0,31
2022-08-17,47,7,0,24
2022-08-18,48,7,0,35
2022-08-19,57,5,2,33
2022-08-20,50,9,0,24
2022-08-21,44,10,1,24
2022-08-22,50,15,2,28
2022-08-23,36,6,0,23
2022-08-24,47,0,0,31
2022-08-25,38,8,0,24
2022-08-26,45,7,1,19
2022-08-27,31,11,0,17
2022-08-28,42,-7,1,24
2022-08-29,31,-36,0,20
2022-08-30,40,15,1,18
2022-08-31,50,6,0,24
2022-09-01,44,9,-1,24
2022-09-02,38,5,0,19
2022-09-03,57,6,1,37
2022-09-04,56,16,1,28
2022-09-05,50,18,1,32
2022-09-06,50,-21,0,29
2022-09-07,53,6,1,32
2022-09-08,36,9,0,16
2022-09-09,31,7,1,21
2022-09-10,44,4,0,26
2022-09-11,44,6,0,26
2022-09-12,52,10,1,29
2022-09-13,40,8,0,20
2022-09-14,33,1,1,20
2022-09-15,43,11,1,27
2022-09-16,42,9,2,31
2022-09-17,33,7,1,19
2022-09-18,52,6,1,27
2022-09-19,46,12,3,33
2022-09-20,36,6,0,18
2022-09-21,37,12,0,16
2022-09-22,35,3,0,24
2022-09-23,39,6,0,20
2022-09-24,31,6,0,16
2022-09-25,55,7,2,31
2022-09-26,33,-26,0,23
2022-09-27,39,-28,1,24
2022-09-28,40,-52,0,22
2022-09-29,40,-17,0,26
2022-09-30,40,4,0,27
2022-10-01,46,6,0,32
2022-10-02,31,-39,1,17
2022-10-03,41,-30,2,23
2022-10-04,47,12,0,20
2022-10-05,31,9,0,20
2022-10-06,36,4,0,20
2022-10-07,36,8,0,21
2022-10-08,37,5,2,18
2022-10-09,53,-20,0,19
2022-10-10,43,7,0,13
2022-10-11,37,0,0,23
2022-10-12,42,-36,-1,25
2022-10-13,33,5,2,24
2022-10-14,32,-60,0,17
2022-10-15,47,3,0,29
2022-10-16,53,-53,2,27
2022-10-17,42,-31,1,21
2022-10-18,39,-12,1,21
2022-10-19,43,3,1,25
2022-10-20,38,6,1,20
2022-10-21,40,1,2,24
2022-10-22,30,-10,0,13
2022-10-23,51,-62,1,28
2022-10-24,40,-47,1,16
2022-10-25,31,-13,0,12
2022-10-26,26,4,4,15
2022-10-27,43,9,0,18
2022-10-28,31,3,1,21
2022-10-29,46,10,0,21
2022-10-30,51,13,1,18
2022-10-31,46,6,2,21
2022-11-01,43,6,0,25
2022-11-02,41,6,1,21
2022-11-03,34,-12,0,20
2022-11-04,39,11,1,15
2022-11-05,42,10,0,21
2022-11-06,55,13,0,29
2022-11-07,34,10,1,12
2022-11-08,42,6,0,14
2022-11-09,35,10,0,15
2022-11-10,33,8,0,16
2022-11-11,39,12,2,15
2022-11-12,37,10,2,17
2022-11-13,53,9,2,27
2022-11-14,55,9,2,27
2022-11-15,50,3,1,31
2022-11-16,43,12,-1,20
2022-11-17,41,12,0,20
2022-11-18,38,7,0,21
2022-11-19,42,7,0,25
2022-11-20,44,8,0,19
2022-11-21,34,6,1,23
2022-11-22,37,7,2,21
2022-11-23,44,8,2,23
2022-11-24,45,12,1,19
2022-11-25,42,10,0,15
2022-11-26,58,4,0,35
2022-11-27,45,11,2,17
2022-11-28,45,9,0,20
2022-11-29,47,12,0,22
2022-11-30,46,16,0,21
2022-12-01,49,17,1,24
2022-12-02,44,8,0,25
2022-12-03,37,9,1,17
2022-12-04,50,12,0,25
2022-12-05,41,14,0,18
2022-12-06,44,8,2,25
2022-12-07,42,11,0,22
2022-12-08,35,6,1,23
2022-12-09,30,5,0,17
2022-12-10,45,5,0,28
2022-12-11,41,9,1,22
2022-12-12,44,10,1,20
2022-12-13,43,9,2,24
2022-12-14,35,8,2,16
2022-12-15,60,14,2,29
2022-12-16,47,10,1,24
2022-12-17,37,11,1,17
2022-12-18,50,18,0,28
2022-12-19,47,5,0,28
2022-12-20,44,5,0,32
2022-12-21,37,7,0,15
2022-12-22,42,14,2,26
2022-12-23,49,6,1,29
2022-12-24,42,5,0,23
2022-12-25,51,6,1,32
2022-12-26,66,15,0,39
2022-12-27,73,3,0,41
2022-12-28,55,17,2,29
2022-12-29,49,8,0,31
2022-12-30,67,9,4,34
2022-12-31,72,23,0,36
2023-01-01,103,9,0,66
2023-01-02,98,15,0,55
2023-01-03,75,22,0,38
2023-01-04,67,13,3,34
2023-01-05,83,13,1,46
2023-01-06,71,11,1,35
2023-01-07,70,11,0,44
2023-01-08,67,18,4,35
2023-01-09,71,9,0,35
2023-01-10,62,16,1,23
2023-01-11,47,12,0,27
2023-01-12,58,-5,3,23
2023-01-13,52,-9,1,26
2023-01-14,68,7,1,36
2023-01-15,65,10,0,35
2023-01-16,55,8,1,28
2023-01-17,47,15,1,22
2023-01-18,70,12,1,39
2023-01-19,41,9,1,27
2023-01-20,41,10,2,29
2023-01-21,60,10,3,34
2023-01-22,63,13,1,35
2023-01-23,74,17,5,30
2023-01-24,60,18,0,30
2023-01-25,54,9,1,26
2023-01-26,49,12,1,22
2023-01-27,48,5,0,29
2023-01-28,51,14,0,25
2023-01-29,65,11,0,30
2023-01-30,45,10,0,23
2023-01-31,53,10,2,29
