Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
70487,Attack of the Deranged Mutant Killer Monster Snow Goons,Marc,735,101,5,"September 19, 2016",It's best to let Watterson speak for himself. Some choice selections from this book:,16,7
70487,Attack of the Deranged Mutant Killer Monster Snow Goons,JohnnyBear,169,9,4,"February 4, 2022","Strong 8 out of 10 Calvin & Hobbes: Attack of the Deranged Mutant Killer Monster Snow Goons is quite possibly my favorite collection of Calvin & Hobbes comics. There's something about this particular book that really makes me laugh. I love all of the clever humor, and I love the comics about the Snow Goons. There is some fantastic material in this collection, and I can't recommend it enough. ",15,N/A
70487,Attack of the Deranged Mutant Killer Monster Snow Goons,Rosh,"1,290",999,5,"May 1, 2021","Calvin is back with a bang in this one! Almost every strip in this book is hilarious. The perfect read when you want an escape from reality. ***********************Join me on the Facebook group, 
  Readers Forever!
, for more reviews, book-related discussions and fun.Follow me on Instagram: 
  RoshReviews
",10,2
70487,Attack of the Deranged Mutant Killer Monster Snow Goons,aPriL does feral sometimes ,"1,844",419,5,"November 4, 2015","I am an old woman, so I have read literally thousands of comics. 'Calvin and Hobbes' are the best comics I have ever read. If I wasn't planning on cremation, I would ask to be buried with a 'Calvin and Hobbes' book. (Second choice would be 'Doonesbury'.)",10,2
70487,Attack of the Deranged Mutant Killer Monster Snow Goons,Erika Pensaert,87,9,5,"January 26, 2023",The monster snow men are pure comic genius.,8,N/A
70487,Attack of the Deranged Mutant Killer Monster Snow Goons,Balu,344,7,3,"December 2, 2020",Not much to say - Calvin and Hobbes.,8,N/A
70487,Attack of the Deranged Mutant Killer Monster Snow Goons,Irena,393,83,5,"August 23, 2012","Last few days I've spent on getting to know Calvin and Hobbes, reading all I could put my hands or lay my eyes on :)This is definitely my favourite issue, specifically the snow goons part and the Duplicator fun :) I've read this over a Thursday morning coffee and I just felt sorry afterwards that I rushed to read it all asap. My personal highlight was the: ""Hobbes, do you think our morality is defined by our actions, or by what's in our hearts?I think our actions SHOW what's in our hearts.""Calvin stops, thinks. ""I RESENT THAT!"" :D :D ",6,1 comment
70487,Attack of the Deranged Mutant Killer Monster Snow Goons,Becky,827,157,5,"March 8, 2012","	I don’t know if a family, much less a childhood, without Calvin and Hobbes would be complete. Frankly, once it stopped being published, my newspaper readership dropped off significantly. Everyone needs to smile, needs a little imagination in their life, and needs a little bit of Calvin and Hobbes.	And if anyone is up for a game of Calvinball, just give me a call.",5,N/A
70487,Attack of the Deranged Mutant Killer Monster Snow Goons,Amanda,840,344,4,"April 5, 2020",2020: still delightful! I love how Hobbes is a stuffed animal when others are around. Calvin’s shenanigans in the snow are hysterical!,4,N/A
70487,Attack of the Deranged Mutant Killer Monster Snow Goons,M.M. Strawberry Library & Reviews,"3,985",312,5,"February 23, 2021",A+++ 10/10 Absolutely recommended. <3 I don't know how Bill Watterson kept doing it!,3,N/A
