date,added,ratings,reviews,to-read
2022-08-15,6,-1,0,1
2022-08-16,6,1,2,1
2022-08-17,6,0,0,3
2022-08-18,4,1,0,2
2022-08-19,2,0,0,1
2022-08-20,3,2,0,1
2022-08-21,8,3,0,3
2022-08-22,5,1,0,1
2022-08-23,5,2,0,3
2022-08-24,7,1,0,2
2022-08-25,6,1,0,3
2022-08-26,3,1,0,2
2022-08-27,5,2,0,3
2022-08-28,4,-2,0,3
2022-08-29,1,0,1,0
2022-08-30,7,-2,0,4
2022-08-31,1,0,0,0
2022-09-01,2,1,0,1
2022-09-02,1,0,0,1
2022-09-03,6,1,0,4
2022-09-04,6,3,0,2
2022-09-05,5,0,0,2
2022-09-06,5,1,0,2
2022-09-07,8,-1,0,3
2022-09-08,4,1,0,0
2022-09-09,2,0,0,2
2022-09-10,5,1,0,2
2022-09-11,6,1,0,3
2022-09-12,3,4,0,0
2022-09-13,5,0,0,2
2022-09-14,3,1,1,1
2022-09-15,5,1,0,3
2022-09-16,4,2,0,2
2022-09-17,6,1,0,0
2022-09-18,7,3,0,5
2022-09-19,5,1,0,4
2022-09-20,4,1,1,2
2022-09-21,4,1,0,1
2022-09-22,3,0,0,1
2022-09-23,3,2,0,0
2022-09-24,3,1,0,2
2022-09-25,6,1,0,3
2022-09-26,4,5,1,0
2022-09-27,5,1,0,2
2022-09-28,2,0,0,1
2022-09-29,1,1,0,1
2022-09-30,5,3,0,1
2022-10-01,4,1,0,2
2022-10-02,3,2,0,1
2022-10-03,6,0,0,3
2022-10-04,5,2,0,1
2022-10-05,2,1,0,1
2022-10-06,3,2,0,0
2022-10-07,3,1,0,1
2022-10-08,3,0,0,1
2022-10-09,4,-1,0,1
2022-10-10,5,2,0,2
2022-10-11,4,1,1,2
2022-10-12,5,2,0,2
2022-10-13,1,0,0,1
2022-10-14,3,0,0,3
2022-10-15,2,1,0,0
2022-10-16,4,3,0,1
2022-10-17,2,1,0,0
2022-10-18,4,-1,0,2
2022-10-19,5,0,0,3
2022-10-20,4,0,0,2
2022-10-21,7,1,0,3
2022-10-22,4,0,0,3
2022-10-23,2,1,0,1
2022-10-24,5,2,0,2
2022-10-25,5,2,0,1
2022-10-26,7,3,0,0
2022-10-27,1,2,0,1
2022-10-28,4,1,1,0
2022-10-29,7,2,0,4
2022-10-30,2,0,0,2
2022-10-31,5,3,0,0
2022-11-01,1,-1,0,0
2022-11-02,5,3,1,1
2022-11-03,5,2,0,2
2022-11-04,5,4,0,1
2022-11-05,4,2,1,1
2022-11-06,10,0,0,7
2022-11-07,5,0,0,3
2022-11-08,1,0,0,0
2022-11-09,7,1,0,0
2022-11-10,6,2,0,2
2022-11-11,8,2,1,1
2022-11-12,4,3,0,3
2022-11-13,10,4,1,2
2022-11-14,8,0,0,3
2022-11-15,8,1,0,5
2022-11-16,4,3,0,1
2022-11-17,5,1,1,2
2022-11-18,6,2,1,3
2022-11-19,11,0,0,4
2022-11-20,7,3,0,5
2022-11-21,2,0,0,0
2022-11-22,13,2,0,5
2022-11-23,5,1,1,2
2022-11-24,6,2,0,2
2022-11-25,5,1,0,3
2022-11-26,7,3,0,2
2022-11-27,6,2,1,1
2022-11-28,7,4,0,3
2022-11-29,4,2,0,0
2022-11-30,6,1,0,2
2022-12-01,12,5,0,3
2022-12-02,6,2,0,3
2022-12-03,4,1,0,2
2022-12-04,5,3,0,1
2022-12-05,4,1,0,2
2022-12-06,4,0,0,1
2022-12-07,8,4,1,4
2022-12-08,0,0,0,0
2022-12-09,5,-1,0,2
2022-12-10,5,1,0,3
2022-12-11,7,3,0,3
2022-12-12,5,2,0,4
2022-12-13,2,1,0,0
2022-12-14,4,2,0,3
2022-12-15,5,-1,-1,4
2022-12-16,4,1,1,1
2022-12-17,6,2,0,0
2022-12-18,2,2,0,1
2022-12-19,5,0,0,0
2022-12-20,3,2,0,1
2022-12-21,3,0,0,0
2022-12-22,8,0,1,3
2022-12-23,5,1,1,3
2022-12-24,3,0,0,1
2022-12-25,6,0,0,5
2022-12-26,6,1,0,4
2022-12-27,6,4,0,1
2022-12-28,5,2,0,2
2022-12-29,11,3,0,3
2022-12-30,6,2,0,3
2022-12-31,12,6,0,3
2023-01-01,6,1,0,4
2023-01-02,12,3,0,3
2023-01-03,8,2,0,2
2023-01-04,7,2,0,5
2023-01-05,8,2,0,2
2023-01-06,2,3,0,1
2023-01-07,8,1,0,3
2023-01-08,5,3,0,1
2023-01-09,6,1,0,4
2023-01-10,9,4,2,3
2023-01-11,7,1,0,4
2023-01-12,3,0,0,2
2023-01-13,6,0,0,3
2023-01-14,7,3,0,1
2023-01-15,5,2,0,2
2023-01-16,11,3,1,4
2023-01-17,8,3,0,2
2023-01-18,9,5,0,5
2023-01-19,6,1,0,3
2023-01-20,5,1,0,3
2023-01-21,3,1,0,0
2023-01-22,3,1,0,0
2023-01-23,8,1,0,2
2023-01-24,6,1,0,4
2023-01-25,2,1,0,1
2023-01-26,7,0,0,2
2023-01-27,4,2,0,1
2023-01-28,6,1,0,2
2023-01-29,6,0,0,2
2023-01-30,4,2,1,2
2023-01-31,4,1,0,1
