date,added,ratings,reviews,to-read
2022-08-15,11,3,1,3
2022-08-16,9,6,2,3
2022-08-17,6,3,0,2
2022-08-18,4,3,0,2
2022-08-19,7,2,0,4
2022-08-20,7,3,0,1
2022-08-21,6,2,1,3
2022-08-22,6,1,0,0
2022-08-23,5,0,0,2
2022-08-24,8,1,0,1
2022-08-25,6,0,0,3
2022-08-26,5,2,0,2
2022-08-27,5,6,1,0
2022-08-28,6,2,0,3
2022-08-29,7,1,0,3
2022-08-30,10,8,1,1
2022-08-31,4,1,0,2
2022-09-01,5,0,-1,2
2022-09-02,3,1,0,1
2022-09-03,3,5,1,0
2022-09-04,11,3,0,1
2022-09-05,9,4,1,5
2022-09-06,4,0,0,0
2022-09-07,10,4,-1,4
2022-09-08,7,0,0,2
2022-09-09,9,6,0,4
2022-09-10,8,3,0,1
2022-09-11,7,4,0,2
2022-09-12,4,2,0,0
2022-09-13,5,3,0,0
2022-09-14,6,4,0,1
2022-09-15,5,1,0,1
2022-09-16,8,3,1,1
2022-09-17,2,1,0,0
2022-09-18,3,0,1,0
2022-09-19,6,4,0,1
2022-09-20,8,4,0,2
2022-09-21,5,3,0,0
2022-09-22,6,4,0,2
2022-09-23,4,1,0,1
2022-09-24,3,1,0,1
2022-09-25,5,1,0,0
2022-09-26,1,3,0,0
2022-09-27,1,0,0,0
2022-09-28,5,2,0,1
2022-09-29,1,2,0,0
2022-09-30,3,0,1,0
2022-10-01,9,3,1,0
2022-10-02,6,2,1,0
2022-10-03,8,5,1,3
2022-10-04,3,4,0,1
2022-10-05,3,2,0,2
2022-10-06,2,1,0,0
2022-10-07,5,1,0,1
2022-10-08,6,1,0,1
2022-10-09,6,1,0,1
2022-10-10,10,2,0,5
2022-10-11,9,0,0,1
2022-10-12,4,4,0,0
2022-10-13,3,1,1,0
2022-10-14,5,1,0,1
2022-10-15,12,6,0,2
2022-10-16,3,1,0,0
2022-10-17,8,4,0,1
2022-10-18,5,1,0,2
2022-10-19,6,3,0,1
2022-10-20,2,0,0,0
2022-10-21,7,2,0,1
2022-10-22,7,5,0,0
2022-10-23,5,1,0,0
2022-10-24,8,5,1,2
2022-10-25,4,-1,1,1
2022-10-26,7,1,1,3
2022-10-27,6,6,1,1
2022-10-28,4,2,0,1
2022-10-29,8,2,0,2
2022-10-30,7,2,1,1
2022-10-31,9,4,1,1
2022-11-01,12,6,0,2
2022-11-02,6,2,1,0
2022-11-03,7,4,0,3
2022-11-04,2,-1,0,0
2022-11-05,6,2,0,1
2022-11-06,12,3,0,1
2022-11-07,5,2,0,1
2022-11-08,9,3,0,4
2022-11-09,4,4,0,1
2022-11-10,6,2,0,0
2022-11-11,5,3,0,1
2022-11-12,5,2,0,1
2022-11-13,6,4,1,0
2022-11-14,1,3,0,0
2022-11-15,4,-2,0,1
2022-11-16,4,3,1,3
2022-11-17,3,3,1,0
2022-11-18,3,2,0,1
2022-11-19,6,1,0,5
2022-11-20,5,0,-1,3
2022-11-21,4,1,0,1
2022-11-22,5,2,0,1
2022-11-23,4,1,0,2
2022-11-24,7,4,1,1
2022-11-25,7,4,0,3
2022-11-26,7,3,0,2
2022-11-27,7,2,0,0
2022-11-28,4,3,0,0
2022-11-29,7,3,0,1
2022-11-30,7,2,0,1
2022-12-01,5,0,0,2
2022-12-02,11,2,0,2
2022-12-03,11,1,0,3
2022-12-04,3,3,0,0
2022-12-05,4,2,0,0
2022-12-06,10,0,0,6
2022-12-07,6,1,0,1
2022-12-08,2,2,0,0
2022-12-09,4,1,0,2
2022-12-10,6,3,0,2
2022-12-11,6,1,0,1
2022-12-12,9,7,1,4
2022-12-13,6,1,0,1
2022-12-14,1,2,0,1
2022-12-15,5,1,0,3
2022-12-16,8,2,1,3
2022-12-17,6,1,0,1
2022-12-18,8,3,1,0
2022-12-19,6,3,0,1
2022-12-20,8,6,0,3
2022-12-21,4,3,0,1
2022-12-22,12,3,1,5
2022-12-23,9,0,0,4
2022-12-24,1,2,0,0
2022-12-25,4,1,0,2
2022-12-26,8,1,0,0
2022-12-27,8,1,1,3
2022-12-28,9,1,0,1
2022-12-29,11,10,2,1
2022-12-30,13,2,0,5
2022-12-31,9,4,1,1
2023-01-01,13,2,3,2
2023-01-02,18,2,0,5
2023-01-03,12,9,0,1
2023-01-04,10,4,0,2
2023-01-05,9,0,0,3
2023-01-06,8,6,0,2
2023-01-07,10,2,0,2
2023-01-08,15,5,0,5
2023-01-09,8,3,0,0
2023-01-10,10,3,1,1
2023-01-11,7,6,0,3
2023-01-12,16,9,2,1
2023-01-13,9,4,1,0
2023-01-14,7,2,0,3
2023-01-15,16,9,1,3
2023-01-16,6,-1,0,2
2023-01-17,11,5,0,3
2023-01-18,8,7,1,1
2023-01-19,7,1,0,1
2023-01-20,7,1,1,2
2023-01-21,4,3,0,1
2023-01-22,9,4,1,3
2023-01-23,8,5,1,3
2023-01-24,9,-1,0,4
2023-01-25,9,4,1,1
2023-01-26,4,3,0,0
2023-01-27,12,5,1,3
2023-01-28,8,5,2,0
2023-01-29,19,8,1,4
2023-01-30,7,5,1,1
2023-01-31,14,2,1,5
