date,added,ratings,reviews,to-read
2022-08-15,9,2,0,6
2022-08-16,14,0,1,11
2022-08-17,12,6,1,3
2022-08-18,10,3,0,7
2022-08-19,8,2,0,6
2022-08-20,6,1,0,3
2022-08-21,17,7,1,8
2022-08-22,8,4,1,5
2022-08-23,8,6,0,3
2022-08-24,15,3,0,7
2022-08-25,14,4,0,10
2022-08-26,11,5,0,5
2022-08-27,10,-3,0,7
2022-08-28,17,3,0,7
2022-08-29,6,3,0,4
2022-08-30,11,-1,1,4
2022-08-31,5,1,0,1
2022-09-01,7,2,0,5
2022-09-02,9,4,0,3
2022-09-03,4,1,0,2
2022-09-04,8,5,1,3
2022-09-05,10,3,0,7
2022-09-06,5,2,0,3
2022-09-07,12,7,0,5
2022-09-08,4,-1,0,2
2022-09-09,8,3,2,4
2022-09-10,7,1,1,4
2022-09-11,8,-1,1,4
2022-09-12,7,1,1,5
2022-09-13,4,1,0,3
2022-09-14,5,6,-1,0
2022-09-15,1,0,0,0
2022-09-16,9,1,0,5
2022-09-17,10,2,0,8
2022-09-18,10,5,0,2
2022-09-19,7,0,0,3
2022-09-20,11,-2,0,5
2022-09-21,12,5,0,9
2022-09-22,8,1,0,4
2022-09-23,7,3,0,3
2022-09-24,6,3,0,1
2022-09-25,6,3,0,1
2022-09-26,6,3,1,1
2022-09-27,11,4,1,6
2022-09-28,6,0,0,1
2022-09-29,5,5,0,2
2022-09-30,3,2,1,1
2022-10-01,8,1,0,2
2022-10-02,9,1,0,4
2022-10-03,7,5,0,4
2022-10-04,7,-2,0,5
2022-10-05,4,3,0,2
2022-10-06,3,1,0,1
2022-10-07,12,2,0,6
2022-10-08,4,1,0,4
2022-10-09,8,0,0,7
2022-10-10,7,3,0,4
2022-10-11,8,3,1,2
2022-10-12,10,4,1,7
2022-10-13,8,2,0,5
2022-10-14,6,-1,0,3
2022-10-15,5,4,1,1
2022-10-16,12,2,0,7
2022-10-17,6,3,0,3
2022-10-18,14,1,0,9
2022-10-19,7,0,0,3
2022-10-20,8,-1,0,5
2022-10-21,5,1,0,4
2022-10-22,1,0,0,0
2022-10-23,7,2,0,2
2022-10-24,3,-1,0,1
2022-10-25,6,-2,0,4
2022-10-26,5,3,0,2
2022-10-27,10,3,1,7
2022-10-28,5,-1,0,4
2022-10-29,8,1,0,5
2022-10-30,8,1,0,6
2022-10-31,5,1,0,4
2022-11-01,5,1,0,2
2022-11-02,4,1,1,2
2022-11-03,3,0,0,1
2022-11-04,5,1,1,4
2022-11-05,8,-1,0,5
2022-11-06,6,4,0,2
2022-11-07,10,5,0,4
2022-11-08,7,1,0,3
2022-11-09,9,3,2,3
2022-11-10,4,4,0,1
2022-11-11,6,2,0,4
2022-11-12,10,2,1,4
2022-11-13,8,1,0,6
2022-11-14,7,1,1,4
2022-11-15,7,0,1,4
2022-11-16,6,2,0,6
2022-11-17,6,4,0,1
2022-11-18,6,0,0,3
2022-11-19,7,3,0,4
2022-11-20,14,5,0,8
2022-11-21,5,4,0,3
2022-11-22,8,1,0,4
2022-11-23,7,5,1,2
2022-11-24,8,2,1,3
2022-11-25,4,0,1,2
2022-11-26,8,3,0,2
2022-11-27,8,5,2,2
2022-11-28,10,0,1,4
2022-11-29,14,3,0,8
2022-11-30,1,3,0,1
2022-12-01,7,3,0,3
2022-12-02,9,2,0,5
2022-12-03,7,0,0,4
2022-12-04,8,3,0,4
2022-12-05,6,3,1,2
2022-12-06,11,-1,1,5
2022-12-07,11,5,1,4
2022-12-08,6,2,0,2
2022-12-09,6,2,0,3
2022-12-10,9,3,0,3
2022-12-11,13,5,0,4
2022-12-12,5,3,0,2
2022-12-13,12,1,0,6
2022-12-14,10,4,0,3
2022-12-15,12,-1,0,7
2022-12-16,10,2,0,5
2022-12-17,8,0,1,4
2022-12-18,9,1,0,5
2022-12-19,2,2,0,1
2022-12-20,10,3,2,6
2022-12-21,11,4,1,4
2022-12-22,7,1,0,6
2022-12-23,10,2,0,2
2022-12-24,5,5,0,3
2022-12-25,10,3,0,5
2022-12-26,7,2,1,3
2022-12-27,10,6,0,4
2022-12-28,12,5,1,2
2022-12-29,9,6,1,5
2022-12-30,16,9,1,5
2022-12-31,11,3,1,5
2023-01-01,11,4,0,3
2023-01-02,15,9,0,2
2023-01-03,19,7,0,9
2023-01-04,7,2,0,5
2023-01-05,16,7,0,4
2023-01-06,16,9,1,4
2023-01-07,17,4,0,9
2023-01-08,16,3,0,10
2023-01-09,6,1,0,3
2023-01-10,12,3,0,4
2023-01-11,9,4,0,6
2023-01-12,8,4,0,6
2023-01-13,9,4,1,3
2023-01-14,12,4,0,2
2023-01-15,17,7,0,7
2023-01-16,14,1,0,8
2023-01-17,12,4,2,6
2023-01-18,11,4,0,6
2023-01-19,13,4,2,9
2023-01-20,4,1,-1,1
2023-01-21,9,2,0,5
2023-01-22,11,5,1,6
2023-01-23,9,2,0,6
2023-01-24,10,9,2,2
2023-01-25,10,2,1,4
2023-01-26,11,3,0,5
2023-01-27,8,1,0,5
2023-01-28,16,4,0,4
2023-01-29,10,1,0,3
2023-01-30,13,3,1,11
2023-01-31,7,3,0,2
