date,added,ratings,reviews,to-read
2022-08-15,4,-1,0,0
2022-08-16,2,-1,0,0
2022-08-17,5,1,0,0
2022-08-18,1,0,0,0
2022-08-19,3,1,0,1
2022-08-20,4,2,0,1
2022-08-21,3,1,0,0
2022-08-22,7,4,0,0
2022-08-23,4,1,0,2
2022-08-24,5,0,0,0
2022-08-25,2,1,0,0
2022-08-26,4,0,0,0
2022-08-27,5,1,0,0
2022-08-28,9,4,1,2
2022-08-29,4,0,0,1
2022-08-30,8,3,0,1
2022-08-31,2,1,0,0
2022-09-01,3,1,0,1
2022-09-02,3,3,0,0
2022-09-03,7,5,0,0
2022-09-04,7,2,0,0
2022-09-05,3,4,0,0
2022-09-06,3,0,1,0
2022-09-07,3,-1,0,1
2022-09-08,4,1,0,0
2022-09-09,5,1,0,0
2022-09-10,2,1,0,0
2022-09-11,3,0,0,1
2022-09-12,4,1,0,1
2022-09-13,10,5,0,2
2022-09-14,1,1,0,0
2022-09-15,7,3,0,2
2022-09-16,6,2,0,0
2022-09-17,7,3,0,1
2022-09-18,5,2,0,0
2022-09-19,4,2,0,1
2022-09-20,6,1,0,0
2022-09-21,3,3,0,0
2022-09-22,6,3,0,2
2022-09-23,4,1,0,0
2022-09-24,3,1,0,0
2022-09-25,2,0,0,0
2022-09-26,5,2,0,3
2022-09-27,2,0,0,0
2022-09-28,4,0,0,0
2022-09-29,4,2,1,1
2022-09-30,4,2,0,1
2022-10-01,6,1,0,0
2022-10-02,5,0,0,0
2022-10-03,4,1,0,0
2022-10-04,4,1,0,2
2022-10-05,3,-1,0,0
2022-10-06,2,1,0,0
2022-10-07,4,2,0,0
2022-10-08,4,1,0,1
2022-10-09,4,1,0,0
2022-10-10,1,0,0,1
2022-10-11,4,3,0,1
2022-10-12,8,3,0,1
2022-10-13,7,2,0,2
2022-10-14,4,2,0,1
2022-10-15,4,0,0,1
2022-10-16,4,3,0,0
2022-10-17,3,1,0,1
2022-10-18,7,5,0,0
2022-10-19,2,0,0,0
2022-10-20,2,1,1,0
2022-10-21,1,1,0,0
2022-10-22,3,1,0,0
2022-10-23,5,2,0,0
2022-10-24,2,0,0,1
2022-10-25,0,0,0,0
2022-10-26,2,-1,-1,1
2022-10-27,2,0,0,0
2022-10-28,3,1,0,1
2022-10-29,4,2,0,1
2022-10-30,2,3,0,0
2022-10-31,0,0,0,0
2022-11-01,5,4,0,0
2022-11-02,5,1,0,1
2022-11-03,4,1,0,0
2022-11-04,4,2,0,0
2022-11-05,4,2,0,1
2022-11-06,3,1,0,0
2022-11-07,1,0,0,1
2022-11-08,4,2,0,0
2022-11-09,1,3,0,0
2022-11-10,4,2,0,1
2022-11-11,7,5,0,1
2022-11-12,4,2,0,0
2022-11-13,4,2,1,0
2022-11-14,4,0,0,0
2022-11-15,0,-1,0,0
2022-11-16,3,-2,0,0
2022-11-17,5,2,2,0
2022-11-18,5,0,0,0
2022-11-19,2,2,0,0
2022-11-20,4,2,0,0
2022-11-21,0,1,0,0
2022-11-22,1,1,0,0
2022-11-23,1,1,1,0
2022-11-24,3,0,0,1
2022-11-25,9,4,2,2
2022-11-26,4,4,0,0
2022-11-27,4,2,0,1
2022-11-28,1,-1,0,1
2022-11-29,1,-1,0,0
2022-11-30,8,2,0,2
2022-12-01,3,1,0,0
2022-12-02,4,2,0,0
2022-12-03,5,4,0,1
2022-12-04,4,2,0,2
2022-12-05,6,2,0,0
2022-12-06,3,3,1,0
2022-12-07,4,3,0,0
2022-12-08,1,3,0,1
2022-12-09,1,0,0,0
2022-12-10,6,1,1,1
2022-12-11,3,-2,0,0
2022-12-12,4,3,0,0
2022-12-13,4,3,0,0
2022-12-14,1,0,0,0
2022-12-15,5,2,0,1
2022-12-16,2,1,1,1
2022-12-17,4,2,1,0
2022-12-18,5,2,0,1
2022-12-19,7,5,0,2
2022-12-20,3,0,0,3
2022-12-21,1,0,0,0
2022-12-22,9,1,0,1
2022-12-23,3,3,0,1
2022-12-24,1,0,0,0
2022-12-25,4,3,0,0
2022-12-26,3,2,0,0
2022-12-27,7,4,0,2
2022-12-28,6,5,0,0
2022-12-29,5,0,0,0
2022-12-30,7,3,0,1
2022-12-31,18,11,1,1
2023-01-01,9,5,0,0
2023-01-02,9,4,0,0
2023-01-03,5,1,0,0
2023-01-04,5,-1,0,0
2023-01-05,7,6,1,1
2023-01-06,3,1,0,1
2023-01-07,12,6,1,0
2023-01-08,10,4,0,0
2023-01-09,8,3,0,0
2023-01-10,5,1,0,1
2023-01-11,6,3,0,0
2023-01-12,2,1,0,1
2023-01-13,11,0,0,1
2023-01-14,3,1,0,1
2023-01-15,9,2,0,0
2023-01-16,3,0,0,0
2023-01-17,3,1,0,1
2023-01-18,6,4,0,1
2023-01-19,5,3,1,0
2023-01-20,4,1,0,0
2023-01-21,7,0,0,1
2023-01-22,5,4,0,0
2023-01-23,9,0,0,1
2023-01-24,5,5,0,0
2023-01-25,6,0,0,1
2023-01-26,3,1,0,0
2023-01-27,4,0,0,1
2023-01-28,1,3,0,0
2023-01-29,6,1,0,0
2023-01-30,3,4,0,0
2023-01-31,5,2,0,0
