date,added,ratings,reviews,to-read
2022-08-15,5,0,0,1
2022-08-16,3,0,0,1
2022-08-17,6,1,0,0
2022-08-18,1,1,0,0
2022-08-19,2,0,0,1
2022-08-20,4,1,0,1
2022-08-21,3,1,0,0
2022-08-22,4,2,0,0
2022-08-23,4,1,0,2
2022-08-24,9,0,0,2
2022-08-25,1,3,0,0
2022-08-26,4,1,0,0
2022-08-27,4,3,0,0
2022-08-28,4,0,0,1
2022-08-29,6,4,0,1
2022-08-30,6,2,0,1
2022-08-31,3,2,1,0
2022-09-01,3,2,0,1
2022-09-02,4,3,0,1
2022-09-03,5,4,0,0
2022-09-04,4,2,0,0
2022-09-05,4,2,0,0
2022-09-06,2,-1,0,0
2022-09-07,3,-1,0,0
2022-09-08,2,0,0,1
2022-09-09,5,0,0,0
2022-09-10,2,1,0,0
2022-09-11,3,0,0,1
2022-09-12,3,2,0,0
2022-09-13,10,4,0,2
2022-09-14,0,3,0,0
2022-09-15,5,2,0,1
2022-09-16,4,1,0,0
2022-09-17,2,1,0,0
2022-09-18,4,2,0,0
2022-09-19,3,0,0,2
2022-09-20,5,1,0,0
2022-09-21,2,2,0,0
2022-09-22,6,2,0,1
2022-09-23,3,1,0,0
2022-09-24,5,0,0,3
2022-09-25,3,1,0,0
2022-09-26,3,3,0,1
2022-09-27,2,0,0,0
2022-09-28,1,-1,0,0
2022-09-29,6,2,0,2
2022-09-30,4,2,0,1
2022-10-01,3,0,0,0
2022-10-02,6,0,0,0
2022-10-03,3,1,0,0
2022-10-04,3,0,0,2
2022-10-05,2,2,0,0
2022-10-06,1,0,0,0
2022-10-07,3,-1,0,0
2022-10-08,4,2,0,1
2022-10-09,1,0,0,0
2022-10-10,1,0,0,0
2022-10-11,1,1,0,0
2022-10-12,5,2,0,2
2022-10-13,5,1,0,1
2022-10-14,4,2,0,0
2022-10-15,5,0,0,1
2022-10-16,5,6,0,0
2022-10-17,3,0,0,2
2022-10-18,2,0,0,0
2022-10-19,3,1,0,0
2022-10-20,0,1,0,0
2022-10-21,2,1,0,0
2022-10-22,3,0,0,0
2022-10-23,1,-1,0,0
2022-10-24,3,1,0,1
2022-10-25,3,3,0,1
2022-10-26,3,-1,-1,2
2022-10-27,1,0,0,0
2022-10-28,2,1,0,1
2022-10-29,3,1,0,1
2022-10-30,1,1,1,0
2022-10-31,4,2,0,0
2022-11-01,4,2,0,1
2022-11-02,5,3,1,1
2022-11-03,4,2,0,0
2022-11-04,3,3,1,0
2022-11-05,3,0,0,2
2022-11-06,4,1,0,0
2022-11-07,0,0,0,0
2022-11-08,2,1,0,0
2022-11-09,1,2,0,0
2022-11-10,2,1,0,1
2022-11-11,4,2,0,0
2022-11-12,1,1,0,0
2022-11-13,4,1,0,1
2022-11-14,2,0,0,0
2022-11-15,2,0,0,0
2022-11-16,2,1,0,0
2022-11-17,2,0,0,0
2022-11-18,1,1,0,0
2022-11-19,2,2,0,0
2022-11-20,1,0,0,0
2022-11-21,0,0,0,0
2022-11-22,0,0,0,0
2022-11-23,0,0,0,0
2022-11-24,2,-1,0,1
2022-11-25,5,2,0,2
2022-11-26,3,2,0,1
2022-11-27,2,1,0,0
2022-11-28,2,0,0,1
2022-11-29,2,1,0,0
2022-11-30,5,2,1,1
2022-12-01,2,1,0,0
2022-12-02,2,1,0,1
2022-12-03,2,2,0,0
2022-12-04,5,1,0,1
2022-12-05,4,0,0,1
2022-12-06,2,1,0,0
2022-12-07,5,4,1,0
2022-12-08,1,3,0,0
2022-12-09,2,1,0,1
2022-12-10,5,0,0,1
2022-12-11,2,-1,0,0
2022-12-12,4,3,0,0
2022-12-13,4,1,0,0
2022-12-14,0,0,0,0
2022-12-15,4,1,0,0
2022-12-16,3,1,1,0
2022-12-17,3,1,0,0
2022-12-18,2,3,1,0
2022-12-19,4,2,0,1
2022-12-20,2,2,0,1
2022-12-21,3,2,0,0
2022-12-22,7,1,1,0
2022-12-23,2,3,0,0
2022-12-24,2,1,0,1
2022-12-25,2,-1,0,0
2022-12-26,4,1,0,1
2022-12-27,2,1,0,1
2022-12-28,5,1,0,1
2022-12-29,6,2,0,1
2022-12-30,4,2,1,0
2022-12-31,9,4,1,0
2023-01-01,8,3,0,2
2023-01-02,8,5,0,0
2023-01-03,3,1,0,0
2023-01-04,3,-1,0,0
2023-01-05,8,6,1,0
2023-01-06,1,1,1,0
2023-01-07,7,3,0,0
2023-01-08,10,6,0,0
2023-01-09,11,6,0,0
2023-01-10,5,3,0,0
2023-01-11,5,4,0,0
2023-01-12,3,2,0,0
2023-01-13,8,-1,0,1
2023-01-14,7,2,0,4
2023-01-15,7,3,0,1
2023-01-16,3,0,0,0
2023-01-17,4,0,0,0
2023-01-18,5,2,0,1
2023-01-19,3,3,0,0
2023-01-20,4,0,0,1
2023-01-21,5,0,0,2
2023-01-22,8,3,0,1
2023-01-23,5,0,0,0
2023-01-24,2,1,0,0
2023-01-25,4,-1,0,0
2023-01-26,2,-1,0,1
2023-01-27,4,1,0,1
2023-01-28,1,2,0,0
2023-01-29,9,1,0,0
2023-01-30,2,4,0,0
2023-01-31,6,4,0,0
