date,added,ratings,reviews,to-read
2022-08-15,12,1,0,4
2022-08-16,8,0,0,2
2022-08-17,5,1,0,0
2022-08-18,5,2,0,3
2022-08-19,8,2,0,2
2022-08-20,9,4,0,1
2022-08-21,13,3,0,5
2022-08-22,5,4,0,0
2022-08-23,8,3,0,4
2022-08-24,11,0,1,1
2022-08-25,7,6,0,2
2022-08-26,11,5,0,1
2022-08-27,9,6,0,0
2022-08-28,10,3,0,1
2022-08-29,8,1,0,1
2022-08-30,10,4,0,1
2022-08-31,11,6,1,2
2022-09-01,7,2,0,0
2022-09-02,11,3,0,1
2022-09-03,13,2,0,5
2022-09-04,8,4,0,0
2022-09-05,6,2,0,0
2022-09-06,8,3,1,2
2022-09-07,7,-2,0,3
2022-09-08,8,2,2,2
2022-09-09,8,0,0,2
2022-09-10,6,2,0,2
2022-09-11,2,1,0,0
2022-09-12,8,5,0,2
2022-09-13,12,2,1,3
2022-09-14,4,2,0,1
2022-09-15,10,7,0,4
2022-09-16,9,0,0,2
2022-09-17,6,1,0,1
2022-09-18,5,2,0,1
2022-09-19,12,4,0,3
2022-09-20,10,8,0,0
2022-09-21,8,5,0,1
2022-09-22,8,2,0,2
2022-09-23,4,0,0,0
2022-09-24,7,4,1,1
2022-09-25,5,1,1,1
2022-09-26,7,6,0,2
2022-09-27,11,2,0,4
2022-09-28,4,1,0,0
2022-09-29,5,0,0,2
2022-09-30,5,4,0,1
2022-10-01,10,3,0,2
2022-10-02,8,3,0,1
2022-10-03,10,3,1,5
2022-10-04,7,4,0,2
2022-10-05,4,1,0,0
2022-10-06,4,0,0,1
2022-10-07,7,2,1,1
2022-10-08,5,2,0,2
2022-10-09,8,3,-1,0
2022-10-10,1,2,0,0
2022-10-11,5,3,0,1
2022-10-12,8,2,1,2
2022-10-13,5,2,0,0
2022-10-14,7,2,0,2
2022-10-15,7,1,0,1
2022-10-16,5,4,0,0
2022-10-17,7,4,0,2
2022-10-18,5,1,0,1
2022-10-19,4,1,0,1
2022-10-20,4,2,1,0
2022-10-21,8,3,0,1
2022-10-22,5,3,0,1
2022-10-23,7,1,0,1
2022-10-24,3,0,0,2
2022-10-25,5,-1,0,1
2022-10-26,6,2,0,2
2022-10-27,5,2,0,1
2022-10-28,3,2,0,1
2022-10-29,5,5,1,0
2022-10-30,5,0,0,0
2022-10-31,7,3,0,1
2022-11-01,6,6,0,0
2022-11-02,5,2,0,2
2022-11-03,5,1,0,1
2022-11-04,4,1,0,1
2022-11-05,5,1,0,0
2022-11-06,4,3,0,1
2022-11-07,8,3,0,4
2022-11-08,10,3,0,1
2022-11-09,4,3,0,0
2022-11-10,3,3,0,1
2022-11-11,7,4,0,0
2022-11-12,7,0,0,2
2022-11-13,9,3,0,0
2022-11-14,10,1,0,5
2022-11-15,2,1,1,0
2022-11-16,4,0,0,0
2022-11-17,9,0,1,2
2022-11-18,8,1,0,2
2022-11-19,7,4,0,3
2022-11-20,3,1,0,1
2022-11-21,4,3,1,1
2022-11-22,5,2,0,2
2022-11-23,5,1,0,2
2022-11-24,9,1,0,1
2022-11-25,7,3,0,2
2022-11-26,6,1,0,2
2022-11-27,8,5,0,0
2022-11-28,3,1,0,1
2022-11-29,5,2,0,1
2022-11-30,6,2,0,0
2022-12-01,8,-1,1,5
2022-12-02,3,2,0,0
2022-12-03,6,3,0,2
2022-12-04,9,1,0,2
2022-12-05,9,1,1,1
2022-12-06,2,2,0,0
2022-12-07,7,4,0,2
2022-12-08,4,1,0,0
2022-12-09,6,2,0,2
2022-12-10,8,3,0,2
2022-12-11,7,2,0,1
2022-12-12,8,4,0,0
2022-12-13,12,5,0,3
2022-12-14,6,3,0,1
2022-12-15,10,4,0,0
2022-12-16,7,4,0,1
2022-12-17,10,5,0,2
2022-12-18,6,3,0,3
2022-12-19,9,6,0,2
2022-12-20,11,5,0,5
2022-12-21,9,2,0,2
2022-12-22,9,2,2,0
2022-12-23,9,6,1,1
2022-12-24,5,4,0,0
2022-12-25,2,-1,0,0
2022-12-26,7,-1,0,2
2022-12-27,13,5,0,3
2022-12-28,7,7,1,0
2022-12-29,16,4,0,5
2022-12-30,16,9,1,3
2022-12-31,17,4,0,4
2023-01-01,12,8,0,1
2023-01-02,16,7,0,3
2023-01-03,5,-3,1,0
2023-01-04,8,2,0,0
2023-01-05,13,5,0,0
2023-01-06,5,3,0,0
2023-01-07,12,3,1,2
2023-01-08,24,8,0,3
2023-01-09,17,5,0,3
2023-01-10,12,5,0,2
2023-01-11,9,6,0,2
2023-01-12,7,1,0,3
2023-01-13,11,1,1,3
2023-01-14,8,6,1,0
2023-01-15,18,5,0,4
2023-01-16,6,2,0,1
2023-01-17,11,2,1,3
2023-01-18,3,4,0,1
2023-01-19,8,6,1,1
2023-01-20,7,0,0,2
2023-01-21,7,1,0,1
2023-01-22,11,8,0,2
2023-01-23,12,0,0,0
2023-01-24,7,3,0,1
2023-01-25,9,5,0,1
2023-01-26,4,2,0,0
2023-01-27,7,-2,0,2
2023-01-28,5,3,0,0
2023-01-29,13,0,0,2
2023-01-30,5,7,0,2
2023-01-31,3,-1,0,0
