Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
35545737,A Walk to Remember,Komal Mikaelson,50,326,5,"March 5, 2013","
  Not a proper review. Just me gushing over a book/movie that makes me cry everytime I watch/read it. Beautiful.
 This is in random order. Don't try to make sense of it. You won't.",344,50
35545737,A Walk to Remember,Sylvia03,27,13,3,"August 10, 2007","I like the book better than the movie.the struggle of jamie and langdon for their love over death...sounds cliche, but i think the book is the second best romance story next to Love Story by Erich Segal.try to read it at 2 am in the morning when all you hear is silent and you'll get into the story until you burst into tears...i smiled.i cried.nice.",312,33
35545737,A Walk to Remember,B,319,1898,5,"May 24, 2012","This was my first book by Sparks, and let me tell you, it. was. perfect. It’s so hard writing reviews for books you absolutely love, and this review will not do this book justice, so just bear with me. I was pretty unsure about this book at first, and when I was told by a friend to read a Sparks book, absolutely any of my choosing, I didn’t really want to. But, despite not wanting to read I book by him, because I was being stubborn and thought I would absolutely hate it, I went on my library’s website and looked up Nicholas Sparks. Searching through the titles, the only one that was available was A Walk To Remember, and I took it and started reading it. Let me just say that I am so happy this book was the only one available, because if a started with, let's say The Guardian, I don’t think I would’ve continued reading Nicholas Sparks’ books. Now, back to the story. I knew Sparks is known for writing tear-jerkers, and I knew what was coming at the end. What I didn’t know was how hard it would hit me, and that I’d be crying my eyes out at midnight. Yes, the book is pretty slow moving, but once it gets to the story, you won’t want to put it down. At least I didn’t want to put it down. Immediately after I was done reading the book (and after I was done crying), I jumped on my computer, went on to Amazon and immediately bought this book, so I can read it again. And I will. I will absolutely be reading A Walk To Remember again. It’s a beautiful book, with quite possibly one of my favorite characters of all time (Jamie), and I can only hope everyone I recommend this book to loves it as well. So please, even if you’re skeptical to start reading Sparks like I was, go to your library and ask if they have A Walk To Remember. Oh yeah, and please like it! (And I'm sorry for the crappy and barely-anything-to-do-with-the-book review.)Hey, A Walk To Remember.... Psst... ",231,20
35545737,A Walk to Remember,James Trevino,66,32700,4,"September 21, 2017","I am surprised by how much I liked this one. This was my first Nicholas Sparks read and after years of it being recommended to me I finally gave in. I expected a by the numbers, cliche, love story. And it was in a way, but the characters were great and so the journey was great. And sad. You know where this is headed from the very beginning in a way, but it still surprises you at points.And no, I did not cry... I think... Maybe... Manly tears only...",115,16
35545737,A Walk to Remember,Tahera,542,221,5,"October 24, 2019","It has taken me 19 years to finally read 'A Walk to Remember'... the movie version is one of my all time favourites. Although after reading the book I now realise that the movie was tweaked a bit, it nevertheless still retained the essence of the book ❤️. Book or movie? Definitely movie!!",99,13
35545737,A Walk to Remember,AMEERA,275,304,3,"May 16, 2017",i'll be honest i'm not huge fan of romantic books but this book was different in some way have a beautiful message and i get it,72,N/A
35545737,A Walk to Remember,Beth,658,566,5,"July 1, 2018",I've been ugly crying for the last 20% of the book.Emotional wreck.,71,7
35545737,A Walk to Remember,Ahmad Sharabiani,"9,568",55500,4,"September 9, 2020","A Walk to Remember, Nicholas Sparks The story starts with a prologue from Landon Carter at age 57. The remainder of the story takes place when Landon Carter is a 17-year-old high school senior. Landon Carter lives in the small, religious town of Beaufort, North Carolina. His father is a genial, charismatic congressman. Landon's father is not around very much, as he lives in Washington, D.C. Landon is more reclusive, which causes some tension in their relationship. Landon's father pressures him into running for class president. His best friend, Eric Hunter, who is the most popular boy in school, helps him and, to his surprise, Landon wins the election. As student body president, Landon is required to attend the school dance with a date. He asks many girls, but none are available. That night, he looks through his yearbook, trying to find an acceptable date. Since nobody else seems to be available, Landon reluctantly asks Jamie Sullivan, the daughter of Hegbert Sullivan, the Beaufort church minister, who accepts his invitation. While Jamie is very religious and carries a Bible with her wherever she goes, Landon (one of the popular students) is reluctant to go to the dance with someone like her. When Landon is threatened by Lew, Jamie comes to Landon's aid, to his appreciation. At the end of the night, he admits she was the best date possible. A few days later, Jamie asks Landon to participate in the school's production of The Christmas Angel. While Landon is not very enthusiastic about participating, he agrees to it anyway. Jamie, on the other hand, could not be happier about her new castmate. Landon knows that if his friends learn about his role in the play, he will be teased relentlessly. One day at rehearsal, Jamie asks if Landon will walk her home, after which it becomes routine. A couple of days later, Eric mocks the couple during their walk home and Landon becomes truly embarrassed to be with Jamie. Meanwhile, Landon continues to learn about all the people and organizations Jamie spends her time helping, including an orphanage. Landon and Jamie visit the orphanage one day to discuss a possible showing of The Christmas Angel, but their proposal is quickly rejected by Mr. Jenkins. When Jamie and Landon were waiting to meet Mr. Jenkins, she tells Landon that all she wants in the future is to get married in a church full of people and to have her father walk her down the aisle. While Landon thinks this is a strange wish, he accepts it. In truth, he is beginning to enjoy his time with her. ... A Walk to Remember is a novel by American writer Nicholas Sparks, released in October 1999. The novel, set in 1958–1959 in Beaufort, North Carolina, is a story of two teenagers who fall in love with each other despite the disparity of their personalities.عنوانها: «پ‍ی‍اده‌ روی‌ ب‍ه‌ ی‍اد م‍ان‍دن‍ی‌»؛ «مسیر خاطره‌ انگیز»؛ «گریزی به خاطرات»؛ «قدم‌های خاطره‌ انگیز»؛ نویسنده: ن‍ی‍ک‍لاس‌ اس‍پ‍ارک‍س‌؛ تاریخ نخستین خوانش: روز سوم ماه سپتامبر سال 2010میلادیعنوان: پ‍ی‍اده‌ روی‌ ب‍ه‌ ی‍اد م‍ان‍دن‍ی‌؛ نویسنده: ن‍ی‍ک‍لاس‌ اس‍پ‍ارک‍س‌؛ ب‍رگ‍ردان‌: م‍ی‍ت‍را م‍ع‍ت‍ض‍د؛ ت‍ه‍ران‌: دور دن‍ی‍ا‏‫، 1379؛ در 260ص؛ شابک 9647062060؛ موضوع: داستانهای نویسندگان امریکایی - سده 20معنوان: مسیر خاطره‌ انگیز؛ نویسنده: نیکلاس اسپارکس؛ مترجم: هنگامه عارف‌نیا؛ تهران: ثالث‏‫، 1386؛ در 200ص؛ شابک 9643801527؛عنوان: گریزی به خاطرات؛ نویسنده: نیکلاس اسپارکس؛ مترجم: پگاه ملکیان؛ تهران: انتشارات میلکان‏‫‬، 1396؛ در 192ص؛ شابک 9786008812050؛عنوان: قدم‌های خاطره‌ انگیز؛ نویسنده: نیکلاس اسپارکس؛ مترجم: سیده‌ معصومه نورداد؛ قم نشر همخونه‏‫‬، 1397؛ در 208 ص، شابک 9786229965504؛ چاپ دیگر قم انتشارات ندای الهی‏‫‬، 1397؛ در 208ص؛ شابک 9786006113579؛داستان به دیدارهای ، یک پسر پولدار، و یک دختر کشیش؛ و رخدادهای پس از آن میپردازد و ....؛ نقل از متن: «بیفورت» که در «کارولینای شمالی» و در ساحل نزدیک «مورهد سیتی» واقع شده، در سال 1958میلادی شهری شبیه به شهرهای کوچک جنوبی بود؛ این شهر تابستانها رطوبت چنان بالایی داشت، که شخص پس از بیرون رفتن از خانه، مثلاً برای گرفتن نامه های پستی، احساس میکرد، نیاز به دوش گرفتن دارد؛ بچه ها با پای برهنه دور و بر میپلکیدند؛ از ماه آوریل تا ماه اکتبر، زیر درختان بلوط، پوشیده از خزه های اسپانیایی بود؛ مردم هر گاه که فردی را در خیابان میدیدند، چه او را میشناختند و یا نمیشناختند، از داخل اتوموبیلهایشان برایش، دست تکان میدادند.؛ پایان نقلتاریخ بهنگام رسانی 18/06/1399هجری خورشیدی؛ ا. شربیانی",68,N/A
35545737,A Walk to Remember,Darla,"3,138",447,5,"December 10, 2022","This book is a masterpiece. In 240 pages, Sparks gives us all the feels. Every time I read it, I weep. On your first time through, there are all the surprises in the plot that keep you reading and reaching for the tissues. Then you reread and the anticipation makes those earlier bits so much sweeter and meaningful. Since I first read this book about 20 years ago, I keep comparing the other books from Sparks to this one. So far there have been some good ones--most with many more pages. None has compared with the story of Carter and Jamie from 1958. This is one I treasure. I hope you are as blessed by the reading as I have been.So now faith, hope, and love abide, these three; but the greatest of these is love.  ~ I Corinthians 13:13",56,12
35545737,A Walk to Remember,Casey,272,121,2,"September 16, 2007","A Walk to Remember details the story of Jamie Sullivan, a preacher's daughter who seems to know everything, and Landon Carter, the boy who would never be tempted by Jamie in real life. The plot is predictable enough, even if you haven't seen the movie. I won't spoil the ending here, but it leaves quite a lot to be desired.I wanted to like this book, since so many people I knew enjoyed it, but I ended up hating it. The material was far too idyllic in some parts, and overly sanguine in others. I could see how Nicholas Sparks fans could like it, but it didn't have enough heart or plot to keep me interested.",49,6
