Title,URL
The Fault in Our Stars,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
Fangirl,https://www.goodreads.com/book/show/16068905-fangirl
"The Hate U Give (The Hate U Give, #1)",https://www.goodreads.com/book/show/32075671-the-hate-u-give
The Perks of Being a Wallflower,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower
Looking for Alaska,https://www.goodreads.com/book/show/99561.Looking_for_Alaska
Eleanor & Park,https://www.goodreads.com/book/show/15745753-eleanor-park
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",https://www.goodreads.com/book/show/15749186-to-all-the-boys-i-ve-loved-before
"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",https://www.goodreads.com/book/show/19547856-simon-vs-the-homo-sapiens-agenda
"Red, White & Royal Blue",https://www.goodreads.com/book/show/41150487-red-white-royal-blue
We Were Liars,https://www.goodreads.com/book/show/16143347-we-were-liars
Paper Towns,https://www.goodreads.com/book/show/6442769-paper-towns
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",https://www.goodreads.com/book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe
"Anna and the French Kiss (Anna and the French Kiss, #1)",https://www.goodreads.com/book/show/6936382-anna-and-the-french-kiss
Normal People,https://www.goodreads.com/book/show/41057294-normal-people
The Hating Game,https://www.goodreads.com/book/show/27213238-the-hating-game
"It Ends with Us (It Ends with Us, #1)",https://www.goodreads.com/book/show/27362503-it-ends-with-us
Eleanor Oliphant Is Completely Fine,https://www.goodreads.com/book/show/35900387-eleanor-oliphant-is-completely-fine
The Seven Husbands of Evelyn Hugo,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo
"Me Before You (Me Before You, #1)",https://www.goodreads.com/book/show/17347634-me-before-you
Beach Read,https://www.goodreads.com/book/show/52867387-beach-read
Thirteen Reasons Why,https://www.goodreads.com/book/show/29844228-thirteen-reasons-why
"Everything, Everything",https://www.goodreads.com/book/show/18692431-everything-everything
Little Fires Everywhere,https://www.goodreads.com/book/show/34273236-little-fires-everywhere
"If I Stay (If I Stay, #1)",https://www.goodreads.com/book/show/4374400-if-i-stay
The Love Hypothesis,https://www.goodreads.com/book/show/56732449-the-love-hypothesis
All the Bright Places,https://www.goodreads.com/book/show/18460392-all-the-bright-places
"The Kiss Quotient (The Kiss Quotient, #1)",https://www.goodreads.com/book/show/36199084-the-kiss-quotient
Turtles All the Way Down,https://www.goodreads.com/book/show/35504431-turtles-all-the-way-down
"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",https://www.goodreads.com/book/show/20698530-p-s-i-still-love-you
I'll Give You the Sun,https://www.goodreads.com/book/show/20820994-i-ll-give-you-the-sun
The Unhoneymooners,https://www.goodreads.com/book/show/42201431-the-unhoneymooners
A Man Called Ove,https://www.goodreads.com/book/show/18774964-a-man-called-ove
The Sun Is Also a Star,https://www.goodreads.com/book/show/28763485-the-sun-is-also-a-star
They Both Die at the End,https://www.goodreads.com/book/show/33385229-they-both-die-at-the-end
People We Meet on Vacation,https://www.goodreads.com/book/show/54985743-people-we-meet-on-vacation
The Midnight Library,https://www.goodreads.com/book/show/52578297-the-midnight-library
Radio Silence,https://www.goodreads.com/book/show/25322449-radio-silence
The Curious Incident of the Dog in the Night-Time,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
A Little Life,https://www.goodreads.com/book/show/22822858-a-little-life
"Heartstopper: Volume One (Heartstopper, #1)",https://www.goodreads.com/book/show/40495957-heartstopper
"Wonder (Wonder, #1)",https://www.goodreads.com/book/show/11387515-wonder
"Crazy Rich Asians (Crazy Rich Asians, #1)",https://www.goodreads.com/book/show/16085481-crazy-rich-asians
Eliza and Her Monsters,https://www.goodreads.com/book/show/31931941-eliza-and-her-monsters
Book Lovers,https://www.goodreads.com/book/show/58690308-book-lovers
An Abundance of Katherines,https://www.goodreads.com/book/show/49750.An_Abundance_of_Katherines
"Lola and the Boy Next Door (Anna and the French Kiss, #2)",https://www.goodreads.com/book/show/9961796-lola-and-the-boy-next-door
Anxious People,https://www.goodreads.com/book/show/53799686-anxious-people
"One of Us Is Lying (One of Us is Lying, #1)",https://www.goodreads.com/book/show/58679358-one-of-us-is-lying
Speak,https://www.goodreads.com/book/show/39280444-speak
Ugly Love,https://www.goodreads.com/book/show/17788401-ugly-love
"Always and Forever, Lara Jean (To All the Boys I've Loved Before, #3)",https://www.goodreads.com/book/show/35247769-always-and-forever-lara-jean
Gone Girl,https://www.goodreads.com/book/show/19288043-gone-girl
Such a Fun Age,https://www.goodreads.com/book/show/43923951-such-a-fun-age
"Get a Life, Chloe Brown (The Brown Sisters, #1)",https://www.goodreads.com/book/show/43884209-get-a-life-chloe-brown
The Kite Runner,https://www.goodreads.com/book/show/77203.The_Kite_Runner
The Goldfinch,https://www.goodreads.com/book/show/17333223-the-goldfinch
Since You've Been Gone,https://www.goodreads.com/book/show/18189606-since-you-ve-been-gone
The Secret History,https://www.goodreads.com/book/show/29044.The_Secret_History
Attachments,https://www.goodreads.com/book/show/8909152-attachments
"The Deal (Off-Campus, #1)",https://www.goodreads.com/book/show/24920901-the-deal
"The Flatshare (The Flatshare, #1)",https://www.goodreads.com/book/show/36478784-the-flatshare
Room,https://www.goodreads.com/book/show/31685789-room
"Will Grayson, Will Grayson",https://www.goodreads.com/book/show/6567017-will-grayson-will-grayson
My Dark Vanessa,https://www.goodreads.com/book/show/44890081-my-dark-vanessa
"Isla and the Happily Ever After (Anna and the French Kiss, #3)",https://www.goodreads.com/book/show/9627755-isla-and-the-happily-ever-after
Everything I Never Told You,https://www.goodreads.com/book/show/18693763-everything-i-never-told-you
"The Summer I Turned Pretty (Summer, #1)",https://www.goodreads.com/book/show/5821978-the-summer-i-turned-pretty
