date,added,ratings,reviews,to-read
2022-08-15,1109,349,29,495
2022-08-16,893,396,32,502
2022-08-17,1225,355,40,593
2022-08-18,811,302,26,510
2022-08-19,917,302,31,425
2022-08-20,999,336,33,415
2022-08-21,1135,408,28,480
2022-08-22,1025,338,35,458
2022-08-23,989,345,40,445
2022-08-24,941,307,36,400
2022-08-25,720,337,37,402
2022-08-26,885,311,32,393
2022-08-27,947,306,33,421
2022-08-28,1064,359,25,433
2022-08-29,998,338,43,443
2022-08-30,1093,369,29,490
2022-08-31,1057,360,30,450
2022-09-01,998,311,32,495
2022-09-02,857,288,36,385
2022-09-03,899,291,30,408
2022-09-04,992,346,33,416
2022-09-05,1118,362,34,515
2022-09-06,973,311,28,448
2022-09-07,1105,344,30,516
2022-09-08,911,307,30,440
2022-09-09,817,265,25,392
2022-09-10,887,302,29,392
2022-09-11,717,333,36,386
2022-09-12,1509,341,26,908
2022-09-13,888,288,31,370
2022-09-14,817,264,34,385
2022-09-15,889,326,22,572
2022-09-16,768,285,24,317
2022-09-17,860,260,19,400
2022-09-18,955,324,28,422
2022-09-19,857,281,28,376
2022-09-20,691,334,30,339
2022-09-21,654,301,26,349
2022-09-22,817,302,39,336
2022-09-23,753,191,25,339
2022-09-24,776,264,26,365
2022-09-25,904,309,25,393
2022-09-26,638,192,19,333
2022-09-27,859,178,28,360
2022-09-28,752,158,24,336
2022-09-29,762,-1396,23,335
2022-09-30,659,239,21,276
2022-10-01,791,261,33,331
2022-10-02,853,228,25,367
2022-10-03,800,235,19,336
2022-10-04,852,287,25,383
2022-10-05,573,269,23,320
2022-10-06,756,254,17,334
2022-10-07,685,217,20,324
2022-10-08,757,225,19,356
2022-10-09,881,251,37,390
2022-10-10,803,272,30,326
2022-10-11,789,266,26,329
2022-10-12,736,208,23,316
2022-10-13,534,245,24,294
2022-10-14,849,191,34,422
2022-10-15,742,234,18,348
2022-10-16,876,194,30,363
2022-10-17,774,204,21,333
2022-10-18,900,265,20,411
2022-10-19,939,262,34,500
2022-10-20,1181,257,18,734
2022-10-21,1211,225,28,767
2022-10-22,1030,216,25,587
2022-10-23,1180,141,25,597
2022-10-24,965,176,28,434
2022-10-25,797,257,32,454
2022-10-26,986,255,19,435
2022-10-27,825,294,33,359
2022-10-28,764,276,26,304
2022-10-29,811,264,23,330
2022-10-30,887,259,31,357
2022-10-31,772,256,33,312
2022-11-01,954,277,23,379
2022-11-02,934,316,33,389
2022-11-03,880,248,36,362
2022-11-04,815,293,27,338
2022-11-05,945,290,22,397
2022-11-06,1080,353,33,461
2022-11-07,945,312,36,404
2022-11-08,938,323,29,405
2022-11-09,922,276,26,432
2022-11-10,896,292,26,383
2022-11-11,1122,314,28,607
2022-11-12,1031,312,26,481
2022-11-13,1116,325,33,484
2022-11-14,998,326,42,445
2022-11-15,1426,447,24,678
2022-11-16,1020,365,40,426
2022-11-17,643,315,36,346
2022-11-18,842,273,18,382
2022-11-19,911,316,22,409
2022-11-20,1004,336,30,441
2022-11-21,900,304,26,371
2022-11-22,919,309,33,398
2022-11-23,827,308,28,338
2022-11-24,796,263,22,374
2022-11-25,861,261,28,401
2022-11-26,926,286,25,399
2022-11-27,1100,360,48,484
2022-11-28,916,345,30,394
2022-11-29,1027,338,46,443
2022-11-30,1090,316,32,467
2022-12-01,1124,342,39,576
2022-12-02,1042,320,38,528
2022-12-03,1139,339,23,570
2022-12-04,1121,327,28,547
2022-12-05,1058,329,32,484
2022-12-06,12137,325,34,11561
2022-12-07,1930,305,39,1586
2022-12-08,1512,316,34,996
2022-12-09,1306,335,34,778
2022-12-10,1194,331,22,671
2022-12-11,1399,326,25,778
2022-12-12,1308,338,41,730
2022-12-13,1289,355,31,678
2022-12-14,1304,359,39,729
2022-12-15,1388,385,43,774
2022-12-16,1364,343,36,757
2022-12-17,1485,368,34,780
2022-12-18,1722,458,48,880
2022-12-19,2205,416,44,1526
2022-12-20,1333,414,37,915
2022-12-21,1376,418,45,659
2022-12-22,1486,416,42,808
2022-12-23,1367,397,54,679
2022-12-24,1175,393,41,603
2022-12-25,1595,358,38,831
2022-12-26,1993,527,45,1012
2022-12-27,2129,622,49,1043
2022-12-28,2449,695,49,1248
2022-12-29,1991,747,56,1199
2022-12-30,2849,788,62,1491
2022-12-31,3324,1012,77,1683
2023-01-01,4994,999,73,2566
2023-01-02,4557,1419,92,2297
2023-01-03,3696,1078,99,1830
2023-01-04,2747,950,93,1606
2023-01-05,3118,883,76,1501
2023-01-06,2864,826,97,1456
2023-01-07,3401,850,85,1740
2023-01-08,3574,981,119,1718
2023-01-09,2993,884,110,1363
2023-01-10,3115,856,97,1439
2023-01-11,2076,774,70,1268
2023-01-12,2779,730,91,1265
2023-01-13,2629,664,112,1290
2023-01-14,3051,801,96,1464
2023-01-15,3643,1051,112,1698
2023-01-16,3327,987,111,1497
2023-01-17,2865,926,114,1228
2023-01-18,2739,901,125,1183
2023-01-19,2551,849,121,1075
2023-01-20,1764,767,99,1035
2023-01-21,2819,844,97,1223
2023-01-22,3123,947,129,1348
2023-01-23,2677,858,121,1132
2023-01-24,2436,852,92,1036
2023-01-25,2590,815,97,1049
2023-01-26,2380,806,100,1030
2023-01-27,2211,741,85,931
2023-01-28,2540,807,88,1050
2023-01-29,2826,862,104,1168
2023-01-30,1682,873,92,931
2023-01-31,2525,886,117,986
