date,added,ratings,reviews,to-read
2022-08-15,143,29,5,88
2022-08-16,96,30,1,78
2022-08-17,99,27,5,50
2022-08-18,75,25,5,55
2022-08-19,97,23,5,62
2022-08-20,95,17,2,52
2022-08-21,67,32,5,55
2022-08-22,101,19,1,59
2022-08-23,92,23,5,54
2022-08-24,95,19,2,58
2022-08-25,56,21,0,34
2022-08-26,84,21,3,46
2022-08-27,58,26,2,37
2022-08-28,108,25,6,59
2022-08-29,75,24,2,46
2022-08-30,80,18,5,44
2022-08-31,59,18,3,24
2022-09-01,79,10,0,46
2022-09-02,51,13,0,33
2022-09-03,57,10,2,31
2022-09-04,73,20,4,44
2022-09-05,50,19,2,38
2022-09-06,73,21,3,34
2022-09-07,63,14,6,36
2022-09-08,57,15,2,23
2022-09-09,45,8,1,26
2022-09-10,52,13,1,30
2022-09-11,47,16,2,35
2022-09-12,64,16,5,32
2022-09-13,59,14,1,31
2022-09-14,36,14,1,21
2022-09-15,45,16,2,34
2022-09-16,58,5,1,30
2022-09-17,42,14,3,25
2022-09-18,56,19,4,22
2022-09-19,29,11,3,19
2022-09-20,37,16,2,16
2022-09-21,36,13,3,22
2022-09-22,38,18,4,17
2022-09-23,44,10,3,25
2022-09-24,44,8,0,23
2022-09-25,50,11,2,26
2022-09-26,57,11,1,43
2022-09-27,50,13,2,31
2022-09-28,49,14,2,31
2022-09-29,46,14,0,33
2022-09-30,33,19,2,17
2022-10-01,50,12,4,31
2022-10-02,69,14,0,37
2022-10-03,40,17,1,19
2022-10-04,45,9,1,31
2022-10-05,36,18,4,18
2022-10-06,34,8,0,16
2022-10-07,39,8,0,24
2022-10-08,40,9,0,26
2022-10-09,66,8,1,35
2022-10-10,56,19,3,35
2022-10-11,43,10,0,22
2022-10-12,41,7,2,22
2022-10-13,72,6,0,62
2022-10-14,58,9,0,37
2022-10-15,44,8,2,25
2022-10-16,65,16,3,38
2022-10-17,49,6,0,33
2022-10-18,52,11,2,32
2022-10-19,47,11,0,20
2022-10-20,50,14,0,27
2022-10-21,46,11,2,28
2022-10-22,50,9,2,34
2022-10-23,58,18,0,26
2022-10-24,44,14,0,22
2022-10-25,31,6,1,21
2022-10-26,46,12,-1,29
2022-10-27,42,12,3,30
2022-10-28,41,9,1,28
2022-10-29,58,12,2,32
2022-10-30,44,10,1,22
2022-10-31,30,9,0,15
2022-11-01,47,8,0,25
2022-11-02,43,14,0,21
2022-11-03,52,13,2,29
2022-11-04,38,16,0,15
2022-11-05,45,8,2,30
2022-11-06,48,7,2,27
2022-11-07,42,11,0,23
2022-11-08,58,9,1,38
2022-11-09,52,11,0,27
2022-11-10,37,16,0,25
2022-11-11,40,6,2,25
2022-11-12,41,6,-1,16
2022-11-13,48,9,3,24
2022-11-14,45,11,0,29
2022-11-15,54,13,0,26
2022-11-16,38,4,1,24
2022-11-17,34,6,1,19
2022-11-18,44,19,0,24
2022-11-19,52,15,0,25
2022-11-20,38,10,4,24
2022-11-21,47,14,3,35
2022-11-22,47,12,0,29
2022-11-23,51,9,1,30
2022-11-24,43,14,3,19
2022-11-25,46,11,1,27
2022-11-26,44,9,1,30
2022-11-27,46,12,0,24
2022-11-28,46,9,1,23
2022-11-29,32,12,2,23
2022-11-30,47,7,1,28
2022-12-01,28,9,0,19
2022-12-02,27,11,1,14
2022-12-03,42,5,1,30
2022-12-04,59,4,2,36
2022-12-05,44,8,0,33
2022-12-06,43,7,0,27
2022-12-07,35,9,1,24
2022-12-08,37,7,0,27
2022-12-09,42,8,2,23
2022-12-10,37,10,1,22
2022-12-11,47,9,1,31
2022-12-12,45,15,2,19
2022-12-13,42,11,1,22
2022-12-14,43,13,0,21
2022-12-15,34,7,2,16
2022-12-16,39,16,5,17
2022-12-17,50,12,2,25
2022-12-18,52,19,1,32
2022-12-19,21,9,2,14
2022-12-20,44,15,3,24
2022-12-21,45,7,2,23
2022-12-22,40,18,2,28
2022-12-23,39,10,2,18
2022-12-24,38,6,0,24
2022-12-25,56,14,1,31
2022-12-26,72,20,3,31
2022-12-27,85,16,1,41
2022-12-28,62,18,3,34
2022-12-29,60,17,-1,32
2022-12-30,91,26,-1,47
2022-12-31,183,19,2,144
2023-01-01,240,16,4,172
2023-01-02,225,41,0,152
2023-01-03,135,25,2,86
2023-01-04,132,35,1,81
2023-01-05,111,31,4,67
2023-01-06,86,17,1,53
2023-01-07,92,20,3,60
2023-01-08,89,15,1,62
2023-01-09,88,27,6,40
2023-01-10,97,21,0,57
2023-01-11,70,14,-1,46
2023-01-12,82,29,3,39
2023-01-13,83,23,1,48
2023-01-14,62,13,0,41
2023-01-15,92,21,2,58
2023-01-16,107,12,1,58
2023-01-17,80,17,1,53
2023-01-18,49,16,2,27
2023-01-19,58,10,1,31
2023-01-20,42,13,1,30
2023-01-21,62,11,2,37
2023-01-22,87,20,-2,54
2023-01-23,68,13,2,39
2023-01-24,71,11,-1,47
2023-01-25,73,16,2,40
2023-01-26,57,10,0,32
2023-01-27,57,11,2,33
2023-01-28,63,12,0,43
2023-01-29,74,17,3,50
2023-01-30,49,15,1,31
2023-01-31,78,9,1,44
