date,added,ratings,reviews,to-read
2022-08-15,147,31,6,65
2022-08-16,83,28,4,35
2022-08-17,121,33,2,44
2022-08-18,95,48,5,41
2022-08-19,113,41,3,39
2022-08-20,111,32,4,40
2022-08-21,106,28,5,47
2022-08-22,144,29,3,62
2022-08-23,126,36,1,70
2022-08-24,126,25,0,56
2022-08-25,89,26,4,36
2022-08-26,180,35,1,101
2022-08-27,79,25,0,32
2022-08-28,93,22,3,27
2022-08-29,75,-8,4,33
2022-08-30,102,24,2,36
2022-08-31,111,22,2,39
2022-09-01,98,30,1,38
2022-09-02,75,16,2,28
2022-09-03,95,14,0,37
2022-09-04,112,42,6,40
2022-09-05,71,29,2,30
2022-09-06,70,-8,0,19
2022-09-07,67,8,1,26
2022-09-08,66,12,0,21
2022-09-09,58,14,2,18
2022-09-10,79,24,2,25
2022-09-11,57,20,1,26
2022-09-12,69,18,0,25
2022-09-13,82,17,0,32
2022-09-14,65,17,1,14
2022-09-15,50,21,2,16
2022-09-16,67,14,2,23
2022-09-17,65,10,1,30
2022-09-18,77,10,1,20
2022-09-19,76,26,5,26
2022-09-20,55,9,2,16
2022-09-21,49,31,0,17
2022-09-22,55,9,2,17
2022-09-23,61,-26,1,20
2022-09-24,72,18,2,24
2022-09-25,62,14,4,19
2022-09-26,52,-18,1,21
2022-09-27,72,-33,0,11
2022-09-28,54,-78,2,10
2022-09-29,50,-76,3,17
2022-09-30,62,12,0,15
2022-10-01,63,18,2,32
2022-10-02,79,-16,1,31
2022-10-03,63,-20,3,28
2022-10-04,70,12,1,22
2022-10-05,40,15,2,24
2022-10-06,55,15,0,24
2022-10-07,42,14,2,15
2022-10-08,55,11,1,21
2022-10-09,52,4,0,22
2022-10-10,66,20,0,20
2022-10-11,74,16,2,31
2022-10-12,65,-6,1,28
2022-10-13,58,11,2,31
2022-10-14,64,-36,0,33
2022-10-15,43,11,1,22
2022-10-16,54,-63,0,16
2022-10-17,72,-37,0,21
2022-10-18,74,-2,-1,28
2022-10-19,65,15,1,16
2022-10-20,58,18,1,16
2022-10-21,50,6,1,21
2022-10-22,57,-1,1,19
2022-10-23,66,-68,0,17
2022-10-24,43,-49,0,20
2022-10-25,47,-31,0,16
2022-10-26,53,16,1,23
2022-10-27,60,10,1,23
2022-10-28,51,13,1,18
2022-10-29,45,7,0,20
2022-10-30,57,11,1,20
2022-10-31,49,-20,1,17
2022-11-01,56,12,2,16
2022-11-02,41,12,0,11
2022-11-03,61,3,0,28
2022-11-04,62,11,1,20
2022-11-05,50,13,1,19
2022-11-06,46,14,3,14
2022-11-07,51,7,1,18
2022-11-08,54,5,1,18
2022-11-09,50,14,0,17
2022-11-10,39,17,1,13
2022-11-11,50,4,0,22
2022-11-12,58,15,0,18
2022-11-13,60,10,2,24
2022-11-14,50,20,1,19
2022-11-15,58,14,0,15
2022-11-16,53,15,0,19
2022-11-17,38,7,0,17
2022-11-18,44,6,1,16
2022-11-19,47,6,1,21
2022-11-20,46,14,0,13
2022-11-21,41,10,0,11
2022-11-22,49,13,3,19
2022-11-23,57,15,2,16
2022-11-24,42,8,1,16
2022-11-25,55,10,0,22
2022-11-26,48,18,1,15
2022-11-27,56,13,0,20
2022-11-28,66,11,0,28
2022-11-29,52,15,1,14
2022-11-30,52,14,1,12
2022-12-01,54,7,0,16
2022-12-02,49,25,1,16
2022-12-03,60,12,1,15
2022-12-04,68,23,1,17
2022-12-05,61,32,0,18
2022-12-06,54,5,1,22
2022-12-07,28,10,-1,10
2022-12-08,42,18,1,13
2022-12-09,51,10,1,18
2022-12-10,38,7,0,16
2022-12-11,71,10,0,29
2022-12-12,64,17,1,22
2022-12-13,50,5,2,21
2022-12-14,62,9,0,23
2022-12-15,55,10,0,23
2022-12-16,53,11,0,16
2022-12-17,49,8,0,10
2022-12-18,60,12,-2,18
2022-12-19,63,3,2,19
2022-12-20,57,16,1,23
2022-12-21,70,13,1,14
2022-12-22,60,15,1,16
2022-12-23,46,16,0,11
2022-12-24,46,10,2,13
2022-12-25,63,10,1,27
2022-12-26,119,17,4,42
2022-12-27,79,22,4,21
2022-12-28,119,17,2,40
2022-12-29,82,16,3,36
2022-12-30,125,22,3,41
2022-12-31,161,47,2,42
2023-01-01,212,13,2,71
2023-01-02,208,49,0,58
2023-01-03,153,55,6,39
2023-01-04,123,41,3,28
2023-01-05,126,20,3,40
2023-01-06,100,28,2,20
2023-01-07,123,23,4,42
2023-01-08,112,23,2,38
2023-01-09,87,24,1,23
2023-01-10,91,20,2,26
2023-01-11,85,10,1,24
2023-01-12,83,-34,3,17
2023-01-13,85,-30,3,32
2023-01-14,89,9,1,34
2023-01-15,101,27,2,29
2023-01-16,84,18,4,28
2023-01-17,75,14,0,22
2023-01-18,64,18,1,10
2023-01-19,76,15,0,19
2023-01-20,56,18,2,18
2023-01-21,77,14,2,22
2023-01-22,87,13,1,33
2023-01-23,72,10,3,21
2023-01-24,83,9,1,30
2023-01-25,83,26,1,30
2023-01-26,74,24,1,22
2023-01-27,90,20,2,30
2023-01-28,74,10,3,31
2023-01-29,89,15,-1,30
2023-01-30,62,27,3,18
2023-01-31,65,20,1,19
