date,added,ratings,reviews,to-read
2022-08-15,18,7,1,4
2022-08-16,22,15,1,7
2022-08-17,17,-2,-1,7
2022-08-18,14,5,2,9
2022-08-19,15,7,0,4
2022-08-20,20,3,0,8
2022-08-21,23,9,1,11
2022-08-22,19,7,0,5
2022-08-23,11,2,0,6
2022-08-24,18,5,0,10
2022-08-25,7,2,0,5
2022-08-26,21,5,1,10
2022-08-27,19,9,2,11
2022-08-28,21,-9,0,10
2022-08-29,16,-18,0,5
2022-08-30,22,2,2,11
2022-08-31,18,-10,0,9
2022-09-01,12,3,1,4
2022-09-02,17,1,0,8
2022-09-03,7,3,1,6
2022-09-04,13,5,1,3
2022-09-05,12,0,0,2
2022-09-06,13,-15,0,7
2022-09-07,6,-1,0,5
2022-09-08,13,1,0,8
2022-09-09,11,3,1,3
2022-09-10,11,-1,0,7
2022-09-11,8,2,1,4
2022-09-12,13,1,0,4
2022-09-13,13,0,1,4
2022-09-14,11,-1,1,3
2022-09-15,9,-2,0,6
2022-09-16,13,3,0,9
2022-09-17,9,4,0,5
2022-09-18,11,1,0,6
2022-09-19,7,-1,0,4
2022-09-20,8,0,0,3
2022-09-21,12,2,0,5
2022-09-22,11,5,0,5
2022-09-23,2,-35,0,0
2022-09-24,12,5,0,7
2022-09-25,8,2,2,5
2022-09-26,11,-44,1,5
2022-09-27,13,-40,0,6
2022-09-28,11,-68,1,2
2022-09-29,12,-82,0,7
2022-09-30,6,1,0,3
2022-10-01,17,4,1,5
2022-10-02,13,-22,2,11
2022-10-03,13,-15,0,6
2022-10-04,8,1,0,4
2022-10-05,10,4,0,4
2022-10-06,6,6,1,5
2022-10-07,10,3,0,3
2022-10-08,12,2,0,5
2022-10-09,20,-11,0,9
2022-10-10,12,-3,0,8
2022-10-11,13,0,0,5
2022-10-12,10,-27,1,4
2022-10-13,10,3,0,5
2022-10-14,13,-41,0,7
2022-10-15,14,3,0,6
2022-10-16,17,-64,2,8
2022-10-17,9,-41,0,1
2022-10-18,9,-9,1,5
2022-10-19,9,0,0,5
2022-10-20,8,1,0,3
2022-10-21,7,-10,0,4
2022-10-22,8,-13,0,5
2022-10-23,9,-74,0,6
2022-10-24,8,-50,2,7
2022-10-25,13,-46,0,5
2022-10-26,8,5,0,6
2022-10-27,9,0,0,3
2022-10-28,10,0,0,8
2022-10-29,5,1,0,3
2022-10-30,10,-4,0,5
2022-10-31,10,-8,0,4
2022-11-01,7,-2,0,5
2022-11-02,10,0,0,7
2022-11-03,9,-13,0,5
2022-11-04,11,3,0,2
2022-11-05,13,4,0,7
2022-11-06,13,1,0,9
2022-11-07,8,-1,0,2
2022-11-08,10,-1,0,7
2022-11-09,11,2,0,7
2022-11-10,8,-1,0,5
2022-11-11,16,1,0,9
2022-11-12,10,2,1,2
2022-11-13,13,2,0,7
2022-11-14,10,5,0,2
2022-11-15,8,0,0,3
2022-11-16,12,2,0,7
2022-11-17,7,2,0,3
2022-11-18,10,7,2,2
2022-11-19,9,1,0,6
2022-11-20,11,1,0,5
2022-11-21,3,3,1,1
2022-11-22,9,2,1,6
2022-11-23,14,0,0,7
2022-11-24,3,-1,1,3
2022-11-25,7,1,0,5
2022-11-26,11,-1,1,7
2022-11-27,8,-1,0,3
2022-11-28,13,4,0,7
2022-11-29,12,1,1,11
2022-11-30,14,1,0,8
2022-12-01,9,2,0,5
2022-12-02,8,3,1,4
2022-12-03,5,-2,0,3
2022-12-04,11,-1,-1,3
2022-12-05,9,2,1,3
2022-12-06,12,8,0,4
2022-12-07,7,2,1,5
2022-12-08,10,0,0,6
2022-12-09,7,1,1,5
2022-12-10,9,-1,0,3
2022-12-11,12,1,0,8
2022-12-12,9,0,1,7
2022-12-13,10,5,0,5
2022-12-14,17,1,0,8
2022-12-15,17,7,0,9
2022-12-16,12,2,0,4
2022-12-17,11,3,0,4
2022-12-18,12,-1,0,4
2022-12-19,6,1,0,5
2022-12-20,8,1,0,2
2022-12-21,7,-1,-1,2
2022-12-22,10,2,1,2
2022-12-23,9,4,0,3
2022-12-24,9,3,0,4
2022-12-25,10,0,1,4
2022-12-26,23,2,3,13
2022-12-27,24,2,0,15
2022-12-28,12,0,0,5
2022-12-29,15,2,0,7
2022-12-30,23,2,0,6
2022-12-31,23,-2,1,11
2023-01-01,38,4,0,13
2023-01-02,34,4,0,9
2023-01-03,36,9,-1,11
2023-01-04,16,0,0,5
2023-01-05,33,5,1,15
2023-01-06,19,11,0,5
2023-01-07,22,-3,1,8
2023-01-08,21,1,-1,12
2023-01-09,12,2,-2,2
2023-01-10,15,1,0,5
2023-01-11,21,-1,0,13
2023-01-12,15,-41,1,6
2023-01-13,13,-64,1,4
2023-01-14,25,5,0,15
2023-01-15,21,3,-1,12
2023-01-16,12,2,0,5
2023-01-17,9,0,0,2
2023-01-18,21,1,1,13
2023-01-19,12,-1,0,7
2023-01-20,8,1,1,5
2023-01-21,13,4,1,4
2023-01-22,15,2,0,12
2023-01-23,12,-2,0,6
2023-01-24,10,0,0,5
2023-01-25,14,1,0,5
2023-01-26,20,13,1,4
2023-01-27,14,-1,0,5
2023-01-28,22,-2,0,8
2023-01-29,21,9,1,9
2023-01-30,9,4,0,7
2023-01-31,14,-2,0,7
